kucode,pref_id,district_name,total_pop,foreigners,pct_foreigners,kuname_x,就業者数_0_総数,就業者数_A_農業，林業,就業者数_01_うち農業,就業者数_B_漁業,就業者数_C_鉱業，採石業，砂利採取業,就業者数_D_建設業,就業者数_E_製造業,就業者数_F_電気・ガス・熱供給・水道業,就業者数_G_情報通信業,就業者数_H_運輸業，郵便業,就業者数_I_卸売業，小売業,就業者数_J_金融業，保険業,就業者数_K_不動産業，物品賃貸業,就業者数_L_学術研究，専門・技術サービス業,就業者数_M_宿泊業，飲食サービス業,就業者数_N_生活関連サービス業，娯楽業,就業者数_O_教育，学習支援業,就業者数_P_医療，福祉,就業者数_Q_複合サービス事業,就業者数_R_サービス業（他に分類されないもの）,就業者数_S_公務（他に分類されるものを除く）,就業者数_T_分類不能の産業,就業者数_R1_（再掲）第1次産業,就業者数_R2_（再掲）第2次産業,就業者数_R3_（再掲）第3次産業,kuname_y,人口_総数,人口_0～4歳,人口_5～9歳,人口_10～14歳,人口_15～19歳,人口_20～24歳,人口_25～29歳,人口_30～34歳,人口_35～39歳,人口_40～44歳,人口_45～49歳,人口_50～54歳,人口_55～59歳,人口_60～64歳,人口_65～69歳,人口_70～74歳,人口_75～79歳,人口_80～84歳,人口_85～89歳,人口_90～94歳,人口_95～99歳,人口_100歳以上,人口_年齢「不詳」,人口_（再掲）15歳未満,人口_（再掲）15～64歳,人口_（再掲）65歳以上,人口_（再掲）75歳以上,人口_（再掲）85歳以上,人口_（再掲）20～69歳
101,1,北海道1区,527598,3939,0.007465911546290926,北海道1区,221641,996,805,16,38,13089,9309,1478,10071,7820,36113,6659,7757,11546,16204,8230,12754,38510,1329,21212,11119,7391,1012,22436,190802,北海道1区,527598,16348,18025,18334,21354,25473,26797,28562,31835,35598,40535,37098,35398,32607,35217,37380,26300,20564,15629,7877,2028,312,14327,52707,315257,145307,72710,25846,329120
102,1,北海道2区,546641,4015,0.007344857045117362,北海道2区,234457,1171,1112,36,26,23232,14135,1291,8077,14036,43389,4829,6999,8611,13734,7753,11892,35068,1673,23125,7291,8089,1207,37393,187768,北海道2区,546641,19208,21389,22236,24919,29572,27377,29742,33612,38375,43622,37176,33524,31348,36460,38230,26674,19989,13973,6861,1815,304,10235,62833,329267,144306,69616,22953,340808
103,1,北海道3区,530444,3057,0.0057630965756988485,北海道3区,233257,993,907,15,22,18815,12477,1089,10511,14033,43728,5876,7606,9623,14331,8891,9786,34617,1495,24241,7637,7471,1008,31314,193464,北海道3区,530444,18141,19569,20147,22155,26528,30009,31765,33965,38084,42998,37843,35232,32129,34491,35602,25049,19252,14418,7062,1955,269,3781,57857,330708,138098,68005,23704,343044
104,1,北海道4区,480342,3489,0.007263574703024096,北海道4区,208686,8039,7747,1365,91,18595,18073,1669,3771,13379,34507,3278,4135,5420,12996,7562,9434,32475,2421,16386,9358,5732,9404,36759,156791,北海道4区,480342,14682,17819,19489,20047,18143,17817,20692,25734,31036,35510,30905,30356,30976,38663,42310,29872,23098,16702,8715,2500,389,4887,51990,261216,162249,81276,28306,279832
105,1,北海道5区,510595,2990,0.005855913199306691,北海道5区,228348,6910,6768,30,59,16618,22103,1131,5294,17482,35817,3683,5001,6264,12139,8409,11388,29950,1811,18772,18741,6746,6940,38780,175882,北海道5区,510595,16420,19842,21795,26606,26183,20778,23796,27776,32590,38291,34777,33583,33309,38064,39512,28389,21880,14866,7327,1983,305,2523,58057,297689,152326,74750,24481,309147
106,1,北海道6区,481953,2283,0.004736976427161985,北海道6区,223811,18768,17806,30,139,19596,14548,1028,1658,10443,35572,3899,3229,4891,13274,7836,11182,39230,3476,14795,15488,4729,18798,34283,166001,北海道6区,481953,14790,17427,18917,20087,17077,18170,20769,25072,30288,34289,30860,30435,31484,37540,41388,31414,26155,18632,9186,2638,437,4898,51134,258531,167390,88462,30893,275984
107,1,北海道7区,294384,2322,0.007887656937877059,北海道7区,138192,10031,9485,7451,285,11957,12780,766,633,7726,20807,2534,1582,2802,8113,4585,6440,17707,2533,8692,7864,2904,17482,25022,92784,北海道7区,294384,8757,10436,11874,12275,10994,12009,13225,15429,18239,21082,19192,19830,20256,24606,24284,18070,14903,10162,4637,1292,194,2638,31067,162531,98148,49258,16285,174862
108,1,北海道8区,413767,2553,0.006170139232949946,北海道8区,186106,8551,7899,6072,102,17364,17386,973,1564,10128,28560,3232,2759,3297,12113,6675,8385,29576,2560,12281,9474,5054,14623,34852,131577,北海道8区,413767,11062,13568,15313,16180,14323,15039,16618,20383,24828,30009,27231,27101,28258,34965,37552,27838,22626,16410,8017,2275,344,3827,39943,219970,150027,77510,27046,238755
109,1,北海道9区,445726,3032,0.006802385321924231,北海道9区,203314,14753,14083,3544,275,20131,24029,1568,1153,12369,28265,2895,2355,3850,12342,7287,8807,28860,2655,14235,9434,4507,18297,44435,136075,北海道9区,445726,13739,16255,17766,18819,16790,17773,19654,23296,27840,32532,27706,27470,28008,35965,38791,29388,23598,15918,7724,2156,345,4193,47760,239888,153885,79129,26143,257034
110,1,北海道10区,325014,1398,0.004301353172478724,北海道10区,149081,18830,18350,1393,265,13540,13470,810,720,6432,19126,1894,1424,2605,6716,5278,5831,24035,3152,10002,10604,2954,20223,27275,98629,北海道10区,325014,7988,9860,11037,12416,10362,10491,12060,14244,17656,21450,20113,21868,22682,28050,30584,24271,21359,15691,7496,2217,398,2721,28885,163342,130066,71432,25802,178976
