District,Candidate,Party,Status,Votes,Vote_Share_Percent,Result
Tokyo 1st,Miki Yamada,LDP,Incumbent,99133,39.0,Won
Tokyo 1st,Banri Kaieda,CDP,Incumbent,90043,35.4,Proportional
Tokyo 1st,Taisuke Ono,Ishin,New,60230,23.7,Proportional
Tokyo 1st,Hisao Naito,Independent,New,4715,1.9,Lost
Tokyo 2nd,Kiyoto Tsuji,LDP,Incumbent,119281,43.4,Won
Tokyo 2nd,Akihiro Matsuo,CDP,Incumbent,90422,32.9,Lost
Tokyo 2nd,Takane Kiuchi,Ishin,Former,45754,16.7,Lost
Tokyo 2nd,Tsukuru Kitamura,Reiwa,New,14487,5.3,Lost
Tokyo 3rd,Jin Matsubara,CDP,Incumbent,124961,45.9,Won
Tokyo 3rd,Hirotaka Ishihara,LDP,Incumbent,116753,42.9,Proportional
Tokyo 3rd,Katsusuke Kozai,JCP,New,30648,11.3,Lost
Tokyo 4th,Masaaki Taira,LDP,Incumbent,128708,51.5,Won
Tokyo 4th,Tomoyuki Tanigawa,JCP,New,62286,24.9,Lost
Tokyo 4th,Tomooki Hayashi,Ishin,New,58891,23.6,Lost
Tokyo 5th,Jinushi Tezuka,CDP,Incumbent,111246,41.0,Won
Tokyo 5th,Kenji Wakamiya,LDP,Incumbent,105842,39.0,Proportional
Tokyo 5th,Masafumi Tabuchi,Ishin,New,54363,20.0,Lost
