Date,Prime_Minister,Cabinet_Approval_Rate,Cabinet_Disapproval_Rate,LDP_Support_Rate,CDP_Support_Rate,Ishin_Support_Rate
2021-10-01,Kishida,49.0,40.0,38.0,7.0,3.0
2021-12-01,Kishida,50.0,36.0,40.0,8.0,4.0
2022-04-01,Kishida,55.0,30.0,42.0,6.0,5.0
2022-08-01,Kishida,40.0,45.0,35.0,9.0,7.0
2023-01-01,Kishida,33.0,50.0,30.0,10.0,8.0
2023-06-01,Kishida,38.0,42.0,32.0,9.0,9.0
2024-01-01,Kishida,25.0,68.0,24.0,11.0,10.0
2024-10-01,Ishiba,35.0,45.0,29.0,11.0,9.0
2024-11-01,Ishiba,32.0,48.0,27.0,12.0,10.0
2025-01-01,Ishiba,28.0,52.0,25.0,13.0,11.0
2025-04-01,Ishiba,25.0,58.0,22.0,14.0,12.0
2025-08-01,Ishiba,20.0,65.0,19.0,15.0,14.0
2025-10-01,Takaichi,60.0,30.0,35.0,14.0,13.0
2025-11-01,Takaichi,65.0,25.0,38.0,13.0,12.0
2025-12-01,Takaichi,70.0,22.0,42.0,12.0,11.0
2026-01-01,Takaichi,75.0,18.0,45.0,11.0,10.0
