"ken","kuno","kucode","kuname","人口_総数","人口_男","人口_女","外国人人口","世帯数"
1,1,101,"北海道1区",527598,241025,286573,3939,273961
1,2,102,"北海道2区",546641,258666,287975,4015,265360
1,3,103,"北海道3区",530444,248142,282302,3057,265120
1,4,104,"北海道4区",480342,225478,254864,3489,217789
1,5,105,"北海道5区",510595,244132,266463,2990,225720
1,6,106,"北海道6区",481953,225275,256678,2283,224353
1,7,107,"北海道7区",294384,140157,154227,2322,138100
1,8,108,"北海道8区",413767,190316,223451,2553,194466
1,9,109,"北海道9区",445726,216886,228840,3032,211488
1,10,110,"北海道10区",325014,153000,172014,1398,148391
1,11,111,"北海道11区",332648,159665,172983,1919,153169
1,12,112,"北海道12区",335502,162346,173156,3324,158929
2,1,201,"青森1区",390763,184784,205979,1518,169405
2,2,202,"青森2区",451243,216746,234497,2757,187335
2,3,203,"青森3区",395978,181872,214106,1134,154786
3,1,301,"岩手1区",349934,165646,184288,1511,153464
3,2,302,"岩手2区",421572,203027,218545,2721,170409
3,3,303,"岩手3区",439028,214279,224749,2705,168563
4,1,401,"宮城1区",546348,263900,282448,7258,268183
4,2,402,"宮城2区",550356,267717,282639,4249,257272
4,3,403,"宮城3区",334448,164785,169663,2040,127187
4,4,404,"宮城4区",461445,226436,235009,3303,180169
4,5,405,"宮城5区",409399,199760,209639,2603,149712
5,1,501,"秋田1区",307672,145411,162261,1187,136952
5,2,502,"秋田2区",288633,135003,153630,1106,115007
5,3,503,"秋田3区",363197,172025,191172,1358,133228
6,1,601,"山形1区",363311,174986,188325,1938,143510
6,2,602,"山形2区",370390,181444,188946,3202,131601
6,3,603,"山形3区",334326,160008,174318,2009,122904
7,1,701,"福島1区",465894,227844,238050,2949,188003
7,2,702,"福島2区",519577,256467,263110,3933,207982
7,3,703,"福島3区",395173,192490,202683,2748,152056
7,4,704,"福島4区",452508,227063,225445,3238,194870
8,1,801,"茨城1区",501830,246610,255220,6211,209373
8,2,802,"茨城2区",364132,184803,179329,9833,145403
8,3,803,"茨城3区",459781,228146,231635,8339,189979
8,4,804,"茨城4区",313688,156129,157559,2330,128927
8,5,805,"茨城5区",281899,140930,140969,2313,121990
8,6,806,"茨城6区",546750,273381,273369,12657,237169
8,7,807,"茨城7区",398929,200977,197952,16136,151292
9,1,901,"栃木1区",505456,253477,251979,8002,225543
9,2,902,"栃木2区",299897,149904,149993,3374,117446
9,3,903,"栃木3区",282508,139974,142534,3768,113236
9,4,904,"栃木4区",428762,215268,213494,11222,170042
9,5,905,"栃木5区",416523,206307,210216,11042,170656
10,1,1001,"群馬1区",409107,199586,209521,6737,172866
10,2,1002,"群馬2区",403997,199898,204099,15052,165546
10,3,1003,"群馬3区",401760,204975,196785,22278,166536
10,4,1004,"群馬4区",353488,173043,180445,4970,154865
10,5,1005,"群馬5区",370758,181909,188849,4395,145439
11,1,1101,"埼玉1区",458192,223519,234673,6995,195938
11,2,1102,"埼玉2区",478246,241590,236656,29443,220740
11,3,1103,"埼玉3区",457649,226395,231254,8696,189175
11,4,1104,"埼玉4区",466435,232560,233875,10391,208968
11,5,1105,"埼玉5区",463794,228567,235227,7043,207718
11,6,1106,"埼玉6区",483717,239125,244592,6114,202379
11,7,1107,"埼玉7区",466430,232351,234079,7907,204355
11,8,1108,"埼玉8区",494495,243231,251264,7143,217082
11,9,1109,"埼玉9区",475677,236256,239421,6710,201291
11,10,1110,"埼玉10区",389998,194853,195145,8141,165474
11,11,1111,"埼玉11区",404351,200448,203903,7720,161455
11,12,1112,"埼玉12区",437517,217947,219570,7845,177483
11,13,1113,"埼玉13区",437194,217466,219728,6077,179506
11,14,1114,"埼玉14区",483812,244694,239118,14917,214935
11,15,1115,"埼玉15区",505406,254113,251293,19093,233601
11,16,1116,"埼玉16区",441852,219054,222798,7204,182643
12,1,1201,"千葉1区",521262,257845,263417,14714,251023
12,2,1202,"千葉2区",376826,185200,191626,9253,166281
12,3,1203,"千葉3区",398945,201559,197386,6390,168993
12,4,1204,"千葉4区",488099,241987,246112,14428,220650
12,5,1205,"千葉5区",503057,253747,249310,16788,252929
12,6,1206,"千葉6区",498232,247210,251022,15513,231195
12,7,1207,"千葉7区",352487,174626,177861,5908,146696
12,8,1208,"千葉8区",426468,210824,215644,7882,188022
12,9,1209,"千葉9区",476714,235881,240833,10420,201517
12,10,1210,"千葉10区",395257,195189,200068,10632,162508
12,11,1211,"千葉11区",410235,202541,207694,5978,169975
12,12,1212,"千葉12区",444813,221558,223255,5321,189517
12,13,1213,"千葉13区",496099,243955,252144,9627,205483
12,14,1214,"千葉14区",495986,245865,250121,9323,219051
13,1,1301,"東京1区",416065,208459,207606,29940,259811
13,2,1302,"東京2区",380623,189517,191106,21660,216878
13,3,1303,"東京3区",446949,221599,225350,12150,250435
13,4,1304,"東京4区",513628,260035,253593,15547,281754
13,5,1305,"東京5区",457259,214128,243131,11426,239356
13,6,1306,"東京6区",486466,231524,254942,10938,252770
13,7,1307,"東京7区",504369,241317,263052,26113,296127
13,8,1308,"東京8区",472388,225964,246424,10959,264975
13,9,1309,"東京9区",369336,177294,192042,7275,173511
13,10,1310,"東京10区",541668,266503,275165,34030,317480
13,11,1311,"東京11区",479076,234738,244338,18164,258538
13,12,1312,"東京12区",460620,227730,232890,25253,245608
13,13,1313,"東京13区",469525,235043,234482,19015,239313
13,14,1314,"東京14区",480269,239023,241246,23260,249486
13,15,1315,"東京15区",524310,258015,266295,28682,264278
13,16,1316,"東京16区",489748,247091,242657,19347,229482
13,17,1317,"東京17区",453093,225758,227335,19229,215948
13,18,1318,"東京18区",483611,234619,248992,9933,238254
13,19,1319,"東京19区",405111,198007,207104,8495,193524
13,20,1320,"東京20区",498024,242318,255706,8524,221012
13,21,1321,"東京21区",491757,245530,246227,9657,234031
13,22,1322,"東京22区",522777,252576,270201,8550,259950
13,23,1323,"東京23区",431079,210533,220546,6276,192015
13,24,1324,"東京24区",461614,231886,229728,9343,213120
13,25,1325,"東京25区",492992,245648,247344,10599,214378
13,26,1326,"東京26区",522480,248189,274291,13453,274064
13,27,1327,"東京27区",463600,230862,232738,18539,279457
13,28,1328,"東京28区",383272,184476,198796,10854,201331
13,29,1329,"東京29区",442993,220048,222945,27590,218042
13,30,1330,"東京30区",502892,249958,252934,8571,232252
14,1,1401,"神奈川1区",517058,256212,260846,19586,253708
14,2,1402,"神奈川2区",518340,257045,261295,16274,256299
14,3,1403,"神奈川3区",544704,279449,265255,18666,274769
14,4,1404,"神奈川4区",381629,181243,200386,3201,166115
14,5,1405,"神奈川5区",436087,212243,223844,6130,184900
14,6,1406,"神奈川6区",452985,220200,232785,7670,206175
14,7,1407,"神奈川7区",358530,179150,179380,6083,175521
14,8,1408,"神奈川8区",493838,240519,253319,7756,212230
14,9,1409,"神奈川9区",402439,200369,202070,7194,192978
14,10,1410,"神奈川10区",404084,211796,192288,17978,203603
14,11,1411,"神奈川11区",430147,213655,216492,5375,182683
14,12,1412,"神奈川12区",485253,240062,245191,6055,213066
14,13,1413,"神奈川13区",445705,221518,224187,11665,197812
14,14,1414,"神奈川14区",486989,245221,241768,10851,218065
14,15,1415,"神奈川15区",532445,262075,270370,6609,227429
14,16,1416,"神奈川16区",462001,235460,226541,12223,204060
14,17,1417,"神奈川17区",526496,258413,268083,7516,225761
14,18,1418,"神奈川18区",498011,250221,247790,9925,248554
14,19,1419,"神奈川19区",446860,218005,228855,6507,186790
14,20,1420,"神奈川20区",413736,205412,208324,8271,193188
15,1,1501,"新潟1区",434255,208255,226000,2882,194503
15,2,1502,"新潟2区",474855,229839,245016,2472,181122
15,3,1503,"新潟3区",446769,215984,230785,2843,163762
15,4,1504,"新潟4区",430288,211669,218619,3300,167772
15,5,1505,"新潟5区",415105,202923,212182,3531,157591
16,1,1601,"富山1区",321666,157218,164448,5157,138691
16,2,1602,"富山2区",286989,139451,147538,3351,106785
16,3,1603,"富山3区",426159,205968,220191,7818,158513
17,1,1701,"石川1区",463254,224549,238705,4798,207520
17,2,1702,"石川2区",391740,192500,199240,6258,153838
17,3,1703,"石川3区",277532,132722,144810,2629,108552
18,1,1801,"福井1区",450734,218462,232272,6736,171147
18,2,1802,"福井2区",316129,155511,160618,7060,120515
19,1,1901,"山梨1区",507444,249565,257879,10529,216754
19,2,1902,"山梨2区",302530,147744,154786,3464,122099
20,1,2001,"長野1区",503198,244957,258241,4751,205183
20,2,2002,"長野2区",451850,220340,231510,6051,187254
20,3,2003,"長野3区",471170,230775,240395,9021,190359
20,4,2004,"長野4区",286555,141083,145472,4820,119203
20,5,2005,"長野5区",335238,163234,172004,6848,130098
21,1,2101,"岐阜1区",402557,191679,210878,6362,173386
21,2,2102,"岐阜2区",358439,174853,183586,9089,133640
21,3,2103,"岐阜3区",495524,242523,253001,11057,193192
21,4,2104,"岐阜4区",398648,194433,204215,15447,154128
21,5,2105,"岐阜5区",323574,156948,166626,7024,126384
22,1,2201,"静岡1区",462323,225130,237193,7024,201561
22,2,2202,"静岡2区",452533,221352,231181,10889,172420
22,3,2203,"静岡3区",465839,234844,230995,20500,178402
22,4,2204,"静岡4区",373922,183178,190744,5010,152915
22,5,2205,"静岡5区",531311,263971,267340,9124,213277
22,6,2206,"静岡6区",498671,240118,258553,7847,221143
22,7,2207,"静岡7区",384238,190775,193463,10251,142917
22,8,2208,"静岡8区",464365,231750,232615,15401,200837
23,1,2301,"愛知1区",491530,240541,250989,17650,262347
23,2,2302,"愛知2区",506587,245193,261394,12328,237178
23,3,2303,"愛知3区",521218,255976,265242,11629,234714
23,4,2304,"愛知4区",453514,225936,227578,17317,211923
23,5,2305,"愛知5区",426679,212543,214136,11778,204870
23,6,2306,"愛知6区",436473,214906,221567,10628,183273
23,7,2307,"愛知7区",441147,219112,222035,10294,180975
23,8,2308,"愛知8区",535372,269542,265830,12213,220399
23,9,2309,"愛知9区",459985,226624,233361,11194,180166
23,10,2310,"愛知10区",428056,208800,219256,8095,173573
23,11,2311,"愛知11区",484282,252821,231461,18000,200969
23,12,2312,"愛知12区",553700,279313,274387,19796,218643
23,13,2313,"愛知13区",532581,275499,257082,24873,221228
23,14,2314,"愛知14区",359399,178870,180529,11321,139209
23,15,2315,"愛知15区",431280,216298,214982,18068,172677
23,16,2316,"愛知16区",480612,239528,241084,16185,196157
24,1,2401,"三重1区",433682,209897,223785,11236,183144
24,2,2402,"三重2区",497672,245897,251775,17458,207402
24,3,2403,"三重3区",500506,249572,250934,13041,209065
24,4,2404,"三重4区",338394,159109,179285,2986,142987
25,1,2501,"滋賀1区",391447,189435,202012,4497,164125
25,2,2502,"滋賀2区",532863,263063,269800,12696,206023
25,3,2503,"滋賀3区",489300,244931,244369,11511,201226
26,1,2601,"京都1区",496239,233543,262696,14953,264619
26,2,2602,"京都2区",337742,159553,178189,9381,170690
26,3,2603,"京都3区",431278,206719,224559,9124,195086
26,4,2604,"京都4区",482594,229245,253349,8447,215774
26,5,2605,"京都5区",279126,136771,142355,2891,118872
26,6,2606,"京都6区",551108,265637,285471,7646,225486
27,1,2701,"大阪1区",533094,254482,278612,33017,314572
27,2,2702,"大阪2区",558305,262198,296107,36864,276162
27,3,2703,"大阪3区",441322,220268,221054,15764,234249
27,4,2704,"大阪4区",495651,237421,258230,13949,268072
27,5,2705,"大阪5区",521679,256664,265015,18070,282476
27,6,2706,"大阪6区",465221,223818,241403,8978,219426
27,7,2707,"大阪7区",473023,228471,244552,6100,220342
27,8,2708,"大阪8区",506551,238923,267628,7169,225578
27,9,2709,"大阪9区",451956,216687,235269,5777,194402
