"ken","kuno","kucode","kuname","人口_総数","人口_0～4歳","人口_5～9歳","人口_10～14歳","人口_15～19歳","人口_20～24歳","人口_25～29歳","人口_30～34歳","人口_35～39歳","人口_40～44歳","人口_45～49歳","人口_50～54歳","人口_55～59歳","人口_60～64歳","人口_65～69歳","人口_70～74歳","人口_75～79歳","人口_80～84歳","人口_85～89歳","人口_90～94歳","人口_95～99歳","人口_100歳以上","人口_年齢「不詳」","人口_（再掲）15歳未満","人口_（再掲）15～64歳","人口_（再掲）65歳以上","人口_（再掲）75歳以上","人口_（再掲）85歳以上","人口_（再掲）20～69歳"
1,1,101,"北海道1区",527598,16348,18025,18334,21354,25473,26797,28562,31835,35598,40535,37098,35398,32607,35217,37380,26300,20564,15629,7877,2028,312,14327,52707,315257,145307,72710,25846,329120
1,2,102,"北海道2区",546641,19208,21389,22236,24919,29572,27377,29742,33612,38375,43622,37176,33524,31348,36460,38230,26674,19989,13973,6861,1815,304,10235,62833,329267,144306,69616,22953,340808
1,3,103,"北海道3区",530444,18141,19569,20147,22155,26528,30009,31765,33965,38084,42998,37843,35232,32129,34491,35602,25049,19252,14418,7062,1955,269,3781,57857,330708,138098,68005,23704,343044
1,4,104,"北海道4区",480342,14682,17819,19489,20047,18143,17817,20692,25734,31036,35510,30905,30356,30976,38663,42310,29872,23098,16702,8715,2500,389,4887,51990,261216,162249,81276,28306,279832
1,5,105,"北海道5区",510595,16420,19842,21795,26606,26183,20778,23796,27776,32590,38291,34777,33583,33309,38064,39512,28389,21880,14866,7327,1983,305,2523,58057,297689,152326,74750,24481,309147
1,6,106,"北海道6区",481953,14790,17427,18917,20087,17077,18170,20769,25072,30288,34289,30860,30435,31484,37540,41388,31414,26155,18632,9186,2638,437,4898,51134,258531,167390,88462,30893,275984
1,7,107,"北海道7区",294384,8757,10436,11874,12275,10994,12009,13225,15429,18239,21082,19192,19830,20256,24606,24284,18070,14903,10162,4637,1292,194,2638,31067,162531,98148,49258,16285,174862
1,8,108,"北海道8区",413767,11062,13568,15313,16180,14323,15039,16618,20383,24828,30009,27231,27101,28258,34965,37552,27838,22626,16410,8017,2275,344,3827,39943,219970,150027,77510,27046,238755
1,9,109,"北海道9区",445726,13739,16255,17766,18819,16790,17773,19654,23296,27840,32532,27706,27470,28008,35965,38791,29388,23598,15918,7724,2156,345,4193,47760,239888,153885,79129,26143,257034
1,10,110,"北海道10区",325014,7988,9860,11037,12416,10362,10491,12060,14244,17656,21450,20113,21868,22682,28050,30584,24271,21359,15691,7496,2217,398,2721,28885,163342,130066,71432,25802,178976
