"ken","kuno","kucode","kuname","人口_総数","人口_0～4歳","人口_5～9歳","人口_10～14歳","人口_15～19歳","人口_20～24歳","人口_25～29歳","人口_30～34歳","人口_35～39歳","人口_40～44歳","人口_45～49歳","人口_50～54歳","人口_55～59歳","人口_60～64歳","人口_65～69歳","人口_70～74歳","人口_75～79歳","人口_80～84歳","人口_85～89歳","人口_90～94歳","人口_95～99歳","人口_100歳以上","人口_年齢「不詳」","人口_（再掲）15歳未満","人口_（再掲）15～64歳","人口_（再掲）65歳以上","人口_（再掲）75歳以上","人口_（再掲）85歳以上","人口_（再掲）20～69歳"
1,1,101,"北海道1区",241025,8424,9184,9274,10387,12110,12455,13470,15005,16791,18733,17022,16123,15190,16155,16587,10785,7775,5181,2158,396,48,7772,26882,147286,59085,26343,7783,153054
1,2,102,"北海道2区",258666,9866,10891,11238,12555,15258,13126,14431,16424,18701,21413,17853,16084,15069,17204,17172,11333,7860,4758,1845,352,39,5194,31995,160914,60563,26187,6994,165563
1,3,103,"北海道3区",248142,9252,10092,10470,11370,12854,14190,15410,16307,18401,20735,17955,16397,15165,16099,16281,10623,7272,4841,2026,377,30,1995,29814,158784,57549,25169,7274,163513
1,4,104,"北海道4区",225478,7596,9081,9988,10352,9042,8815,10382,12713,15303,17441,14978,14367,14814,18144,19183,12744,9083,5665,2300,445,52,2990,26665,128207,67616,30289,8462,135999
1,5,105,"北海道5区",244132,8360,10136,11203,13736,13609,10693,12004,13798,15969,18756,16730,15824,16007,18057,18126,12452,9048,5412,2163,393,40,1616,29699,147126,65691,29508,8008,151447
1,6,106,"北海道6区",225275,7498,8906,9839,10077,8448,9298,10545,12399,15116,16751,14643,14362,14868,17453,18660,13229,10553,6962,2635,530,62,2441,26243,126507,70084,33971,10189,133883
1,7,107,"北海道7区",140157,4472,5295,6101,6340,5704,6219,6776,7755,9265,10627,9447,9628,9766,11476,11017,7561,5985,3763,1307,235,21,1397,15868,81527,41365,18872,5326,86663
1,8,108,"北海道8区",190316,5595,6867,7870,8435,7348,7610,8243,10068,12187,14733,12991,12575,13131,16162,16686,11328,8553,5461,2030,427,38,1978,20332,107321,60685,27837,7956,115048
1,9,109,"北海道9区",216886,6984,8420,9114,10181,9535,9767,10430,12135,14149,16836,13630,13533,13681,17324,17490,12651,9642,5831,2170,408,56,2919,24518,123877,65572,30758,8465,131020
1,10,110,"北海道10区",153000,4051,4996,5696,6390,5629,5580,6292,7269,9152,10844,9904,10794,11147,13077,13848,10090,8355,5715,2178,409,43,1541,14743,83001,53715,26790,8345,89688
1,11,111,"北海道11区",159665,5758,6800,7317,7032,6222,7671,8237,9293,10663,12237,10519,10878,10517,11760,11627,8219,6676,4474,1840,365,47,1513,19875,93269,45008,21621,6726,97997
1,12,112,"北海道12区",162346,5148,6110,6618,6590,6857,7163,7786,8945,10680,12320,10620,11476,11235,12816,13012,8824,7382,4958,1892,340,40,1534,17876,93672,49264,23436,7230,99898
