"ken","kuno","kucode","kuname","人口_総数","人口_0～4歳","人口_5～9歳","人口_10～14歳","人口_15～19歳","人口_20～24歳","人口_25～29歳","人口_30～34歳","人口_35～39歳","人口_40～44歳","人口_45～49歳","人口_50～54歳","人口_55～59歳","人口_60～64歳","人口_65～69歳","人口_70～74歳","人口_75～79歳","人口_80～84歳","人口_85～89歳","人口_90～94歳","人口_95～99歳","人口_100歳以上","人口_年齢「不詳」","人口_（再掲）15歳未満","人口_（再掲）15～64歳","人口_（再掲）65歳以上","人口_（再掲）75歳以上","人口_（再掲）85歳以上","人口_（再掲）20～69歳"
1,1,101,"北海道1区",286573,7924,8841,9060,10967,13363,14342,15092,16830,18807,21802,20076,19275,17417,19062,20793,15515,12789,10448,5719,1632,264,6555,25825,167971,86222,46367,18063,176066
1,2,102,"北海道2区",287975,9342,10498,10998,12364,14314,14251,15311,17188,19674,22209,19323,17440,16279,19256,21058,15341,12129,9215,5016,1463,265,5041,30838,168353,83743,43429,15959,175245
1,3,103,"北海道3区",282302,8889,9477,9677,10785,13674,15819,16355,17658,19683,22263,19888,18835,16964,18392,19321,14426,11980,9577,5036,1578,239,1786,28043,171924,80549,42836,16430,179531
1,4,104,"北海道4区",254864,7086,8738,9501,9695,9101,9002,10310,13021,15733,18069,15927,15989,16162,20519,23127,17128,14015,11037,6415,2055,337,1897,25325,133009,94633,50987,19844,143833
1,5,105,"北海道5区",266463,8060,9706,10592,12870,12574,10085,11792,13978,16621,19535,18047,17759,17302,20007,21386,15937,12832,9454,5164,1590,265,907,28358,150563,86635,45242,16473,157700
1,6,106,"北海道6区",256678,7292,8521,9078,10010,8629,8872,10224,12673,15172,17538,16217,16073,16616,20087,22728,18185,15602,11670,6551,2108,375,2457,24891,132024,97306,54491,20704,142101
1,7,107,"北海道7区",154227,4285,5141,5773,5935,5290,5790,6449,7674,8974,10455,9745,10202,10490,13130,13267,10509,8918,6399,3330,1057,173,1241,15199,81004,56783,30386,10959,88199
1,8,108,"北海道8区",223451,5467,6701,7443,7745,6975,7429,8375,10315,12641,15276,14240,14526,15127,18803,20866,16510,14073,10949,5987,1848,306,1849,19611,112649,89342,49673,19090,123707
1,9,109,"北海道9区",228840,6755,7835,8652,8638,7255,8006,9224,11161,13691,15696,14076,13937,14327,18641,21301,16737,13956,10087,5554,1748,289,1274,23242,116011,88313,48371,17678,126014
1,10,110,"北海道10区",172014,3937,4864,5341,6026,4733,4911,5768,6975,8504,10606,10209,11074,11535,14973,16736,14181,13004,9976,5318,1808,355,1180,14142,80341,76351,44642,17457,89288
