"ken","kuno","kucode","kuname","人口_総数","人口_未婚","人口_有配偶","人口_死別・離別","人口_配偶関係「不詳」"
1,1,101,"北海道1区",460564,125770,237329,60805,36660
1,2,102,"北海道2区",473573,130039,248752,63395,31387
1,3,103,"北海道3区",468806,127523,240611,62695,37977
1,4,104,"北海道4区",423465,103627,238073,69943,11822
1,5,105,"北海道5区",450015,114942,258631,63626,12816
1,6,106,"北海道6区",425921,97987,240979,75134,11821
1,7,107,"北海道7区",260679,60606,144369,45710,9994
1,8,108,"北海道8区",369997,88607,198093,71935,11362
1,9,109,"北海道9区",393773,93888,219699,68920,11266
1,10,110,"北海道10区",293408,65732,163939,58455,5282
1,11,111,"北海道11区",291686,67266,167772,45817,10831
1,12,112,"北海道12区",297863,67026,170307,52122,8408
2,1,201,"青森1区",338213,86359,184709,62775,4370
2,2,202,"青森2区",396827,96782,220437,71086,8522
2,3,203,"青森3区",354070,87362,189533,71620,5555
3,1,301,"岩手1区",300354,82820,168509,45016,4009
3,2,302,"岩手2区",376567,89612,211171,73087,2697
3,3,303,"岩手3区",386254,92752,219233,67681,6588
4,1,401,"宮城1区",464554,138179,246613,54310,25452
4,2,402,"宮城2区",465750,130043,260444,54245,21018
4,3,403,"宮城3区",291138,75978,169398,41973,3789
4,4,404,"宮城4区",400633,101216,230588,60283,8546
4,5,405,"宮城5区",363754,86786,206590,65585,4793
5,1,501,"秋田1区",268704,65998,153617,40830,8259
5,2,502,"秋田2区",262609,57074,146882,55939,2714
5,3,503,"秋田3区",326942,69418,190865,64112,2547
6,1,601,"山形1区",314923,77933,186480,46141,4369
6,2,602,"山形2区",326710,75416,193649,54548,3097
6,3,603,"山形3区",296740,64939,172744,55107,3950
7,1,701,"福島1区",407062,103184,233217,60742,9919
7,2,702,"福島2区",448118,112831,256974,64973,13340
7,3,703,"福島3区",346663,81709,198716,60870,5368
7,4,704,"福島4区",391223,96948,220676,64856,8743
8,1,801,"茨城1区",433728,110987,248052,61536,13153
8,2,802,"茨城2区",318536,81775,181231,46861,8669
8,3,803,"茨城3区",401960,103033,236662,52500,9765
8,4,804,"茨城4区",274357,66689,164188,38008,5472
8,5,805,"茨城5区",248215,65633,143133,35909,3540
8,6,806,"茨城6区",452402,123367,261855,55285,11895
8,7,807,"茨城7区",348874,92742,198987,49615,7530
9,1,901,"栃木1区",425525,108128,244171,48674,24552
9,2,902,"栃木2区",262821,67327,152009,38703,4782
9,3,903,"栃木3区",246365,62323,141587,36296,6159
9,4,904,"栃木4区",368779,97471,216393,47655,7260
9,5,905,"栃木5区",366502,96434,206397,56470,7201
10,1,1001,"群馬1区",344682,89479,198017,53001,4185
10,2,1002,"群馬2区",349554,94642,197789,50294,6829
10,3,1003,"群馬3区",346139,94891,196777,45840,8631
10,4,1004,"群馬4区",305743,82301,173271,43524,6647
10,5,1005,"群馬5区",326842,82642,190072,50642,3486
11,1,1101,"埼玉1区",385690,101308,227662,38342,18378
11,2,1102,"埼玉2区",412464,124602,221322,47317,19223
11,3,1103,"埼玉3区",396373,107353,225448,45454,18118
11,4,1104,"埼玉4区",399539,113775,225517,40909,19338
11,5,1105,"埼玉5区",396620,111778,225160,40696,18986
11,6,1106,"埼玉6区",415916,111441,244901,53098,6476
11,7,1107,"埼玉7区",366337,102747,210476,43827,9287
11,8,1108,"埼玉8区",392860,108921,227851,47455,8633
11,9,1109,"埼玉9区",420219,117236,238069,55674,9240
11,10,1110,"埼玉10区",342904,94113,195408,44707,8676
11,11,1111,"埼玉11区",353573,93031,201044,51864,7634
11,12,1112,"埼玉12区",384249,104904,218901,52566,7878
11,13,1113,"埼玉13区",383991,101094,224985,48192,9720
11,14,1114,"埼玉14区",421652,114134,230254,46248,31016
11,15,1115,"埼玉15区",428419,132469,236253,43190,16507
11,16,1116,"埼玉16区",369376,97564,212778,48352,10682
12,1,1201,"千葉1区",429518,122712,240759,48081,17966
12,2,1202,"千葉2区",326705,88616,185226,36570,16293
12,3,1203,"千葉3区",342872,89365,197858,39116,16533
12,4,1204,"千葉4区",416671,117888,234056,42883,21844
12,5,1205,"千葉5区",430557,134019,226523,34934,35081
12,6,1206,"千葉6区",433082,118832,234226,49160,30864
12,7,1207,"千葉7区",298189,75881,179456,33732,9120
12,8,1208,"千葉8区",361951,95139,211301,38517,16994
12,9,1209,"千葉9区",416959,107585,240131,54127,15116
12,10,1210,"千葉10区",348452,94889,192945,53672,6946
12,11,1211,"千葉11区",367380,92995,207513,59219,7653
12,12,1212,"千葉12区",387700,98312,219541,58251,11596
12,13,1213,"千葉13区",428790,110765,256436,48934,12655
12,14,1214,"千葉14区",426856,117774,242135,47694,19253
13,1,1301,"東京1区",344147,96407,150413,26164,71163
13,2,1302,"東京2区",336365,89003,163062,28282,56018
13,3,1303,"東京3区",373820,111545,186902,35632,39741
13,4,1304,"東京4区",438189,136186,209096,44574,48333
13,5,1305,"東京5区",400909,105369,203711,31046,60783
13,6,1306,"東京6区",427768,118087,213524,34689,61468
13,7,1307,"東京7区",412951,118118,198349,33016,63468
13,8,1308,"東京8区",397453,121758,196474,34124,45097
13,9,1309,"東京9区",312750,88685,168955,30709,24401
13,10,1310,"東京10区",464411,151446,209417,36484,67064
13,11,1311,"東京11区",409243,122657,192408,39869,54309
13,12,1312,"東京12区",408664,152286,193339,48580,14459
13,13,1313,"東京13区",402218,116169,195477,44135,46437
13,14,1314,"東京14区",423585,124824,204942,44445,49374
13,15,1315,"東京15区",451718,120746,241613,42071,47288
13,16,1316,"東京16区",415304,119143,216065,40037,40059
13,17,1317,"東京17区",397861,115175,199335,46501,36850
13,18,1318,"東京18区",410508,119504,220987,37107,32910
13,19,1319,"東京19区",341582,99480,185934,31939,24229
13,20,1320,"東京20区",430204,117016,236018,52283,24887
13,21,1321,"東京21区",420911,121188,226709,40634,32380
13,22,1322,"東京22区",440911,129649,232703,41671,36888
13,23,1323,"東京23区",369600,97519,209097,42106,20878
13,24,1324,"東京24区",399648,116608,209886,46245,26909
13,25,1325,"東京25区",431648,118250,233113,56077,24208
13,26,1326,"東京26区",452043,129182,228760,37204,56897
13,27,1327,"東京27区",397651,137483,174308,34691,51169
13,28,1328,"東京28区",325196,100498,163361,29670,31667
13,29,1329,"東京29区",383945,108002,190222,40883,44838
13,30,1330,"東京30区",430812,125439,236634,44834,23905
14,1,1401,"神奈川1区",440412,120907,242103,50501,26901
14,2,1402,"神奈川2区",451414,129065,239202,52604,30543
14,3,1403,"神奈川3区",462410,141614,242037,45262,33497
14,4,1404,"神奈川4区",333310,82479,198873,40544,11414
14,5,1405,"神奈川5区",375254,99282,222460,43918,9594
14,6,1406,"神奈川6区",393261,108112,217282,48110,19757
14,7,1407,"神奈川7区",302879,95693,169514,26448,11224
14,8,1408,"神奈川8区",422125,114634,252376,40511,14604
14,9,1409,"神奈川9区",343415,99273,187304,30096,26742
14,10,1410,"神奈川10区",343645,100636,175291,35838,31880
14,11,1411,"神奈川11区",385067,111435,208894,61365,3373
14,12,1412,"神奈川12区",413458,113068,238724,47383,14283
14,13,1413,"神奈川13区",381818,100317,211549,43859,26093
14,14,1414,"神奈川14区",418019,113260,232499,48123,24137
14,15,1415,"神奈川15区",460984,122130,265469,54803,18582
14,16,1416,"神奈川16区",399370,112172,225118,43907,18173
14,17,1417,"神奈川17区",462267,125404,260009,65069,11785
14,18,1418,"神奈川18区",420094,124883,226067,33949,35195
14,19,1419,"神奈川19区",373288,98332,226285,32127,16544
14,20,1420,"神奈川20区",355006,97345,194976,38522,24163
15,1,1501,"新潟1区",375631,101595,210682,57040,6314
15,2,1502,"新潟2区",415648,108312,241461,61162,4713
15,3,1503,"新潟3区",393618,97458,228073,64317,3770
15,4,1504,"新潟4区",376631,92615,222538,56967,4511
15,5,1505,"新潟5区",365324,83759,216857,60668,4040
16,1,1601,"富山1区",278068,71068,158988,41051,6961
16,2,1602,"富山2区",251690,60934,148577,39225,2954
16,3,1603,"富山3区",371302,85981,221645,60170,3506
17,1,1701,"石川1区",393000,106943,217164,49688,19205
17,2,1702,"石川2区",335561,84008,198274,47226,6053
17,3,1703,"石川3区",246482,54951,146250,43435,1846
18,1,1801,"福井1区",388645,93595,229996,58862,6192
18,2,1802,"福井2区",272023,63130,163350,40385,5158
19,1,1901,"山梨1区",434973,112401,249026,64343,9203
19,2,1902,"山梨2区",264544,67715,153355,39393,4081
20,1,2001,"長野1区",424539,103689,254631,60249,5970
20,2,2002,"長野2区",391849,98669,230671,58566,3943
