"ken","kuno","kucode","kuname","人口_総数","人口_未婚","人口_有配偶","人口_死別・離別","人口_配偶関係「不詳」"
1,1,101,"北海道1区",206371,58350,117124,13537,17360
1,2,102,"北海道2区",221477,66567,122586,15457,16867
1,3,103,"北海道3区",216333,62790,118667,14859,20017
1,4,104,"北海道4区",195823,55625,118440,16050,5708
1,5,105,"北海道5区",212817,63043,127867,15270,6637
1,6,106,"北海道6区",196591,52278,120507,17802,6004
1,7,107,"北海道7区",122892,33746,72650,11472,5024
1,8,108,"北海道8区",168006,47245,99287,16352,5122
1,9,109,"北海道9区",189449,55222,110722,17217,6288
1,10,110,"北海道10区",136716,37763,82499,13731,2723
1,11,111,"北海道11区",138277,37162,84105,11558,5452
1,12,112,"北海道12区",142936,39576,85765,13293,4302
2,1,201,"青森1区",157515,48855,92548,14336,1776
2,2,202,"青森2区",188475,57597,109776,16927,4175
2,3,203,"青森3区",160528,48876,94095,15351,2206
3,1,301,"岩手1区",139913,43889,84007,10190,1827
3,2,302,"岩手2区",179658,54905,105709,17663,1381
3,3,303,"岩手3区",186345,57051,109611,16171,3512
4,1,401,"宮城1区",221128,71617,122819,12860,13832
4,2,402,"宮城2区",224073,68364,130256,13656,11797
4,3,403,"宮城3区",142332,44907,84367,11105,1953
4,4,404,"宮城4区",194754,59000,115240,15786,4728
4,5,405,"宮城5区",176141,53642,103423,16537,2539
5,1,501,"秋田1区",124882,35610,76346,9081,3845
5,2,502,"秋田2区",121562,34933,73315,12141,1173
5,3,503,"秋田3区",153466,42809,95241,14237,1179
6,1,601,"山形1区",149742,43199,93069,11244,2230
6,2,602,"山形2区",158540,46202,96892,13784,1662
6,3,603,"山形3区",140798,39794,86176,12835,1993
7,1,701,"福島1区",197116,59840,116596,15590,5090
7,2,702,"福島2区",218872,66597,128492,16661,7122
7,3,703,"福島3区",167560,50035,99620,15157,2748
7,4,704,"福島4区",194210,59874,112254,17237,4845
8,1,801,"茨城1区",210935,64484,123986,15353,7112
8,2,802,"茨城2区",161317,51565,91098,13314,5340
8,3,803,"茨城3区",198145,60920,117979,13800,5446
