"ken","kuno","kucode","kuname","人口_総数","人口_未婚","人口_有配偶","人口_死別・離別","人口_配偶関係「不詳」"
1,1,101,"北海道1区",254193,67420,120205,47268,19300
1,2,102,"北海道2区",252096,63472,126166,47938,14520
1,3,103,"北海道3区",252473,64733,121944,47836,17960
1,4,104,"北海道4区",227642,48002,119633,53893,6114
1,5,105,"北海道5区",237198,51899,130764,48356,6179
1,6,106,"北海道6区",229330,45709,120472,57332,5817
1,7,107,"北海道7区",137787,26860,71719,34238,4970
1,8,108,"北海道8区",201991,41362,98806,55583,6240
1,9,109,"北海道9区",204324,38666,108977,51703,4978
1,10,110,"北海道10区",156692,27969,81440,44724,2559
1,11,111,"北海道11区",153409,30104,83667,34259,5379
1,12,112,"北海道12区",154927,27450,84542,38829,4106
2,1,201,"青森1区",180698,37504,92161,48439,2594
2,2,202,"青森2区",208352,39185,110661,54159,4347
2,3,203,"青森3区",193542,38486,95438,56269,3349
3,1,301,"岩手1区",160441,38931,84502,34826,2182
3,2,302,"岩手2区",196909,34707,105462,55424,1316
3,3,303,"岩手3区",199909,35701,109622,51510,3076
4,1,401,"宮城1区",243426,66562,123794,41450,11620
4,2,402,"宮城2区",241677,61679,130188,40589,9221
4,3,403,"宮城3区",148806,31071,85031,30868,1836
4,4,404,"宮城4区",205879,42216,115348,44497,3818
4,5,405,"宮城5区",187613,33144,103167,49048,2254
5,1,501,"秋田1区",143822,30388,77271,31749,4414
5,2,502,"秋田2区",141047,22141,73567,43798,1541
5,3,503,"秋田3区",173476,26609,95624,49875,1368
6,1,601,"山形1区",165181,34734,93411,34897,2139
6,2,602,"山形2区",168170,29214,96757,40764,1435
6,3,603,"山形3区",155942,25145,86568,42272,1957
7,1,701,"福島1区",209946,43344,116621,45152,4829
7,2,702,"福島2区",229246,46234,128482,48312,6218
7,3,703,"福島3区",179103,31674,99096,45713,2620
7,4,704,"福島4区",197013,37074,108422,47619,3898
8,1,801,"茨城1区",222793,46503,124066,46183,6041
8,2,802,"茨城2区",157219,30210,90133,33547,3329
8,3,803,"茨城3区",203815,42113,118683,38700,4319
8,4,804,"茨城4区",138703,26223,82086,28061,2333
8,5,805,"茨城5区",124414,24888,71563,26520,1443
8,6,806,"茨城6区",227312,50313,130995,40610,5394
8,7,807,"茨城7区",173607,35654,99092,35688,3173
9,1,901,"栃木1区",213721,44841,122172,36251,10457
9,2,902,"栃木2区",132393,26123,76006,28123,2141
9,3,903,"栃木3区",125112,25097,70748,26280,2987
9,4,904,"栃木4区",185013,38971,108285,34695,3062
