"ken","kuno","kucode","kuname","1一般世帯数_総数1","2一般世帯数_世帯人員が1人2","3一般世帯数_世帯人員が2人3","4一般世帯数_世帯人員が3人4","5一般世帯数_世帯人員が4人5","6一般世帯数_世帯人員が5人6"
1,1,101,"北海道1区",273961,273408,553,527598,509103,18495
1,2,102,"北海道2区",265360,264858,502,546641,532635,14006
1,3,103,"北海道3区",265120,264707,413,530444,516666,13778
1,4,104,"北海道4区",217789,217103,686,480342,462876,17466
1,5,105,"北海道5区",225720,225086,634,510595,491612,18983
1,6,106,"北海道6区",224353,223427,926,481953,460018,21935
1,7,107,"北海道7区",138100,137685,415,294384,284821,9563
1,8,108,"北海道8区",194466,193538,928,413767,395821,17946
1,9,109,"北海道9区",211488,210634,854,445726,427753,17973
1,10,110,"北海道10区",148391,147744,647,325014,307390,17624
1,11,111,"北海道11区",153169,152645,524,332648,320473,12175
1,12,112,"北海道12区",158929,158228,701,335502,323571,11931
2,1,201,"青森1区",169405,168794,611,390763,375150,15613
2,2,202,"青森2区",187335,186738,597,451243,435615,15628
2,3,203,"青森3区",154786,154117,669,395978,380769,15209
3,1,301,"岩手1区",153464,153063,401,349934,339342,10592
3,2,302,"岩手2区",170409,169749,660,421572,408184,13388
3,3,303,"岩手3区",168563,168016,547,439028,426580,12448
4,1,401,"宮城1区",268183,267751,432,546348,532923,13425
4,2,402,"宮城2区",257272,256900,372,550356,539314,11042
4,3,403,"宮城3区",127187,126904,283,334448,327618,6830
4,4,404,"宮城4区",180169,179762,407,461445,452292,9153
4,5,405,"宮城5区",149712,149232,480,409399,399243,10156
5,1,501,"秋田1区",136952,136634,318,307672,297464,10208
5,2,502,"秋田2区",115007,114502,505,288633,275841,12792
5,3,503,"秋田3区",133228,132395,833,363197,350507,12690
6,1,601,"山形1区",143510,143207,303,363311,353244,10067
6,2,602,"山形2区",131601,131166,435,370390,358798,11592
6,3,603,"山形3区",122904,122419,485,334326,323281,11045
7,1,701,"福島1区",188003,187640,363,465894,454486,11408
7,2,702,"福島2区",207982,207575,407,519577,508831,10746
7,3,703,"福島3区",152056,151616,440,395173,384015,11158
7,4,704,"福島4区",194870,193258,1612,452508,441619,10889
8,1,801,"茨城1区",209373,208901,472,501830,489577,12253
8,2,802,"茨城2区",145403,145041,362,364132,355458,8674
8,3,803,"茨城3区",189979,189569,410,459781,450843,8938
8,4,804,"茨城4区",128927,128632,295,313688,306539,7149
8,5,805,"茨城5区",121990,121748,242,281899,275326,6573
8,6,806,"茨城6区",237169,236766,403,546750,533688,13062
8,7,807,"茨城7区",151292,150941,351,398929,391529,7400
9,1,901,"栃木1区",225543,225263,280,505456,496420,9036
9,2,902,"栃木2区",117446,117162,284,299897,292260,7637
9,3,903,"栃木3区",113236,113001,235,282508,275992,6516
9,4,904,"栃木4区",170042,169772,270,428762,421070,7692
9,5,905,"栃木5区",170656,170251,405,416523,405943,10580
10,1,1001,"群馬1区",172866,172473,393,409107,397733,11374
10,2,1002,"群馬2区",165546,165179,367,403997,393721,10276
10,3,1003,"群馬3区",166536,166214,322,401760,393418,8342
10,4,1004,"群馬4区",154865,154529,336,353488,344357,9131
10,5,1005,"群馬5区",145439,144820,619,370758,355680,15078
11,1,1101,"埼玉1区",195938,195645,293,458192,449631,8561
11,2,1102,"埼玉2区",220740,220460,280,478246,473032,5214
11,3,1103,"埼玉3区",189175,188886,289,457649,448820,8829
11,4,1104,"埼玉4区",208968,208726,242,466435,459175,7260
11,5,1105,"埼玉5区",207718,207267,451,463794,454392,9402
11,6,1106,"埼玉6区",202379,202010,369,483717,476037,7680
11,7,1107,"埼玉7区",204355,204100,255,466430,458235,8195
11,8,1108,"埼玉8区",217082,216862,220,494495,484816,9679
11,9,1109,"埼玉9区",201291,201028,263,475677,463170,12507
11,10,1110,"埼玉10区",165474,165123,351,389998,381079,8919
11,11,1111,"埼玉11区",161455,161007,448,404351,392053,12298
11,12,1112,"埼玉12区",177483,177095,388,437517,425770,11747
11,13,1113,"埼玉13区",179506,179274,232,437194,429016,8178
11,14,1114,"埼玉14区",214935,214457,478,483812,477233,6579
11,15,1115,"埼玉15区",233601,233331,270,505406,498639,6767
11,16,1116,"埼玉16区",182643,182356,287,441852,433858,7994
12,1,1201,"千葉1区",251023,249829,1194,521262,512362,8900
12,2,1202,"千葉2区",166281,166010,271,376826,369785,7041
12,3,1203,"千葉3区",168993,168418,575,398945,390776,8169
12,4,1204,"千葉4区",220650,220395,255,488099,481114,6985
12,5,1205,"千葉5区",252929,252624,305,503057,500014,3043
12,6,1206,"千葉6区",231195,230931,264,498232,490216,8016
12,7,1207,"千葉7区",146696,146484,212,352487,346100,6387
12,8,1208,"千葉8区",188022,187782,240,426468,418720,7748
12,9,1209,"千葉9区",201517,200557,960,476714,464832,11882
12,10,1210,"千葉10区",162508,162177,331,395257,385891,9366
12,11,1211,"千葉11区",169975,169537,438,410235,400508,9727
12,12,1212,"千葉12区",189517,188937,580,444813,431053,13760
12,13,1213,"千葉13区",205483,205254,229,496099,487514,8585
12,14,1214,"千葉14区",219051,218726,325,495986,487260,8726
13,1,1301,"東京1区",259811,259424,387,416065,411622,4443
13,2,1302,"東京2区",216878,214044,2834,380623,375360,5263
13,3,1303,"東京3区",250435,250157,278,446949,442899,4050
13,4,1304,"東京4区",281754,281347,407,513628,508232,5396
13,5,1305,"東京5区",239356,239193,163,457259,452286,4973
13,6,1306,"東京6区",252770,252524,246,486466,479485,6981
13,7,1307,"東京7区",296127,295940,187,504369,500289,4080
13,8,1308,"東京8区",264975,264783,192,472388,467412,4976
13,9,1309,"東京9区",173511,173307,204,369336,363747,5589
13,10,1310,"東京10区",317480,317251,229,541668,535615,6053
13,11,1311,"東京11区",258538,258330,208,479076,470139,8937
13,12,1312,"東京12区",245608,245382,226,460620,454772,5848
13,13,1313,"東京13区",239313,239158,155,469525,463942,5583
13,14,1314,"東京14区",249486,249265,221,480269,475881,4388
13,15,1315,"東京15区",264278,264111,167,524310,520162,4148
13,16,1316,"東京16区",229482,229239,243,489748,484110,5638
13,17,1317,"東京17区",215948,215709,239,453093,445788,7305
13,18,1318,"東京18区",238254,238002,252,483611,476490,7121
13,19,1319,"東京19区",193524,193268,256,405111,397213,7898
13,20,1320,"東京20区",221012,220651,361,498024,487789,10235
13,21,1321,"東京21区",234031,233718,313,491757,483524,8233
13,22,1322,"東京22区",259950,259484,466,522777,513042,9735
13,23,1323,"東京23区",192015,191703,312,431079,421444,9635
13,24,1324,"東京24区",213120,212687,433,461614,446370,15244
13,25,1325,"東京25区",214378,213989,389,492992,475887,17105
13,26,1326,"東京26区",274064,273891,173,522480,518055,4425
13,27,1327,"東京27区",279457,279264,193,463600,459490,4110
13,28,1328,"東京28区",201331,201178,153,383272,378483,4789
13,29,1329,"東京29区",218042,217651,391,442993,437077,5916
13,30,1330,"東京30区",232252,232000,252,502892,492573,10319
14,1,1401,"神奈川1区",253708,247742,5966,517058,504638,12420
14,2,1402,"神奈川2区",256299,255872,427,518340,510430,7910
14,3,1403,"神奈川3区",274769,274454,315,544704,539159,5545
14,4,1404,"神奈川4区",166115,165795,320,381629,375045,6584
14,5,1405,"神奈川5区",184900,184433,467,436087,426310,9777
14,6,1406,"神奈川6区",206175,205757,418,452985,442176,10809
14,7,1407,"神奈川7区",175521,175177,344,358530,354493,4037
14,8,1408,"神奈川8区",212230,211807,423,493838,484316,9522
14,9,1409,"神奈川9区",192978,192723,255,402439,394529,7910
14,10,1410,"神奈川10区",203603,202882,721,404084,398626,5458
14,11,1411,"神奈川11区",182683,182254,429,430147,411837,18310
14,12,1412,"神奈川12区",213066,212787,279,485253,477093,8160
14,13,1413,"神奈川13区",197812,197417,395,445705,437425,8280
