"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_世帯人員が1人","一般世帯数_世帯人員が2人","一般世帯数_世帯人員が3人","一般世帯数_世帯人員が4人","一般世帯数_世帯人員が5人","一般世帯数_世帯人員が6人","一般世帯数_世帯人員が7人以上"
1,1,101,"北海道1区",273408,133131,78354,35631,20452,4796,824,220
1,2,102,"北海道2区",264858,115229,75529,40242,25748,6516,1228,366
1,3,103,"北海道3区",264707,119245,77178,38248,23399,5444,936,257
1,4,104,"北海道4区",217103,77985,73329,35707,22045,6066,1425,546
1,5,105,"北海道5区",225086,76346,75819,39352,24808,6868,1423,470
1,6,106,"北海道6区",223427,86007,76412,33319,19860,5919,1380,530
1,7,107,"北海道7区",137685,54154,45443,20701,11841,3829,1118,599
1,8,108,"北海道8区",193538,76234,65101,29199,16090,4936,1367,611
1,9,109,"北海道9区",210634,84713,70312,30140,18018,5567,1330,554
1,10,110,"北海道10区",147744,54793,52619,22325,12207,4063,1167,570
1,11,111,"北海道11区",152645,58615,50156,23098,14353,4601,1193,629
1,12,112,"北海道12区",158228,63373,52890,22597,13154,4283,1236,695
2,1,201,"青森1区",168794,60090,52044,29716,17611,6088,2167,1078
2,2,202,"青森2区",186738,61131,57486,33850,21019,8193,3240,1819
2,3,203,"青森3区",154117,47696,44584,28255,18882,8150,4043,2507
3,1,301,"岩手1区",153063,58566,42737,25577,16971,6080,2062,1070
3,2,302,"岩手2区",169749,53891,52275,30229,18331,8381,3981,2661
3,3,303,"岩手3区",168016,50833,46716,31188,21174,9676,4970,3459
4,1,401,"宮城1区",267751,127037,65747,38797,26225,7434,1852,659
4,2,402,"宮城2区",256900,109201,67449,41060,28048,8111,2201,830
4,3,403,"宮城3区",126904,34114,36489,25180,18528,7417,3267,1909
4,4,404,"宮城4区",179762,51601,51273,34968,25582,10095,4097,2146
4,5,405,"宮城5区",149232,40302,41211,28892,19688,9667,5466,4006
5,1,501,"秋田1区",136634,49576,42280,24005,14863,4221,1216,473
5,2,502,"秋田2区",114502,33751,37298,21263,12968,5419,2431,1372
5,3,503,"秋田3区",132395,33842,39380,25924,17524,8295,4573,2857
6,1,601,"山形1区",143207,44926,39682,26242,19283,7694,3594,1786
6,2,602,"山形2区",131166,34047,35356,25087,18505,9288,5369,3514
6,3,603,"山形3区",122419,33818,34802,22710,15673,7791,4545,3080
7,1,701,"福島1区",187640,60542,53469,34103,23187,9719,4099,2521
7,2,702,"福島2区",207575,68111,56498,37161,26417,10906,4989,3493
7,3,703,"福島3区",151616,46222,43303,26937,18368,8779,4575,3432
7,4,704,"福島4区",193258,70460,54744,32404,21725,8611,3441,1873
8,1,801,"茨城1区",208901,70178,60220,37508,26253,9368,3648,1726
8,2,802,"茨城2区",145041,45699,41319,26090,18884,7764,3358,1927
8,3,803,"茨城3区",189569,56111,60166,35895,25467,8277,2543,1110
8,4,804,"茨城4区",128632,37274,41360,24719,17289,5600,1704,686
8,5,805,"茨城5区",121748,40759,38275,21690,14589,4671,1284,480
8,6,806,"茨城6区",236766,92645,59794,38853,29875,10387,3567,1645
8,7,807,"茨城7区",150941,43094,41215,28518,21494,9240,4642,2738
9,1,901,"栃木1区",225263,88238,59446,37651,28093,8376,2479,980
9,2,902,"栃木2区",117162,33735,34356,22406,16486,6240,2630,1309
9,3,903,"栃木3区",113001,35699,32373,20379,14548,5911,2602,1489
9,4,904,"栃木4区",169772,51381,47159,32278,24284,9154,3680,1836
9,5,905,"栃木5区",170251,52704,51312,31711,22585,7993,2808,1138
10,1,1001,"群馬1区",172473,58540,50741,30547,21902,7393,2319,1031
10,2,1002,"群馬2区",165179,51452,48731,31006,22796,7842,2396,956
10,3,1003,"群馬3区",166214,54692,46531,30429,23159,7949,2487,967
10,4,1004,"群馬4区",154529,55844,44932,26520,19584,5741,1419,489
10,5,1005,"群馬5区",144820,39572,46535,27655,20242,7321,2390,1105
11,1,1101,"埼玉1区",195645,66214,53832,37418,29547,6985,1279,370
11,2,1102,"埼玉2区",220460,89197,57843,37327,26989,7053,1594,457
11,3,1103,"埼玉3区",188886,57551,55322,37099,28508,7967,1816,623
11,4,1104,"埼玉4区",208726,78287,57467,36351,28243,6794,1245,339
11,5,1105,"埼玉5区",207267,78562,55958,36880,27955,6452,1128,332
11,6,1106,"埼玉6区",202010,58851,64384,39736,28918,7881,1715,525
11,7,1107,"埼玉7区",204100,73336,57805,35964,26786,7793,1820,596
11,8,1108,"埼玉8区",216862,76071,64001,38729,28535,7440,1571,515
11,9,1109,"埼玉9区",201028,63047,64354,37518,25342,7977,2125,665
11,10,1110,"埼玉10区",165123,53429,50843,30221,21238,6898,1842,652
11,11,1111,"埼玉11区",161007,46454,49645,30543,22409,8156,2688,1112
11,12,1112,"埼玉12区",177095,51996,54081,34466,25178,8005,2403,966
11,13,1113,"埼玉13区",179274,50703,57097,35699,25432,7637,2041,665
11,14,1114,"埼玉14区",214457,79145,59251,38057,27854,7752,1753,645
11,15,1115,"埼玉15区",233331,95988,58758,39554,30614,6904,1191,322
11,16,1116,"埼玉16区",182356,53308,57397,35344,25682,7755,2131,739
12,1,1201,"千葉1区",249829,109103,65089,39160,28595,6438,1154,290
12,2,1202,"千葉2区",166010,58149,49128,29967,22062,5340,1093,271
12,3,1203,"千葉3区",168418,54862,50108,30856,23136,7034,1770,652
12,4,1204,"千葉4区",220395,84394,60156,37996,29119,7009,1307,414
12,5,1205,"千葉5区",252624,121492,58728,37383,27785,5991,981,264
12,6,1206,"千葉6区",230931,93029,63393,38394,27571,6914,1239,391
12,7,1207,"千葉7区",146484,44241,44440,28478,21516,6001,1342,466
12,8,1208,"千葉8区",187782,67050,54145,33415,24992,6464,1314,402
12,9,1209,"千葉9区",200557,60725,65713,37764,26042,7644,1966,703
12,10,1210,"千葉10区",162177,56376,43741,28385,20155,7913,3511,2096
12,11,1211,"千葉11区",169537,51735,55105,30695,19928,7670,2956,1448
12,12,1212,"千葉12区",188937,64443,57688,32908,22300,7783,2697,1118
12,13,1213,"千葉13区",205254,59668,64918,39753,29620,8522,2037,736
12,14,1214,"千葉14区",218726,78173,62539,39406,29486,7371,1380,371
13,1,1301,"東京1区",259424,171907,45366,23804,14871,2911,461,104
13,2,1302,"東京2区",214044,120424,49303,25362,15336,2983,509,127
13,3,1303,"東京3区",250157,142516,53078,29945,19741,4048,661,168
13,4,1304,"東京4区",281347,157176,59895,34410,22975,5583,1025,283
13,5,1305,"東京5区",239193,122000,55158,33896,23275,4169,562,133
13,6,1306,"東京6区",252524,128635,57767,35710,24883,4695,699,135
13,7,1307,"東京7区",295940,179806,58785,32280,20308,3953,642,166
13,8,1308,"東京8区",264783,151741,55179,31628,21572,3979,570,114
13,9,1309,"東京9区",173307,73910,43441,28308,21586,4990,838,234
13,10,1310,"東京10区",317251,194924,60230,34562,22177,4523,667,168
13,11,1311,"東京11区",258330,142314,55916,31953,22069,4954,872,252
13,12,1312,"東京12区",245382,127550,59385,32194,20717,4527,770,239
13,13,1313,"東京13区",239158,117742,57929,33313,22555,6013,1239,367
13,14,1314,"東京14区",249265,125247,60110,34124,22770,5661,1054,299
13,15,1315,"東京15区",264111,123488,66591,40197,27531,5321,803,180
13,16,1316,"東京16区",229239,99529,53902,37648,29122,7378,1275,385
13,17,1317,"東京17区",215709,93974,55555,34341,23823,6265,1336,415
13,18,1318,"東京18区",238002,109743,58770,36555,26429,5486,810,209
13,19,1319,"東京19区",193268,85819,47585,30779,22856,5171,859,199
13,20,1320,"東京20区",220651,80457,63892,38254,28082,7903,1631,432
13,21,1321,"東京21区",233718,102169,59224,36613,27351,6886,1196,279
13,22,1322,"東京22区",259484,123497,62006,38764,28238,5902,849,228
13,23,1323,"東京23区",191703,71308,54095,33190,25097,6505,1183,325
13,24,1324,"東京24区",212687,88548,58095,33673,23679,6840,1421,431
13,25,1325,"東京25区",213989,76320,63842,37022,26342,8077,1817,569
13,26,1326,"東京26区",273891,139838,63678,38130,26043,5169,840,193
13,27,1327,"東京27区",279264,174827,55218,27669,17409,3440,566,135
13,28,1328,"東京28区",201178,104563,45727,27105,18843,4098,662,180
13,29,1329,"東京29区",217651,100978,53814,32585,22730,5935,1259,350
13,30,1330,"東京30区",232000,94860,61503,38074,29121,7023,1133,286
14,1,1401,"神奈川1区",247742,107280,67419,38742,26875,6118,1038,270
14,2,1402,"神奈川2区",255872,115664,68070,38627,26391,5856,1003,261
14,3,1403,"神奈川3区",274454,133886,63476,40029,28977,6644,1102,340
14,4,1404,"神奈川4区",165795,51862,55050,30750,21422,5457,998,256
14,5,1405,"神奈川5区",184433,57499,56207,36014,27023,6263,1135,292
14,6,1406,"神奈川6区",205757,79132,58975,34879,25197,6187,1067,320
14,7,1407,"神奈川7区",175177,78965,43626,27634,20339,3859,598,156
14,8,1408,"神奈川8区",211807,69553,61297,41023,32091,6614,1005,224
14,9,1409,"神奈川9区",192723,85158,49065,30150,22255,5048,846,201
14,10,1410,"神奈川10区",202882,99767,46252,29209,21282,5082,953,337
14,11,1411,"神奈川11区",182254,59058,59740,32656,21793,6772,1599,636
14,12,1412,"神奈川12区",212787,75837,60164,38063,29293,7565,1458,407
14,13,1413,"神奈川13区",197417,72731,55496,34689,25513,6996,1484,508
14,14,1414,"神奈川14区",217699,82266,61161,36909,27059,7776,1918,610
14,15,1415,"神奈川15区",227041,73579,68659,42292,31333,8653,1949,576
14,16,1416,"神奈川16区",203643,74889,57045,35367,26554,7599,1650,539
14,17,1417,"神奈川17区",225099,75885,68877,39423,28073,9291,2586,964
14,18,1418,"神奈川18区",248194,119324,56710,37231,28436,5465,813,215
14,19,1419,"神奈川19区",186457,59745,50190,37412,31359,6368,1100,283
14,20,1420,"神奈川20区",192889,78911,52684,31765,22535,5583,1122,289
15,1,1501,"新潟1区",194209,76451,53640,32053,21556,6891,2494,1124
15,2,1502,"新潟2区",180780,51473,50684,35084,25562,10340,4871,2766
15,3,1503,"新潟3区",163338,42414,46410,32063,23459,10249,5441,3302
15,4,1504,"新潟4区",167319,50623,46944,31075,22185,9430,4738,2324
