"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
1,1,101,"北海道1区",273408,135684,127712,56212,49551,7972,4589,133131,4,3484,29806,35150
1,2,102,"北海道2区",264858,144972,135538,52980,58300,9434,4648,115229,9,4630,28842,32324
1,3,103,"北海道3区",264707,141038,132343,54235,54224,8695,4396,119245,28,4075,27598,32711
1,4,104,"北海道4区",217103,136895,126026,53892,50157,10869,2065,77985,158,5659,33400,33376
1,5,105,"北海道5区",225086,146816,137020,57327,57384,9796,1876,76346,48,5368,34112,28252
1,6,106,"北海道6区",223427,135439,124636,57780,45867,10803,1736,86007,245,5583,35987,35472
1,7,107,"北海道7区",137685,82166,73492,33458,26689,8674,1221,54154,144,4732,19901,21319
1,8,108,"北海道8区",193538,115146,103101,46488,36544,12045,1939,76234,219,6320,28754,34961
1,9,109,"北海道9区",210634,124058,114321,53538,42322,9737,1549,84713,314,5002,33442,34189
1,10,110,"北海道10区",147744,91589,81855,39875,28120,9734,955,54793,407,5048,26237,27920
1,11,111,"北海道11区",152645,92655,84416,38511,32672,8239,1308,58615,67,4551,22689,21596
1,12,112,"北海道12区",158228,93537,83946,40523,29741,9591,1143,63373,175,5149,24973,24465
2,1,201,"青森1区",168794,105402,88967,34711,35848,16435,1068,60090,2234,10027,20543,23914
2,2,202,"青森2区",186738,123903,101220,38307,41539,22683,1479,61131,225,14471,22655,25447
2,3,203,"青森3区",154117,105321,78573,27944,32012,26748,993,47696,107,18397,17797,22391
3,1,301,"岩手1区",153063,92872,79227,29706,35088,13645,1306,58566,319,8779,15917,16372
3,2,302,"岩手2区",169749,114747,87797,34750,33843,26950,951,53891,160,17158,22964,25959
3,3,303,"岩手3区",168016,115712,84981,30454,36543,30731,1258,50833,213,20997,18775,20093
4,1,401,"宮城1区",267751,137650,125032,46420,57791,12618,2704,127037,360,7480,23999,25005
4,2,402,"宮城2区",256900,144409,130819,47944,61337,13590,2820,109201,470,8605,24503,22610
4,3,403,"宮城3区",126904,91578,73399,25071,35094,18179,1050,34114,162,12471,15584,12786
4,4,404,"宮城4区",179762,126513,103179,35054,48956,23334,1456,51601,192,16027,21114,19077
4,5,405,"宮城5区",149232,107815,74634,26549,31609,33181,1013,40302,102,22922,17438,17761
5,1,501,"秋田1区",136634,85698,75691,30381,32259,10007,1020,49576,340,6123,17576,17709
5,2,502,"秋田2区",114502,80161,60814,25332,22583,19347,519,33751,71,12219,17643,19857
5,3,503,"秋田3区",132395,97776,66672,26059,26255,31104,681,33842,96,21111,17500,17871
6,1,601,"山形1区",143207,96800,76303,28418,35436,20497,1247,44926,234,14389,17077,14309
6,2,602,"山形2区",131166,96212,65723,24054,29266,30489,841,34047,66,21619,15805,13569
6,3,603,"山形3区",122419,87802,60316,22858,24619,27486,740,33818,59,19230,14736,15573
7,1,701,"福島1区",187640,125410,100586,37355,44969,24824,1186,60542,502,16627,22963,21961
7,2,702,"福島2区",207575,137362,108437,38451,49329,28925,1698,68111,404,19823,21680,20862
7,3,703,"福島3区",151616,104116,76620,29165,31822,27496,1040,46222,238,18632,18360,19737
7,4,704,"福島4区",193258,120735,98439,37661,41948,22296,1418,70460,645,13960,23300,24608
8,1,801,"茨城1区",208901,136640,115325,42516,52934,21315,1751,70178,332,14083,24999,24093
8,2,802,"茨城2区",145041,97603,78578,28787,35769,19025,1447,45699,292,13116,17790,15665
8,3,803,"茨城3区",189569,131543,115971,44300,53356,15572,1673,56111,242,10154,28440,20712
8,4,804,"茨城4区",128632,90179,78628,30829,35990,11551,846,37274,333,7089,19121,15381
8,5,805,"茨城5区",121748,80228,71362,28532,31629,8866,725,40759,36,5245,18326,15698
8,6,806,"茨城6区",236766,141576,121830,43155,59858,19746,2138,92645,407,13477,24245,19349
8,7,807,"茨城7区",150941,106052,82545,27659,39385,23507,1494,43094,301,16914,17031,14698
9,1,901,"栃木1区",225263,134180,118752,42542,57623,15428,2753,88238,92,10089,22172,22311
9,2,902,"栃木2区",117162,82213,66842,24131,31260,15371,1079,33735,135,10444,14606,13346
9,3,903,"栃木3区",113001,76027,60607,22673,27121,15420,999,35699,276,10502,14013,12529
9,4,904,"栃木4区",169772,116017,95822,33592,47149,20195,1653,51381,721,13972,19449,15760
9,5,905,"栃木5区",170251,115796,97784,35546,44803,18012,1471,52704,280,11771,22477,21409
10,1,1001,"群馬1区",172473,109350,94538,35641,43610,14812,1523,58540,3060,9469,22222,21015
10,2,1002,"群馬2区",165179,111212,96829,33970,46637,14383,1701,51452,814,9288,20186,18857
10,3,1003,"群馬3区",166214,109355,94904,32712,46661,14451,1818,54692,349,9422,19286,16035
10,4,1004,"群馬4区",154529,97191,87938,32329,41541,9253,1227,55844,267,5792,19339,18727
10,5,1005,"群馬5区",144820,103876,88458,34057,40720,15418,1129,39572,243,9751,22404,19359
11,1,1101,"埼玉1区",195645,127524,119430,39471,63365,8094,1886,66214,21,4624,21094,18752
11,2,1102,"埼玉2区",220460,128148,117522,39502,58561,10626,2798,89197,317,6010,19661,23866
11,3,1103,"埼玉3区",188886,128501,117763,38713,60347,10738,2763,57551,71,6729,20989,18003
11,4,1104,"埼玉4区",208726,127812,120330,41252,61598,7482,2556,78287,71,4058,20513,20675
11,5,1105,"埼玉5区",207267,126289,118226,40445,60653,8063,2401,78562,15,4579,20292,19597
11,6,1106,"埼玉6区",202010,138714,127700,46384,61961,11014,1836,58851,2609,6871,28951,22728
11,7,1107,"埼玉7区",204100,119342,109219,38986,53410,10123,1656,73336,9766,6277,23303,19695
11,8,1108,"埼玉8区",216862,128592,119524,44063,57904,9068,1847,76071,10352,5343,26556,22277
11,9,1109,"埼玉9区",201028,135986,123949,46820,56868,12037,1786,63047,209,7515,30946,24626
11,10,1110,"埼玉10区",165123,110274,99245,37300,46151,11029,1304,53429,116,6989,24471,18945
11,11,1111,"埼玉11区",161007,112762,96730,34989,45160,16032,1375,46454,416,10460,22169,19468
11,12,1112,"埼玉12区",177095,123208,107891,38637,51576,15317,1511,51996,380,9823,24158,19824
11,13,1113,"埼玉13区",179274,126990,114626,41805,55171,12364,1512,50703,69,7778,27250,19518
11,14,1114,"埼玉14区",214457,132655,121769,41296,60218,10886,2637,79145,20,6722,22308,23323
11,15,1115,"埼玉15区",233331,133903,125806,41296,66280,8097,3176,95988,264,4450,18545,21268
11,16,1116,"埼玉16区",182356,121529,109795,39312,52369,11734,1894,53308,5625,7489,25258,20398
12,1,1201,"千葉1区",249829,137023,129236,46593,62882,7787,2436,109103,1267,4252,26021,26646
12,2,1202,"千葉2区",166010,105424,98687,35233,48180,6737,2141,58149,296,3862,20617,18571
12,3,1203,"千葉3区",168418,111581,101197,36594,48898,10384,1701,54862,274,6570,22126,17226
12,4,1204,"千葉4区",220395,133111,123846,42589,62926,9265,2535,84394,355,4782,20984,21829
12,5,1205,"千葉5区",252624,127290,120161,42018,61366,7129,3581,121492,261,3604,17592,19234
12,6,1206,"千葉6区",230931,134964,126462,44536,61525,8502,2602,93029,336,4786,24996,27182
12,7,1207,"千葉7区",146484,100453,92466,33076,46442,7987,1241,44241,549,4992,19716,14272
12,8,1208,"千葉8区",187782,118769,110732,39965,54688,8037,1962,67050,1,4789,23453,18532
12,9,1209,"千葉9区",200557,137480,125789,48063,57444,11691,2240,60725,112,7195,31463,23914
12,10,1210,"千葉10区",162177,104181,82307,29737,37312,21874,1426,56376,194,14665,18516,18623
12,11,1211,"千葉11区",169537,115994,96415,39117,39717,19579,1539,51735,269,12497,26123,24105
12,12,1212,"千葉12区",188937,122282,104423,41377,45395,17859,1614,64443,598,11061,26893,24772
12,13,1213,"千葉13区",205254,143529,131645,48515,64138,11884,1926,59668,131,7488,30184,21257
12,14,1214,"千葉14区",218726,138196,129178,45022,64408,9018,1895,78173,462,5156,26341,23726
13,1,1301,"東京1区",259424,85487,81123,31816,36145,4364,1998,171907,32,1591,12546,24890
13,2,1302,"東京2区",214044,90818,86075,35594,37585,4743,2781,120424,21,1966,11206,23955
13,3,1303,"東京3区",250157,104720,99230,37842,46639,5490,2823,142516,98,2403,15459,26109
13,4,1304,"東京4区",281347,121034,112392,40742,52628,8642,3085,157176,52,3938,18354,30604
13,5,1305,"東京5区",239193,114917,110064,40356,54340,4853,1794,122000,482,2048,17355,25553
13,6,1306,"東京6区",252524,121589,115964,41683,57322,5625,1861,128635,439,2417,18697,28373
13,7,1307,"東京7区",295940,111639,106332,40870,49124,5307,4483,179806,12,2122,14754,26306
13,8,1308,"東京8区",264783,110659,105312,40288,50518,5347,2375,151741,8,2169,18052,25956
13,9,1309,"東京9区",173307,97737,91939,30254,47190,5798,1651,73910,9,2810,15500,19266
13,10,1310,"東京10区",317251,119381,112777,42264,53342,6604,2929,194924,17,2575,16741,32784
13,11,1311,"東京11区",258330,112752,105598,37692,49999,7154,3242,142314,22,3099,17216,28679
13,12,1312,"東京12区",245382,114708,106921,39780,47935,7787,3113,127550,11,3127,19001,37080
13,13,1313,"東京13区",239158,117544,108976,37421,50551,8568,3863,117742,9,4025,18676,31233
