"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
1,1,101,"北海道1区",15792,15665,15013,0,13754,652,127,0,0,607,0,0
1,2,102,"北海道2区",18366,18198,17314,0,15953,884,168,0,0,839,0,0
1,3,103,"北海道3区",17451,17337,16552,0,15261,785,114,0,0,731,0,0
1,4,104,"北海道4区",13978,13910,12842,0,11871,1068,68,0,0,1026,0,0
1,5,105,"北海道5区",15673,15625,14623,0,13524,1002,48,0,0,960,0,0
1,6,106,"北海道6区",13901,13866,12874,0,11796,992,35,0,0,969,0,0
1,7,107,"北海道7区",8337,8300,7286,0,6645,1014,37,0,0,980,0,0
1,8,108,"北海道8区",10624,10553,9313,0,8425,1240,71,0,0,1195,0,0
1,9,109,"北海道9区",12918,12872,11869,0,10940,1003,46,0,0,948,0,0
1,10,110,"北海道10区",7417,7381,6508,0,6044,873,36,0,0,852,0,0
1,11,111,"北海道11区",10478,10440,9573,0,8861,867,38,0,0,840,0,0
1,12,112,"北海道12区",9395,9367,8340,0,7706,1027,28,0,0,1016,0,0
2,1,201,"青森1区",10495,10468,8386,0,7699,2082,27,0,0,2031,0,0
2,2,202,"青森2区",13891,13825,10804,0,9838,3021,66,0,0,2955,0,0
2,3,203,"青森3区",10821,10777,6958,0,6374,3819,44,0,0,3760,0,0
3,1,301,"岩手1区",11358,11327,9559,0,8893,1768,31,0,0,1735,0,0
3,2,302,"岩手2区",11098,11054,7472,0,6898,3582,44,0,0,3504,0,0
3,3,303,"岩手3区",12669,12607,8599,0,8051,4008,62,0,0,3958,0,0
4,1,401,"宮城1区",18966,18899,17523,0,16408,1376,67,0,0,1330,0,0
4,2,402,"宮城2区",19649,19565,17922,0,16810,1643,84,0,0,1594,0,0
4,3,403,"宮城3区",10665,10617,8302,0,7811,2315,48,0,0,2283,0,0
4,4,404,"宮城4区",14964,14895,11967,0,11157,2928,69,0,0,2859,0,0
4,5,405,"宮城5区",11139,11096,6703,0,6192,4393,43,0,0,4333,0,0
5,1,501,"秋田1区",9136,9112,8103,0,7584,1009,24,0,0,982,0,0
5,2,502,"秋田2区",6229,6210,4186,0,3944,2024,19,0,0,1979,0,0
5,3,503,"秋田3区",8942,8917,4975,0,4661,3942,25,0,0,3897,0,0
6,1,601,"山形1区",11960,11900,9267,0,8832,2633,60,0,0,2611,0,0
6,2,602,"山形2区",11057,11016,6604,0,6287,4412,41,0,0,4362,0,0
6,3,603,"山形3区",9343,9318,5223,0,4908,4095,25,0,0,4050,0,0
7,1,701,"福島1区",13932,13892,10661,0,9986,3231,40,0,0,3180,0,0
7,2,702,"福島2区",17152,17080,13028,0,12111,4052,72,0,0,3983,0,0
7,3,703,"福島3区",11772,11713,7608,0,7069,4105,59,0,0,4047,0,0
7,4,704,"福島4区",13647,13575,10725,0,9887,2850,72,0,0,2799,0,0
8,1,801,"茨城1区",16280,16213,13640,0,12773,2573,67,0,0,2516,0,0
8,2,802,"茨城2区",11231,11140,8616,0,8095,2524,91,0,0,2487,0,0
8,3,803,"茨城3区",14072,14016,12269,0,11569,1747,56,0,0,1688,0,0
8,4,804,"茨城4区",9334,9319,8223,0,7808,1096,15,0,0,1073,0,0
8,5,805,"茨城5区",7720,7699,6882,0,6458,817,21,0,0,802,0,0
8,6,806,"茨城6区",19882,19833,17483,0,16614,2350,49,0,0,2291,0,0
8,7,807,"茨城7区",12036,11945,8745,0,8137,3200,91,0,0,3144,0,0
9,1,901,"栃木1区",18338,18245,16469,0,15614,1776,93,0,0,1747,0,0
9,2,902,"栃木2区",9194,9156,7326,0,6963,1830,38,0,0,1795,0,0
9,3,903,"栃木3区",8360,8322,6292,0,5899,2030,38,0,0,1992,0,0
9,4,904,"栃木4区",14292,14228,11648,0,11056,2580,64,0,0,2532,0,0
9,5,905,"栃木5区",12153,12102,10133,0,9528,1969,51,0,0,1928,0,0
10,1,1001,"群馬1区",12191,12145,10477,0,9978,1668,46,0,0,1632,0,0
10,2,1002,"群馬2区",12793,12723,11074,0,10423,1649,70,0,0,1574,0,0
10,3,1003,"群馬3区",13486,13372,11654,0,10971,1718,114,0,0,1650,0,0
10,4,1004,"群馬4区",11492,11466,10472,0,9939,994,26,0,0,965,0,0
10,5,1005,"群馬5区",10642,10599,8821,0,8449,1778,43,0,0,1752,0,0
11,1,1101,"埼玉1区",18261,18207,17436,0,16776,771,54,0,0,724,0,0
11,2,1102,"埼玉2区",17261,17174,16093,0,15335,1081,87,0,0,998,0,0
11,3,1103,"埼玉3区",17375,17280,16134,0,15439,1146,95,0,0,1080,0,0
11,4,1104,"埼玉4区",18809,18757,18059,0,17375,698,52,0,0,664,0,0
11,5,1105,"埼玉5区",17520,17452,16703,0,16036,749,68,0,0,711,0,0
11,6,1106,"埼玉6区",14992,14955,13921,0,13302,1034,37,0,0,989,0,0
11,7,1107,"埼玉7区",14177,14145,13120,0,12626,1025,32,0,0,984,0,0
11,8,1108,"埼玉8区",14644,14613,13718,0,13215,895,31,0,0,865,0,0
11,9,1109,"埼玉9区",13286,13234,12052,0,11355,1182,52,0,0,1144,0,0
11,10,1110,"埼玉10区",11248,11210,10011,0,9470,1199,38,0,0,1164,0,0
11,11,1111,"埼玉11区",11684,11627,9854,0,9319,1773,57,0,0,1728,0,0
11,12,1112,"埼玉12区",12695,12645,11146,0,10522,1499,50,0,0,1448,0,0
11,13,1113,"埼玉13区",13167,13118,11940,0,11418,1178,49,0,0,1146,0,0
11,14,1114,"埼玉14区",17633,17554,16389,0,15586,1165,79,0,0,1106,0,0
11,15,1115,"埼玉15区",20323,20232,19471,0,18724,761,91,0,0,705,0,0
11,16,1116,"埼玉16区",12901,12837,11645,0,11100,1192,64,0,0,1148,0,0
12,1,1201,"千葉1区",16418,16355,15657,0,14901,698,63,0,0,661,0,0
12,2,1202,"千葉2区",12880,12805,12140,0,11610,665,75,0,0,615,0,0
12,3,1203,"千葉3区",13097,13027,11950,0,11290,1077,70,0,0,1036,0,0
12,4,1204,"千葉4区",18454,18425,17508,0,16802,917,29,0,0,826,0,0
12,5,1205,"千葉5区",19027,18941,18220,0,17516,721,86,0,0,672,0,0
12,6,1206,"千葉6区",17123,17063,16244,0,15416,819,60,0,0,761,0,0
12,7,1207,"千葉7区",15124,15099,14322,0,13736,777,25,0,0,758,0,0
12,8,1208,"千葉8区",15953,15886,15082,0,14469,804,67,0,0,760,0,0
12,9,1209,"千葉9区",14264,14141,12899,0,12103,1242,123,0,0,1192,0,0
12,10,1210,"千葉10区",10749,10692,8200,0,7712,2492,57,0,0,2442,0,0
12,11,1211,"千葉11区",9832,9760,7620,0,7133,2140,72,0,0,2097,0,0
12,12,1212,"千葉12区",13128,13069,11229,0,10543,1840,59,0,0,1794,0,0
12,13,1213,"千葉13区",16782,16712,15445,0,14755,1267,70,0,0,1234,0,0
12,14,1214,"千葉14区",17295,17254,16390,0,15693,864,41,0,0,819,0,0
13,1,1301,"東京1区",13691,13643,13288,0,12274,355,48,0,0,318,0,0
13,2,1302,"東京2区",16057,16000,15565,0,14567,435,57,0,0,406,0,0
13,3,1303,"東京3区",18105,18049,17576,0,16820,473,56,0,0,447,0,0
13,4,1304,"東京4区",17040,16993,16198,0,15527,795,47,0,0,722,0,0
13,5,1305,"東京5区",17390,17370,16982,0,16097,388,20,0,0,371,0,0
13,6,1306,"東京6区",17630,17608,17151,0,16304,457,22,0,0,438,0,0
13,7,1307,"東京7区",21309,21152,20596,0,18813,556,157,0,0,504,0,0
13,8,1308,"東京8区",16304,16282,15870,0,15260,412,22,0,0,388,0,0
13,9,1309,"東京9区",13330,13307,12790,0,12277,517,23,0,0,473,0,0
13,10,1310,"東京10区",19110,19053,18503,0,17434,550,57,0,0,512,0,0
13,11,1311,"東京11区",15971,15916,15280,0,14498,636,55,0,0,588,0,0
13,12,1312,"東京12区",16502,16431,15762,0,15019,669,71,0,0,597,0,0
13,13,1313,"東京13区",14882,14762,13921,0,13113,841,120,0,0,754,0,0
13,14,1314,"東京14区",17149,17067,16321,0,15442,746,82,0,0,702,0,0
13,15,1315,"東京15区",22306,22264,21602,0,20564,662,42,0,0,623,0,0
13,16,1316,"東京16区",19372,19275,18486,0,17496,789,97,0,0,760,0,0
13,17,1317,"東京17区",16052,15937,15107,0,14302,830,115,0,0,762,0,0
13,18,1318,"東京18区",18022,17984,17417,0,16804,567,38,0,0,538,0,0
13,19,1319,"東京19区",14984,14944,14385,0,13846,559,40,0,0,524,0,0
13,20,1320,"東京20区",16659,16580,15751,0,14916,829,79,0,0,775,0,0
13,21,1321,"東京21区",16789,16730,16084,0,15258,646,59,0,0,605,0,0
13,22,1322,"東京22区",19744,19608,19080,0,18407,528,136,0,0,496,0,0
13,23,1323,"東京23区",13686,13654,13007,0,12325,647,32,0,0,615,0,0
13,24,1324,"東京24区",13185,13108,12238,0,11497,870,77,0,0,814,0,0
13,25,1325,"東京25区",14734,14631,13660,0,12657,971,103,0,0,936,0,0
13,26,1326,"東京26区",19045,18945,18283,0,17475,662,100,0,0,607,0,0
13,27,1327,"東京27区",14612,14578,14060,0,13489,518,34,0,0,468,0,0
13,28,1328,"東京28区",13781,13748,13303,0,12789,445,33,0,0,417,0,0
13,29,1329,"東京29区",15685,15589,14807,0,13955,782,96,0,0,713,0,0
13,30,1330,"東京30区",18021,17989,17371,0,16603,618,32,0,0,588,0,0
14,1,1401,"神奈川1区",15773,15727,14937,0,14164,790,46,0,0,749,0,0
14,2,1402,"神奈川2区",16129,16071,15378,0,14581,693,58,0,0,639,0,0
14,3,1403,"神奈川3区",20031,19972,19170,0,18398,802,59,0,0,750,0,0
14,4,1404,"神奈川4区",11529,11502,10910,0,10499,592,27,0,0,566,0,0
14,5,1405,"神奈川5区",15583,15549,14862,0,14239,687,34,0,0,660,0,0
14,6,1406,"神奈川6区",14103,14067,13396,0,12782,671,36,0,0,627,0,0
14,7,1407,"神奈川7区",14514,14482,14044,0,13631,438,32,0,0,408,0,0
14,8,1408,"神奈川8区",17809,17772,17121,0,16486,651,37,0,0,604,0,0
14,9,1409,"神奈川9区",14494,14449,13936,0,13495,513,45,0,0,497,0,0
14,10,1410,"神奈川10区",15514,15446,14658,0,14016,788,68,0,0,746,0,0
14,11,1411,"神奈川11区",11547,11502,10455,0,9480,1047,45,0,0,997,0,0
14,12,1412,"神奈川12区",18202,18152,17322,0,16600,830,50,0,0,788,0,0
14,13,1413,"神奈川13区",15410,15340,14441,0,13660,899,70,0,0,851,0,0
14,14,1414,"神奈川14区",15291,15196,14077,0,13227,1119,95,0,0,1059,0,0
14,15,1415,"神奈川15区",17736,17662,16556,0,15751,1106,74,0,0,1062,0,0
14,16,1416,"神奈川16区",15642,15568,14609,0,13809,959,74,0,0,906,0,0
14,17,1417,"神奈川17区",14520,14463,12977,0,12235,1486,57,0,0,1442,0,0
14,18,1418,"神奈川18区",21599,21566,20968,0,20323,598,33,0,0,563,0,0
14,19,1419,"神奈川19区",18354,18305,17685,0,17077,620,49,0,0,593,0,0
14,20,1420,"神奈川20区",13474,13414,12743,0,12189,671,60,0,0,641,0,0
15,1,1501,"新潟1区",14176,14144,12097,0,11495,2047,32,0,0,2008,0,0
15,2,1502,"新潟2区",14619,14575,10767,0,10268,3808,44,0,0,3754,0,0
15,3,1503,"新潟3区",13092,13044,8743,0,8293,4301,48,0,0,4244,0,0
15,4,1504,"新潟4区",13292,13254,9664,0,9233,3590,38,0,0,3555,0,0
15,5,1505,"新潟5区",12061,12010,7645,0,7236,4365,51,0,0,4322,0,0
16,1,1601,"富山1区",10828,10802,9410,0,8962,1392,26,0,0,1359,0,0
16,2,1602,"富山2区",8578,8556,6486,0,6218,2070,22,0,0,2036,0,0
