"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
1,1,101,"北海道1区",40133,39737,37575,1,30870,2162,331,65,0,1949,0,0
1,2,102,"北海道2区",46529,46019,43202,0,35803,2817,471,39,0,2562,0,0
1,3,103,"北海道3区",43582,43180,40678,1,33567,2502,349,53,0,2268,0,0
1,4,104,"北海道4区",37747,37516,34040,1,28377,3476,203,28,0,3223,0,0
1,5,105,"北海道5区",42762,42565,39368,0,32747,3197,164,33,0,2984,0,0
1,6,106,"北海道6区",37420,37040,33728,0,27562,3312,121,259,0,3129,0,0
1,7,107,"北海道7区",22765,22570,19451,0,15709,3119,126,69,0,2910,0,0
1,8,108,"北海道8区",29942,29645,25449,1,20307,4196,223,74,0,3907,0,0
1,9,109,"北海道9区",34379,34204,30911,0,25785,3293,132,43,0,3022,0,0
1,10,110,"北海道10区",20964,20826,17853,0,14925,2973,92,46,0,2791,0,0
1,11,111,"北海道11区",27671,27293,24523,0,20459,2770,107,271,0,2612,0,0
1,12,112,"北海道12区",24844,24695,21523,1,17861,3172,88,61,0,3041,0,0
2,1,201,"青森1区",29356,29209,22743,0,18839,6466,93,54,0,6189,0,0
2,2,202,"青森2区",37051,36854,27726,0,22705,9128,165,32,0,8816,0,0
2,3,203,"青森3区",29365,29197,18346,0,15124,10851,135,33,0,10612,0,0
3,1,301,"岩手1区",29971,29751,24321,1,20559,5430,93,127,0,5254,0,0
3,2,302,"岩手2区",29998,29837,19092,1,16027,10745,132,29,0,10445,0,0
3,3,303,"岩手3区",34797,34589,22164,0,18983,12425,155,53,0,12170,0,0
4,1,401,"宮城1区",46535,46313,41921,3,36122,4392,196,26,0,4201,0,0
4,2,402,"宮城2区",48690,48326,43324,1,37477,5002,233,131,0,4821,0,0
4,3,403,"宮城3区",28591,28453,21406,1,18552,7047,130,8,0,6878,0,0
4,4,404,"宮城4区",40198,39990,30855,0,26557,9135,175,33,0,8882,0,0
4,5,405,"宮城5区",30991,30835,17429,0,14535,13406,144,12,0,13149,0,0
5,1,501,"秋田1区",24832,24712,21196,0,18235,3516,91,29,0,3396,0,0
5,2,502,"秋田2区",18793,18693,11763,1,10033,6930,60,40,0,6754,0,0
5,3,503,"秋田3区",26011,25913,13476,0,11550,12437,87,11,0,12250,0,0
6,1,601,"山形1区",31121,30882,22541,1,19839,8341,166,73,0,8240,0,0
6,2,602,"山形2区",29849,29660,16523,0,14384,13137,152,37,0,12936,0,0
6,3,603,"山形3区",25671,25514,13655,0,11701,11859,92,65,0,11684,0,0
7,1,701,"福島1区",36890,36734,26919,0,23189,9815,136,20,0,9564,0,0
7,2,702,"福島2区",44173,43887,31915,2,27190,11972,227,59,0,11661,0,0
7,3,703,"福島3区",31310,31131,19469,0,16344,11662,154,25,0,11407,0,0
7,4,704,"福島4区",35050,34879,26425,0,22444,8454,168,3,0,8173,0,0
8,1,801,"茨城1区",42555,42381,34110,1,29560,8271,162,12,0,8022,0,0
8,2,802,"茨城2区",29869,29646,22041,1,19143,7605,216,7,0,7392,0,0
8,3,803,"茨城3区",38407,38222,32521,1,28552,5701,180,5,0,5494,0,0
8,4,804,"茨城4区",25805,25737,21739,0,19386,3998,61,7,0,3876,0,0
8,5,805,"茨城5区",22472,22389,19396,0,16990,2993,68,15,0,2884,0,0
8,6,806,"茨城6区",49444,49239,41675,0,36898,7564,189,16,0,7314,0,0
8,7,807,"茨城7区",33072,32839,22698,0,19595,10141,226,7,0,9884,0,0
9,1,901,"栃木1区",46599,46297,40283,0,35530,6014,283,19,0,5828,0,0
9,2,902,"栃木2区",25048,24893,18778,0,16480,6115,137,18,0,5961,0,0
9,3,903,"栃木3区",22760,22636,16457,0,14210,6179,115,9,0,6021,0,0
9,4,904,"栃木4区",37705,37487,29173,2,25886,8314,206,12,0,8093,0,0
9,5,905,"栃木5区",33606,33413,26639,0,23247,6774,159,34,0,6542,0,0
10,1,1001,"群馬1区",32803,32599,27090,2,24042,5509,142,62,0,5332,0,0
10,2,1002,"群馬2区",34797,34592,29094,1,25568,5498,198,7,0,5263,0,0
10,3,1003,"群馬3区",36293,36002,30361,1,26614,5641,282,9,0,5393,0,0
10,4,1004,"群馬4区",30644,30533,27240,0,23982,3293,90,21,0,3167,0,0
10,5,1005,"群馬5区",29372,29247,23632,1,21226,5615,121,4,0,5455,0,0
11,1,1101,"埼玉1区",45370,45191,42632,0,38585,2559,154,25,0,2394,0,0
11,2,1102,"埼玉2区",42638,42415,38903,0,34910,3512,209,14,0,3261,0,0
11,3,1103,"埼玉3区",43617,43350,39521,1,35492,3829,262,5,0,3614,0,0
