"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
1,1,101,"北海道1区",93136,56843,50770,31742,9506,6073,1143,35150,0,3088,29806,35150
1,2,102,"北海道2区",93395,59692,52307,30554,11398,7385,1379,32324,0,4033,28842,32324
1,3,103,"北海道3区",89491,55929,49450,29232,10130,6479,851,32711,0,3499,27598,32711
1,4,104,"北海道4区",102018,67970,58759,35149,12299,9211,672,33376,0,5022,33400,33376
1,5,105,"北海道5区",95080,66358,58154,35811,12484,8204,470,28252,0,4748,34112,28252
1,6,106,"北海道6区",103874,67987,58648,37626,10654,9339,415,35472,0,4954,35987,35472
1,7,107,"北海道7区",63222,41508,34149,20951,6328,7359,395,21319,0,4089,19901,21319
1,8,108,"北海道8区",96669,60992,50901,30214,9766,10091,716,34961,0,5508,28754,34961
1,9,109,"北海道9区",97196,62530,54316,35189,9572,8214,477,34189,0,4354,33442,34189
1,10,110,"北海道10区",80540,52262,43616,27349,7922,8646,358,27920,0,4595,26237,27920
1,11,111,"北海道11区",65939,44019,36859,23784,6732,7160,324,21596,0,4070,22689,21596
1,12,112,"北海道12区",73847,49037,40592,26102,7087,8445,345,24465,0,4608,24973,24465
2,1,201,"青森1区",81253,56977,42758,21601,10318,14219,362,23914,0,8918,20543,23914
2,2,202,"青森2区",93733,67794,47687,23888,11716,20107,492,25447,0,13113,22655,25447
2,3,203,"青森3区",87447,64588,40540,18504,10602,24048,468,22391,0,16806,17797,22391
3,1,301,"岩手1区",61134,44475,32463,16755,8238,12012,287,16372,0,7956,15917,16372
3,2,302,"岩手2区",100111,73725,49267,24080,12121,24458,427,25959,0,15764,22964,25959
3,3,303,"岩手3区",91667,71171,42730,19598,11539,28441,403,20093,0,19561,18775,20093
4,1,401,"宮城1区",82367,56796,46323,25324,11317,10473,566,25005,0,6796,23999,25005
4,2,402,"宮城2区",82455,59316,47783,25748,12337,11533,529,22610,0,7776,24503,22610
4,3,403,"宮城3区",63125,50023,33634,16357,9901,16389,316,12786,0,11484,15584,12786
4,4,404,"宮城4区",85754,66211,45342,22146,12750,20869,466,19077,0,14652,21114,19077
4,5,405,"宮城5区",89220,71099,40496,18251,11589,30603,360,17761,0,21304,17438,17761
5,1,501,"秋田1区",60469,42465,33479,18395,7930,8986,295,17709,0,5615,17576,17709
5,2,502,"秋田2区",74107,54015,36118,18264,8683,17897,235,19857,0,11409,17643,19857
5,3,503,"秋田3区",85960,67788,38697,18193,10290,29091,301,17871,0,19801,17500,17871
6,1,601,"山形1区",67907,53223,34289,17824,9425,18934,375,14309,0,13449,17077,14309
6,2,602,"山形2区",76795,62912,34462,16555,9817,28450,314,13569,0,20283,15805,13569
6,3,603,"山形3区",74378,58479,32950,15452,8781,25529,326,15573,0,17992,14736,15573
7,1,701,"福島1区",92764,70427,47960,24053,13283,22467,376,21961,0,15302,22963,21961
7,2,702,"福島2区",93761,72368,46571,22941,12638,25797,531,20862,0,17944,21680,20862
7,3,703,"福島3区",83627,63505,38512,19321,9716,24993,385,19737,0,17075,18360,19737
7,4,704,"福島4区",91759,66672,46940,24470,11437,19732,479,24608,0,12587,23300,24608
8,1,801,"茨城1区",93589,68996,50159,26207,13192,18837,500,24093,0,12863,24999,24093
8,2,802,"茨城2区",69564,53315,36490,18815,9720,16825,584,15665,0,11903,17790,15665
8,3,803,"茨城3区",88896,67725,53984,29756,14338,13741,459,20712,0,9365,28440,20712
8,4,804,"茨城4区",61839,46222,35880,19963,9062,10342,236,15381,0,6494,19121,15381
8,5,805,"茨城5区",57312,41377,33597,19034,8157,7780,237,15698,0,4752,18326,15698
8,6,806,"茨城6区",84878,65013,47341,25417,12509,17672,516,19349,0,12464,24245,19349
8,7,807,"茨城7区",74233,59044,38238,17939,11516,20806,491,14698,0,15405,17031,14698
9,1,901,"栃木1区",81007,57934,44465,23351,11873,13469,762,22311,0,9221,22172,22311
9,2,902,"栃木2区",58189,44467,30584,15338,8573,13883,376,13346,0,9620,14606,13346
9,3,903,"栃木3区",55434,42567,28785,14810,7823,13782,338,12529,0,9541,14013,12529
9,4,904,"栃木4区",74786,58586,40625,20430,11999,17961,440,15760,0,12765,19449,15760
9,5,905,"栃木5区",84057,62198,46227,23478,12405,15971,450,21409,0,10807,22477,21409
10,1,1001,"群馬1区",77647,56186,43034,23304,10888,13152,446,21015,0,8638,22222,21015
10,2,1002,"群馬2区",72657,53385,41028,21164,11165,12357,415,18857,0,8336,20186,18857
10,3,1003,"群馬3区",68351,51842,39390,20210,11030,12452,474,16035,0,8501,19286,16035
10,4,1004,"群馬4区",64066,45045,37004,20239,9332,8041,294,18727,0,5241,19339,18727
10,5,1005,"群馬5区",76588,56821,43062,23427,11226,13759,408,19359,0,8912,22404,19359
11,1,1101,"埼玉1区",67073,47940,41247,22112,11171,6693,381,18752,0,4256,21094,18752
11,2,1102,"埼玉2区",75821,51405,43043,20907,11683,8362,550,23866,0,5377,19661,23866
11,3,1103,"埼玉3区",71489,52899,44023,22051,12302,8876,587,18003,0,6069,20989,18003
11,4,1104,"埼玉4区",68173,47076,41292,21684,10734,5784,422,20675,0,3664,20513,20675
11,5,1105,"埼玉5区",67444,47466,40818,21340,11002,6648,381,19597,0,4175,20292,19597
11,6,1106,"埼玉6区",88955,65826,56364,30253,15391,9462,401,22728,0,6313,28951,22728
11,7,1107,"埼玉7区",75177,55134,46463,24343,12596,8671,348,19695,0,5831,23303,19695
11,8,1108,"埼玉8区",81279,58627,51004,27717,13446,7623,375,22277,0,4947,26556,22277
11,9,1109,"埼玉9区",94757,69636,59365,32365,15872,10271,495,24626,0,6877,30946,24626
11,10,1110,"埼玉10区",76095,56769,47207,25628,12862,9562,381,18945,0,6398,24471,18945
11,11,1111,"埼玉11区",78697,58771,44715,23265,12092,14056,458,19468,0,9508,22169,19468
11,12,1112,"埼玉12区",83077,62845,49324,25296,14036,13521,408,19824,0,9071,24158,19824
11,13,1113,"埼玉13区",84463,64584,53798,28372,15165,10786,361,19518,0,7193,27250,19518
11,14,1114,"埼玉14区",80030,56168,47245,23595,13048,8923,539,23323,0,6048,22308,23323
11,15,1115,"埼玉15区",66872,45120,38856,19709,10419,6264,484,21268,0,4017,18545,21268
11,16,1116,"埼玉16区",81500,60583,50490,26444,13759,10093,519,20398,0,6827,25258,20398
12,1,1201,"千葉1区",82861,55755,49520,27288,12284,6235,460,26646,0,3823,26021,26646
12,2,1202,"千葉2区",63921,44896,39399,21515,9927,5497,454,18571,0,3516,20617,18571
12,3,1203,"千葉3区",68964,51264,42386,23311,11091,8878,474,17226,0,5884,22126,17226
12,4,1204,"千葉4区",72007,49814,42989,22118,11300,6825,364,21829,0,4322,20984,21829
12,5,1205,"千葉5区",60779,41056,35819,18669,9492,5237,489,19234,0,3247,17592,19234
12,6,1206,"千葉6区",83896,56264,49502,26205,12708,6762,450,27182,0,4309,24996,27182
12,7,1207,"千葉7区",58380,43860,36887,20484,9801,6973,248,14272,0,4608,19716,14272
12,8,1208,"千葉8区",69944,51015,44262,24459,11550,6753,397,18532,0,4414,23453,18532
12,9,1209,"千葉9区",93429,68888,59017,32904,15270,9871,627,23914,0,6501,31463,23914
12,10,1210,"千葉10区",78583,59488,39702,19563,10946,19786,472,18623,0,13564,18516,18623
12,11,1211,"千葉11区",93574,68817,51271,27630,12933,17546,652,24105,0,11476,26123,24105
12,12,1212,"千葉12区",92634,67321,51305,28188,12569,16016,541,24772,0,10122,26893,24772
