"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
1,1,101,"北海道1区",63771,28299,27307,26502,40,992,322,35150,0,0,26502,35150
1,2,102,"北海道2区",60350,27727,26732,25966,41,995,299,32324,0,0,25966,32324
1,3,103,"北海道3区",59249,26297,25365,24644,29,932,241,32711,0,0,24644,32711
1,4,104,"北海道4区",65845,32259,31021,30082,45,1238,210,33376,0,0,30082,33376
1,5,105,"北海道5区",60453,32070,31151,30377,40,919,131,28252,0,0,30377,28252
1,6,106,"北海道6区",70308,34689,33546,32618,59,1143,147,35472,0,0,32618,35472
1,7,107,"北海道7区",40579,19124,18366,17830,28,758,136,21319,0,0,17830,21319
1,8,108,"北海道8区",63190,28023,26720,25777,36,1303,206,34961,0,0,25777,34961
1,9,109,"北海道9区",66418,32043,30992,30134,51,1051,186,34189,0,0,30134,34189
1,10,110,"北海道10区",54002,25931,24859,23980,48,1072,151,27920,0,0,23980,27920
1,11,111,"北海道11区",43440,21731,20982,20425,33,749,113,21596,0,0,20425,21596
1,12,112,"北海道12区",48718,24132,23172,22509,34,960,121,24465,0,0,22509,24465
2,1,201,"青森1区",44065,20035,18869,18044,35,1166,116,23914,0,0,18044,23914
2,2,202,"青森2区",47943,22330,20891,19824,63,1439,166,25447,0,0,19824,25447
2,3,203,"青森3区",40452,17933,16572,15532,58,1361,128,22391,0,0,15532,22391
3,1,301,"岩手1区",32012,15553,14614,14003,38,939,87,16372,0,0,14003,16372
3,2,302,"岩手2区",49669,23591,21693,20301,94,1898,119,25959,0,0,20301,25959
3,3,303,"岩手3区",40360,20162,18117,16714,87,2045,105,20093,0,0,16714,20093
4,1,401,"宮城1区",48168,22977,21974,21294,24,1003,186,25005,0,0,21294,25005
4,2,402,"宮城2区",45884,23141,22254,21679,24,887,133,22610,0,0,21679,22610
4,3,403,"宮城3区",28407,15538,14439,13760,43,1099,83,12786,0,0,13760,12786
4,4,404,"宮城4区",39947,20744,19402,18552,47,1342,126,19077,0,1,18552,19077
4,5,405,"宮城5区",36221,18374,16450,15300,74,1924,86,17761,0,0,15300,17761
5,1,501,"秋田1区",34905,17106,16205,15521,37,901,90,17709,0,0,15521,17709
5,2,502,"秋田2区",38087,18145,16722,15718,50,1423,85,19857,0,0,15718,19857
5,3,503,"秋田3区",36453,18495,16659,15460,85,1836,87,17871,0,1,15460,17871
6,1,601,"山形1区",31182,16772,15665,15041,40,1107,101,14309,0,0,15041,14309
6,2,602,"山形2区",29986,16342,14807,13908,57,1535,75,13569,0,0,13908,13569
6,3,603,"山形3区",30925,15266,13879,12906,62,1387,86,15573,0,1,12906,15573
7,1,701,"福島1区",45120,23031,21288,20365,58,1743,128,21961,0,0,20365,21961
7,2,702,"福島2区",42438,21418,19850,18935,69,1568,158,20862,0,0,18935,20862
7,3,703,"福島3区",38683,18835,17176,16121,71,1659,111,19737,0,0,16121,19737
7,4,704,"福島4区",47946,23162,21524,20528,64,1638,176,24608,0,0,20528,24608
8,1,801,"茨城1区",48284,24016,22695,22000,38,1321,175,24093,0,0,22000,24093
8,2,802,"茨城2区",33050,17229,16227,15674,38,1002,156,15665,0,0,15674,15665
8,3,803,"茨城3区",47918,27057,26001,25460,31,1056,149,20712,0,0,25460,20712
8,4,804,"茨城4区",33901,18430,17500,16946,39,930,90,15381,0,0,16946,15381
8,5,805,"茨城5区",33420,17621,16874,16431,18,747,101,15698,0,0,16431,15698
8,6,806,"茨城6区",42671,23184,22066,21472,26,1118,138,19349,0,0,21472,19349
8,7,807,"茨城7区",31299,16493,15481,14988,33,1012,108,14698,0,0,14988,14698
9,1,901,"栃木1区",43746,21235,20319,19789,28,916,200,22311,0,0,19789,22311
9,2,902,"栃木2区",27832,14372,13392,12886,19,980,114,13346,0,0,12886,13346
9,3,903,"栃木3区",26379,13743,12834,12316,36,909,107,12529,0,0,12316,12529
9,4,904,"栃木4区",34428,18562,17504,17011,21,1058,106,15760,0,0,17011,15760
9,5,905,"栃木5区",43614,22029,20790,20123,25,1239,176,21409,0,0,20123,21409
10,1,1001,"群馬1区",42957,21771,20581,19914,39,1190,171,21015,0,0,19914,21015
10,2,1002,"群馬2区",38724,19718,18719,18191,29,999,149,18857,0,0,18191,18857
10,3,1003,"群馬3区",34808,18656,17714,17282,25,942,117,16035,0,0,17282,16035
10,4,1004,"群馬4区",37473,18629,17904,17448,29,725,117,18727,0,0,17448,18727
10,5,1005,"群馬5区",41439,21955,20757,20144,38,1198,125,19359,0,0,20144,19359
11,1,1101,"埼玉1区",38698,19821,19174,18760,21,647,125,18752,0,0,18760,18752
11,2,1102,"埼玉2区",43021,18939,18190,17739,18,749,216,23866,0,0,17739,23866
11,3,1103,"埼玉3区",38108,19924,19285,18921,19,639,181,18003,0,0,18921,18003
11,4,1104,"埼玉4区",40233,19409,18870,18565,12,539,149,20675,0,0,18565,20675
11,5,1105,"埼玉5区",38885,19145,18456,18043,12,689,143,19597,0,0,18043,19597
11,6,1106,"埼玉6区",50198,27322,26536,26081,27,786,148,22728,0,0,26081,22728
11,7,1107,"埼玉7区",42088,22260,21526,21139,12,734,133,19695,0,0,21139,19695
11,8,1108,"埼玉8区",47541,25115,24401,24000,16,714,149,22277,0,0,24000,22277
11,9,1109,"埼玉9区",53932,29128,28270,27832,22,858,178,24626,0,0,27832,24626
11,10,1110,"埼玉10区",42175,23089,22297,21825,17,792,141,18945,0,0,21825,18945
11,11,1111,"埼玉11区",40938,21323,20246,19673,23,1077,147,19468,0,0,19673,19468
11,12,1112,"埼玉12区",42887,22932,21827,21254,32,1105,131,19824,0,0,21254,19824
11,13,1113,"埼玉13区",45538,25888,24998,24483,19,890,132,19518,0,0,24483,19518
11,14,1114,"埼玉14区",44826,21318,20621,20272,14,697,185,23323,0,0,20272,23323
11,15,1115,"埼玉15区",39010,17574,16985,16591,13,589,168,21268,0,0,16591,21268
11,16,1116,"埼玉16区",44846,24301,23440,23011,18,861,147,20398,0,0,23011,20398
