"ken","kuno","kucode","kuname","一般世帯人員_総数","一般世帯人員_親族のみの世帯","一般世帯人員_核家族世帯","一般世帯人員_うち夫婦のみの世帯","一般世帯人員_うち夫婦と子供から成る世帯","一般世帯人員_核家族以外の世帯","一般世帯人員_非親族を含む世帯","一般世帯人員_単独世帯","一般世帯人員_世帯の家族類型「不詳」","一般世帯人員_（再掲）3世代世帯","一般世帯人員_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯人員_（再掲）65歳以上の単独世帯"
1,1,101,"北海道1区",509103,365306,338641,112424,175601,26665,10656,133131,10,14829,59612,35150
1,2,102,"北海道2区",532635,405788,372459,105960,209389,33329,11592,115229,26,20204,57684,32324
1,3,103,"北海道3区",516666,387199,357313,108470,193173,29886,10144,119245,78,17539,55196,32711
1,4,104,"北海道4区",462876,379311,338883,107784,180099,40428,5144,77985,436,25598,66800,33376
1,5,105,"北海道5区",491612,410584,373880,114654,206561,36704,4544,76346,138,24027,68224,28252
1,6,106,"北海道6区",460018,369296,328602,115560,164708,40694,4056,86007,659,25481,71974,35472
1,7,107,"北海道7区",284821,227133,193102,66916,95386,34031,3064,54154,470,22449,39802,21319
1,8,108,"北海道8区",395821,314040,268486,92976,129571,45554,4962,76234,585,29199,57508,34961
1,9,109,"北海道9区",427753,338422,302053,107076,152514,36369,3757,84713,861,22730,66884,34189
1,10,110,"北海道10区",307390,249043,211459,79750,100207,37584,2363,54793,1191,23836,52474,27920
1,11,111,"北海道11区",320473,258567,225826,77022,118084,32741,3100,58615,191,21812,45378,21596
1,12,112,"北海道12区",323571,256915,218745,81046,106518,38170,2754,63373,529,24903,49946,24465
2,1,201,"青森1区",375150,305748,238402,69422,126837,67346,2679,60090,6633,48239,41086,23914
2,2,202,"青森2区",435615,370038,273579,76614,148146,96459,3829,61131,617,71420,45310,25447
2,3,203,"青森3区",380769,329947,211280,55888,113208,118667,2846,47696,280,92758,35594,22391
3,1,301,"岩手1区",339342,276787,218832,59412,125987,57955,3087,58566,902,43329,31834,16372
3,2,302,"岩手2区",408184,351150,233339,69500,120409,117811,2686,53891,457,87496,45928,25959
3,3,303,"岩手3区",426580,371746,232452,60908,130745,139294,3371,50833,630,108580,37550,20093
4,1,401,"宮城1区",532923,398661,348882,92840,207413,49779,6272,127037,953,35337,47998,25005
4,2,402,"宮城2区",539314,422213,366387,95888,220023,55826,6628,109201,1272,41354,49006,22610
4,3,403,"宮城3区",327618,290259,208579,50142,127385,81680,2782,34114,463,63967,31168,12786
4,4,404,"宮城4区",452292,396292,293100,70108,178008,103192,3875,51601,524,80633,42228,19077
4,5,405,"宮城5区",399243,355820,203244,53098,112507,152576,2845,40302,276,119898,34876,17761
5,1,501,"秋田1区",297464,244466,204164,60762,113821,40302,2496,49576,926,28776,35152,17709
5,2,502,"秋田2区",275841,240505,158055,50664,78774,82450,1394,33751,191,60227,35286,19857
