"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_住宅に住む一般世帯","一般世帯数_主世帯","一般世帯数_持ち家","一般世帯数_公営・都市再生機構・公社の借家","一般世帯数_民営の借家","一般世帯数_給与住宅","一般世帯数_間借り","一般世帯数_住宅以外に住む一般世帯","一般世帯数_住居の種類「不詳」"
1,1,101,"北海道1区",273408,271272,267764,131982,4692,122407,8683,3508,2136,0
1,2,102,"北海道2区",264858,263102,258904,124310,9075,120726,4793,4198,1756,0
1,3,103,"北海道3区",264707,263186,259325,117554,6046,130037,5688,3861,1521,0
1,4,104,"北海道4区",217103,213366,209436,134336,13709,55504,5887,3930,3737,0
1,5,105,"北海道5区",225086,223078,219483,135552,17198,61678,5055,3595,2008,0
1,6,106,"北海道6区",223427,221130,216121,132733,12470,64070,6848,5009,2297,0
1,7,107,"北海道7区",137685,135312,132881,80722,10058,34887,7214,2431,2371,2
1,8,108,"北海道8区",193538,190280,187101,117328,11902,51210,6661,3179,3257,1
1,9,109,"北海道9区",210634,205265,202303,121027,19016,51974,10286,2962,5369,0
1,10,110,"北海道10区",147744,145968,143939,94087,18906,25564,5382,2029,1776,0
1,11,111,"北海道11区",152645,150374,148594,90122,10811,41622,6039,1780,2271,0
1,12,112,"北海道12区",158228,154148,152130,94761,15451,32585,9333,2018,4080,0
2,1,201,"青森1区",168794,164893,161852,113850,5153,37303,5546,3041,3901,0
2,2,202,"青森2区",186738,184339,181880,127855,5597,43833,4595,2459,2399,0
2,3,203,"青森3区",154117,152770,150775,115848,6747,26417,1763,1995,1347,0
3,1,301,"岩手1区",153063,151291,149729,87926,4825,51267,5711,1562,1772,0
3,2,302,"岩手2区",169749,166849,165253,126606,10020,23592,5035,1596,2900,0
3,3,303,"岩手3区",168016,165690,164330,122003,4134,33851,4342,1360,2326,0
4,1,401,"宮城1区",267751,265008,262020,130704,6196,113861,11259,2988,2743,0
4,2,402,"宮城2区",256900,254546,251868,123809,9952,104983,13124,2678,2354,0
4,3,403,"宮城3区",126904,125656,124595,90164,5684,26206,2541,1061,1248,0
4,4,404,"宮城4区",179762,177006,175101,121708,11636,36773,4984,1905,2756,0
4,5,405,"宮城5区",149232,147121,145923,111071,7355,24346,3151,1198,2111,0
5,1,501,"秋田1区",136634,135418,133487,89499,3702,36123,4163,1931,1205,11
5,2,502,"秋田2区",114502,113229,112239,94665,4098,11626,1850,990,1273,0
