"ken","kuno","kucode","kuname","一般世帯人員_総数","一般世帯人員_住宅に住む一般世帯","一般世帯人員_主世帯","一般世帯人員_持ち家","一般世帯人員_公営・都市再生機構・公社の借家","一般世帯人員_民営の借家","一般世帯人員_給与住宅","一般世帯人員_間借り","一般世帯人員_住宅以外に住む一般世帯","一般世帯人員_住居の種類「不詳」"
1,1,101,"北海道1区",509103,505622,499911,294021,7780,182384,15726,5711,3481,0
1,2,102,"北海道2区",532635,529753,522341,306929,16191,190410,8811,7412,2882,0
1,3,103,"北海道3区",516666,514055,507614,280464,10924,205074,11152,6441,2611,0
1,4,104,"北海道4区",462876,457907,450964,320442,25362,94578,10582,6943,4969,0
1,5,105,"北海道5区",491612,488612,482490,337812,30988,104552,9138,6122,3000,0
1,6,106,"北海道6区",460018,456936,448286,308973,22548,105206,11559,8650,3082,0
1,7,107,"北海道7区",284821,281647,277560,189809,18669,57191,11891,4087,3166,8
1,8,108,"北海道8区",395821,391467,385970,267205,21224,86239,11302,5497,4349,5
1,9,109,"北海道9区",427753,421269,416266,278509,34211,85231,18315,5003,6484,0
1,10,110,"北海道10区",307390,304740,301164,215478,32921,43635,9130,3576,2650,0
1,11,111,"北海道11区",320473,317420,314531,216184,19907,68199,10241,2889,3053,0
1,12,112,"北海道12区",323571,318562,315219,218555,28568,52229,15867,3343,5009,0
2,1,201,"青森1区",375150,370234,364032,282225,9962,62449,9396,6202,4916,0
2,2,202,"青森2区",435615,432326,427564,330207,11182,78207,7968,4762,3289,0
2,3,203,"青森3区",380769,378663,374797,315257,13367,42937,3236,3866,2106,0
3,1,301,"岩手1区",339342,336898,333839,230608,9643,83423,10165,3059,2444,0
3,2,302,"岩手2区",408184,404517,401358,331687,18826,43397,7448,3159,3667,0
3,3,303,"岩手3区",426580,423611,421130,347448,8265,58745,6672,2481,2969,0
4,1,401,"宮城1区",532923,529239,524443,327323,11459,165947,19714,4796,3684,0
4,2,402,"宮城2区",539314,536095,531303,324464,19119,165374,22346,4792,3219,0
4,3,403,"宮城3区",327618,325945,323912,259685,11886,48102,4239,2033,1673,0
4,4,404,"宮城4区",452292,448893,445494,347188,23051,67156,8099,3399,3399,0
4,5,405,"宮城5区",399243,396559,394295,329632,14761,45347,4555,2264,2684,0
5,1,501,"秋田1区",297464,295596,291770,221324,7452,55385,7609,3826,1841,27
