"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_うち住宅に住む一般世帯","一般世帯数_うち主世帯","一般世帯数_一戸建","一般世帯数_長屋建","一般世帯数_共同住宅","一般世帯数_共同住宅（1・2階建）","一般世帯数_共同住宅（3～5階建）","一般世帯数_共同住宅（6～10階建）","一般世帯数_共同住宅（11階建以上）","一般世帯数_その他"
1,1,101,"北海道1区",273408,271272,267764,70518,1914,195054,16266,75340,51691,51757,278
1,2,102,"北海道2区",264858,263102,258904,100721,4291,153667,29689,77345,27354,19279,225
1,3,103,"北海道3区",264707,263186,259325,77802,2197,179169,24485,96678,33772,24234,157
1,4,104,"北海道4区",217103,213366,209436,122431,4507,82199,26047,36857,10753,8542,299
1,5,105,"北海道5区",225086,223078,219483,123600,3168,92518,29616,40715,11609,10578,197
1,6,106,"北海道6区",223427,221130,216121,134708,7192,73991,49856,15581,6005,2549,230
1,7,107,"北海道7区",137685,135312,132881,85256,4756,42685,27352,12396,2526,411,184
1,8,108,"北海道8区",193538,190280,187101,119970,5399,61443,31080,22579,6039,1745,289
1,9,109,"北海道9区",210634,205265,202303,126620,5949,69423,37022,24813,4819,2769,311
1,10,110,"北海道10区",147744,145968,143939,98229,6857,38636,22033,15051,1477,75,217
1,11,111,"北海道11区",152645,150374,148594,97010,7011,44310,25422,15480,3065,343,263
1,12,112,"北海道12区",158228,154148,152130,102005,6468,43348,26807,14577,1821,143,309
2,1,201,"青森1区",168794,164893,161852,118000,3117,40402,27708,8413,2458,1823,333
2,2,202,"青森2区",186738,184339,181880,139022,4298,38358,29685,7302,818,553,202
2,3,203,"青森3区",154117,152770,150775,119522,3433,27650,19308,6428,988,926,170
3,1,301,"岩手1区",153063,151291,149729,84821,2680,62068,33812,15584,6010,6662,160
3,2,302,"岩手2区",169749,166849,165253,135986,3929,25198,15125,8253,1820,0,140
3,3,303,"岩手3区",168016,165690,164330,129488,2054,32672,24810,6456,771,635,116
4,1,401,"宮城1区",267751,265008,262020,95839,1796,164168,56871,40339,36158,30800,217
4,2,402,"宮城2区",256900,254546,251868,101373,2532,147764,53482,40958,32872,20452,199
4,3,403,"宮城3区",126904,125656,124595,94804,2295,27397,18199,6322,1746,1130,99
4,4,404,"宮城4区",179762,177006,175101,124837,3149,46956,27958,11805,5047,2146,159
4,5,405,"宮城5区",149232,147121,145923,118887,3180,23739,17174,5005,1170,390,117
5,1,501,"秋田1区",136634,135418,133487,89708,1382,42319,26780,9178,2732,3629,78
5,2,502,"秋田2区",114502,113229,112239,99342,2137,10700,8189,2227,284,0,60
5,3,503,"秋田3区",132395,131079,130274,114088,1723,14366,11534,2521,197,114,97
6,1,601,"山形1区",143207,141829,140953,95285,951,44593,23517,14756,3450,2870,124
6,2,602,"山形2区",131166,129847,129140,104350,991,23699,16084,6865,562,188,100
6,3,603,"山形3区",122419,120895,120210,100525,1162,18234,12765,4909,400,160,289
7,1,701,"福島1区",187640,185867,184334,129561,2645,51963,30553,14401,4485,2524,165
7,2,702,"福島2区",207575,205202,203130,133790,2481,66652,36764,18781,6939,4168,207
7,3,703,"福島3区",151616,149745,148388,113871,2649,31734,18494,10918,1337,985,134
7,4,704,"福島4区",193258,187370,185380,128327,3833,53017,33241,16454,1451,1871,203
8,1,801,"茨城1区",208901,207034,205232,138572,2397,64083,34963,19902,5479,3739,180
8,2,802,"茨城2区",145041,140584,138657,112519,2988,23056,15747,6608,639,62,94
8,3,803,"茨城3区",189569,187706,185719,134217,2023,49366,25143,13436,6131,4656,113
8,4,804,"茨城4区",128632,127113,125962,97640,1837,26423,17735,7090,872,726,62
