"ken","kuno","kucode","kuname","一般世帯人員_総数","一般世帯人員_うち住宅に住む一般世帯","一般世帯人員_うち主世帯","一般世帯人員_一戸建","一般世帯人員_長屋建","一般世帯人員_共同住宅","一般世帯人員_共同住宅（1・2階建）","一般世帯人員_共同住宅（3～5階建）","一般世帯人員_共同住宅（6～10階建）","一般世帯人員_共同住宅（11階建以上）","一般世帯人員_その他"
1,1,101,"北海道1区",509103,505622,499911,172372,4424,322480,25852,115471,84386,96771,635
1,2,102,"北海道2区",532635,529753,522341,259019,10768,252070,50529,116772,46586,38183,484
1,3,103,"北海道3区",516666,514055,507614,197711,5478,304073,41706,148320,62048,51999,352
1,4,104,"北海道4区",462876,457907,450964,296452,8790,145111,43031,62888,20378,18814,611
1,5,105,"北海道5区",491612,488612,482490,314075,6723,161252,49060,69020,21166,22006,440
1,6,106,"北海道6区",460018,456936,448286,317206,13449,117122,77263,26405,9183,4271,509
1,7,107,"北海道7区",284821,281647,277560,200728,8529,67900,41923,21310,3932,735,403
1,8,108,"北海道8区",395821,391467,385970,276105,9384,99860,50472,36552,9940,2896,621
1,9,109,"北海道9区",427753,421269,416266,292974,10487,112124,56394,42860,7969,4901,681
1,10,110,"北海道10区",307390,304740,301164,225838,11364,63480,35173,25786,2364,157,482
1,11,111,"北海道11区",320473,317420,314531,232596,12818,68535,39006,23972,4945,612,582
1,12,112,"北海道12区",323571,318562,315219,235206,11664,67731,39795,24675,3033,228,618
2,1,201,"青森1区",375150,370234,364032,293043,6115,64258,42358,14740,3758,3402,616
2,2,202,"青森2区",435615,432326,427564,357302,8201,61616,46495,12963,1253,905,445
2,3,203,"青森3区",380769,378663,374797,325019,6650,42723,28726,10711,1654,1632,405
3,1,301,"岩手1区",339342,336898,333839,227035,5594,100855,52441,25901,9764,12749,355
3,2,302,"岩手2区",408184,404517,401358,353565,7015,40465,23435,14038,2992,0,313
3,3,303,"岩手3区",426580,423611,421130,366096,3627,51134,36954,11582,1410,1188,273
4,1,401,"宮城1区",532923,529239,524443,253333,3822,266776,78342,62203,66644,59587,512
4,2,402,"宮城2区",539314,536095,531303,274666,5654,250544,79826,67324,61054,42340,439
4,3,403,"宮城3区",327618,325945,323912,271192,4405,48113,29403,12562,3408,2740,202
4,4,404,"宮城4区",452292,448893,445494,354974,6548,83580,46618,21868,10268,4826,392
4,5,405,"宮城5区",399243,396559,394295,348580,6389,39084,27301,9033,1997,753,242
5,1,501,"秋田1区",297464,295596,291770,223940,2738,64924,37734,16325,4341,6524,168
5,2,502,"秋田2区",275841,274020,272083,251466,3754,16705,12496,3720,489,0,158
5,3,503,"秋田3区",350507,348533,346905,320610,3415,22617,17842,4247,333,195,263
6,1,601,"山形1区",353244,351286,349542,274200,1885,73111,37427,23631,6388,5665,346
6,2,602,"山形2区",358798,357002,355668,314952,1993,38431,24779,12154,1140,358,292
6,3,603,"山形3区",323281,321179,319868,288561,2272,28239,18813,8408,700,318,796
7,1,701,"福島1区",454486,452067,449085,358865,4953,84857,47768,24730,7709,4650,410
7,2,702,"福島2区",508831,505824,501957,385330,5094,110996,57820,32626,12445,8105,537
7,3,703,"福島3区",384015,381582,379095,321256,5061,52415,28351,20039,2225,1800,363
7,4,704,"福島4区",441619,435131,431569,338845,6532,85765,50668,28997,2681,3419,427
8,1,801,"茨城1区",489577,486900,483771,372703,4896,105767,54043,33701,10006,8017,405
8,2,802,"茨城2区",355458,350480,347378,303649,5883,37652,24998,11588,938,128,194
8,3,803,"茨城3区",450843,448138,444839,355719,3967,84899,37634,23624,13214,10427,254
8,4,804,"茨城4区",306539,304584,302450,253396,3783,45118,28588,13157,1759,1614,153
8,5,805,"茨城5区",275326,272992,270992,211806,3654,55242,28611,22037,2707,1887,290
