"ken","kuno","kucode","kuname","人口_総数","人口_労働力人口","人口_非労働力人口","人口_労働力状態「不詳」"
1,1,101,"北海道1区",460564,232391,155354,72819
1,2,102,"北海道2区",473573,245644,155955,71974
1,3,103,"北海道3区",468806,245214,146416,77176
1,4,104,"北海道4区",423465,218574,163810,41081
1,5,105,"北海道5区",450015,238630,170376,41009
1,6,106,"北海道6区",425921,232767,170961,22193
1,7,107,"北海道7区",260679,142969,95862,21848
1,8,108,"北海道8区",369997,195917,147668,26412
1,9,109,"北海道9区",393773,211547,154518,27708
1,10,110,"北海道10区",293408,155165,125681,12562
1,11,111,"北海道11区",291686,164746,97775,29165
1,12,112,"北海道12区",297863,165831,109409,22623
2,1,201,"青森1区",338213,193201,138031,6981
2,2,202,"青森2区",396827,231048,150350,15429
2,3,203,"青森3区",354070,207447,131738,14885
3,1,301,"岩手1区",300354,179688,109155,11511
3,2,302,"岩手2区",376567,218757,151619,6191
3,3,303,"岩手3区",386254,230436,140782,15036
4,1,401,"宮城1区",464554,255772,160888,47894
4,2,402,"宮城2区",465750,268309,153625,43816
4,3,403,"宮城3区",291138,165886,108449,16803
4,4,404,"宮城4区",400633,227235,146292,27106
4,5,405,"宮城5区",363754,213069,137878,12807
5,1,501,"秋田1区",268704,148771,102538,17395
5,2,502,"秋田2区",262609,142472,113089,7048
5,3,503,"秋田3区",326942,192257,128920,5765
6,1,601,"山形1区",314923,184718,113684,16521
6,2,602,"山形2区",326710,198841,119311,8558
6,3,603,"山形3区",296740,176393,112713,7634
7,1,701,"福島1区",407062,232313,148567,26182
7,2,702,"福島2区",448118,260079,151413,36626
7,3,703,"福島3区",346663,201878,126255,18530
7,4,704,"福島4区",391223,215220,148229,27774
8,1,801,"茨城1区",433728,249265,154557,29906
8,2,802,"茨城2区",318536,186965,106899,24672
8,3,803,"茨城3区",401960,218161,148671,35128
8,4,804,"茨城4区",274357,154872,104622,14863
8,5,805,"茨城5区",248215,130920,101300,15995
8,6,806,"茨城6区",452402,267539,152904,31959
8,7,807,"茨城7区",348874,210358,116717,21799
9,1,901,"栃木1区",425525,230954,132506,62065
9,2,902,"栃木2区",262821,156585,93796,12440
9,3,903,"栃木3区",246365,145119,85879,15367
9,4,904,"栃木4区",368779,221154,126839,20786
9,5,905,"栃木5区",366502,211976,137991,16535
10,1,1001,"群馬1区",344682,204749,128071,11862
10,2,1002,"群馬2区",349554,207594,118590,23370
