"ken","kuno","kucode","kuname","人口_総数","人口_労働力人口","人口_非労働力人口","人口_労働力状態「不詳」"
1,1,101,"北海道1区",206371,121296,50515,34560
1,2,102,"北海道2区",221477,131527,53434,36516
1,3,103,"北海道3区",216333,128879,48646,38808
1,4,104,"北海道4区",195823,118754,56772,20297
1,5,105,"北海道5区",212817,132139,59868,20810
1,6,106,"北海道6区",196591,125816,59418,11357
1,7,107,"北海道7区",122892,78791,33191,10910
1,8,108,"北海道8区",168006,105489,50090,12427
1,9,109,"北海道9区",189449,120257,54540,14652
1,10,110,"北海道10区",136716,85456,44802,6458
1,11,111,"北海道11区",138277,89743,33895,14639
1,12,112,"北海道12区",142936,92660,38721,11555
2,1,201,"青森1区",157515,106038,48162,3315
2,2,202,"青森2区",188475,126232,54128,8115
2,3,203,"青森3区",160528,108556,44963,7009
3,1,301,"岩手1区",139913,95755,38541,5617
3,2,302,"岩手2区",179658,121868,54495,3295
3,3,303,"岩手3区",186345,128103,50004,8238
4,1,401,"宮城1区",221128,138604,57591,24933
4,2,402,"宮城2区",224073,147746,53254,23073
4,3,403,"宮城3区",142332,93576,39832,8924
4,4,404,"宮城4区",194754,129475,50908,14371
4,5,405,"宮城5区",176141,120521,48793,6827
5,1,501,"秋田1区",124882,80051,36209,8622
5,2,502,"秋田2区",121562,78058,39810,3694
5,3,503,"秋田3区",153466,105938,44583,2945
6,1,601,"山形1区",149742,99310,42011,8421
6,2,602,"山形2区",158540,110121,43908,4511
6,3,603,"山形3区",140798,95493,41262,4043
7,1,701,"福島1区",197116,129240,54253,13623
7,2,702,"福島2区",218872,145051,54634,19187
7,3,703,"福島3区",167560,112243,45927,9390
7,4,704,"福島4区",194210,126234,52911,15065
8,1,801,"茨城1区",210935,138819,55905,16211
8,2,802,"茨城2区",161317,107323,40199,13795
8,3,803,"茨城3区",198145,123478,56165,18502
8,4,804,"茨城4区",135654,88786,38748,8120
8,5,805,"茨城5区",123801,76745,38237,8819
8,6,806,"茨城6区",225090,151106,56937,17047
8,7,807,"茨城7区",175267,119595,43461,12211
9,1,901,"栃木1区",211804,132453,46738,32613
9,2,902,"栃木2区",130428,88561,35137,6730
9,3,903,"栃木3区",121253,80458,32694,8101
9,4,904,"栃木4区",183766,125530,46750,11486
9,5,905,"栃木5区",180233,119528,51233,9472
10,1,1001,"群馬1区",165411,112314,46978,6119
10,2,1002,"群馬2区",171771,114879,44479,12413
10,3,1003,"群馬3区",175892,118515,43100,14277
10,4,1004,"群馬4区",148516,98558,39888,10070
10,5,1005,"群馬5区",159274,106224,46696,6354
11,1,1101,"埼玉1区",186596,117179,42619,26798
11,2,1102,"埼玉2区",207004,133065,39450,34489
11,3,1103,"埼玉3区",194715,124497,43173,27045
11,4,1104,"埼玉4区",198731,125884,38232,34615
11,5,1105,"埼玉5区",194224,122278,42329,29617
11,6,1106,"埼玉6区",203356,134704,55969,12683
11,7,1107,"埼玉7区",179215,119337,46086,13792
11,8,1108,"埼玉8区",190241,126933,50356,12952
11,9,1109,"埼玉9区",207584,129400,60376,17808
11,10,1110,"埼玉10区",170693,106315,48376,16002
11,11,1111,"埼玉11区",174513,115499,49365,9649
11,12,1112,"埼玉12区",190747,125160,52540,13047
11,13,1113,"埼玉13区",190410,121608,53162,15640
11,14,1114,"埼玉14区",212820,130370,40249,42201
11,15,1115,"埼玉15区",215112,137127,40737,37248
11,16,1116,"埼玉16区",181079,117826,47518,15735
12,1,1201,"千葉1区",209922,129449,51829,28644
12,2,1202,"千葉2区",159321,97181,38997,23143
12,3,1203,"千葉3区",172119,106752,41797,23570
12,4,1204,"千葉4区",205327,131777,42349,31201
12,5,1205,"千葉5区",215466,140417,35481,39568
12,6,1206,"千葉6区",212929,130807,46794,35328
12,7,1207,"千葉7区",146945,92842,35952,18151
12,8,1208,"千葉8区",177120,109818,42574,24728
12,9,1209,"千葉9区",205454,123977,58199,23278
12,10,1210,"千葉10区",170880,111679,46230,12971
12,11,1211,"千葉11区",180217,111921,56319,11977
12,12,1212,"千葉12区",191809,123524,53325,14960
12,13,1213,"千葉13区",209998,129106,54323,26569
12,14,1214,"千葉14区",210673,131668,52490,26515
13,1,1301,"東京1区",170454,84793,21388,64273
13,2,1302,"東京2区",167165,96158,19112,51895
13,3,1303,"東京3区",183395,118083,28616,36696
13,4,1304,"東京4区",220290,137628,34144,48518
13,5,1305,"東京5区",185495,101676,29213,54606
13,6,1306,"東京6区",201260,110303,34636,56321
13,7,1307,"東京7区",193923,100008,22141,71774
13,8,1308,"東京8区",186626,108646,31350,46630
13,9,1309,"東京9区",149104,86110,29276,33718
13,10,1310,"東京10区",226799,123370,33411,70018
13,11,1311,"東京11区",197986,107648,34288,56050
13,12,1312,"東京12区",200742,108226,33905,58611
13,13,1313,"東京13区",199586,107840,33648,58098
13,14,1314,"東京14区",209488,123675,33106,52707
13,15,1315,"東京15区",221489,133048,34354,54087
13,16,1316,"東京16区",208298,125128,32845,50325
13,17,1317,"東京17区",197631,112982,39129,45520
13,18,1318,"東京18区",196872,116625,40652,39595
13,19,1319,"東京19区",165078,96105,35349,33624
13,20,1320,"東京20区",207323,118871,50548,37904
13,21,1321,"東京21区",209127,119325,46796,43006
13,22,1322,"東京22区",211865,124642,41181,46042
13,23,1323,"東京23区",178364,105772,45152,27440
13,24,1324,"東京24区",198763,111662,53653,33448
13,25,1325,"東京25区",214039,127171,53492,33376
13,26,1326,"東京26区",212080,120863,33872,57345
13,27,1327,"東京27区",197786,106284,27810,63692
13,28,1328,"東京28区",155705,92516,25836,37353
13,29,1329,"東京29区",189542,104477,31556,53509
13,30,1330,"東京30区",213320,129215,48547,35558
14,1,1401,"神奈川1区",217198,130811,53551,32836
14,2,1402,"神奈川2区",221468,132361,49268,39839
14,3,1403,"神奈川3区",235129,147113,41275,46741
14,4,1404,"神奈川4区",156346,93988,44358,18000
14,5,1405,"神奈川5区",181666,114647,47576,19443
14,6,1406,"神奈川6区",190495,113908,47606,28981
14,7,1407,"神奈川7区",149819,96292,27101,26426
14,8,1408,"神奈川8区",202700,128041,48084,26575
14,9,1409,"神奈川9区",169134,103217,34720,31197
14,10,1410,"神奈川10区",180369,114665,30883,34821
14,11,1411,"神奈川11区",190496,116325,53567,20604
14,12,1412,"神奈川12区",202471,130548,47375,24548
14,13,1413,"神奈川13区",188823,111152,42741,34930
14,14,1414,"神奈川14区",209949,129725,49007,31217
14,15,1415,"神奈川15区",224802,135093,55862,33847
14,16,1416,"神奈川16区",203335,127285,49266,26784
14,17,1417,"神奈川17区",225291,141829,63941,19521
14,18,1418,"神奈川18区",210152,138158,33900,38094
14,19,1419,"神奈川19区",181335,117500,36261,27574
14,20,1420,"神奈川20区",175146,105379,39622,30145
15,1,1501,"新潟1区",177695,115950,50068,11677
15,2,1502,"新潟2区",199527,133753,57111,8663
15,3,1503,"新潟3区",188379,124906,56654,6819
