"ken","kuno","kucode","kuname","人口_総数","人口_労働力人口","人口_非労働力人口","人口_労働力状態「不詳」"
1,1,101,"北海道1区",254193,111095,104839,38259
1,2,102,"北海道2区",252096,114117,102521,35458
1,3,103,"北海道3区",252473,116335,97770,38368
1,4,104,"北海道4区",227642,99820,107038,20784
1,5,105,"北海道5区",237198,106491,110508,20199
1,6,106,"北海道6区",229330,106951,111543,10836
1,7,107,"北海道7区",137787,64178,62671,10938
1,8,108,"北海道8区",201991,90428,97578,13985
1,9,109,"北海道9区",204324,91290,99978,13056
1,10,110,"北海道10区",156692,69709,80879,6104
1,11,111,"北海道11区",153409,75003,63880,14526
1,12,112,"北海道12区",154927,73171,70688,11068
2,1,201,"青森1区",180698,87163,89869,3666
2,2,202,"青森2区",208352,104816,96222,7314
2,3,203,"青森3区",193542,98891,86775,7876
3,1,301,"岩手1区",160441,83933,70614,5894
3,2,302,"岩手2区",196909,96889,97124,2896
3,3,303,"岩手3区",199909,102333,90778,6798
4,1,401,"宮城1区",243426,117168,103297,22961
4,2,402,"宮城2区",241677,120563,100371,20743
4,3,403,"宮城3区",148806,72310,68617,7879
4,4,404,"宮城4区",205879,97760,95384,12735
4,5,405,"宮城5区",187613,92548,89085,5980
5,1,501,"秋田1区",143822,68720,66329,8773
5,2,502,"秋田2区",141047,64414,73279,3354
5,3,503,"秋田3区",173476,86319,84337,2820
6,1,601,"山形1区",165181,85408,71673,8100
6,2,602,"山形2区",168170,88720,75403,4047
6,3,603,"山形3区",155942,80900,71451,3591
7,1,701,"福島1区",209946,103073,94314,12559
7,2,702,"福島2区",229246,115028,96779,17439
7,3,703,"福島3区",179103,89635,80328,9140
7,4,704,"福島4区",197013,88986,95318,12709
8,1,801,"茨城1区",222793,110446,98652,13695
8,2,802,"茨城2区",157219,79642,66700,10877
8,3,803,"茨城3区",203815,94683,92506,16626
8,4,804,"茨城4区",138703,66086,65874,6743
8,5,805,"茨城5区",124414,54175,63063,7176
8,6,806,"茨城6区",227312,116433,95967,14912
8,7,807,"茨城7区",173607,90763,73256,9588
9,1,901,"栃木1区",213721,98501,85768,29452
9,2,902,"栃木2区",132393,68024,58659,5710
9,3,903,"栃木3区",125112,64661,53185,7266
9,4,904,"栃木4区",185013,95624,80089,9300
9,5,905,"栃木5区",186269,92448,86758,7063
10,1,1001,"群馬1区",179271,92435,81093,5743
10,2,1002,"群馬2区",177783,92715,74111,10957
10,3,1003,"群馬3区",170247,86762,72683,10802
10,4,1004,"群馬4区",157227,79428,69661,8138
10,5,1005,"群馬5区",167568,85684,76124,5760
11,1,1101,"埼玉1区",199094,93605,80544,24945
11,2,1102,"埼玉2区",205460,102617,75046,27797
11,3,1103,"埼玉3区",201658,97355,81267,23036
11,4,1104,"埼玉4区",200808,98217,73401,29190
11,5,1105,"埼玉5区",202396,95330,81021,26045
11,6,1106,"埼玉6区",212560,104550,96718,11292
11,7,1107,"埼玉7区",187122,93974,79761,13387
11,8,1108,"埼玉8区",202619,100596,89813,12210
11,9,1109,"埼玉9区",212635,98745,99144,14746
11,10,1110,"埼玉10区",172211,81269,77888,13054
11,11,1111,"埼玉11区",179060,89862,81084,8114
11,12,1112,"埼玉12区",193502,95093,87776,10633
11,13,1113,"埼玉13区",193581,91576,88911,13094
11,14,1114,"埼玉14区",208832,99084,75378,34370
11,15,1115,"埼玉15区",213307,106943,76163,30201
11,16,1116,"埼玉16区",188297,90655,83409,14233
12,1,1201,"千葉1区",219596,104098,89924,25574
12,2,1202,"千葉2区",167384,77409,69187,20788
12,3,1203,"千葉3区",170753,78548,71835,20370
12,4,1204,"千葉4区",211344,103821,80856,26667
12,5,1205,"千葉5区",215091,113208,70029,31854
12,6,1206,"千葉6区",220153,103544,86623,29986
12,7,1207,"千葉7区",151244,71774,63456,16014
12,8,1208,"千葉8区",184831,85583,77094,22154
12,9,1209,"千葉9区",211505,95252,95661,20592
12,10,1210,"千葉10区",177572,89361,77302,10909
12,11,1211,"千葉11区",187163,87177,90049,9937
12,12,1212,"千葉12区",195891,93446,89537,12908
12,13,1213,"千葉13区",218792,100672,94477,23643
12,14,1214,"千葉14区",216183,101532,91830,22821
13,1,1301,"東京1区",173693,72927,43986,56780
13,2,1302,"東京2区",169200,83151,40876,45173
13,3,1303,"東京3区",190425,99965,57457,33003
13,4,1304,"東京4区",217899,111282,66215,40402
13,5,1305,"東京5区",215414,94139,63650,57625
13,6,1306,"東京6区",226508,100242,69766,56500
13,7,1307,"東京7区",219028,91701,53374,73953
13,8,1308,"東京8区",210827,99918,66170,44739
13,9,1309,"東京9区",163646,72886,58378,32382
13,10,1310,"東京10区",237612,110081,65110,62421
13,11,1311,"東京11区",211257,95690,65240,50327
13,12,1312,"東京12区",207922,91054,65059,51809
13,13,1313,"東京13区",202632,87413,63539,51680
13,14,1314,"東京14区",214097,103827,63952,46318
13,15,1315,"東京15区",230229,110662,68802,50765
13,16,1316,"東京16区",207006,97838,66625,42543
13,17,1317,"東京17区",200230,92181,69330,38719
13,18,1318,"東京18区",213636,97987,78986,36663
13,19,1319,"東京19区",176504,78539,66488,31477
13,20,1320,"東京20区",222881,96122,91558,35201
13,21,1321,"東京21区",211784,93403,80508,37873
