"ken","kuno","kucode","kuname","就業者数_総数","就業者数_雇用者（役員を含む）","就業者数_自営業主（家庭内職者を含む）","就業者数_家族従業者","就業者数_従業上の地位「不詳」"
1,1,101,"北海道1区",221641,198057,16201,2619,4764
1,2,102,"北海道2区",234457,211460,15203,2663,5131
1,3,103,"北海道3区",233257,212358,14057,2277,4565
1,4,104,"北海道4区",208686,182902,15879,5905,4000
1,5,105,"北海道5区",228348,207463,13176,3838,3871
1,6,106,"北海道6区",223811,191063,19876,9861,3011
1,7,107,"北海道7区",138192,115221,12907,8081,1983
1,8,108,"北海道8区",186106,156519,17470,8287,3830
1,9,109,"北海道9区",203314,177010,15661,7258,3385
1,10,110,"北海道10区",149081,121739,15210,9987,2145
1,11,111,"北海道11区",159851,130915,14638,10565,3733
1,12,112,"北海道12区",160526,130943,15639,11404,2540
2,1,201,"青森1区",183994,158042,15861,6857,3234
2,2,202,"青森2区",221211,186023,21103,10954,3131
2,3,203,"青森3区",197186,146032,27975,19378,3801
3,1,301,"岩手1区",172920,151902,13391,4862,2765
3,2,302,"岩手2区",209675,170308,24359,12646,2362
3,3,303,"岩手3区",222498,183422,24360,11972,2744
4,1,401,"宮城1区",244661,220821,15766,3708,4366
4,2,402,"宮城2区",257529,234168,15120,3608,4633
4,3,403,"宮城3区",158176,137384,13159,5141,2492
4,4,404,"宮城4区",216453,190179,16691,6385,3198
4,5,405,"宮城5区",204529,165202,23445,12068,3814
5,1,501,"秋田1区",142787,126460,10408,2755,3164
5,2,502,"秋田2区",136128,111895,15687,7288,1258
5,3,503,"秋田3区",184979,146687,24786,11846,1660
6,1,601,"山形1区",177992,151695,16273,6965,3059
6,2,602,"山形2区",192451,154943,22816,11797,2895
6,3,603,"山形3区",170479,138203,20067,9993,2216
7,1,701,"福島1区",223115,189632,20217,8973,4293
7,2,702,"福島2区",249328,210375,22785,10115,6053
7,3,703,"福島3区",194606,157905,22207,11024,3470
7,4,704,"福島4区",204996,180214,15584,5705,3493
8,1,801,"茨城1区",239513,204303,22061,8690,4459
8,2,802,"茨城2区",180072,145976,18663,11663,3770
8,3,803,"茨城3区",209255,184424,15982,5105,3744
8,4,804,"茨城4区",149108,128028,13244,5412,2424
8,5,805,"茨城5区",124761,110994,8936,3092,1739
8,6,806,"茨城6区",258060,226038,19763,7330,4929
8,7,807,"茨城7区",202175,168671,18652,10006,4846
9,1,901,"栃木1区",222444,197160,15124,5134,5026
9,2,902,"栃木2区",149727,127142,13852,6356,2377
9,3,903,"栃木3区",139551,113508,14965,7643,3435
9,4,904,"栃木4区",212221,181081,18730,8851,3559
9,5,905,"栃木5区",202652,175788,17412,6662,2790
10,1,1001,"群馬1区",197520,167577,19050,7919,2974
10,2,1002,"群馬2区",199336,171633,17240,6604,3859
10,3,1003,"群馬3区",196245,171782,14885,6123,3455
10,4,1004,"群馬4区",171398,150718,13773,4079,2828
10,5,1005,"群馬5区",185446,155128,18994,8009,3315
11,1,1101,"埼玉1区",203563,184579,12383,2885,3716
11,2,1102,"埼玉2区",226112,201880,15704,3473,5055
11,3,1103,"埼玉3区",213443,191052,14269,3411,4711
11,4,1104,"埼玉4区",216198,194219,14694,2869,4416
11,5,1105,"埼玉5区",209809,191528,11852,2499,3930
11,6,1106,"埼玉6区",229539,206405,15122,3828,4184
11,7,1107,"埼玉7区",205113,182314,14826,4013,3960
11,8,1108,"埼玉8区",218531,195644,15563,3714,3610
11,9,1109,"埼玉9区",217752,193901,16381,4083,3387
11,10,1110,"埼玉10区",178920,157601,14285,3880,3154
11,11,1111,"埼玉11区",196389,166620,18800,7568,3401
11,12,1112,"埼玉12区",211089,184367,17118,5700,3904
11,13,1113,"埼玉13区",204597,181335,14768,4241,4253
11,14,1114,"埼玉14区",220753,195730,15464,3726,5833
11,15,1115,"埼玉15区",235107,213921,13424,2510,5252
11,16,1116,"埼玉16区",199965,175753,15240,4162,4810
12,1,1201,"千葉1区",224270,206652,11275,2277,4066
12,2,1202,"千葉2区",168039,152991,9299,2088,3661
12,3,1203,"千葉3区",178402,160516,10247,2675,4964
12,4,1204,"千葉4区",227543,206924,12765,3025,4829
12,5,1205,"千葉5区",245273,224319,12753,2232,5969
12,6,1206,"千葉6区",224960,202116,14250,3166,5428
12,7,1207,"千葉7区",158989,142451,10441,2749,3348
12,8,1208,"千葉8区",188382,169835,12231,2932,3384
12,9,1209,"千葉9区",209363,185322,15332,4462,4247
12,10,1210,"千葉10区",192652,157287,19605,11827,3933
12,11,1211,"千葉11区",189325,156922,20494,8605,3304
12,12,1212,"千葉12区",209627,178113,19204,7552,4758
12,13,1213,"千葉13区",220925,196608,15366,5023,3928
12,14,1214,"千葉14区",224385,204332,12686,2786,4581
13,1,1301,"東京1区",152350,130060,14226,2475,5589
13,2,1302,"東京2区",174055,150534,14901,3189,5431
13,3,1303,"東京3区",211660,187124,16306,3056,5174
13,4,1304,"東京4区",240655,213899,14980,3030,8746
13,5,1305,"東京5区",189805,163863,18839,2828,4275
13,6,1306,"東京6区",203557,176616,19432,3009,4500
13,7,1307,"東京7区",185936,158223,19641,2824,5248
13,8,1308,"東京8区",201414,176505,18487,2858,3564
13,9,1309,"東京9区",153152,134182,13613,2326,3031
13,10,1310,"東京10区",225437,197811,19665,3503,4458
13,11,1311,"東京11区",195196,172023,14853,2737,5583
13,12,1312,"東京12区",191376,169768,13325,2363,5920
13,13,1313,"東京13区",186784,163639,14439,2996,5710
13,14,1314,"東京14区",219007,193868,16299,3690,5150
13,15,1315,"東京15区",235716,211296,14734,2691,6995
13,16,1316,"東京16区",214781,191832,13883,2825,6241
13,17,1317,"東京17区",196619,173388,14900,3354,4977
13,18,1318,"東京18区",206709,183323,17080,2859,3447
13,19,1319,"東京19区",168246,149996,12945,2323,2982
13,20,1320,"東京20区",206234,181220,17125,3499,4390
13,21,1321,"東京21区",204292,184526,13581,2488,3697
13,22,1322,"東京22区",223137,197399,18506,3106,4126
13,23,1323,"東京23区",182372,162369,13856,2491,3656
13,24,1324,"東京24区",189360,168085,14629,3163,3483
13,25,1325,"東京25区",214962,188681,17440,3883,4958
13,26,1326,"東京26区",223859,195810,19800,3114,5135
13,27,1327,"東京27区",191113,167506,17578,2495,3534
13,28,1328,"東京28区",168578,149632,13256,2161,3529
13,29,1329,"東京29区",183169,158733,15213,3493,5730
13,30,1330,"東京30区",222775,200364,15622,2789,4000
14,1,1401,"神奈川1区",224172,202792,14014,2629,4737
14,2,1402,"神奈川2区",229534,208230,13814,2501,4989
14,3,1403,"神奈川3区",250922,228589,13872,2719,5742
14,4,1404,"神奈川4区",164336,145236,13920,2566,2614
14,5,1405,"神奈川5区",196021,178925,11285,2250,3561
14,6,1406,"神奈川6区",196075,178134,12158,2197,3586
14,7,1407,"神奈川7区",167663,153396,9863,1823,2581
14,8,1408,"神奈川8区",222575,202976,13894,2519,3186
14,9,1409,"神奈川9区",179902,162693,12118,2076,3015
14,10,1410,"神奈川10区",190053,172317,9924,1996,5816
14,11,1411,"神奈川11区",191520,170664,13320,4073,3463
14,12,1412,"神奈川12区",221229,198162,15470,3484,4113
14,13,1413,"神奈川13区",188470,170016,11949,2442,4063
14,14,1414,"神奈川14区",218830,196327,14871,3021,4611
14,15,1415,"神奈川15区",230368,205700,16236,3815,4617
14,16,1416,"神奈川16区",210733,190465,13243,3310,3715
14,17,1417,"神奈川17区",243340,214586,18823,5626,4305
14,18,1418,"神奈川18区",241822,221343,13461,2337,4681
14,19,1419,"神奈川19区",204996,186223,12845,2487,3441
14,20,1420,"神奈川20区",180493,163018,11722,2188,3565
15,1,1501,"新潟1区",207680,181828,17045,5695,3112
15,2,1502,"新潟2区",237536,201729,22129,9839,3839
15,3,1503,"新潟3区",219560,187291,20745,8169,3355
15,4,1504,"新潟4区",208982,185069,16521,5618,1774
15,5,1505,"新潟5区",210652,179173,20655,8203,2621
16,1,1601,"富山1区",162309,144136,11726,3540,2907
16,2,1602,"富山2区",147834,129769,11902,4052,2111
16,3,1603,"富山3区",218818,190938,17975,6400,3505
17,1,1701,"石川1区",222028,194987,17684,4995,4362
17,2,1702,"石川2区",201573,177778,16197,5504,2094
17,3,1703,"石川3区",136532,115209,14469,5462,1392
18,1,1801,"福井1区",232963,201392,20885,6957,3729
18,2,1802,"福井2区",162802,140579,14700,5391,2132
19,1,1901,"山梨1区",244990,205794,26684,9276,3236
19,2,1902,"山梨2区",153588,122515,19535,9984,1554
20,1,2001,"長野1区",255009,211067,27404,11646,4892
20,2,2002,"長野2区",226993,185832,26376,10914,3871
20,3,2003,"長野3区",230116,190322,26012,10918,2864
20,4,2004,"長野4区",145147,123218,14983,5757,1189
20,5,2005,"長野5区",177016,145296,20616,8923,2181
21,1,2101,"岐阜1区",194500,167929,17249,5387,3935
21,2,2102,"岐阜2区",176741,154243,14488,5601,2409
21,3,2103,"岐阜3区",241339,210539,20153,7014,3633
21,4,2104,"岐阜4区",200222,171332,19257,7695,1938
21,5,2105,"岐阜5区",159926,139387,13559,4777,2203
22,1,2201,"静岡1区",230125,198695,20731,6534,4165
22,2,2202,"静岡2区",234029,201603,21161,8387,2878
22,3,2203,"静岡3区",241849,211250,19383,8465,2751
22,4,2204,"静岡4区",185774,160123,16483,5906,3262
22,5,2205,"静岡5区",262768,235304,19644,6599,1221
22,6,2206,"静岡6区",228009,193928,23269,8381,2431
22,7,2207,"静岡7区",197279,170401,17862,7684,1332
22,8,2208,"静岡8区",237215,213568,17295,4778,1574
23,1,2301,"愛知1区",223713,197685,17079,4275,4674
23,2,2302,"愛知2区",226925,203196,16092,3710,3927
23,3,2303,"愛知3区",235818,212435,15482,3806,4095
23,4,2304,"愛知4区",204505,183290,13710,3665,3840
23,5,2305,"愛知5区",195459,173299,14046,3788,4326
23,6,2306,"愛知6区",205092,184316,13746,3521,3509
23,7,2307,"愛知7区",210095,190569,13257,3307,2962
23,8,2308,"愛知8区",260123,231502,17416,6522,4683
23,9,2309,"愛知9区",228001,198742,18293,6915,4051
23,10,2310,"愛知10区",195072,172366,14340,4458,3908
23,11,2311,"愛知11区",240792,218465,13046,4223,5058
23,12,2312,"愛知12区",278089,245953,19611,7347,5178
23,13,2313,"愛知13区",262652,236917,15383,5455,4897
23,14,2314,"愛知14区",186500,161513,15825,6726,2436
23,15,2315,"愛知15区",222649,185135,20531,12762,4221
23,16,2316,"愛知16区",229953,206417,15061,4255,4220
24,1,2401,"三重1区",206140,179537,16921,5268,4414
24,2,2402,"三重2区",237858,208893,17784,5799,5382
24,3,2403,"三重3区",241744,214491,16196,5181,5876
24,4,2404,"三重4区",160026,130061,19239,7225,3501
25,1,2501,"滋賀1区",174504,153255,14179,3887,3183
25,2,2502,"滋賀2区",262887,229463,21195,7048,5181
25,3,2503,"滋賀3区",229211,205107,15510,4460,4134
26,1,2601,"京都1区",206612,174181,21140,6351,4940
26,2,2602,"京都2区",130223,108835,14455,3892,3041
26,3,2603,"京都3区",177899,156042,14605,3661,3591
26,4,2604,"京都4区",200692,170383,20424,5551,4334
26,5,2605,"京都5区",135605,111431,15860,5755,2559
26,6,2606,"京都6区",235396,205714,19289,5601,4792
27,1,2701,"大阪1区",209327,179345,18910,4594,6478
27,2,2702,"大阪2区",208635,176638,20691,5380,5926
27,3,2703,"大阪3区",158088,135726,13862,3179,5321
27,4,2704,"大阪4区",205162,179263,16819,3541,5539
27,5,2705,"大阪5区",210981,186514,15119,3071,6277
27,6,2706,"大阪6区",192486,166379,16804,3536,5767
27,7,2707,"大阪7区",206566,186382,13373,2420,4391
27,8,2708,"大阪8区",218655,194840,16218,3478,4119
27,9,2709,"大阪9区",193089,172926,14022,3013,3128
27,10,2710,"大阪10区",160993,144791,10603,2168,3431
27,11,2711,"大阪11区",193704,173470,13508,2823,3903
27,12,2712,"大阪12区",171302,149789,14143,2943,4427
27,13,2713,"大阪13区",192042,164931,17027,4164,5920
27,14,2714,"大阪14区",217257,188428,19208,4692,4929
27,15,2715,"大阪15区",189892,164682,16597,4102,4511
27,16,2716,"大阪16区",169316,149572,12750,2912,4082
27,17,2717,"大阪17区",162181,142255,12929,2768,4229
27,18,2718,"大阪18区",218618,191068,17651,4615,5284
27,19,2719,"大阪19区",157100,136658,13294,3844,3304
28,1,2801,"兵庫1区",207519,183778,15920,3430,4391
28,2,2802,"兵庫2区",192646,168371,15780,3669,4826
28,3,2803,"兵庫3区",149917,134132,10534,2107,3144
28,4,2804,"兵庫4区",229866,199592,19530,6230,4514
28,5,2805,"兵庫5区",212377,179531,22232,7933,2681
28,6,2806,"兵庫6区",218782,195341,15328,3362,4751
28,7,2807,"兵庫7区",227226,203275,16499,3364,4088
28,8,2808,"兵庫8区",185592,164281,13937,2791,4583
28,9,2809,"兵庫9区",188780,158000,18572,7826,4382
28,10,2810,"兵庫10区",184388,164577,12706,2994,4111
28,11,2811,"兵庫11区",225948,200783,17233,4706,3226
28,12,2812,"兵庫12区",154413,132995,14472,4792,2154
29,1,2901,"奈良1区",196086,173404,15697,4076,2909
29,2,2902,"奈良2区",197449,171611,16882,5395,3561
29,3,2903,"奈良3区",179978,149847,19287,7179,3665
30,1,3001,"和歌山1区",211580,177455,21459,7804,4862
