"ken","kuno","kucode","kuname","就業者数_総数","就業者数_雇用者（役員を含む）","就業者数_自営業主（家庭内職者を含む）","就業者数_家族従業者","就業者数_従業上の地位「不詳」"
1,1,101,"北海道1区",115340,101930,10486,349,2575
1,2,102,"北海道2区",125095,110981,10831,415,2868
1,3,103,"北海道3区",122194,109622,9692,353,2527
1,4,104,"北海道4区",112789,97513,11745,1272,2259
1,5,105,"北海道5区",125912,113593,9353,841,2125
1,6,106,"北海道6区",120521,101623,14906,2216,1776
1,7,107,"北海道7区",75924,62595,9951,2178,1200
1,8,108,"北海道8区",99476,81967,13289,2028,2192
1,9,109,"北海道9区",115067,99856,11580,1571,2060
1,10,110,"北海道10区",81506,65986,11848,2469,1203
1,11,111,"北海道11区",86814,70237,11537,2901,2139
1,12,112,"北海道12区",89352,72140,12489,3182,1541
2,1,201,"青森1区",100262,84912,11756,1748,1846
2,2,202,"青森2区",120082,100452,15457,2331,1842
2,3,203,"青森3区",101938,73166,21866,4920,1986
3,1,301,"岩手1区",91765,79803,9504,955,1503
3,2,302,"岩手2区",115645,92736,18699,2810,1400
3,3,303,"岩手3区",122836,100104,18820,2327,1585
4,1,401,"宮城1区",132073,117985,10876,674,2538
4,2,402,"宮城2区",141421,127159,10822,661,2779
4,3,403,"宮城3区",88564,75861,10120,1126,1457
4,4,404,"宮城4区",122531,106190,12881,1487,1973
4,5,405,"宮城5区",114800,90589,18982,2911,2318
5,1,501,"秋田1区",76362,66773,7280,523,1786
5,2,502,"秋田2区",73623,59108,12112,1646,757
5,3,503,"秋田3区",101066,77822,19810,2512,922
6,1,601,"山形1区",95172,79687,12299,1555,1631
6,2,602,"山形2区",105945,83371,18203,2715,1656
6,3,603,"山形3区",91688,72339,15609,2483,1257
7,1,701,"福島1区",123312,103404,15672,1830,2406
7,2,702,"福島2区",138169,115355,17374,2067,3373
7,3,703,"福島3区",107425,85879,17226,2366,1954
7,4,704,"福島4区",119438,104329,11708,1181,2220
8,1,801,"茨城1区",132454,110757,17188,1877,2632
8,2,802,"茨城2区",102843,82410,15112,3009,2312
8,3,803,"茨城3区",117630,102175,12075,1142,2238
8,4,804,"茨城4区",85009,72237,10346,1024,1402
8,5,805,"茨城5区",72619,64342,6537,630,1110
8,6,806,"茨城6区",145091,125626,15033,1564,2868
8,7,807,"茨城7区",114259,93731,14999,2622,2907
9,1,901,"栃木1区",127330,112133,11021,1058,3118
