"ken","kuno","kucode","kuname","就業者数_総数","就業者数_雇用者（役員を含む）","就業者数_自営業主（家庭内職者を含む）","就業者数_家族従業者","就業者数_従業上の地位「不詳」"
1,1,101,"北海道1区",106301,96127,5715,2270,2189
1,2,102,"北海道2区",109362,100479,4372,2248,2263
1,3,103,"北海道3区",111063,102736,4365,1924,2038
1,4,104,"北海道4区",95897,85389,4134,4633,1741
1,5,105,"北海道5区",102436,93870,3823,2997,1746
1,6,106,"北海道6区",103290,89440,4970,7645,1235
1,7,107,"北海道7区",62268,52626,2956,5903,783
1,8,108,"北海道8区",86630,74552,4181,6259,1638
1,9,109,"北海道9区",88247,77154,4081,5687,1325
1,10,110,"北海道10区",67575,55753,3362,7518,942
1,11,111,"北海道11区",73037,60678,3101,7664,1594
1,12,112,"北海道12区",71174,58803,3150,8222,999
2,1,201,"青森1区",83732,73130,4105,5109,1388
2,2,202,"青森2区",101129,85571,5646,8623,1289
2,3,203,"青森3区",95248,72866,6109,14458,1815
3,1,301,"岩手1区",81155,72099,3887,3907,1262
3,2,302,"岩手2区",94030,77572,5660,9836,962
3,3,303,"岩手3区",99662,83318,5540,9645,1159
4,1,401,"宮城1区",112588,102836,4890,3034,1828
4,2,402,"宮城2区",116108,107009,4298,2947,1854
4,3,403,"宮城3区",69612,61523,3039,4015,1035
4,4,404,"宮城4区",93922,83989,3810,4898,1225
4,5,405,"宮城5区",89729,74613,4463,9157,1496
5,1,501,"秋田1区",66425,59687,3128,2232,1378
5,2,502,"秋田2区",62505,52787,3575,5642,501
5,3,503,"秋田3区",83913,68865,4976,9334,738
6,1,601,"山形1区",82820,72008,3974,5410,1428
6,2,602,"山形2区",86506,71572,4613,9082,1239
6,3,603,"山形3区",78791,65864,4458,7510,959
7,1,701,"福島1区",99803,86228,4545,7143,1887
7,2,702,"福島2区",111159,95020,5411,8048,2680
7,3,703,"福島3区",87181,72026,4981,8658,1516
7,4,704,"福島4区",85558,75885,3876,4524,1273
8,1,801,"茨城1区",107059,93546,4873,6813,1827
8,2,802,"茨城2区",77229,63566,3551,8654,1458
8,3,803,"茨城3区",91625,82249,3907,3963,1506
8,4,804,"茨城4区",64099,55791,2898,4388,1022
8,5,805,"茨城5区",52142,46652,2399,2462,629
8,6,806,"茨城6区",112969,100412,4730,5766,2061
8,7,807,"茨城7区",87916,74940,3653,7384,1939
9,1,901,"栃木1区",95114,85027,4103,4076,1908
9,2,902,"栃木2区",65609,56668,2982,4948,1011
9,3,903,"栃木3区",62702,52139,3179,5893,1491
9,4,904,"栃木4区",92441,80079,3927,6941,1494
9,5,905,"栃木5区",89343,78974,3920,5306,1143
10,1,1001,"群馬1区",89773,77996,4242,6232,1303
10,2,1002,"群馬2区",89646,78662,4127,5177,1680
10,3,1003,"群馬3区",83568,73884,3522,4772,1390
10,4,1004,"群馬4区",76999,68835,3642,3287,1235
10,5,1005,"群馬5区",83378,71824,3894,6261,1399
11,1,1101,"埼玉1区",90817,83130,3733,2353,1601
11,2,1102,"埼玉2区",98938,90058,4125,2712,2043
11,3,1103,"埼玉3区",94125,85934,3581,2737,1873
