"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_農業，林業","就業者数_01_うち農業","就業者数_B_漁業","就業者数_C_鉱業，採石業，砂利採取業","就業者数_D_建設業","就業者数_E_製造業","就業者数_F_電気・ガス・熱供給・水道業","就業者数_G_情報通信業","就業者数_H_運輸業，郵便業","就業者数_I_卸売業，小売業","就業者数_J_金融業，保険業","就業者数_K_不動産業，物品賃貸業","就業者数_L_学術研究，専門・技術サービス業","就業者数_M_宿泊業，飲食サービス業","就業者数_N_生活関連サービス業，娯楽業","就業者数_O_教育，学習支援業","就業者数_P_医療，福祉","就業者数_Q_複合サービス事業","就業者数_R_サービス業（他に分類されないもの）","就業者数_S_公務（他に分類されるものを除く）","就業者数_T_分類不能の産業","就業者数_R1_（再掲）第1次産業","就業者数_R2_（再掲）第2次産業","就業者数_R3_（再掲）第3次産業"
1,1,101,"北海道1区",221641,996,805,16,38,13089,9309,1478,10071,7820,36113,6659,7757,11546,16204,8230,12754,38510,1329,21212,11119,7391,1012,22436,190802
1,2,102,"北海道2区",234457,1171,1112,36,26,23232,14135,1291,8077,14036,43389,4829,6999,8611,13734,7753,11892,35068,1673,23125,7291,8089,1207,37393,187768
1,3,103,"北海道3区",233257,993,907,15,22,18815,12477,1089,10511,14033,43728,5876,7606,9623,14331,8891,9786,34617,1495,24241,7637,7471,1008,31314,193464
1,4,104,"北海道4区",208686,8039,7747,1365,91,18595,18073,1669,3771,13379,34507,3278,4135,5420,12996,7562,9434,32475,2421,16386,9358,5732,9404,36759,156791
1,5,105,"北海道5区",228348,6910,6768,30,59,16618,22103,1131,5294,17482,35817,3683,5001,6264,12139,8409,11388,29950,1811,18772,18741,6746,6940,38780,175882
1,6,106,"北海道6区",223811,18768,17806,30,139,19596,14548,1028,1658,10443,35572,3899,3229,4891,13274,7836,11182,39230,3476,14795,15488,4729,18798,34283,166001
1,7,107,"北海道7区",138192,10031,9485,7451,285,11957,12780,766,633,7726,20807,2534,1582,2802,8113,4585,6440,17707,2533,8692,7864,2904,17482,25022,92784
1,8,108,"北海道8区",186106,8551,7899,6072,102,17364,17386,973,1564,10128,28560,3232,2759,3297,12113,6675,8385,29576,2560,12281,9474,5054,14623,34852,131577
1,9,109,"北海道9区",203314,14753,14083,3544,275,20131,24029,1568,1153,12369,28265,2895,2355,3850,12342,7287,8807,28860,2655,14235,9434,4507,18297,44435,136075
1,10,110,"北海道10区",149081,18830,18350,1393,265,13540,13470,810,720,6432,19126,1894,1424,2605,6716,5278,5831,24035,3152,10002,10604,2954,20223,27275,98629
1,11,111,"北海道11区",159851,22393,21295,539,167,13111,13177,677,938,7758,23554,2488,1826,4045,8330,4708,7050,21872,3446,9005,8931,5836,22932,26455,104628
1,12,112,"北海道12区",160526,17536,16266,6836,129,14215,14599,756,855,7142,22066,2601,1581,3098,8747,5049,7867,20347,3933,9579,10564,3026,24372,28943,104185
2,1,201,"青森1区",183994,5795,5228,4724,158,18170,13110,1483,2920,9522,30387,5238,2502,4528,9454,6340,8228,27652,1645,14164,13920,4054,10519,31438,137983
2,2,202,"青森2区",221211,19784,19143,1013,219,22676,27550,966,2047,11643,33518,3817,2718,4647,10059,7889,10059,30040,2072,14624,12156,3714,20797,50445,146255
2,3,203,"青森3区",197186,34727,34295,958,60,16270,19921,643,1164,6913,28908,3054,1719,2811,8929,6683,9258,29231,2570,10059,8261,5047,35685,36251,120203
3,1,301,"岩手1区",172920,7270,6988,25,61,12961,11346,1135,4098,9637,32018,4916,3703,5581,9884,6444,10829,27976,1324,11106,8214,4392,7295,24368,136865
3,2,302,"岩手2区",209675,22097,20045,4440,404,25181,29699,964,1048,9006,28354,2696,1919,3599,9766,6105,8052,28750,3395,11504,10252,2444,26537,55284,125410
3,3,303,"岩手3区",222498,24053,23446,41,109,17947,49511,918,1412,11121,29049,3072,2144,3634,10366,7079,8645,28485,3223,11229,6643,3817,24094,67567,127020
4,1,401,"宮城1区",244661,1727,1614,34,35,20619,13879,2838,10141,11114,41945,7536,7930,11336,17110,8463,17871,35039,1306,18631,9964,7143,1761,34533,201224
