"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_農業，林業","就業者数_01_うち農業","就業者数_B_漁業","就業者数_C_鉱業，採石業，砂利採取業","就業者数_D_建設業","就業者数_E_製造業","就業者数_F_電気・ガス・熱供給・水道業","就業者数_G_情報通信業","就業者数_H_運輸業，郵便業","就業者数_I_卸売業，小売業","就業者数_J_金融業，保険業","就業者数_K_不動産業，物品賃貸業","就業者数_L_学術研究，専門・技術サービス業","就業者数_M_宿泊業，飲食サービス業","就業者数_N_生活関連サービス業，娯楽業","就業者数_O_教育，学習支援業","就業者数_P_医療，福祉","就業者数_Q_複合サービス事業","就業者数_R_サービス業（他に分類されないもの）","就業者数_S_公務（他に分類されるものを除く）","就業者数_T_分類不能の産業","就業者数_R1_（再掲）第1次産業","就業者数_R2_（再掲）第2次産業","就業者数_R3_（再掲）第3次産業"
1,1,101,"北海道1区",115340,652,509,11,30,10735,6028,1211,6952,6595,17500,3283,4768,7155,6677,3153,6065,11841,797,10118,8257,3512,663,16793,94372
1,2,102,"北海道2区",125095,685,643,27,23,19526,8688,1060,5735,11507,20977,1917,4310,5456,5197,3042,5803,9260,1068,11505,5357,3952,712,28237,92194
1,3,103,"北海道3区",122194,659,593,9,18,15699,7594,869,7531,11263,21217,2482,4676,6057,5603,3510,4379,8710,938,11689,5682,3609,668,23311,94606
1,4,104,"北海道4区",112789,4506,4253,970,85,15945,10331,1475,2725,11021,16371,1317,2602,3587,5004,3098,4517,8371,1607,9249,7129,2879,5476,26361,78073
1,5,105,"北海道5区",125912,3851,3735,23,51,14156,13979,971,3893,12965,16456,1532,3203,4191,4201,3360,5182,7446,1137,10209,15749,3357,3874,28186,90495
1,6,106,"北海道6区",120521,10490,9716,23,120,16850,9203,886,1024,8806,16865,1694,1942,3256,4998,3019,5216,10514,2280,8392,12376,2567,10513,26173,81268
1,7,107,"北海道7区",75924,5893,5447,4892,261,10221,6895,635,443,6620,9645,1090,915,1841,2781,1741,3141,4342,1670,5227,6067,1604,10785,17377,46158
1,8,108,"北海道8区",99476,4714,4166,4080,94,14986,8876,854,1042,8816,13121,1183,1567,2136,4343,2670,3941,8059,1626,7372,7295,2701,8794,23956,64025
1,9,109,"北海道9区",115067,8858,8278,2276,224,16997,18569,1365,841,10467,12406,1165,1404,2633,4300,2930,4192,6925,1594,8550,6901,2470,11134,35790,65673
1,10,110,"北海道10区",81506,10684,10274,809,231,11691,8279,692,498,5502,8622,764,824,1732,2173,2258,2758,5887,2011,6111,8359,1621,11493,20201,48191
1,11,111,"北海道11区",86814,12769,11894,402,142,10829,8203,577,605,6396,11303,1102,1050,2688,2909,1836,3280,5206,2174,5494,6765,3084,13171,19174,51385
1,12,112,"北海道12区",89352,10399,9323,4514,114,12343,7695,647,501,5850,10738,1135,914,2100,3149,2046,3594,5053,2666,5788,8442,1664,14913,20152,52623
2,1,201,"青森1区",100262,3498,3016,3247,143,15500,7339,1291,1874,8052,14711,2316,1513,2922,3218,2506,3414,6821,1026,8174,10546,2151,6745,22982,68384
2,2,202,"青森2区",120082,11014,10479,843,194,19373,16804,805,1235,9914,15653,1325,1432,3031,3070,2862,3889,6736,1224,9245,9376,2057,11857,36371,69797
2,3,203,"青森3区",101938,19119,18752,750,50,14153,11074,527,715,5894,12995,1100,913,1788,3084,2682,3897,7073,1628,5899,6045,2552,19869,25277,54240
3,1,301,"岩手1区",91765,4123,3890,22,47,10755,7105,943,2839,7980,16194,2429,2154,3551,3817,2384,4883,7554,794,6327,5643,2221,4145,17907,67492
3,2,302,"岩手2区",115645,13259,11518,3407,353,21967,15989,826,700,7822,13289,1016,1135,2405,3297,2284,3292,6755,2307,7063,7134,1345,16666,38309,59325
3,3,303,"岩手3区",122836,14604,14076,37,86,15194,33149,764,1012,8985,13508,1212,1214,2339,3360,2473,3564,6200,1869,6900,4233,2133,14641,48429,57633
4,1,401,"宮城1区",132073,1134,1046,31,28,16749,9741,2314,6935,9160,20880,3441,4849,7177,6797,3333,8641,9957,845,9868,6608,3585,1165,26518,100805
4,2,402,"宮城2区",141421,1327,1267,42,16,19299,13491,1540,6476,13294,25849,2860,4862,6245,4941,3469,6065,7891,959,11152,7785,3858,1369,32806,103388
4,3,403,"宮城3区",88564,5176,4894,111,113,12952,19645,610,1411,7991,11019,789,1525,2214,2372,1910,3044,3959,906,6322,4349,2146,5287,32710,48421
4,4,404,"宮城4区",122531,3879,3667,2441,67,20726,19358,1662,1819,13065,16495,1291,2093,3216,3369,2475,3824,5833,1216,9593,7617,2492,6320,40151,73568
4,5,405,"宮城5区",114800,12754,12141,1715,53,18003,22388,643,710,8653,13342,924,1063,2319,2968,2288,3501,5955,2065,7321,4903,3232,14469,40444,56655
5,1,501,"秋田1区",76362,1736,1431,22,74,9385,7524,958,2053,6102,12485,1955,1521,2782,2898,2095,3579,6009,795,5884,6226,2279,1758,16983,55342
5,2,502,"秋田2区",73623,8777,8014,307,108,12506,11776,650,474,4680,9140,649,691,1333,1751,1594,2099,5658,1372,5061,4177,820,9084,24390,39329
5,3,503,"秋田3区",101066,14633,13775,149,187,16243,20665,570,508,4716,11944,818,814,2191,2957,2057,2895,6322,2055,5475,4815,1052,14782,37095,48137
6,1,601,"山形1区",95172,5560,5471,9,34,10817,17016,760,1817,6113,15016,2352,1542,2671,3618,2250,3939,6478,1060,6343,5583,2194,5569,27867,59542
6,2,602,"山形2区",105945,12135,11801,21,105,13912,29237,483,903,4912,11538,1059,819,1995,3134,1868,3336,5511,1435,5413,6138,1991,12156,43254,48544
6,3,603,"山形3区",91688,11073,10550,377,104,14368,18614,719,605,5022,11214,1020,777,2055,2730,1962,2999,5457,1601,5571,4046,1374,11450,33086,45778
7,1,701,"福島1区",123312,8537,8287,14,48,15853,25636,1088,1970,8101,14877,2167,1603,3522,3481,2785,4253,7493,1376,8668,8170,3670,8551,41537,69554
7,2,702,"福島2区",138169,8151,7690,16,117,19867,28550,805,1933,11322,18867,2136,2292,4328,3923,3130,4450,6912,1518,9336,5327,5189,8167,48534,76279
7,3,703,"福島3区",107425,10980,10182,32,103,13893,27183,925,760,5967,11637,1079,1011,2379,4262,2339,3341,5909,1589,6535,4908,2593,11012,41179,52641
7,4,704,"福島4区",119438,3955,3613,745,129,23897,24621,2351,1091,8132,12429,1269,1639,3999,3207,2707,3499,5958,930,10986,4820,3074,4700,48647,63017
8,1,801,"茨城1区",132454,6416,6322,48,118,15152,26700,1129,2615,10120,18006,3012,2128,5724,3908,3498,5177,7954,1040,8933,6869,3907,6464,41970,80113
8,2,802,"茨城2区",102843,10664,10635,706,109,14791,24667,876,868,9972,9982,727,1172,2969,2521,2472,2225,3461,840,6090,4233,3498,11370,39567,48408
8,3,803,"茨城3区",117630,4053,4031,15,35,11167,26721,846,4832,9571,14334,1705,2451,5605,3247,4287,4175,6024,837,8353,5936,3436,4068,37923,72203
8,4,804,"茨城4区",85009,4430,4138,81,48,9381,22590,950,2667,5360,9502,1044,937,4276,2087,2022,2499,4165,797,6068,4000,2105,4511,32019,46374
8,5,805,"茨城5区",72619,1339,1261,219,15,7597,24949,881,3099,4278,6781,584,771,4597,1791,1627,2105,3266,439,4663,2122,1496,1558,32561,37004
8,6,806,"茨城6区",145091,6071,6031,45,29,12881,30758,779,4058,10590,17533,2048,2423,13661,4343,3438,7451,8391,1095,8542,6484,4471,6116,43668,90836
8,7,807,"茨城7区",114259,8103,8079,10,25,13151,37105,370,1220,11650,12204,923,1222,2321,2541,2307,2755,4129,911,5858,3517,3937,8113,50281,51928
9,1,901,"栃木1区",127330,3092,3012,13,37,11970,32438,786,3014,7571,17365,2414,2362,8809,3952,2993,4636,6432,765,8002,6535,4144,3105,44445,75636
9,2,902,"栃木2区",84118,5753,5429,39,158,9210,23616,462,947,5802,8965,747,885,4990,3567,2305,2333,3867,762,4851,3102,1757,5792,32984,43585
9,3,903,"栃木3区",76849,7427,7069,31,44,8363,21936,388,663,4378,7654,623,807,2132,3355,2340,2348,3756,903,4122,2849,2730,7458,30343,36318
9,4,904,"栃木4区",119780,7853,7778,14,56,11514,37564,583,2108,9183,13009,1294,1508,4452,2811,2647,3692,5938,964,7537,3936,3117,7867,49134,59662
9,5,905,"栃木5区",113309,4109,4021,8,320,11253,38338,492,1205,9956,13905,1344,1454,2698,3264,3211,3537,5665,941,6284,3269,2056,4117,49911,57225
10,1,1001,"群馬1区",107747,7289,6885,21,30,13244,19657,873,2111,6844,14142,2192,1642,3782,4049,2999,4701,8655,899,6713,5361,2543,7310,32931,64963
10,2,1002,"群馬2区",109690,3740,3633,11,23,10573,36724,551,1702,8875,13391,1360,1283,2825,3188,2669,3434,6038,692,6214,3029,3368,3751,47320,55251
10,3,1003,"群馬3区",112677,4251,4236,8,15,8380,46696,426,1493,8810,11976,1165,1155,2836,2901,2100,2929,4916,717,6107,2849,2947,4259,55091,50380
10,4,1004,"群馬4区",94399,2422,2296,7,47,9821,23994,603,2188,6630,13501,2066,1746,3696,3152,2582,3631,5747,603,5771,3872,2320,2429,33862,55788
10,5,1005,"群馬5区",102068,7697,7341,17,69,13106,25199,669,1054,6188,11141,1342,1147,2665,4611,2889,3063,6417,1146,5907,4925,2816,7714,38374,53164
11,1,1101,"埼玉1区",112746,1081,1068,2,28,10553,14801,706,9791,8045,16735,4318,4287,6959,3942,2823,5221,6180,444,8908,4780,3142,1083,25382,83139
11,2,1102,"埼玉2区",127174,571,566,3,10,16797,20155,452,12671,11201,17175,2730,4412,5716,5536,3316,3016,5031,427,10087,3187,4681,574,36962,84957
11,3,1103,"埼玉3区",119318,1156,1152,0,9,14695,17516,544,7912,12482,18043,2767,3951,5021,4418,2920,4018,5864,498,9239,4262,4003,1156,32220,81939
11,4,1104,"埼玉4区",121117,943,941,7,12,14229,15454,463,11882,9220,15576,2907,3846,7476,4484,3145,4310,5508,502,9593,7657,3903,950,29695,86569
11,5,1105,"埼玉5区",117589,546,540,5,13,10605,16922,869,9254,8155,17368,3985,4404,7164,3973,2921,4714,6317,646,9783,6641,3304,551,27540,86194
11,6,1106,"埼玉6区",128443,1858,1845,12,12,12680,23871,788,6555,11858,19653,2507,3517,5346,4217,3464,4554,7131,644,10582,5535,3659,1870,36563,86351
11,7,1107,"埼玉7区",114156,1889,1882,1,11,11609,21247,672,6435,9870,15267,2045,3367,5304,4219,3017,4662,6878,808,9149,4279,3427,1890,32867,75972
11,8,1108,"埼玉8区",121361,1740,1726,4,14,11991,18671,588,8958,10097,15928,2634,4101,6435,4388,3322,5002,7203,597,10212,6017,3459,1744,30676,85482
11,9,1109,"埼玉9区",122558,2110,2034,3,39,12429,27181,555,4506,12382,14693,1594,3016,4221,3931,3588,4468,7811,784,9279,6998,2970,2113,39649,77826
11,10,1110,"埼玉10区",100531,2521,2486,5,30,9639,24816,575,2707,9111,12589,1056,2087,3420,3377,2823,4042,6239,838,7540,4061,3055,2526,34485,60465
11,11,1111,"埼玉11区",109610,6540,6357,5,227,10809,32493,528,1491,9292,12528,928,1377,2642,3389,2812,3495,6066,973,6953,3944,3118,6545,43529,56418
11,12,1112,"埼玉12区",119071,4241,4228,26,21,11333,31362,639,2772,12158,15394,1461,1957,3424,3289,2849,3887,6366,837,8294,5273,3488,4267,42716,68600
11,13,1113,"埼玉13区",116017,2613,2604,6,7,12042,23422,693,4990,13130,15713,1793,2677,4402,3439,2609,4058,5838,664,9060,5017,3844,2619,35471,74083
11,14,1114,"埼玉14区",124988,937,934,2,11,16764,21671,532,8718,13992,17944,2133,3675,4675,4391,2904,2904,4950,485,10436,3009,4855,939,38446,80748
11,15,1115,"埼玉15区",131663,391,384,4,33,13477,18618,624,13320,10389,18567,4385,5046,6986,5469,3654,4706,5744,719,10605,4499,4427,395,32128,94713
11,16,1116,"埼玉16区",112234,1780,1778,7,6,13575,19127,524,4788,13635,16306,1669,3062,3976,3647,2804,3639,5590,595,9506,3863,4135,1787,32708,73604
12,1,1201,"千葉1区",123649,465,441,12,44,11102,16154,962,9757,10970,17345,3841,4163,7049,5030,3310,5395,7215,497,10742,6006,3590,477,27300,92282
12,2,1202,"千葉2区",93093,849,842,7,11,9388,12593,511,7596,9690,13852,2634,2920,4173,3360,2545,3636,4388,306,7990,3597,3047,856,21992,67198
12,3,1203,"千葉3区",102324,1719,1681,3,54,14605,21048,940,3300,9425,11458,1575,2377,4526,2827,2895,3183,5407,567,8296,3980,4139,1722,35707,60756
12,4,1204,"千葉4区",126954,1114,1108,84,36,12255,15141,610,14203,11440,18707,4112,4728,6486,5319,3544,4366,5340,394,10554,4187,4334,1198,27432,93990
12,5,1205,"千葉5区",135673,253,245,60,31,11031,14444,648,19329,12131,18898,6118,5323,7919,6266,4509,3810,5087,350,11018,3298,5150,313,25506,104704
12,6,1206,"千葉6区",124974,953,949,8,14,12739,15008,551,11749,10596,18496,3457,4409,6358,5435,3650,4360,6517,603,10949,4821,4301,961,27761,91951
12,7,1207,"千葉7区",89285,1093,1090,9,18,8912,15164,526,6649,9041,12418,2103,2573,4467,2704,2395,3497,4423,437,6832,3271,2753,1102,24094,61336
12,8,1208,"千葉8区",105408,1232,1221,6,16,10272,13065,553,8745,9084,15518,3015,3681,5730,3987,2901,4724,5563,447,8575,5404,2890,1238,23353,77927
12,9,1209,"千葉9区",117564,2902,2871,12,23,15105,15568,717,4883,13321,16453,2226,3444,4599,3759,3136,4525,6632,528,10120,5818,3793,2914,30696,80161
12,10,1210,"千葉10区",106179,10548,10506,591,43,11326,18528,609,1071,14334,12099,1240,1358,2041,3405,2801,2937,5135,1178,8605,5016,3314,11139,29897,61829
12,11,1211,"千葉11区",105287,7582,7482,533,238,13972,18191,862,1783,9564,12283,1034,1830,3036,3712,3735,3417,5583,1216,8534,5054,3128,8115,32401,61643
12,12,1212,"千葉12区",118738,5702,5580,1232,209,16088,21381,1305,1919,10771,12388,1238,1883,4337,4624,3333,3752,7270,1349,9245,6806,3906,6934,37678,70220
12,13,1213,"千葉13区",123499,3683,3654,13,20,12479,15837,785,8293,13682,16820,2771,3527,5532,4187,3731,4534,6182,682,10928,6134,3679,3696,28336,87788
12,14,1214,"千葉14区",126122,857,851,26,36,11732,15820,811,11432,12328,17633,3739,4338,5855,4857,3627,5104,6185,519,10070,7125,4028,883,27588,93623
13,1,1301,"東京1区",81797,83,77,2,24,3265,5694,371,12496,2496,8382,4571,4434,8687,4487,1945,3559,5339,278,5980,5680,4024,85,8983,68705
13,2,1302,"東京2区",93324,51,49,19,37,4295,10208,485,13895,3809,14460,4970,4203,9868,5577,2074,2343,3910,144,6424,2361,4191,70,14540,74523
13,3,1303,"東京3区",114496,629,596,394,20,8019,12066,568,18715,7330,14171,4207,4605,9393,5454,3247,3469,4738,589,8663,4264,3955,1023,20105,89413
13,4,1304,"東京4区",132603,175,173,18,19,10802,19027,651,16930,14826,17818,2720,4761,6918,5756,3208,2896,4890,404,11776,2812,6196,193,29848,96366
13,5,1305,"東京5区",98521,301,297,4,48,4736,8280,454,15941,4111,12846,5084,5282,11269,4381,3502,4007,5294,227,6354,3225,3175,305,13064,81977
13,6,1306,"東京6区",106438,554,540,7,53,6616,8964,457,15773,5082,13895,5301,5382,10769,4752,3464,4976,5768,290,7954,3057,3324,561,15633,86920
13,7,1307,"東京7区",97148,92,87,5,43,3386,6954,450,16537,3235,10973,5770,6107,13201,4884,2939,3311,5529,203,6352,3376,3801,97,10383,82867
