"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_農業，林業","就業者数_01_うち農業","就業者数_B_漁業","就業者数_C_鉱業，採石業，砂利採取業","就業者数_D_建設業","就業者数_E_製造業","就業者数_F_電気・ガス・熱供給・水道業","就業者数_G_情報通信業","就業者数_H_運輸業，郵便業","就業者数_I_卸売業，小売業","就業者数_J_金融業，保険業","就業者数_K_不動産業，物品賃貸業","就業者数_L_学術研究，専門・技術サービス業","就業者数_M_宿泊業，飲食サービス業","就業者数_N_生活関連サービス業，娯楽業","就業者数_O_教育，学習支援業","就業者数_P_医療，福祉","就業者数_Q_複合サービス事業","就業者数_R_サービス業（他に分類されないもの）","就業者数_S_公務（他に分類されるものを除く）","就業者数_T_分類不能の産業","就業者数_R1_（再掲）第1次産業","就業者数_R2_（再掲）第2次産業","就業者数_R3_（再掲）第3次産業"
1,1,101,"北海道1区",106301,344,296,5,8,2354,3281,267,3119,1225,18613,3376,2989,4391,9527,5077,6689,26669,532,11094,2862,3879,349,5643,96430
1,2,102,"北海道2区",109362,486,469,9,3,3706,5447,231,2342,2529,22412,2912,2689,3155,8537,4711,6089,25808,605,11620,1934,4137,495,9156,95574
1,3,103,"北海道3区",111063,334,314,6,4,3116,4883,220,2980,2770,22511,3394,2930,3566,8728,5381,5407,25907,557,12552,1955,3862,340,8003,98858
1,4,104,"北海道4区",95897,3533,3494,395,6,2650,7742,194,1046,2358,18136,1961,1533,1833,7992,4464,4917,24104,814,7137,2229,2853,3928,10398,78718
1,5,105,"北海道5区",102436,3059,3033,7,8,2462,8124,160,1401,4517,19361,2151,1798,2073,7938,5049,6206,22504,674,8563,2992,3389,3066,10594,85387
1,6,106,"北海道6区",103290,8278,8090,7,19,2746,5345,142,634,1637,18707,2205,1287,1635,8276,4817,5966,28716,1196,6403,3112,2162,8285,8110,84733
1,7,107,"北海道7区",62268,4138,4038,2559,24,1736,5885,131,190,1106,11162,1444,667,961,5332,2844,3299,13365,863,3465,1797,1300,6697,7645,46626
1,8,108,"北海道8区",86630,3837,3733,1992,8,2378,8510,119,522,1312,15439,2049,1192,1161,7770,4005,4444,21517,934,4909,2179,2353,5829,10896,67552
1,9,109,"北海道9区",88247,5895,5805,1268,51,3134,5460,203,312,1902,15859,1730,951,1217,8042,4357,4615,21935,1061,5685,2533,2037,7163,8645,70402
1,10,110,"北海道10区",67575,8146,8076,584,34,1849,5191,118,222,930,10504,1130,600,873,4543,3020,3073,18148,1141,3891,2245,1333,8730,7074,50438
1,11,111,"北海道11区",73037,9624,9401,137,25,2282,4974,100,333,1362,12251,1386,776,1357,5421,2872,3770,16666,1272,3511,2166,2752,9761,7281,53243
1,12,112,"北海道12区",71174,7137,6943,2322,15,1872,6904,109,354,1292,11328,1466,667,998,5598,3003,4273,15294,1267,3791,2122,1362,9459,8791,51562
2,1,201,"青森1区",83732,2297,2212,1477,15,2670,5771,192,1046,1470,15676,2922,989,1606,6236,3834,4814,20831,619,5990,3374,1903,3774,8456,69599
2,2,202,"青森2区",101129,8770,8664,170,25,3303,10746,161,812,1729,17865,2492,1286,1616,6989,5027,6170,23304,848,5379,2780,1657,8940,14074,76458
2,3,203,"青森3区",95248,15608,15543,208,10,2117,8847,116,449,1019,15913,1954,806,1023,5845,4001,5361,22158,942,4160,2216,2495,15816,10974,65963
3,1,301,"岩手1区",81155,3147,3098,3,14,2206,4241,192,1259,1657,15824,2487,1549,2030,6067,4060,5946,20422,530,4779,2571,2171,3150,6461,69373
3,2,302,"岩手2区",94030,8838,8527,1033,51,3214,13710,138,348,1184,15065,1680,784,1194,6469,3821,4760,21995,1088,4441,3118,1099,9871,16975,66085
3,3,303,"岩手3区",99662,9449,9370,4,23,2753,16362,154,400,2136,15541,1860,930,1295,7006,4606,5081,22285,1354,4329,2410,1684,9453,19138,69387
4,1,401,"宮城1区",112588,593,568,3,7,3870,4138,524,3206,1954,21065,4095,3081,4159,10313,5130,9230,25082,461,8763,3356,3558,596,8015,100419
4,2,402,"宮城2区",116108,713,698,10,6,4538,5677,496,2894,3775,25370,3998,3078,3703,8437,5530,8135,23074,589,9417,3100,3568,723,10221,101596
4,3,403,"宮城3区",69612,2917,2876,30,26,2424,10866,154,552,2153,13263,1605,848,1151,4661,3283,3684,14220,583,3707,1723,1762,2947,13316,51587
4,4,404,"宮城4区",93922,2391,2365,799,16,4066,10647,240,841,3439,19532,2300,1288,1629,7193,4439,4862,19367,721,5598,2593,1961,3190,14729,74042
4,5,405,"宮城5区",89729,7499,7412,485,15,2921,14767,143,278,1592,14659,1648,737,1134,5863,4019,4813,19663,1219,3800,2163,2311,7984,17703,61731
5,1,501,"秋田1区",66425,874,794,2,12,1842,3269,151,976,1088,13188,2459,1086,1576,5091,3550,4774,16814,401,4915,2272,2085,876,5123,58341
