"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
1,1,101,"北海道1区",221641,6330,52163,50020,32213,29913,6836,928,11280,5319,6572,13236,6831
1,2,102,"北海道2区",234457,4349,42972,49789,34139,29088,4478,1157,18881,8981,13793,19314,7516
1,3,103,"北海道3区",233257,4613,42339,57836,32920,30133,4865,1018,16018,8611,10247,17813,6844
1,4,104,"北海道4区",208686,4543,33445,40914,23134,28608,4618,9003,20320,10169,10405,18115,5412
1,5,105,"北海道5区",228348,4160,35459,42277,25685,27960,15417,6547,23689,10037,9191,21564,6362
1,6,106,"北海道6区",223811,5374,35102,39951,21367,31792,10149,17503,19010,9455,11143,18431,4534
1,7,107,"北海道7区",138192,3558,18043,23021,13379,17246,3938,16240,15711,6761,7202,10257,2836
1,8,108,"北海道8区",186106,4015,27514,27967,20424,26758,5086,13557,20640,8620,10942,15700,4883
1,9,109,"北海道9区",203314,4719,28023,32221,19206,27016,4773,16573,26768,10534,11238,17931,4312
1,10,110,"北海道10区",149081,3657,20521,23121,12864,19879,5471,19300,15543,6909,7329,11628,2859
1,11,111,"北海道11区",159851,3336,21959,25437,14800,19385,4751,21383,16030,6876,7241,12938,5715
1,12,112,"北海道12区",160526,4219,20321,25842,13648,19960,5301,22239,18208,7208,8153,12451,2976
2,1,201,"青森1区",183994,3579,25739,36464,20526,24047,8181,9852,17301,8312,11554,14576,3863
2,2,202,"青森2区",221211,4570,29708,35222,21905,26131,8497,19506,29959,10728,13833,17587,3565
2,3,203,"青森3区",197186,3231,26030,27154,18559,24555,4250,34556,22535,6794,10622,13930,4970
3,1,301,"岩手1区",172920,4136,33040,37482,21714,21356,3185,6931,14316,6490,7527,12559,4184
3,2,302,"岩手2区",209675,4693,25137,31445,17604,25406,4462,25245,31498,10723,15983,15119,2360
3,3,303,"岩手3区",222498,4704,28184,35371,18570,25366,2735,23217,44556,9212,10543,16398,3642
4,1,401,"宮城1区",244661,5755,53501,62576,34272,30710,3988,1729,14341,6776,9951,14663,6399
4,2,402,"宮城2区",257529,5500,45250,69322,35437,27482,6665,2042,19711,9082,11814,18583,6641
4,3,403,"宮城3区",158176,2979,20735,29298,16357,16943,3265,7975,27368,7516,9164,12876,3700
4,4,404,"宮城4区",216453,4430,28075,39530,24837,23960,6477,8821,30778,12643,14449,18302,4151
4,5,405,"宮城5区",204529,4434,24645,31108,18137,23410,3265,21332,35797,9883,13093,14020,5405
5,1,501,"秋田1区",142787,3006,25778,30690,18437,18429,3854,2443,13592,5002,6765,10639,4152
5,2,502,"秋田2区",136128,3047,16927,21315,11602,18616,2442,13467,21636,5924,8960,10816,1376
5,3,503,"秋田3区",184979,3929,23924,29177,15086,23279,2512,21816,33270,6579,11211,12392,1804
6,1,601,"山形1区",177992,4001,28815,35129,21841,21349,3231,8983,25111,5264,7554,12526,4188
6,2,602,"山形2区",192451,4415,23831,30240,15999,22284,4129,18836,41790,5927,9902,11695,3403
6,3,603,"山形3区",170479,3943,22534,26815,15941,21443,2330,17127,30262,6526,10192,10957,2409
7,1,701,"福島1区",223115,4633,31716,42418,22247,24358,5404,13687,36729,8173,11768,15447,6535
7,2,702,"福島2区",249328,5120,34178,42319,28615,26249,4179,13542,42585,10225,15028,17883,9405
7,3,703,"福島3区",194606,3828,25037,29400,17573,24201,2741,17141,39095,6834,10515,13475,4766
7,4,704,"福島4区",204996,5498,29889,37393,18597,23060,3699,7066,32364,10648,15877,15933,4972
8,1,801,"茨城1区",239513,4263,38752,45900,28071,27621,4433,10411,36005,9198,11243,16905,6711
8,2,802,"茨城2区",180072,3029,20126,28804,15169,18135,3498,19101,32324,9896,10422,13674,5894
8,3,803,"茨城3区",209255,3548,35818,43487,21800,22916,5137,7385,31185,7757,7782,16640,5800
8,4,804,"茨城4区",149108,2147,24749,26584,15233,17217,3295,7163,25934,5675,7077,10465,3569
8,5,805,"茨城5区",124761,2332,22937,23689,11411,14015,1623,2392,26432,4405,5175,7912,2438
8,6,806,"茨城6区",258060,4085,55901,48769,27063,26076,4906,10539,35867,8581,9125,19392,7756
8,7,807,"茨城7区",202175,3312,21170,33182,17155,18664,2429,12540,47882,10614,10067,18340,6820
9,1,901,"栃木1区",222444,4099,45165,42987,27787,22943,4901,5298,33007,6271,8269,14627,7090
9,2,902,"栃木2区",149727,2367,22846,25852,13379,18080,2089,9649,28447,5370,7037,11516,3095
9,3,903,"栃木3区",139551,2760,19349,21214,11992,17321,1803,12112,27007,4513,6297,10263,4920
9,4,904,"栃木4区",212221,3298,33171,34918,20844,20796,2842,13325,43758,8147,8667,17033,5422
9,5,905,"栃木5区",202652,4303,27467,35408,19538,23203,2289,6825,45716,9345,8322,16868,3368
10,1,1001,"群馬1区",197520,3944,34748,37333,21022,23808,3408,11895,26958,6036,9648,14211,4509
10,2,1002,"群馬2区",199336,3700,28890,33342,19947,22037,2318,6170,45816,7614,8138,15339,6025
10,3,1003,"群馬3区",196245,3347,27776,32620,18267,19492,1863,7083,51270,7495,6133,15871,5028
10,4,1004,"群馬4区",171398,3586,29482,33218,21597,20265,2575,3711,28494,5110,7142,12026,4192
10,5,1005,"群馬5区",185446,3124,25288,28971,17601,25133,3473,12244,34064,6171,10097,14206,5074
11,1,1101,"埼玉1区",203563,4372,43764,53990,31724,20810,3576,1826,14007,4965,7007,11797,5725
11,2,1102,"埼玉2区",226112,4335,38862,52037,32587,24773,3143,815,24000,7787,12060,17510,8203
11,3,1103,"埼玉3区",213443,3726,36696,46320,31351,23484,3803,1807,21652,8397,10575,18552,7080
11,4,1104,"埼玉4区",216198,3634,43058,52473,28893,22767,6939,1535,17669,6330,10116,15834,6950
11,5,1105,"埼玉5区",209809,4191,44246,55912,32277,21532,5342,887,15813,5001,6688,12253,5667
11,6,1106,"埼玉6区",229539,3614,38528,50172,31216,25481,4631,3218,28290,7981,8982,20899,6527
11,7,1107,"埼玉7区",205113,3154,37790,42996,26762,23274,3973,3272,25154,6947,8487,17020,6284
11,8,1108,"埼玉8区",218531,3793,43608,48609,29359,25008,5586,2819,21326,6879,8616,16704,6224
11,9,1109,"埼玉9区",217752,3369,35756,39997,24908,26506,7033,3471,33339,9249,9500,19444,5180
11,10,1110,"埼玉10区",178920,2799,28281,32248,19710,20924,3444,4074,30389,6889,7247,17842,5073
11,11,1111,"埼玉11区",196389,3137,25707,32478,19046,23859,2848,10535,40795,7916,8404,16309,5355
11,12,1112,"埼玉12区",211089,3361,30094,39630,22665,22745,4448,6719,36650,8942,8493,21372,5970
11,13,1113,"埼玉13区",204597,3141,32283,41970,24212,21427,4028,4211,28444,8782,8898,20450,6751
11,14,1114,"埼玉14区",220753,3741,32918,47130,29489,22675,3160,1555,27591,10408,12268,21212,8606
11,15,1115,"埼玉15区",235107,4280,47074,61164,33898,24498,3631,616,19723,6803,9105,16759,7556
11,16,1116,"埼玉16区",199965,3091,29576,38898,25583,22518,3693,2889,25967,9654,10153,20554,7389
12,1,1201,"千葉1区",224270,4325,47058,58010,31661,24633,4534,773,17140,6888,6894,16031,6323
