"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
1,1,101,"北海道1区",115340,5165,26576,19183,18907,10791,6071,631,6975,5125,6347,6256,3313
1,2,102,"北海道2区",125095,3746,21256,18452,19519,9732,4082,749,12489,8686,13413,9226,3745
1,3,103,"北海道3区",122194,3951,20697,23478,18095,10389,4381,742,10298,8262,9993,8490,3418
1,4,104,"北海道4区",112789,3931,15753,17982,11575,9305,4360,5421,12814,9867,10193,8838,2750
1,5,105,"北海道5区",125912,3620,17235,17892,12871,8442,14166,3901,15543,9672,8952,10386,3232
1,6,106,"北海道6区",120521,4582,15366,17098,9872,9579,9570,9996,13113,9160,10920,8775,2490
1,7,107,"北海道7区",75924,3052,8234,9855,6182,4916,3711,10362,9315,6550,7041,5125,1581
1,8,108,"北海道8区",99476,3320,12557,11073,9871,8199,4812,8462,12158,8401,10739,7249,2635
1,9,109,"北海道9区",115067,4094,13324,13287,8781,7311,4453,10537,21133,10221,10985,8547,2394
1,10,110,"北海道10区",81506,3202,9193,9712,6093,5401,5226,11081,10485,6750,7143,5648,1572
1,11,111,"北海道11区",86814,2854,10115,10532,7395,5299,4394,12589,11001,6659,7006,5934,3036
1,12,112,"北海道12区",89352,3732,9514,11276,6633,5823,4995,14222,10493,7005,7984,6025,1650
2,1,201,"青森1区",100262,2983,11213,14779,10917,6931,7511,6491,10674,8072,11285,7326,2080
2,2,202,"青森2区",120082,3737,12315,13060,10585,6740,7807,11356,19641,10472,13510,8863,1996
2,3,203,"青森3区",101938,2617,10564,10181,8465,6886,4010,19501,13552,6606,10405,6630,2521
3,1,301,"岩手1区",91765,3438,15158,16325,11683,6603,2948,4008,9513,6229,7280,6435,2145
3,2,302,"岩手2区",115645,3990,10776,11926,8194,6813,4171,16170,18370,10477,15678,7761,1319
3,3,303,"岩手3区",122836,3999,12303,13998,8742,6351,2553,14217,30848,8951,10277,8539,2058
4,1,401,"宮城1区",132073,4747,28391,26650,19417,10860,3612,1191,9746,6478,9634,7966,3381
4,2,402,"宮城2区",141421,4699,23263,29862,19921,9042,5995,1391,13677,8637,11426,9867,3641
4,3,403,"宮城3区",88564,2576,9890,11981,7586,4768,3030,5254,18389,7235,8929,6854,2072
4,4,404,"宮城4区",122531,3746,13240,14756,12362,6735,6062,6080,21265,12212,14114,9563,2396
4,5,405,"宮城5区",114800,3691,11013,11925,8731,6283,3060,13943,22786,9614,12801,7766,3187
5,1,501,"秋田1区",76362,2596,11738,12255,10189,5524,3559,1678,9686,4812,6600,5523,2202
5,2,502,"秋田2区",73623,2651,6957,8212,5219,4540,2305,8628,13946,5781,8819,5766,799
5,3,503,"秋田3区",101066,3385,10717,11527,6803,6142,2353,14128,20824,6437,10980,6745,1025
6,1,601,"山形1区",95172,3426,13080,13432,12040,6343,3001,5574,17017,5041,7311,6740,2167
6,2,602,"山形2区",105945,3823,10795,11479,7844,6015,3781,11896,26402,5753,9663,6543,1951
6,3,603,"山形3区",91688,3318,9502,9286,7819,5694,2202,11066,19232,6338,9995,5887,1349
7,1,701,"福島1区",123312,3919,14569,17443,11500,6984,4899,8426,24036,7894,11394,8657,3591
7,2,702,"福島2区",138169,4331,15664,15732,15960,7429,3839,8022,28006,9843,14451,9797,5095
7,3,703,"福島3区",107425,3250,11013,11889,8446,7132,2559,10619,25889,6616,10210,7247,2555
7,4,704,"福島4区",119438,4578,14993,15277,8694,6060,3505,4622,23752,10272,15460,9237,2988
8,1,801,"茨城1区",132454,3587,18926,18207,15028,8063,4062,6627,25789,8771,10866,8740,3788
8,2,802,"茨城2区",102843,2609,9577,10757,6590,4870,3257,11305,23990,9485,10072,6930,3401
8,3,803,"茨城3区",117630,3067,18917,19694,10658,7001,4775,5164,21283,7440,7510,8886,3235
8,4,804,"茨城4区",85009,1822,13899,10877,7327,4646,3074,4618,18770,5475,6861,5644,1996
8,5,805,"茨城5区",72619,1974,13473,10285,5026,3727,1532,1642,19997,4263,5040,4220,1440
8,6,806,"茨城6区",145091,3436,31075,20048,14649,8043,4461,6478,25711,8178,8789,9950,4273
8,7,807,"茨城7区",114259,2827,9522,12734,8132,5160,2254,8058,32948,10146,9694,8982,3802
9,1,901,"栃木1区",127330,3404,25693,17499,15544,7056,4474,3136,24868,5947,8006,7716,3987
9,2,902,"栃木2区",84118,2043,11765,10637,6117,5531,1962,5878,20606,5156,6818,5930,1675
9,3,903,"栃木3区",76849,2365,9304,8646,5167,5402,1669,7468,18379,4349,6108,5315,2677
9,4,904,"栃木4区",119780,2844,16514,14168,10628,5596,2579,7893,31776,7741,8367,8697,2977
9,5,905,"栃木5区",113309,3657,12907,14308,9320,6570,2023,4367,32328,8989,8107,8799,1934
10,1,1001,"群馬1区",107747,3304,16529,15068,10760,7527,3071,7012,19253,5749,9383,7675,2416
10,2,1002,"群馬2区",109690,3155,13389,12859,10155,6552,2174,3786,31160,7200,7907,8087,3266
10,3,1003,"群馬3区",112677,2860,14079,13230,9312,5607,1743,4306,37539,7119,5938,8142,2802
