"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
1,1,101,"北海道1区",106301,1165,25587,30837,13306,19122,765,297,4305,194,225,6980,3518
1,2,102,"北海道2区",109362,603,21716,31337,14620,19356,396,408,6392,295,380,10088,3771
1,3,103,"北海道3区",111063,662,21642,34358,14825,19744,484,276,5720,349,254,9323,3426
1,4,104,"北海道4区",95897,612,17692,22932,11559,19303,258,3582,7506,302,212,9277,2662
1,5,105,"北海道5区",102436,540,18224,24385,12814,19518,1251,2646,8146,365,239,11178,3130
1,6,106,"北海道6区",103290,792,19736,22853,11495,22213,579,7507,5897,295,223,9656,2044
1,7,107,"北海道7区",62268,506,9809,13166,7197,12330,227,5878,6396,211,161,5132,1255
1,8,108,"北海道8区",86630,695,14957,16894,10553,18559,274,5095,8482,219,203,8451,2248
1,9,109,"北海道9区",88247,625,14699,18934,10425,19705,320,6036,5635,313,253,9384,1918
1,10,110,"北海道10区",67575,455,11328,13409,6771,14478,245,8219,5058,159,186,5980,1287
1,11,111,"北海道11区",73037,482,11844,14905,7405,14086,357,8794,5029,217,235,7004,2679
1,12,112,"北海道12区",71174,487,10807,14566,7015,14137,306,8017,7715,203,169,6426,1326
2,1,201,"青森1区",83732,596,14526,21685,9609,17116,670,3361,6627,240,269,7250,1783
2,2,202,"青森2区",101129,833,17393,22162,11320,19391,690,8150,10318,256,323,8724,1569
2,3,203,"青森3区",95248,614,15466,16973,10094,17669,240,15055,8983,188,217,7300,2449
3,1,301,"岩手1区",81155,698,17882,21157,10031,14753,237,2923,4803,261,247,6124,2039
3,2,302,"岩手2区",94030,703,14361,19519,9410,18593,291,9075,13128,246,305,7358,1041
3,3,303,"岩手3区",99662,705,15881,21373,9828,19015,182,9000,13708,261,266,7859,1584
4,1,401,"宮城1区",112588,1008,25110,35926,14855,19850,376,538,4595,298,317,6697,3018
4,2,402,"宮城2区",116108,801,21987,39460,15516,18440,670,651,6034,445,388,8716,3000
4,3,403,"宮城3区",69612,403,10845,17317,8771,12175,235,2721,8979,281,235,6022,1628
4,4,404,"宮城4区",93922,684,14835,24774,12475,17225,415,2741,9513,431,335,8739,1755
4,5,405,"宮城5区",89729,743,13632,19183,9406,17127,205,7389,13011,269,292,6254,2218
5,1,501,"秋田1区",66425,410,14040,18435,8248,12905,295,765,3906,190,165,5116,1950
5,2,502,"秋田2区",62505,396,9970,13103,6383,14076,137,4839,7690,143,141,5050,577
5,3,503,"秋田3区",83913,544,13207,17650,8283,17137,159,7688,12446,142,231,5647,779
6,1,601,"山形1区",82820,575,15735,21697,9801,15006,230,3409,8094,223,243,5786,2021
6,2,602,"山形2区",86506,592,13036,18761,8155,16269,348,6940,15388,174,239,5152,1452
6,3,603,"山形3区",78791,625,13032,17529,8122,15749,128,6061,11030,188,197,5070,1060
7,1,701,"福島1区",99803,714,17147,24975,10747,17374,505,5261,12693,279,374,6790,2944
7,2,702,"福島2区",111159,789,18514,26587,12655,18820,340,5520,14579,382,577,8086,4310
7,3,703,"福島3区",87181,578,14024,17511,9127,17069,182,6522,13206,218,305,6228,2211
7,4,704,"福島4区",85558,920,14896,22116,9903,17000,194,2444,8612,376,417,6696,1984
8,1,801,"茨城1区",107059,676,19826,27693,13043,19558,371,3784,10216,427,377,8165,2923
8,2,802,"茨城2区",77229,420,10549,18047,8579,13265,241,7796,8334,411,350,6744,2493
8,3,803,"茨城3区",91625,481,16901,23793,11142,15915,362,2221,9902,317,272,7754,2565
8,4,804,"茨城4区",64099,325,10850,15707,7906,12571,221,2545,7164,200,216,4821,1573
8,5,805,"茨城5区",52142,358,9464,13404,6385,10288,91,750,6435,142,135,3692,998
8,6,806,"茨城6区",112969,649,24826,28721,12414,18033,445,4061,10156,403,336,9442,3483
8,7,807,"茨城7区",87916,485,11648,20448,9023,13504,175,4482,14934,468,373,9358,3018
9,1,901,"栃木1区",95114,695,19472,25488,12243,15887,427,2162,8139,324,263,6911,3103
9,2,902,"栃木2区",65609,324,11081,15215,7262,12549,127,3771,7841,214,219,5586,1420
9,3,903,"栃木3区",62702,395,10045,12568,6825,11919,134,4644,8628,164,189,4948,2243
9,4,904,"栃木4区",92441,454,16657,20750,10216,15200,263,5432,11982,406,300,8336,2445
9,5,905,"栃木5区",89343,646,14560,21100,10218,16633,266,2458,13388,356,215,8069,1434
10,1,1001,"群馬1区",89773,640,18219,22265,10262,16281,337,4883,7705,287,265,6536,2093
10,2,1002,"群馬2区",89646,545,15501,20483,9792,15485,144,2384,14656,414,231,7252,2759
10,3,1003,"群馬3区",83568,487,13697,19390,8955,13885,120,2777,13731,376,195,7729,2226
10,4,1004,"群馬4区",76999,558,15036,19845,9236,13957,246,1197,8853,248,190,5679,1954
10,5,1005,"群馬5区",83378,416,14101,18046,9050,17376,269,4355,10560,245,218,6436,2306
11,1,1101,"埼玉1区",90817,583,19308,31080,11929,13798,339,658,4390,275,223,5405,2829
11,2,1102,"埼玉2区",98938,661,16298,32323,13461,15809,264,225,7041,301,319,8425,3811
11,3,1103,"埼玉3区",94125,498,17043,27455,12826,15558,349,618,6689,393,278,9172,3246
11,4,1104,"埼玉4区",95081,495,18421,30793,11826,14888,912,569,5775,300,253,7617,3232
11,5,1105,"埼玉5区",92220,553,19426,31148,12664,14240,487,298,4756,294,220,5552,2582
11,6,1106,"埼玉6区",101096,434,17869,28806,13140,16989,327,1270,8637,409,247,9903,3065
11,7,1107,"埼玉7区",90957,422,17267,25245,11753,15323,348,1318,7756,318,215,7947,3045
11,8,1108,"埼玉8区",97170,502,19368,28266,12506,16456,867,1011,6865,300,220,7805,3004
11,9,1109,"埼玉9区",95194,432,17513,22916,12307,18172,675,1027,10360,399,218,8822,2353
11,10,1110,"埼玉10区",78389,375,13424,18946,9260,14179,219,1295,9383,306,198,8639,2165
11,11,1111,"埼玉11区",86779,445,13384,19234,9838,16702,195,3901,12741,323,209,7475,2332
11,12,1112,"埼玉12区",92018,493,14766,22911,10807,15856,293,2391,10663,389,230,10588,2631
11,13,1113,"埼玉13区",88580,385,15355,22950,10950,14515,314,1564,8511,414,229,10339,3054
11,14,1114,"埼玉14区",95765,513,14434,29145,11955,14936,266,566,8769,426,320,10520,3915
11,15,1115,"埼玉15区",103444,600,19885,35091,13316,15448,316,170,6539,372,250,8114,3343
11,16,1116,"埼玉16区",87731,382,14090,22886,11455,15243,286,1055,8219,485,228,10015,3387
12,1,1201,"千葉1区",100621,595,20734,33722,13068,16101,475,230,4789,324,228,7405,2950
12,2,1202,"千葉2区",74946,334,13565,22538,10105,12719,265,557,4891,277,176,6781,2738
12,3,1203,"千葉3区",76078,384,14116,20843,9963,15320,247,974,4410,381,252,6128,3060
12,4,1204,"千葉4区",100589,591,19877,33400,13245,15854,315,771,4538,285,261,8025,3427
12,5,1205,"千葉5区",109600,720,21592,39800,13651,16732,223,108,4288,289,267,8243,3687
