"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
1,1,101,"北海道1区",460564,429535,1873,27088,134400,74155,93253,10578,88188,30587,439,3
1,2,102,"北海道2区",473573,435055,2586,40989,153546,73345,70814,6292,87483,38040,478,0
1,3,103,"北海道3区",468806,438342,2362,34948,149677,75602,77161,5350,93242,30170,293,1
1,4,104,"北海道4区",423465,398243,4951,54336,169531,58769,54874,3597,52185,24689,533,0
1,5,105,"北海道5区",450015,414277,3668,44816,171862,66555,65859,4856,56661,35490,247,1
1,6,106,"北海道6区",425921,403597,6668,71431,193658,48656,44796,3129,35259,22062,262,0
1,7,107,"北海道7区",260679,247790,3484,49668,112405,25055,21112,1664,34402,12777,112,0
1,8,108,"北海道8区",369997,351543,5545,68170,162760,38609,33658,2444,40357,18078,372,4
1,9,109,"北海道9区",393773,372831,6428,71701,175718,43409,35445,2747,37383,20410,531,1
1,10,110,"北海道10区",293408,279643,6897,64188,129394,34072,25574,1402,18116,13415,347,3
1,11,111,"北海道11区",291686,277410,4335,41318,119827,37858,29923,2179,41970,14009,267,0
1,12,112,"北海道12区",297863,283559,5489,60869,124858,33079,27093,1862,30309,14027,277,0
2,1,201,"青森1区",338213,319848,6015,59712,147770,38928,41176,2917,23330,17887,478,0
2,2,202,"青森2区",396827,375291,8133,76996,180063,40071,40033,2619,27376,20993,540,3
2,3,203,"青森3区",354070,332038,7944,67099,160295,37765,31589,2998,24348,21427,604,1
3,1,301,"岩手1区",300354,276816,3008,29629,119956,44011,51184,4995,24033,23361,177,0
3,2,302,"岩手2区",376567,359485,10617,96627,167549,38994,29106,1763,14829,16579,502,1
3,3,303,"岩手3区",386254,366156,6665,61125,190080,44251,37761,2263,24011,19895,202,1
4,1,401,"宮城1区",464554,417788,1716,27061,152578,60862,102467,12720,60384,46573,188,5
4,2,402,"宮城2区",465750,430202,1600,31058,171088,62881,97080,7944,58551,35358,184,6
4,3,403,"宮城3区",291138,272279,2963,41032,139551,29120,35099,2231,22283,18710,147,2
4,4,404,"宮城4区",400633,375627,4363,57944,190497,39661,46084,2821,34257,24804,199,3
4,5,405,"宮城5区",363754,345788,6473,65087,185696,32997,30757,1962,22816,17718,248,0
5,1,501,"秋田1区",268704,251403,2133,22885,114592,34909,41356,3870,31658,17124,176,1
5,2,502,"秋田2区",262609,251932,6430,51824,131511,25148,21527,1224,14268,10374,303,0
5,3,503,"秋田3区",326942,313004,8766,63115,168358,32057,27498,1897,11313,13482,456,0
6,1,601,"山形1区",314923,293042,3660,30433,138977,41113,50120,3977,24762,21522,359,0
6,2,602,"山形2区",326710,308036,6134,53067,159990,35788,33169,2366,17522,18473,201,0
6,3,603,"山形3区",296740,282067,6055,48350,152748,31108,29592,2063,12151,14340,333,0
7,1,701,"福島1区",407062,382095,5130,59266,174330,46431,50861,3828,42249,24716,249,2
7,2,702,"福島2区",448118,420110,4552,67096,183796,50111,53691,3830,57034,27641,365,2
7,3,703,"福島3区",346663,328275,5032,53874,162871,38587,34850,2427,30634,17724,663,1
7,4,704,"福島4区",391223,371387,3656,55737,189575,39534,43486,3700,35699,19562,271,3
