"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
1,1,101,"北海道1区",206371,191027,386,10701,53988,17806,60501,7764,39881,15151,192,1
1,2,102,"北海道2区",221477,200890,524,18344,65128,22123,47890,4615,42266,20377,210,0
1,3,103,"北海道3区",216333,200376,549,14579,61881,22038,52646,4055,44628,15832,124,1
1,4,104,"北海道4区",195823,182719,1107,22258,75018,18508,38534,2806,24488,12834,270,0
1,5,105,"北海道5区",212817,194170,845,18371,78375,20251,46012,3737,26579,18538,108,1
1,6,106,"北海道6区",196591,185907,1683,29211,88834,15603,31734,2329,16513,10592,92,0
1,7,107,"北海道7区",122892,116073,813,21183,52655,8947,15181,1258,16036,6778,41,0
1,8,108,"北海道8区",168006,158261,1276,29996,70776,12812,23761,1903,17737,9579,164,2
1,9,109,"北海道9区",189449,177708,1518,30655,83468,15093,25973,2237,18764,11509,231,1
1,10,110,"北海道10区",136716,129754,1564,26019,60675,12597,19281,1063,8555,6823,138,1
1,11,111,"北海道11区",138277,131180,1060,17585,54671,14450,21735,1669,20010,6977,120,0
1,12,112,"北海道12区",142936,135100,1426,25912,58682,12910,20075,1437,14658,7741,95,0
2,1,201,"青森1区",157515,148373,1189,25836,69311,12044,27686,2265,10042,8983,159,0
2,2,202,"青森2区",188475,177177,1650,31951,89074,12868,26498,2088,13048,11068,228,2
2,3,203,"青森3区",160528,149633,1558,28586,75493,11929,19121,2197,10749,10698,197,0
3,1,301,"岩手1区",139913,127982,542,12721,54850,12665,32541,3762,10901,11869,62,0
3,2,302,"岩手2区",179658,171015,2386,43536,84406,13167,19201,1388,6931,8448,195,0
3,3,303,"岩手3区",186345,175987,1443,26437,95710,14069,24833,1821,11674,10273,84,1
4,1,401,"宮城1区",221128,195318,429,12174,64936,15676,62673,9617,29813,25703,103,4
4,2,402,"宮城2区",224073,206269,392,14718,76133,17713,61565,6138,29610,17703,96,5
4,3,403,"宮城3区",142332,132467,751,19043,67296,9135,23266,1748,11228,9792,72,1
4,4,404,"宮城4区",194754,181793,1067,27192,91110,12459,30257,2228,17480,12867,92,2
4,5,405,"宮城5区",176141,167035,1579,30096,90519,11512,20488,1597,11244,9008,98,0
5,1,501,"秋田1区",124882,115879,444,10337,51680,8764,27565,2937,14152,8925,78,0
5,2,502,"秋田2区",121562,116281,1370,22061,63490,7995,14469,967,5929,5176,105,0
5,3,503,"秋田3区",153466,146257,1854,26524,83452,10043,18044,1559,4781,7029,180,0
6,1,601,"山形1区",149742,138982,859,14042,64848,11854,32627,2963,11789,10642,118,0
6,2,602,"山形2区",158540,148786,1477,24098,80036,11401,21725,1870,8179,9667,87,0
6,3,603,"山形3区",140798,133069,1357,20821,73993,10517,19089,1624,5668,7629,100,0
