"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
1,1,101,"北海道1区",254193,238508,1487,16387,80412,56349,32752,2814,48307,15436,247,2
1,2,102,"北海道2区",252096,234165,2062,22645,88418,51222,22924,1677,45217,17663,268,0
1,3,103,"北海道3区",252473,237966,1813,20369,87796,53564,24515,1295,48614,14338,169,0
1,4,104,"北海道4区",227642,215524,3844,32078,94513,40261,16340,791,27697,11855,263,0
1,5,105,"北海道5区",237198,220107,2823,26445,93487,46304,19847,1119,30082,16952,139,0
1,6,106,"北海道6区",229330,217690,4985,42220,104824,33053,13062,800,18746,11470,170,0
1,7,107,"北海道7区",137787,131717,2671,28485,59750,16108,5931,406,18366,5999,71,0
1,8,108,"北海道8区",201991,193282,4269,38174,91984,25797,9897,541,22620,8499,208,2
1,9,109,"北海道9区",204324,195123,4910,41046,92250,28316,9472,510,18619,8901,300,0
1,10,110,"北海道10区",156692,149889,5333,38169,68719,21475,6293,339,9561,6592,209,2
1,11,111,"北海道11区",153409,146230,3275,23733,65156,23408,8188,510,21960,7032,147,0
1,12,112,"北海道12区",154927,148459,4063,34957,66176,20169,7018,425,15651,6286,182,0
2,1,201,"青森1区",180698,171475,4826,33876,78459,26884,13490,652,13288,8904,319,0
2,2,202,"青森2区",208352,198114,6483,45045,90989,27203,13535,531,14328,9925,312,1
2,3,203,"青森3区",193542,182405,6386,38513,84802,25836,12468,801,13599,10729,407,1
3,1,301,"岩手1区",160441,148834,2466,16908,65106,31346,18643,1233,13132,11492,115,0
3,2,302,"岩手2区",196909,188470,8231,53091,83143,25827,9905,375,7898,8131,307,1
3,3,303,"岩手3区",199909,190169,5222,34688,94370,30182,12928,442,12337,9622,118,0
4,1,401,"宮城1区",243426,222470,1287,14887,87642,45186,39794,3103,30571,20870,85,1
4,2,402,"宮城2区",241677,223933,1208,16340,94955,45168,35515,1806,28941,17655,88,1
4,3,403,"宮城3区",148806,139812,2212,21989,72255,19985,11833,483,11055,8918,75,1
4,4,404,"宮城4区",205879,193834,3296,30752,99387,27202,15827,593,16777,11937,107,1
4,5,405,"宮城5区",187613,178753,4894,34991,95177,21485,10269,365,11572,8710,150,0
5,1,501,"秋田1区",143822,135524,1689,12548,62912,26145,13791,933,17506,8199,98,1
5,2,502,"秋田2区",141047,135651,5060,29763,68021,17153,7058,257,8339,5198,198,0
5,3,503,"秋田3区",173476,166747,6912,36591,84906,22014,9454,338,6532,6453,276,0
6,1,601,"山形1区",165181,154060,2801,16391,74129,29259,17493,1014,12973,10880,241,0
6,2,602,"山形2区",168170,159250,4657,28969,79954,24387,11444,496,9343,8806,114,0
6,3,603,"山形3区",155942,148998,4698,27529,78755,20591,10503,439,6483,6711,233,0
7,1,701,"福島1区",209946,197681,3846,32051,88860,33473,16723,891,21837,12123,140,2
7,2,702,"福島2区",229246,216258,3612,36710,93270,35304,17754,825,28783,12768,219,1
7,3,703,"福島3区",179103,170115,3916,30617,81225,26588,11135,460,16174,8600,387,1
