"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
1,1,101,"北海道1区",61525,21798,10976,11726,4148,11451,1383,43,22182,4436,6625,1150,9971,0
1,2,102,"北海道2区",75112,26106,13171,13779,3511,15689,2812,44,26228,4083,7426,3375,11344,0
1,3,103,"北海道3区",63963,23671,12206,12505,3233,11872,464,12,24317,4798,6448,2302,10769,0
1,4,104,"北海道4区",56818,22305,11805,12374,2222,7821,277,14,20381,3631,5717,2507,8526,0
1,5,105,"北海道5区",71296,24857,13193,14505,3928,14435,369,9,22465,4761,5094,3772,8838,0
1,6,106,"北海道6区",53337,21638,11659,12429,2804,4563,212,32,20127,3224,6553,3452,6898,0
1,7,107,"北海道7区",32062,13182,7383,7450,1467,2510,68,2,11890,1954,2953,2020,4963,0
1,8,108,"北海道8区",43014,17221,9422,9801,2463,3694,395,18,15383,2292,3862,3370,5859,0
1,9,109,"北海道9区",49654,20289,10788,11403,2488,4113,557,16,19033,3707,5367,2434,7525,0
1,10,110,"北海道10区",31513,12479,6839,7681,2014,2404,92,4,11132,1880,3635,1394,4223,0
1,11,111,"北海道11区",37718,16503,8644,9066,1312,2025,147,21,15308,1705,5272,1985,6346,0
1,12,112,"北海道12区",35404,14999,7731,7944,725,3739,255,11,13718,1814,3560,2650,5694,0
2,1,201,"青森1区",42340,16696,9390,10318,1194,4616,119,7,15226,1548,6206,3370,4102,0
2,2,202,"青森2区",51671,21285,11371,12441,2202,4247,114,11,20367,1642,7024,6190,5511,0
2,3,203,"青森3区",45268,16463,9062,10182,1644,7313,595,9,16113,809,6461,4791,4052,0
3,1,301,"岩手1区",48271,17381,9075,10172,2600,8309,721,13,16280,2226,6813,2439,4802,0
3,2,302,"岩手2区",43188,18308,10065,10573,1610,2491,135,6,16677,1121,8243,2989,4324,0
3,3,303,"岩手3区",50253,20957,11490,12236,2696,2775,93,6,18465,2269,7859,2941,5396,0
4,1,401,"宮城1区",83364,25958,12927,13203,4967,22012,4196,101,26460,5643,9044,1321,10452,0
4,2,402,"宮城2区",73609,27124,13431,14413,4800,12945,877,19,27492,6230,8989,1383,10889,1
4,3,403,"宮城3区",43713,17361,9258,9477,1981,5479,152,5,15450,3436,5118,913,5983,0
4,4,404,"宮城4区",59343,23962,12766,13498,2339,6563,211,4,21700,4804,7544,951,8400,1
4,5,405,"宮城5区",45024,18779,10387,11271,1761,2717,102,7,16313,3891,6115,1368,4939,0
5,1,501,"秋田1区",37157,13897,7358,7645,1658,5981,588,30,12964,1913,4775,2362,3914,0
5,2,502,"秋田2区",26519,10903,6393,6836,724,1584,77,2,9161,557,4140,2083,2381,0
5,3,503,"秋田3区",35689,15164,8586,8988,827,1970,153,1,13110,528,6506,3126,2950,0
6,1,601,"山形1区",47278,17908,9449,10027,1997,7472,399,26,17278,2454,6928,2513,5383,0
6,2,602,"山形2区",44407,17872,9707,10377,1829,3957,658,7,16085,2090,6939,2717,4339,0
6,3,603,"山形3区",36528,15179,8459,9002,1513,2229,141,5,13772,1362,7021,1852,3537,0
7,1,701,"福島1区",55486,20997,11795,12965,2281,7068,363,17,20381,3852,6307,2515,7707,0
7,2,702,"福島2区",64361,25498,13623,15278,2971,6698,274,19,24942,5406,7343,2448,9745,0
7,3,703,"福島3区",45152,19071,10237,11075,1673,2912,180,4,17857,3389,5091,3147,6230,0
7,4,704,"福島4区",48864,20042,11236,11561,2359,3563,96,7,20136,3892,6283,2039,7922,0
8,1,801,"茨城1区",62373,24443,12993,13785,2540,8183,426,3,23444,3143,7244,4240,8817,0
8,2,802,"茨城2区",42220,17594,9522,10253,1386,3344,115,6,16703,1507,5945,2877,6374,0
8,3,803,"茨城3区",60086,22577,11985,12460,2148,10306,581,29,20241,3404,6396,2218,8223,0
8,4,804,"茨城4区",37014,14952,8111,8490,1779,3550,128,4,13547,2365,5471,666,5045,0
8,5,805,"茨城5区",34593,12919,7315,8294,1178,4341,544,2,11261,1760,3047,1962,4492,0
8,6,806,"茨城6区",80552,28999,14414,14708,2456,15809,4154,12,28547,4691,10537,2392,10927,0
8,7,807,"茨城7区",49170,19663,10663,11120,2149,5390,174,11,17745,2646,5285,3021,6792,1
9,1,901,"栃木1区",65434,26198,13726,13584,2503,8744,666,13,26131,4274,7832,3000,11025,0
9,2,902,"栃木2区",35168,14425,8049,8183,1496,2886,116,13,13757,1992,5823,1245,4697,0
9,3,903,"栃木3区",34382,13373,7430,7934,1106,4383,152,4,12260,1337,4404,2352,4167,0
9,4,904,"栃木4区",56877,22167,11619,11832,2428,8492,332,7,21026,3240,6003,4263,7520,0
9,5,905,"栃木5区",49687,19270,10680,11584,2376,5579,188,10,17730,2342,5036,4198,6154,0
10,1,1001,"群馬1区",50748,18722,10178,11189,2716,7441,495,7,17678,1710,5355,5093,5520,0
10,2,1002,"群馬2区",52962,19747,10870,11713,2625,7401,594,12,18670,1618,7134,3266,6651,1
10,3,1003,"群馬3区",52869,21182,11239,11641,2297,6257,240,13,19584,2166,5926,4468,7024,0
10,4,1004,"群馬4区",47528,17339,9477,9898,2245,8296,259,14,16690,1950,4940,4193,5607,0
10,5,1005,"群馬5区",43866,17664,9620,10012,2292,4118,154,6,15893,1559,5710,3526,5098,0
11,1,1101,"埼玉1区",66574,25597,12498,12390,1778,13538,767,6,25711,5746,7669,588,11708,0
11,2,1102,"埼玉2区",60278,22718,11603,11887,2547,10967,546,10,24305,5475,7246,211,11373,0
11,3,1103,"埼玉3区",64199,24358,12428,12480,2295,12145,478,15,24799,5819,6524,1052,11404,0
11,4,1104,"埼玉4区",65042,24787,11968,11874,2310,13323,763,17,26531,5603,8245,334,12349,0
11,5,1105,"埼玉5区",62631,23468,11866,12067,1983,12629,611,7,24498,5361,7518,396,11223,0
11,6,1106,"埼玉6区",61394,22393,12300,12732,2654,10886,410,19,21397,5254,6423,1525,8194,1
11,7,1107,"埼玉7区",57190,21069,10698,11041,2315,11381,500,186,20278,5359,5971,866,8082,0
11,8,1108,"埼玉8区",60562,21643,11278,11540,2478,12886,718,19,21048,5289,6651,860,8248,0
11,9,1109,"埼玉9区",61227,21607,11995,12660,2988,11606,356,15,19245,4077,6090,1208,7870,0
11,10,1110,"埼玉10区",52065,17845,9722,10161,2225,11628,462,22,16578,3542,5697,539,6800,0
11,11,1111,"埼玉11区",50614,19211,10670,11369,2429,6672,247,16,17199,2084,7470,1739,5906,0
11,12,1112,"埼玉12区",54587,20233,11139,11580,2345,8989,294,7,18653,3203,6328,1915,7206,1
11,13,1113,"埼玉13区",56112,20955,11297,11528,2147,9791,375,19,19167,4517,5201,1569,7880,0
11,14,1114,"埼玉14区",61644,23518,12129,12226,2406,10961,387,17,24943,5386,6137,767,12653,0
11,15,1115,"埼玉15区",70873,25900,12422,12569,2337,16511,1120,14,28193,5658,9286,199,13050,0
11,16,1116,"埼玉16区",53356,19889,10779,11314,2165,8888,303,18,18489,4558,5135,1064,7732,0
12,1,1201,"千葉1区",71029,24290,13277,13354,2525,15915,1658,10,22955,4197,7323,1651,9784,0
12,2,1202,"千葉2区",51182,17886,9619,10485,1946,10765,467,14,18394,3855,5145,884,8510,0
12,3,1203,"千葉3区",53109,20358,10713,11221,2310,8152,344,11,19232,4227,4596,1508,8901,0
12,4,1204,"千葉4区",66669,25377,12554,12687,2373,12951,723,4,25820,5283,8962,353,11220,2
12,5,1205,"千葉5区",65342,22763,11872,12407,2408,14999,887,6,26258,3848,9381,1049,11980,0
12,6,1206,"千葉6区",63774,22877,11698,12419,2554,13461,755,10,24201,5207,7170,555,11268,1
12,7,1207,"千葉7区",48238,19385,9284,8796,1569,8223,973,8,21435,4294,7203,605,9333,0
12,8,1208,"千葉8区",57406,21817,10897,11157,2059,10461,1012,3,22418,4309,6202,1880,10027,0
12,9,1209,"千葉9区",59836,22448,11921,12556,2500,9988,413,10,20575,4437,6157,751,9229,1
12,10,1210,"千葉10区",46518,18151,9703,10161,2010,6284,205,4,15782,1868,6638,1331,5945,0
