"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
1,1,101,"北海道1区",30822,11095,5506,5760,1273,6269,899,20,11385,2283,3428,581,5093,0
1,2,102,"北海道2区",39186,13261,6606,6957,1237,9208,1876,41,13410,2075,3839,1743,5753,0
1,3,103,"北海道3区",33345,12241,6349,6391,1218,6837,302,7,12408,2436,3269,1212,5491,0
1,4,104,"北海道4区",29254,11346,6126,6375,757,4455,189,6,10511,1808,3010,1271,4422,0
1,5,105,"北海道5区",36854,12691,6785,7345,1695,8110,222,6,11474,2404,2606,1954,4510,0
1,6,106,"北海道6区",26725,11149,5980,6174,1189,2093,137,3,10187,1665,3354,1734,3434,0
1,7,107,"北海道7区",16598,6700,3804,3688,741,1623,41,1,6086,1010,1522,1052,2502,0
1,8,108,"北海道8区",22358,8813,4861,4952,1152,2275,297,8,7726,1121,1953,1677,2975,0
1,9,109,"北海道9区",26479,10372,5533,5899,1227,2977,461,10,9767,1919,2812,1238,3798,0
1,10,110,"北海道10区",16105,6390,3493,3911,887,1363,59,2,5600,939,1846,689,2126,0
1,11,111,"北海道11区",19113,8429,4459,4681,492,968,82,2,7855,860,2740,1021,3234,0
1,12,112,"北海道12区",18707,7631,4006,4093,266,2504,202,5,7002,920,1856,1341,2885,0
2,1,201,"青森1区",21503,8529,4791,5458,364,2282,74,5,7603,759,3187,1660,1997,0
2,2,202,"青森2区",26761,10920,5807,6325,1118,2505,79,7,10383,807,3635,3197,2744,0
2,3,203,"青森3区",22824,8411,4581,5170,568,3675,413,6,8123,429,3354,2430,1910,0
3,1,301,"岩手1区",24486,8858,4524,5182,1095,4312,508,7,8242,1118,3436,1283,2405,0
3,2,302,"岩手2区",22137,9372,5207,5416,701,1342,97,2,8392,575,4164,1553,2100,0
