"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
1,1,101,"北海道1区",30703,10703,5470,5966,2875,5182,484,23,10797,2153,3197,569,4878,0
1,2,102,"北海道2区",35926,12845,6565,6822,2274,6481,936,3,12818,2008,3587,1632,5591,0
1,3,103,"北海道3区",30618,11430,5857,6114,2015,5035,162,5,11909,2362,3179,1090,5278,0
1,4,104,"北海道4区",27564,10959,5679,5999,1465,3366,88,8,9870,1823,2707,1236,4104,0
1,5,105,"北海道5区",34442,12166,6408,7160,2233,6325,147,3,10991,2357,2488,1818,4328,0
1,6,106,"北海道6区",26612,10489,5679,6255,1615,2470,75,29,9940,1559,3199,1718,3464,0
1,7,107,"北海道7区",15464,6482,3579,3762,726,887,27,1,5804,944,1431,968,2461,0
1,8,108,"北海道8区",20656,8408,4561,4849,1311,1419,98,10,7657,1171,1909,1693,2884,0
1,9,109,"北海道9区",23175,9917,5255,5504,1261,1136,96,6,9266,1788,2555,1196,3727,0
1,10,110,"北海道10区",15408,6089,3346,3770,1127,1041,33,2,5532,941,1789,705,2097,0
1,11,111,"北海道11区",18605,8074,4185,4385,820,1057,65,19,7453,845,2532,964,3112,0
1,12,112,"北海道12区",16697,7368,3725,3851,459,1235,53,6,6716,894,1704,1309,2809,0
2,1,201,"青森1区",20837,8167,4599,4860,830,2334,45,2,7623,789,3019,1710,2105,0
2,2,202,"青森2区",24910,10365,5564,6116,1084,1742,35,4,9984,835,3389,2993,2767,0
2,3,203,"青森3区",22444,8052,4481,5012,1076,3638,182,3,7990,380,3107,2361,2142,0
3,1,301,"岩手1区",23785,8523,4551,4990,1505,3997,213,6,8038,1108,3377,1156,2397,0
3,2,302,"岩手2区",21051,8936,4858,5157,909,1149,38,4,8285,546,4079,1436,2224,0
3,3,303,"岩手3区",24286,10121,5520,5998,1357,1269,18,3,9011,1130,3772,1423,2686,0
4,1,401,"宮城1区",38744,12623,6256,6390,2715,9496,1228,36,12678,2767,4343,634,4934,0
4,2,402,"宮城2区",36460,13412,6506,7124,3046,6107,256,9,13322,3080,4286,661,5294,1
4,3,403,"宮城3区",21193,8492,4558,4671,1100,2324,47,1,7494,1693,2450,418,2933,0
4,4,404,"宮城4区",28730,11649,6195,6605,1443,2779,56,3,10597,2311,3634,448,4203,1
4,5,405,"宮城5区",22064,9206,5037,5400,1101,1283,34,3,8047,1862,2985,684,2516,0
5,1,501,"秋田1区",18055,6884,3606,3839,926,2636,159,5,6253,910,2313,1159,1871,0
5,2,502,"秋田2区",13055,5339,3095,3321,431,847,21,1,4533,250,2035,1005,1243,0
5,3,503,"秋田3区",17246,7378,4193,4375,559,713,27,1,6518,256,3235,1488,1539,0
6,1,601,"山形1区",23397,8713,4591,4873,1233,3842,140,5,8440,1203,3378,1207,2652,0
6,2,602,"山形2区",21391,8754,4620,5138,1354,1419,100,6,7792,1045,3375,1302,2070,0
6,3,603,"山形3区",17609,7430,4211,4358,562,999,46,3,6846,655,3458,888,1845,0
7,1,701,"福島1区",27077,10208,5760,6277,1496,3183,142,11,10100,1939,3112,1240,3809,0
7,2,702,"福島2区",30600,12377,6593,7351,1825,2370,73,11,12360,2710,3559,1229,4862,0
7,3,703,"福島3区",21936,9213,5047,5439,1129,1069,36,3,8897,1700,2518,1591,3088,0
7,4,704,"福島4区",23942,9728,5475,5748,1290,1668,30,3,9849,1936,2963,993,3957,0
8,1,801,"茨城1区",30513,11875,6286,6720,1516,3967,148,1,11435,1497,3477,2076,4385,0
8,2,802,"茨城2区",20720,8544,4694,4975,886,1579,38,4,8247,727,2902,1366,3252,0
8,3,803,"茨城3区",29294,11085,5840,6121,1409,4648,187,4,9836,1669,3053,1088,4026,0
8,4,804,"茨城4区",18322,7283,3984,4256,951,1813,34,1,6617,1161,2651,326,2479,0
8,5,805,"茨城5区",16399,6281,3535,3956,689,1869,68,1,5530,859,1464,975,2232,0
8,6,806,"茨城6区",38218,14029,6925,6999,1660,7182,1416,7,13898,2233,5098,1170,5397,0
8,7,807,"茨城7区",24199,9577,5199,5466,1374,2533,43,7,8773,1320,2613,1453,3386,1
9,1,901,"栃木1区",31870,12743,6718,6665,1526,4025,187,6,12847,2063,3856,1490,5438,0
9,2,902,"栃木2区",17218,6927,3889,4040,944,1366,45,7,6628,968,2761,576,2323,0
9,3,903,"栃木3区",17173,6513,3648,3772,730,2451,59,0,5890,626,2096,1119,2049,0
9,4,904,"栃木4区",27680,10714,5576,5793,1466,4015,112,4,10122,1582,2796,2089,3655,0
9,5,905,"栃木5区",24394,9478,5187,5587,1564,2515,59,4,8562,1167,2397,2038,2960,0
10,1,1001,"群馬1区",24852,9032,4946,5499,1552,3651,168,4,8625,836,2606,2457,2726,0
10,2,1002,"群馬2区",25633,9628,5375,5628,1513,3350,135,4,9150,804,3494,1603,3249,0
10,3,1003,"群馬3区",25997,10265,5504,5722,1437,2990,75,4,9555,1101,2877,2148,3429,0
10,4,1004,"群馬4区",23305,8542,4555,4900,1341,3868,92,7,8181,961,2429,2004,2787,0
10,5,1005,"群馬5区",21569,8626,4651,4813,1346,2082,48,3,7777,819,2747,1724,2487,0
11,1,1101,"埼玉1区",32290,12582,6066,6029,1144,6244,222,3,12650,2819,3699,302,5830,0
11,2,1102,"埼玉2区",29310,11107,5569,5760,1514,5160,194,6,11981,2683,3565,109,5624,0
11,3,1103,"埼玉3区",31437,11929,6044,6126,1447,5730,155,6,12049,2892,3151,536,5470,0
11,4,1104,"埼玉4区",31851,11972,5862,5957,1417,6397,236,10,13202,2806,4051,166,6179,0
11,5,1105,"埼玉5区",30685,11471,5704,5963,1271,6073,199,4,11998,2579,3643,196,5580,0
11,6,1106,"埼玉6区",29857,10922,5926,6265,1658,4966,109,11,10461,2639,3063,722,4036,1
11,7,1107,"埼玉7区",27762,10212,5299,5394,1438,5076,166,177,9901,2579,2916,406,4000,0
11,8,1108,"埼玉8区",29458,10649,5504,5615,1434,5973,274,9,10287,2611,3224,388,4064,0
11,9,1109,"埼玉9区",29663,10507,5827,6160,2022,5029,110,8,9500,1998,2911,606,3985,0
11,10,1110,"埼玉10区",25011,8777,4763,4954,1437,4939,137,4,8192,1772,2778,285,3357,0
11,11,1111,"埼玉11区",24689,9476,5258,5528,1539,2811,67,10,8456,1008,3598,876,2974,0
11,12,1112,"埼玉12区",26330,9896,5376,5611,1508,3851,85,3,9129,1564,3045,985,3535,0
11,13,1113,"埼玉13区",26668,10162,5445,5426,1365,4166,95,9,9485,2230,2554,804,3897,0
11,14,1114,"埼玉14区",29956,11528,5914,5972,1443,4975,114,10,12164,2602,3011,375,6176,0
11,15,1115,"埼玉15区",34075,12687,6073,6058,1471,7458,323,5,13624,2771,4421,88,6344,0
11,16,1116,"埼玉16区",26056,9521,5399,5579,1399,4067,79,12,8918,2218,2435,531,3734,0
12,1,1201,"千葉1区",34546,11848,6572,6572,1543,7500,507,4,11178,2009,3536,835,4798,0
12,2,1202,"千葉2区",25074,8608,4713,5291,1183,5111,157,11,9019,1872,2469,428,4250,0
12,3,1203,"千葉3区",26123,9910,5230,5530,1463,3880,104,6,9302,2115,2227,725,4235,0
12,4,1204,"千葉4区",32517,12298,6129,6262,1470,6113,244,1,12564,2543,4324,184,5512,1
12,5,1205,"千葉5区",32159,11049,5902,6088,1487,7312,316,5,12780,1873,4617,496,5794,0
12,6,1206,"千葉6区",30915,11209,5621,6052,1563,6207,258,5,11798,2512,3443,274,5568,1
12,7,1207,"千葉7区",23086,9470,4486,4376,975,3551,223,5,10485,2068,3538,305,4574,0
12,8,1208,"千葉8区",27669,10624,5383,5372,1296,4738,254,2,11073,2155,3020,927,4971,0
12,9,1209,"千葉9区",28709,10835,5698,6073,1492,4483,122,6,9967,2222,2923,365,4457,0
12,10,1210,"千葉10区",22689,8799,4726,4965,1192,2948,58,1,7760,934,3281,639,2906,0
12,11,1211,"千葉11区",21998,8208,4543,4852,1145,3183,65,2,7042,864,2456,848,2874,0
12,12,1212,"千葉12区",24580,9932,5278,5479,1391,2422,74,4,9503,2026,2695,739,4043,0
12,13,1213,"千葉13区",33266,12766,6636,6587,1654,5447,170,6,11869,2586,3230,612,5440,1
12,14,1214,"千葉14区",33372,12368,6406,6341,1480,6560,210,7,12022,2576,3476,752,5218,0
13,1,1301,"東京1区",21238,6859,2963,2936,877,6703,896,4,9149,979,2363,658,5149,0
13,2,1302,"東京2区",17652,7220,2984,2802,460,3763,417,6,10747,1322,3569,304,5552,0
13,3,1303,"東京3区",22366,9019,3980,3703,700,4575,382,7,12137,1559,4932,128,5518,0
13,4,1304,"東京4区",25279,9488,4744,4659,1383,4785,218,2,11352,1874,4037,22,5419,0
13,5,1305,"東京5区",28604,10568,4716,4544,535,7745,493,3,11723,1845,3410,206,6262,0
