"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_農林漁業就業者世帯","一般世帯数_農林漁業・業主世帯","一般世帯数_農林漁業・雇用者世帯","一般世帯数_農林漁業・非農林漁業就業者混合世帯","一般世帯数_農林漁業・業主混合世帯","一般世帯数_農林漁業・雇用者混合世帯","一般世帯数_非農林漁業・業主混合世帯","一般世帯数_非農林漁業・雇用者混合世帯","一般世帯数_非農林漁業就業者世帯","一般世帯数_非農林漁業・業主世帯","一般世帯数_非農林漁業・雇用者世帯","一般世帯数_非農林漁業・業主・雇用者世帯（世帯の主な就業者が業主）","一般世帯数_非農林漁業・業主・雇用者世帯（世帯の主な就業者が雇用者）","一般世帯数_非就業者世帯","一般世帯数_分類不能の世帯"
1,1,101,"北海道1区",273408,490,153,337,376,58,157,13,148,147588,9042,132691,3501,2354,119094,5860
1,2,102,"北海道2区",264858,465,170,295,544,61,205,27,251,148106,7641,134314,3879,2272,109546,6197
1,3,103,"北海道3区",264707,431,98,333,437,48,209,11,169,151992,7397,139133,3314,2148,106083,5764
1,4,104,"北海道4区",217103,3902,2372,1530,2013,534,655,56,768,122762,6720,110916,3102,2024,83985,4441
1,5,105,"北海道5区",225086,2731,1194,1537,2154,324,714,63,1053,133184,5472,122635,2936,2141,82166,4851
1,6,106,"北海道6区",223427,7840,4761,3079,3795,907,1248,124,1516,127279,7940,114192,3184,1963,80734,3779
1,7,107,"北海道7区",137685,7435,3992,3443,2961,880,1295,78,708,75863,4718,68326,1732,1087,49088,2338
1,8,108,"北海道8区",193538,5741,3734,2007,3329,1155,954,97,1123,106214,6824,94920,2889,1581,74029,4225
1,9,109,"北海道9区",210634,9025,3615,5410,3617,727,1468,109,1313,117013,6333,106781,2330,1569,77110,3869
1,10,110,"北海道10区",147744,8044,5358,2686,3489,1166,1036,93,1194,78802,4700,71171,1630,1301,55027,2382
1,11,111,"北海道11区",152645,9963,5095,4868,3774,744,1559,129,1342,82030,4941,73791,2036,1262,52299,4579
1,12,112,"北海道12区",158228,10426,6047,4379,3897,932,1690,81,1194,85971,5135,77722,1929,1185,55288,2646
2,1,201,"青森1区",168794,3747,2544,1203,2999,1482,720,92,705,102874,6025,92122,3115,1612,55831,3343
2,2,202,"青森2区",186738,6611,4417,2194,6330,2843,1409,184,1894,113709,6645,101634,3453,1977,56967,3121
