"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",242354,138228,16327,121901,96602,83848,10626,679,1449,7524
1,2,102,"北海道2区",258688,125937,15690,110247,123946,101895,19772,476,1803,8805
1,3,103,"北海道3区",252760,103374,14736,88638,141498,121531,17403,598,1966,7888
1,4,104,"北海道4区",226241,131318,19939,111379,89105,44668,42620,490,1327,5818
1,5,105,"北海道5区",253616,136343,15380,120963,111654,28666,80992,587,1409,5619
1,6,106,"北海道6区",241364,209577,27726,181851,28230,0,27419,310,501,3557
1,7,107,"北海道7区",147962,129667,20416,109251,15865,0,15384,217,264,2430
1,8,108,"北海道8区",200573,160498,22938,137560,34968,0,33142,1059,767,5107
1,9,109,"北海道9区",219234,176896,21171,155725,37677,0,36562,389,726,4661
1,10,110,"北海道10区",160114,119004,24150,94854,38782,0,38002,204,576,2328
1,11,111,"北海道11区",170822,125971,24128,101843,39079,0,38255,172,652,5772
1,12,112,"北海道12区",171287,154352,26516,127836,13942,0,13522,136,284,2993
2,1,201,"青森1区",199494,175580,19255,156325,20152,0,18261,1470,421,3762
2,2,202,"青森2区",239533,179788,27882,151906,56479,0,51796,3960,723,3266
2,3,203,"青森3区",214655,150453,41776,108677,59755,0,57268,1745,742,4447
3,1,301,"岩手1区",191740,142472,15449,127023,45563,0,42914,1935,714,3705
3,2,302,"岩手2区",224701,162631,31542,131089,59842,0,53358,5698,786,2228
3,3,303,"岩手3区",240347,187043,32728,154315,50510,0,44724,4850,936,2794
4,1,401,"宮城1区",276999,161125,17018,144107,109552,78841,24409,5077,1225,6322
4,2,402,"宮城2区",283588,132144,17408,114736,144842,108914,30188,4184,1556,6602
4,3,403,"宮城3区",173378,76536,15640,60896,93960,0,87910,4706,1344,2882
4,4,404,"宮城4区",236177,115884,19646,96238,116414,0,112212,2761,1441,3879
4,5,405,"宮城5区",220284,155576,33063,122513,60886,0,55242,4367,1277,3822
5,1,501,"秋田1区",156090,142891,10779,132112,9016,0,7615,1071,330,4183
5,2,502,"秋田2区",145595,108669,19713,88956,35689,0,34016,1278,395,1237
5,3,503,"秋田3区",197310,153288,33416,119872,42419,0,39688,2145,586,1603
6,1,601,"山形1区",194881,136571,20306,116265,54341,0,49760,3815,766,3969
6,2,602,"山形2区",208317,131377,31923,99454,74222,0,70840,2488,894,2718
