"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",125766,66566,8801,57765,55366,46363,7627,495,881,3834
1,2,102,"北海道2区",138006,61560,8814,52746,71678,57075,13117,390,1096,4768
1,3,103,"北海道3区",132454,49460,8287,41173,78806,65191,11999,521,1095,4188
1,4,104,"北海道4区",122069,64911,11087,53824,54068,25962,26868,416,822,3090
1,5,105,"北海道5区",139217,67813,8543,59270,68489,16188,50937,461,903,2915
1,6,106,"北海道6区",129145,109921,15227,94694,17301,0,16759,234,308,1923
1,7,107,"北海道7区",81018,70111,11319,58792,9537,0,9186,191,160,1370
1,8,108,"北海道8区",107200,83069,12957,70112,21360,0,19924,939,497,2771
1,9,109,"北海道9区",123873,97866,11675,86191,23364,0,22579,323,462,2643
1,10,110,"北海道10区",87105,62335,13328,49007,23481,0,22966,158,357,1289
1,11,111,"北海道11区",92449,66461,13252,53209,22831,0,22322,124,385,3157
1,12,112,"北海道12区",95139,84474,14814,69660,8930,0,8663,98,169,1735
2,1,201,"青森1区",108180,92641,10823,81818,13452,0,11908,1250,294,2087
2,2,202,"青森2区",129740,92869,15031,77838,35053,0,31629,2919,505,1818
2,3,203,"青森3区",110705,75124,23140,51984,33281,0,31414,1407,460,2300
3,1,301,"岩手1区",101353,71957,8404,63553,27411,0,25434,1524,453,1985
3,2,302,"岩手2区",123302,86115,17762,68353,35937,0,31150,4259,528,1250
3,3,303,"岩手3区",132127,97914,18795,79119,32625,0,28772,3249,604,1588
4,1,401,"宮城1区",149799,79939,9480,70459,66399,45530,15970,4093,806,3461
4,2,402,"宮城2区",154508,66471,9790,56681,84318,59917,19970,3464,967,3719
4,3,403,"宮城3区",96494,38748,9239,29509,56117,0,51621,3671,825,1629
4,4,404,"宮城4区",132706,60146,11257,48889,70318,0,66963,2449,906,2242
4,5,405,"宮城5区",122870,82364,19836,62528,38231,0,34192,3231,808,2275
5,1,501,"秋田1区",83235,74464,5946,68518,6521,0,5442,868,211,2250
5,2,502,"秋田2区",78375,56091,11356,44735,21580,0,20379,945,256,704
5,3,503,"秋田3区",107384,80822,19800,61022,25696,0,23779,1577,340,866
6,1,601,"山形1区",103661,68784,11445,57339,32749,0,29644,2620,485,2128
6,2,602,"山形2区",114108,70261,18694,51567,42300,0,39972,1778,550,1547
6,3,603,"山形3区",98542,73862,15831,58031,23339,0,21548,1501,290,1341
7,1,701,"福島1区",133417,92096,15268,76828,38295,0,34406,3197,692,3026
7,2,702,"福島2区",150302,102870,16795,86075,43363,0,40105,2253,1005,4069
7,3,703,"福島3区",115151,74824,17321,57503,38132,0,34929,2494,709,2195
7,4,704,"福島4区",127849,104651,10564,94087,20867,0,15862,4361,644,2331
8,1,801,"茨城1区",143058,81777,15528,66249,58223,0,49046,7909,1268,3058
8,2,802,"茨城2区",109861,64446,16267,48179,42781,0,35858,5942,981,2634
8,3,803,"茨城3区",128316,43171,11595,31576,82470,0,45149,35816,1505,2675
8,4,804,"茨城4区",91413,44897,9483,35414,44861,0,41252,2809,800,1655
8,5,805,"茨城5区",79269,51283,5588,45695,26773,0,23351,3042,380,1213
8,6,806,"茨城6区",160057,81969,14786,67183,74456,0,54036,19001,1419,3632
8,7,807,"茨城7区",122652,62519,17320,45199,56922,0,33254,22138,1530,3211
9,1,901,"栃木1区",137580,90059,10660,79399,43169,0,36032,6339,798,4352
9,2,902,"栃木2区",90084,52078,10789,41289,36397,0,33390,2399,608,1609
9,3,903,"栃木3区",83054,47767,12073,35694,32976,0,29829,2539,608,2311
9,4,904,"栃木4区",130192,62357,14918,47439,65365,0,46043,18184,1138,2470
9,5,905,"栃木5区",122405,73506,13152,60354,47141,0,25033,21292,816,1758
10,1,1001,"群馬1区",117145,73993,13354,60639,40748,0,35507,4474,767,2404
10,2,1002,"群馬2区",119634,59730,11680,48050,56816,0,47959,7695,1162,3088
10,3,1003,"群馬3区",121676,66643,10975,55668,52202,0,34180,17054,968,2831
10,4,1004,"群馬4区",102992,61382,8724,52658,39347,0,29852,8862,633,2263
10,5,1005,"群馬5区",109850,60284,14125,46159,47337,0,43036,3363,938,2229
11,1,1101,"埼玉1区",123581,28991,9477,19514,91551,19462,20182,50053,1854,3039
11,2,1102,"埼玉2区",136953,47979,12349,35630,84475,0,20730,61132,2613,4499
11,3,1103,"埼玉3区",129329,41909,9969,31940,83432,0,32601,48701,2130,3988
11,4,1104,"埼玉4区",130813,31633,10689,20944,95618,0,28421,64632,2565,3562
11,5,1105,"埼玉5区",127753,33937,9101,24836,90614,20724,21268,46904,1718,3202
11,6,1106,"埼玉6区",139350,38402,10382,28020,97850,0,61481,34087,2282,3098
11,7,1107,"埼玉7区",124379,42710,9863,32847,78384,0,42635,33726,2023,3285
11,8,1108,"埼玉8区",132045,40264,10788,29476,88630,0,32881,53627,2122,3151
11,9,1109,"埼玉9区",133624,48427,10666,37761,82743,0,48358,32735,1650,2454
11,10,1110,"埼玉10区",110240,34244,9517,24727,73487,0,56218,15786,1483,2509
11,11,1111,"埼玉11区",118856,56039,13566,42473,60497,0,44077,15197,1223,2320
11,12,1112,"埼玉12区",129127,57172,12353,44819,69179,0,46885,20968,1326,2776
11,13,1113,"埼玉13区",126093,34961,10333,24628,87809,0,52624,33243,1942,3323
11,14,1114,"埼玉14区",134009,41475,11457,30018,87504,0,25708,58927,2869,5030
11,15,1115,"埼玉15区",143306,33154,10696,22458,105678,9935,27528,65590,2625,4474
11,16,1116,"埼玉16区",121122,37345,9964,27381,79802,3634,39276,34448,2444,3975
12,1,1201,"千葉1区",135574,43233,8098,35135,88901,21441,26144,39739,1577,3440
12,2,1202,"千葉2区",101750,26439,6745,19694,72374,8557,29680,32370,1767,2937
12,3,1203,"千葉3区",110660,50132,6747,43385,56326,8771,32448,13649,1458,4202
12,4,1204,"千葉4区",137515,38378,10524,27854,95097,0,27380,65494,2223,4040
12,5,1205,"千葉5区",146505,36186,11148,25038,105517,0,18962,84529,2026,4802
12,6,1206,"千葉6区",135333,39088,10198,28890,91798,0,24661,64564,2573,4447
12,7,1207,"千葉7区",96867,31544,7974,23570,62580,0,19742,41484,1354,2743
12,8,1208,"千葉8区",114777,40309,8834,31475,71596,0,22296,47657,1643,2872
12,9,1209,"千葉9区",127616,39571,10500,29071,84621,9677,50819,22343,1782,3424
12,10,1210,"千葉10区",114357,63702,17422,46280,48172,0,34447,12671,1054,2483
12,11,1211,"千葉11区",114029,47156,15777,31379,64750,0,56026,7400,1324,2123
12,12,1212,"千葉12区",127429,66743,13772,52971,57253,0,48500,7530,1223,3433
12,13,1213,"千葉13区",134682,34348,11545,22803,97134,0,52608,42605,1921,3200
12,14,1214,"千葉14区",139644,41004,9044,31960,94836,0,40322,52424,2090,3804
13,1,1301,"東京1区",88071,36860,10430,26430,47209,38978,2172,5162,897,4002
13,2,1302,"東京2区",97862,36319,13609,22710,57540,48978,980,6664,918,4003
13,3,1303,"東京3区",121205,47047,14123,32924,70398,57528,1469,10286,1115,3760
13,4,1304,"東京4区",140407,58412,13147,45265,75746,56400,1434,16493,1419,6249
13,5,1305,"東京5区",107644,33004,14143,18861,71544,57910,2527,9920,1187,3096
13,6,1306,"東京6区",118013,37175,14272,22903,77575,60224,7191,8856,1304,3263
13,7,1307,"東京7区",103272,44645,14933,29712,54971,45525,2083,6492,871,3656
13,8,1308,"東京8区",113350,30715,13647,17068,79789,63873,8370,6397,1149,2846
13,9,1309,"東京9区",90821,26203,9842,16361,61884,45216,6959,8300,1409,2734
13,10,1310,"東京10区",130612,40147,15471,24676,86763,73011,2475,9894,1383,3702
13,11,1311,"東京11区",111445,33681,10923,22758,73339,58782,2207,10617,1733,4425
13,12,1312,"東京12区",110884,30444,10229,20215,75727,61169,1776,11091,1691,4713
13,13,1313,"東京13区",110053,35682,10724,24958,69491,53378,1047,13143,1923,4880
13,14,1314,"東京14区",126564,37902,14341,23561,84226,69466,1481,11381,1898,4436
13,15,1315,"東京15区",137281,45006,13041,31965,86572,73359,1627,10195,1391,5703
13,16,1316,"東京16区",130334,41512,11250,30262,83190,65678,1465,13900,2147,5632
13,17,1317,"東京17区",115855,34038,11482,22556,77508,60957,1162,13276,2113,4309
13,18,1318,"東京18区",123681,29691,12563,17128,91064,0,81331,8274,1459,2926
13,19,1319,"東京19区",102351,25322,9278,16044,74324,0,65260,7815,1249,2705
13,20,1320,"東京20区",123872,30042,10579,19463,90175,0,73522,14034,2619,3655
13,21,1321,"東京21区",127189,39056,9590,29466,84917,0,72762,10713,1442,3216
13,22,1322,"東京22区",131957,34826,13832,20994,93587,0,83038,8717,1832,3544
13,23,1323,"東京23区",112617,34289,9624,24665,75184,0,39669,33891,1624,3144
13,24,1324,"東京24区",118974,59591,9700,49891,56263,0,43850,11090,1323,3120
13,25,1325,"東京25区",130733,42207,10082,32125,84418,0,72788,9400,2230,4108
13,26,1326,"東京26区",127075,38915,15602,23313,84434,68343,2176,12576,1339,3726
13,27,1327,"東京27区",108969,29115,13725,15390,76979,65131,4779,5859,1210,2875
13,28,1328,"東京28区",96128,26292,10237,16055,66959,55058,2977,7639,1285,2877
13,29,1329,"東京29区",107211,34009,11648,22361,68371,54098,1177,11163,1933,4831
13,30,1330,"東京30区",136187,40479,11515,28964,92321,0,76100,14372,1849,3387
14,1,1401,"神奈川1区",135900,42057,9648,32409,89827,38029,17690,32442,1666,4016
14,2,1402,"神奈川2区",136296,31893,10597,21296,100381,46950,16259,35254,1918,4022
14,3,1403,"神奈川3区",152052,41942,12152,29790,105223,31735,21464,50279,1745,4887
14,4,1404,"神奈川4区",98966,25959,9902,16057,70991,9680,33196,26736,1379,2016
14,5,1405,"神奈川5区",120456,30265,8980,21285,87227,33217,20445,32182,1383,2964
14,6,1406,"神奈川6区",118564,28753,8788,19965,86609,39263,16136,29598,1612,3202
14,7,1407,"神奈川7区",101058,27334,9413,17921,71548,19879,10072,40613,984,2176
14,8,1408,"神奈川8区",137879,31853,11780,20073,103277,29285,16765,55654,1573,2749
14,9,1409,"神奈川9区",109106,25537,10249,15288,81014,11770,13597,54337,1310,2555
14,10,1410,"神奈川10区",116763,40902,9426,31476,70924,10435,17074,41714,1701,4937
14,11,1411,"神奈川11区",119151,66017,8536,57481,50313,0,36729,12404,1180,2821
14,12,1412,"神奈川12区",136897,51664,10456,41208,81819,0,54955,25290,1574,3414
14,13,1413,"神奈川13区",114936,31041,8117,22924,80466,9760,46511,22391,1804,3429
14,14,1414,"神奈川14区",133816,54426,9758,44668,75464,11900,28490,33429,1645,3926
14,15,1415,"神奈川15区",140752,53237,10728,42509,83696,0,59980,22019,1697,3819
14,16,1416,"神奈川16区",132799,55832,9766,46066,73976,0,56621,16095,1260,2991
14,17,1417,"神奈川17区",146884,62119,12923,49196,81620,0,64424,15598,1598,3145
14,18,1418,"神奈川18区",144114,34648,14715,19933,105770,16311,19366,68390,1703,3696
14,19,1419,"神奈川19区",125646,31777,11285,20492,90817,21987,15797,51584,1449,3052
14,20,1420,"神奈川20区",109130,29436,8023,21413,76687,4179,41723,29242,1543,3007
15,1,1501,"新潟1区",120238,73508,10840,62668,44553,34548,8732,805,468,2177
15,2,1502,"新潟2区",139848,76245,15699,60546,61206,25457,34049,830,870,2397
15,3,1503,"新潟3区",129663,70959,14397,56562,56602,14898,39740,1091,873,2102
15,4,1504,"新潟4区",125351,96297,12163,84134,28076,0,27001,722,353,978
15,5,1505,"新潟5区",125060,103394,15507,87887,20086,0,17973,1687,426,1580
16,1,1601,"富山1区",96404,79547,7002,72545,14546,0,12623,1617,306,2311
16,2,1602,"富山2区",86520,51443,7662,43781,33744,0,32007,1182,555,1333
16,3,1603,"富山3区",126609,68887,11668,57219,55383,0,50466,4074,843,2339
17,1,1701,"石川1区",131655,102368,10179,92189,25789,0,21904,3333,552,3498
17,2,1702,"石川2区",120143,64488,10400,54088,54312,0,51277,2518,517,1343
17,3,1703,"石川3区",79470,45051,9843,35208,33696,0,31455,1876,365,723
