"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",116588,71662,7526,64136,41236,37485,2999,184,568,3690
1,2,102,"北海道2区",120682,64377,6876,57501,52268,44820,6655,86,707,4037
1,3,103,"北海道3区",120306,53914,6449,47465,62692,56340,5404,77,871,3700
1,4,104,"北海道4区",104172,66407,8852,57555,35037,18706,15752,74,505,2728
1,5,105,"北海道5区",114399,68530,6837,61693,43165,12478,30055,126,506,2704
1,6,106,"北海道6区",112219,99656,12499,87157,10929,0,10660,76,193,1634
1,7,107,"北海道7区",66944,59556,9097,50459,6328,0,6198,26,104,1060
1,8,108,"北海道8区",93373,77429,9981,67448,13608,0,13218,120,270,2336
1,9,109,"北海道9区",95361,79030,9496,69534,14313,0,13983,66,264,2018
1,10,110,"北海道10区",73009,56669,10822,45847,15301,0,15036,46,219,1039
1,11,111,"北海道11区",78373,59510,10876,48634,16248,0,15933,48,267,2615
1,12,112,"北海道12区",76148,69878,11702,58176,5012,0,4859,38,115,1258
2,1,201,"青森1区",91314,82939,8432,74507,6700,0,6353,220,127,1675
2,2,202,"青森2区",109793,86919,12851,74068,21426,0,20167,1041,218,1448
2,3,203,"青森3区",103950,75329,18636,56693,26474,0,25854,338,282,2147
3,1,301,"岩手1区",90387,70515,7045,63470,18152,0,17480,411,261,1720
3,2,302,"岩手2区",101399,76516,13780,62736,23905,0,22208,1439,258,978
3,3,303,"岩手3区",108220,89129,13933,75196,17885,0,15952,1601,332,1206
4,1,401,"宮城1区",127200,81186,7538,73648,43153,33311,8439,984,419,2861
4,2,402,"宮城2区",129080,65673,7618,58055,60524,48997,10218,720,589,2883
4,3,403,"宮城3区",76884,37788,6401,31387,37843,0,36289,1035,519,1253
4,4,404,"宮城4区",103471,55738,8389,47349,46096,0,45249,312,535,1637
4,5,405,"宮城5区",97414,73212,13227,59985,22655,0,21050,1136,469,1547
5,1,501,"秋田1区",72855,68427,4833,63594,2495,0,2173,203,119,1933
5,2,502,"秋田2区",67220,52578,8357,44221,14109,0,13637,333,139,533
5,3,503,"秋田3区",89926,72466,13616,58850,16723,0,15909,568,246,737
6,1,601,"山形1区",91220,67787,8861,58926,21592,0,20116,1195,281,1841
6,2,602,"山形2区",94209,61116,13229,47887,31922,0,30868,710,344,1171
6,3,603,"山形3区",84750,67760,11164,56596,15948,0,15218,504,226,1042
7,1,701,"福島1区",109459,83304,11321,71983,23825,0,22002,1443,380,2330
