"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",221641,127938,16327,111611,86721,75845,9072,529,1275,6982
1,2,102,"北海道2区",234457,113464,15690,97774,112994,93920,17000,380,1694,7999
1,3,103,"北海道3区",233257,95581,14736,80845,130466,113100,15091,499,1776,7210
1,4,104,"北海道4区",208686,122855,19939,102916,80510,40868,38035,402,1205,5321
1,5,105,"北海道5区",228348,124071,15380,108691,99257,26460,71045,469,1283,5020
1,6,106,"北海道6区",223811,196116,27726,168390,24460,0,23864,191,405,3235
1,7,107,"北海道7区",138192,121617,20416,101201,14417,0,14006,187,224,2158
1,8,108,"北海道8区",186106,149808,22938,126870,31518,0,29908,909,701,4780
1,9,109,"北海道9区",203314,165798,21171,144627,33173,0,32252,314,607,4343
1,10,110,"北海道10区",149081,113198,24150,89048,33727,0,33106,133,488,2156
1,11,111,"北海道11区",159851,119540,24128,95412,35125,0,34459,112,554,5186
1,12,112,"北海道12区",160526,145897,26516,119381,11970,0,11637,90,243,2659
2,1,201,"青森1区",183994,162434,19255,143179,18041,0,16486,1185,370,3519
2,2,202,"青森2区",221211,167162,27882,139280,51060,0,47054,3420,586,2989
2,3,203,"青森3区",197186,139321,41776,97545,53713,0,51614,1454,645,4152
3,1,301,"岩手1区",172920,128389,15449,112940,41148,0,38963,1559,626,3383
3,2,302,"岩手2区",209675,153569,31542,122027,54089,0,48400,5036,653,2017
3,3,303,"岩手3区",222498,174909,32728,142181,45090,0,40428,3961,701,2499
4,1,401,"宮城1区",244661,140083,17018,123065,98792,71046,22187,4420,1139,5786
4,2,402,"宮城2区",257529,120370,17408,102962,131126,98770,27415,3651,1290,6033
4,3,403,"宮城3区",158176,71558,15640,55918,84104,0,78692,4296,1116,2514
4,4,404,"宮城4区",216453,108490,19646,88844,104499,0,100873,2438,1188,3464
4,5,405,"宮城5区",204529,146228,33063,113165,54825,0,49876,3919,1030,3476
5,1,501,"秋田1区",142787,130744,10779,119965,8134,0,7034,799,301,3909
5,2,502,"秋田2区",136128,103332,19713,83619,31745,0,30565,897,283,1051
5,3,503,"秋田3区",184979,145377,33416,111961,38182,0,36138,1599,445,1420
6,1,601,"山形1区",177992,125404,20306,105098,48873,0,45761,2469,643,3715
6,2,602,"山形2区",192451,124290,31923,92367,65707,0,63492,1603,612,2454
6,3,603,"山形3区",170479,132496,26995,105501,35845,0,33946,1471,428,2138
7,1,701,"福島1区",223115,162987,26589,136398,55158,0,51424,2852,882,4970
7,2,702,"福島2区",249328,181253,30177,151076,61459,0,58117,2030,1312,6616
7,3,703,"福島3区",194606,133477,30553,102924,57523,0,53610,2993,920,3606
7,4,704,"福島4区",204996,175345,18431,156914,26208,0,20434,5076,698,3443
8,1,801,"茨城1区",239513,150719,26488,124231,83867,0,72797,9431,1639,4927
8,2,802,"茨城2区",180072,110602,28332,82270,65472,0,55830,8364,1278,3998
8,3,803,"茨城3区",209255,81867,19590,62277,123060,0,72444,48627,1989,4328
8,4,804,"茨城4区",149108,80736,16284,64452,65679,0,61724,3009,946,2693
8,5,805,"茨城5区",124761,85880,9831,76049,37064,0,33044,3568,452,1817
8,6,806,"茨城6区",258060,143247,25362,117885,108836,0,83863,23082,1891,5977
8,7,807,"茨城7区",202175,110307,28882,81425,86715,0,52858,31885,1972,5153
9,1,901,"栃木1区",222444,159168,18983,140185,56505,0,48798,6657,1050,6771
9,2,902,"栃木2区",149727,96060,18711,77349,51070,0,48105,2213,752,2597
9,3,903,"栃木3区",139551,86176,21232,64944,49693,0,46143,2697,853,3682
9,4,904,"栃木4区",212221,112092,25729,86363,96106,0,69606,24910,1590,4023
9,5,905,"栃木5区",202652,134481,22523,111958,65364,0,36438,27893,1033,2807
10,1,1001,"群馬1区",197520,134854,23521,111333,58566,0,53127,4397,1042,4100
10,2,1002,"群馬2区",199336,110391,20671,89720,83759,0,72463,9646,1650,5186
10,3,1003,"群馬3区",196245,114803,19086,95717,76866,0,51650,23921,1295,4576
10,4,1004,"群馬4区",171398,111341,15212,96129,56300,0,44670,10693,937,3757
10,5,1005,"群馬5区",185446,110640,24141,86499,71184,0,66635,3297,1252,3622
11,1,1101,"埼玉1区",203563,64064,17033,47031,134412,35982,28147,67905,2378,5087
11,2,1102,"埼玉2区",226112,94693,21227,73466,124041,0,29983,90353,3705,7378
11,3,1103,"埼玉3区",213443,88293,17137,71156,118717,0,48539,67236,2942,6433
11,4,1104,"埼玉4区",216198,64391,18237,46154,145955,0,43745,98611,3599,5852
11,5,1105,"埼玉5区",209809,71138,16003,55135,133502,39020,28923,63381,2178,5169
11,6,1106,"埼玉6区",229539,82075,18109,63966,142179,0,95947,43247,2985,5285
11,7,1107,"埼玉7区",205113,86541,17069,69472,112885,0,64272,45844,2769,5687
11,8,1108,"埼玉8区",218531,85860,18519,67341,127249,0,47691,76600,2958,5422
11,9,1109,"埼玉9区",217752,93468,18030,75438,120418,0,74076,44081,2261,3866
11,10,1110,"埼玉10区",178920,65276,15927,49349,109720,0,87946,19783,1991,3924
11,11,1111,"埼玉11区",196389,103540,23122,80418,89020,0,68514,18911,1595,3829
11,12,1112,"埼玉12区",211089,107551,20848,86703,99129,0,71735,25614,1780,4409
11,13,1113,"埼玉13区",204597,70348,17549,52799,128818,0,83967,42270,2581,5431
11,14,1114,"埼玉14区",220753,84250,19580,64670,128515,0,37124,87496,3895,7988
11,15,1115,"埼玉15区",235107,69302,18554,50748,158826,19395,43099,93072,3260,6979
11,16,1116,"埼玉16区",199965,77884,17032,60852,115635,6110,60320,45849,3356,6446
12,1,1201,"千葉1区",224270,87880,14539,73341,130663,38143,37519,52666,2335,5727
12,2,1202,"千葉2区",168039,55600,11646,43954,107528,15531,46694,42995,2308,4911
12,3,1203,"千葉3区",178402,92063,11883,80180,79831,14519,46827,16523,1962,6508
12,4,1204,"千葉4区",227543,79545,18340,61205,141373,0,43970,94213,3190,6625
12,5,1205,"千葉5区",245273,77850,19752,58098,159888,0,28314,128556,3018,7535
12,6,1206,"千葉6区",224960,83378,17755,65623,134175,0,37757,92776,3642,7407
12,7,1207,"千葉7区",158989,63411,13840,49571,91043,0,32317,56829,1897,4535
12,8,1208,"千葉8区",188382,81584,15458,66126,102007,0,35697,64044,2266,4791
12,9,1209,"千葉9区",209363,79826,18098,61728,124065,17093,76404,28056,2512,5472
12,10,1210,"千葉10区",192652,119287,30096,89191,69421,0,52243,15873,1305,3944
12,11,1211,"千葉11区",189325,87069,26615,60454,98899,0,88805,8374,1720,3357
12,12,1212,"千葉12区",209627,121297,24264,97033,82935,0,72501,8810,1624,5395
12,13,1213,"千葉13区",220925,73433,19974,53459,142457,0,84537,55365,2555,5035
12,14,1214,"千葉14区",224385,79461,16008,63453,138622,0,64676,70964,2982,6302
13,1,1301,"東京1区",152350,65996,19798,46198,79215,67479,3086,7123,1527,7139
13,2,1302,"東京2区",174055,69795,25365,44430,97249,85069,1227,9363,1590,7011
13,3,1303,"東京3区",211660,87526,25657,61869,117531,99338,1772,14582,1839,6603
13,4,1304,"東京4区",240655,112190,22584,89606,117534,90759,1554,23077,2144,10931
13,5,1305,"東京5区",189805,66649,27801,38848,117414,98711,3171,13551,1981,5742
13,6,1306,"東京6区",203557,73233,26717,46516,124334,99677,11478,11150,2029,5990
13,7,1307,"東京7区",185936,85936,29759,56177,93377,80094,2832,8919,1532,6623
13,8,1308,"東京8区",201414,63717,25910,37807,132595,109337,13537,7893,1828,5102
13,9,1309,"東京9区",153152,54670,17301,37369,93956,70435,10731,10726,2064,4526
13,10,1310,"東京10区",225437,73719,28759,44960,145434,126418,3350,13359,2307,6284
13,11,1311,"東京11区",195196,68618,19465,49153,119098,99925,2642,14010,2521,7480
13,12,1312,"東京12区",191376,61368,18158,43210,122385,102031,2148,15549,2657,7623
13,13,1313,"東京13区",186784,71148,18304,52844,107909,86543,1103,17427,2836,7727
13,14,1314,"東京14区",219007,74788,24970,49818,136886,117552,1689,15013,2632,7333
13,15,1315,"東京15区",235716,88428,23592,64836,137946,120814,1878,13031,2223,9342
13,16,1316,"東京16区",214781,82846,19427,63419,123455,101058,1518,18165,2714,8480
13,17,1317,"東京17区",196619,69040,19746,49294,120610,98759,1197,17560,3094,6969
