"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",115340,61474,8801,52673,50291,42267,6807,424,793,3575
1,2,102,"北海道2区",125095,54673,8814,45859,66080,52959,11742,331,1048,4342
1,3,103,"北海道3区",122194,45085,8287,36798,73292,61111,10744,452,985,3817
1,4,104,"北海道4区",112789,60257,11087,49170,49684,24031,24530,363,760,2848
1,5,105,"北海道5区",125912,61028,8543,52485,62297,15074,45992,400,831,2587
1,6,106,"北海道6区",120521,103250,15227,88023,15498,0,15067,168,263,1773
1,7,107,"北海道7区",75924,65899,11319,54580,8799,0,8482,175,142,1226
1,8,108,"北海道8区",99476,77269,12957,64312,19588,0,18264,860,464,2619
1,9,109,"北海道9区",115067,91475,11675,79800,21112,0,20438,281,393,2480
1,10,110,"北海道10区",81506,59356,13328,46028,20956,0,20524,119,313,1194
1,11,111,"北海道11区",86814,63170,13252,49918,20821,0,20391,92,338,2823
1,12,112,"北海道12区",89352,79898,14814,65084,7920,0,7702,72,146,1534
2,1,201,"青森1区",100262,85909,10823,75086,12390,0,11038,1082,270,1963
2,2,202,"青森2区",120082,86139,15031,71108,32272,0,29205,2651,416,1671
2,3,203,"青森3区",101938,69433,23140,46293,30343,0,28656,1265,422,2162
3,1,301,"岩手1区",91765,64626,8404,56222,25326,0,23589,1329,408,1813
3,2,302,"岩手2区",115645,81377,17762,63615,33119,0,28718,3949,452,1149
3,3,303,"岩手3区",122836,91366,18795,72571,30036,0,26743,2810,483,1434
4,1,401,"宮城1区",132073,68032,9480,58552,60847,41478,14830,3777,762,3194
4,2,402,"宮城2区",141421,60571,9790,50781,77431,54907,18510,3191,823,3419
4,3,403,"宮城3区",88564,35877,9239,26638,51251,0,47080,3481,690,1436
4,4,404,"宮城4区",122531,56130,11257,44873,64369,0,61312,2281,776,2032
4,5,405,"宮城5区",114800,77373,19836,57537,35323,0,31629,2995,699,2104
5,1,501,"秋田1区",76362,68232,5946,62286,5999,0,5078,720,201,2131
5,2,502,"秋田2区",73623,53364,11356,42008,19672,0,18705,773,194,587
5,3,503,"秋田3区",101066,76609,19800,56809,23686,0,22100,1309,277,771
6,1,601,"山形1区",95172,63143,11445,51698,30025,0,27678,1929,418,2004
6,2,602,"山形2区",105945,66356,18694,47662,38175,0,36429,1341,405,1414
6,3,603,"山形3区",91688,68832,15831,53001,21647,0,20147,1245,255,1209
7,1,701,"福島1区",123312,85746,15268,70478,34737,0,31897,2261,579,2829
7,2,702,"福島2区",138169,94428,16795,77633,39999,0,37367,1753,879,3742
7,3,703,"福島3区",107425,70505,17321,53184,34908,0,32243,2088,577,2012
7,4,704,"福島4区",119438,97642,10564,87078,19668,0,15320,3809,539,2128
8,1,801,"茨城1区",132454,75804,15528,60276,53824,0,45964,6754,1106,2826
8,2,802,"茨城2区",102843,61647,16267,45380,38763,0,33185,4758,820,2433
8,3,803,"茨城3区",117630,39674,11595,28079,75504,0,41213,32999,1292,2452
8,4,804,"茨城4区",85009,42509,9483,33026,40972,0,37976,2371,625,1528
8,5,805,"茨城5区",72619,47669,5588,42081,23848,0,20902,2633,313,1102
8,6,806,"茨城6区",145091,74035,14786,59249,67693,0,49763,16688,1242,3363
8,7,807,"茨城7区",114259,59422,17320,42102,51846,0,30733,19849,1264,2991
9,1,901,"栃木1区",127330,82963,10660,72303,40325,0,34253,5318,754,4042
9,2,902,"栃木2区",84118,49761,10789,38972,32881,0,30473,1915,493,1476
9,3,903,"栃木3区",76849,44746,12073,32673,30005,0,27296,2162,547,2098
9,4,904,"栃木4区",119780,57783,14918,42865,59704,0,41971,16720,1013,2293
9,5,905,"栃木5区",113309,68515,13152,55363,43190,0,22841,19655,694,1604
10,1,1001,"群馬1区",107747,68226,13354,54872,37243,0,32948,3601,694,2278
10,2,1002,"群馬2区",109690,55067,11680,43387,51744,0,44047,6614,1083,2879
10,3,1003,"群馬3区",112677,62893,10975,51918,47149,0,31223,15102,824,2635
10,4,1004,"群馬4区",94399,56258,8724,47534,36055,0,27761,7699,595,2086
10,5,1005,"群馬5区",102068,57052,14125,42927,42950,0,39455,2712,783,2066
11,1,1101,"埼玉1区",112746,26476,9477,16999,83512,17310,17854,46742,1606,2758
11,2,1102,"埼玉2区",127174,44959,12349,32610,78017,0,17976,57529,2512,4198
11,3,1103,"埼玉3区",119318,38636,9969,28667,76973,0,29031,45888,2054,3709
11,4,1104,"埼玉4区",121117,29657,10689,18968,88185,0,24858,60964,2363,3275
11,5,1105,"埼玉5区",117589,31685,9101,22584,82984,18717,18837,44019,1411,2920
11,6,1106,"埼玉6区",128443,35992,10382,25610,89571,0,55830,31700,2041,2880
11,7,1107,"埼玉7区",114156,39236,9863,29373,71807,0,38842,31113,1852,3113
11,8,1108,"埼玉8区",121361,37389,10788,26601,80987,0,28776,50196,2015,2985
11,9,1109,"埼玉9区",122558,44808,10666,34142,75566,0,43845,30165,1556,2184
11,10,1110,"埼玉10区",100531,31592,9517,22075,66648,0,51198,14140,1310,2291
11,11,1111,"埼玉11区",109610,52730,13566,39164,54740,0,40237,13448,1055,2140
11,12,1112,"埼玉12区",119071,53645,12353,41292,62900,0,42757,18931,1212,2526
11,13,1113,"埼玉13区",116017,32543,10333,22210,80379,0,47882,30800,1697,3095
11,14,1114,"埼玉14区",124988,39070,11457,27613,81233,0,22552,55990,2691,4685
11,15,1115,"埼玉15区",131663,30593,10696,19897,96961,8744,24397,61661,2159,4109
11,16,1116,"埼玉16区",112234,34948,9964,24984,73558,3274,35664,32342,2278,3728
12,1,1201,"千葉1区",123649,38792,8098,30694,81705,18983,23895,37317,1510,3152
12,2,1202,"千葉2区",93093,23873,6745,17128,66538,7683,26645,30650,1560,2682
12,3,1203,"千葉3区",102324,47611,6747,40864,50794,7754,29233,12513,1294,3919
12,4,1204,"千葉4区",126954,34709,10524,24185,88484,0,23885,62476,2123,3761
12,5,1205,"千葉5区",135673,33122,11148,21974,98017,0,15768,80319,1930,4534
12,6,1206,"千葉6区",124974,35875,10198,25677,84938,0,21018,61436,2484,4161
12,7,1207,"千葉7区",89285,28958,7974,20984,57797,0,17103,39416,1278,2530
12,8,1208,"千葉8区",105408,36370,8834,27536,66442,0,19846,45030,1566,2596
12,9,1209,"千葉9区",117564,36709,10500,26209,77736,8889,46414,20787,1646,3119
12,10,1210,"千葉10区",106179,60172,17422,42750,43765,0,31032,11873,860,2242
