"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",106301,66464,7526,58938,36430,33578,2265,105,482,3407
1,2,102,"北海道2区",109362,58791,6876,51915,46914,40961,5258,49,646,3657
1,3,103,"北海道3区",111063,50496,6449,44047,57174,51989,4347,47,791,3393
1,4,104,"北海道4区",95897,62598,8852,53746,30826,16837,13505,39,445,2473
1,5,105,"北海道5区",102436,63043,6837,56206,36960,11386,25053,69,452,2433
1,6,106,"北海道6区",103290,92866,12499,80367,8962,0,8797,23,142,1462
1,7,107,"北海道7区",62268,55718,9097,46621,5618,0,5524,12,82,932
1,8,108,"北海道8区",86630,72539,9981,62558,11930,0,11644,49,237,2161
1,9,109,"北海道9区",88247,74323,9496,64827,12061,0,11814,33,214,1863
1,10,110,"北海道10区",67575,53842,10822,43020,12771,0,12582,14,175,962
1,11,111,"北海道11区",73037,56370,10876,45494,14304,0,14068,20,216,2363
1,12,112,"北海道12区",71174,65999,11702,54297,4050,0,3935,18,97,1125
2,1,201,"青森1区",83732,76525,8432,68093,5651,0,5448,103,100,1556
2,2,202,"青森2区",101129,81023,12851,68172,18788,0,17849,769,170,1318
2,3,203,"青森3区",95248,69888,18636,51252,23370,0,22958,189,223,1990
3,1,301,"岩手1区",81155,63763,7045,56718,15822,0,15374,230,218,1570
3,2,302,"岩手2区",94030,72192,13780,58412,20970,0,19682,1087,201,868
3,3,303,"岩手3区",99662,83543,13933,69610,15054,0,13685,1151,218,1065
4,1,401,"宮城1区",112588,72051,7538,64513,37945,29568,7357,643,377,2592
4,2,402,"宮城2区",116108,59799,7618,52181,53695,43863,8905,460,467,2614
4,3,403,"宮城3区",69612,35681,6401,29280,32853,0,31612,815,426,1078
4,4,404,"宮城4区",93922,52360,8389,43971,40130,0,39561,157,412,1432
4,5,405,"宮城5区",89729,68855,13227,55628,19502,0,18247,924,331,1372
5,1,501,"秋田1区",66425,62512,4833,57679,2135,0,1956,79,100,1778
5,2,502,"秋田2区",62505,49968,8357,41611,12073,0,11860,124,89,464
5,3,503,"秋田3区",83913,68768,13616,55152,14496,0,14038,290,168,649
6,1,601,"山形1区",82820,62261,8861,53400,18848,0,18083,540,225,1711
6,2,602,"山形2区",86506,57934,13229,44705,27532,0,27063,262,207,1040
6,3,603,"山形3区",78791,63664,11164,52500,14198,0,13799,226,173,929
7,1,701,"福島1区",99803,77241,11321,65920,20421,0,19527,591,303,2141
7,2,702,"福島2区",111159,86825,13382,73443,21460,0,20750,277,433,2874
7,3,703,"福島3区",87181,62972,13232,49740,22615,0,21367,905,343,1594
7,4,704,"福島4区",85558,77703,7867,69836,6540,0,5114,1267,159,1315
8,1,801,"茨城1区",107059,74915,10960,63955,30043,0,26833,2677,533,2101
