"ken","kuno","kucode","kuname","通学者数_総数（常住地による人口）","通学者数_自市区町村で従業・通学","通学者数_自宅で従業","通学者数_自宅外の自市区町村で従業・通学","通学者数_他市区町村で従業・通学","通学者数_自市内他区で従業・通学","通学者数_県内他市町村で従業・通学","通学者数_他県で従業・通学","通学者数_従業・通学市区町村「不詳・外国」","通学者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",20713,10290,0,10290,9881,8003,1554,150,174,542
1,2,102,"北海道2区",24231,12473,0,12473,10952,7975,2772,96,109,806
1,3,103,"北海道3区",19503,7793,0,7793,11032,8431,2312,99,190,678
1,4,104,"北海道4区",17555,8463,0,8463,8595,3800,4585,88,122,497
1,5,105,"北海道5区",25268,12272,0,12272,12397,2206,9947,118,126,599
1,6,106,"北海道6区",17553,13461,0,13461,3770,0,3555,119,96,322
1,7,107,"北海道7区",9770,8050,0,8050,1448,0,1378,30,40,272
1,8,108,"北海道8区",14467,10690,0,10690,3450,0,3234,150,66,327
1,9,109,"北海道9区",15920,11098,0,11098,4504,0,4310,75,119,318
1,10,110,"北海道10区",11033,5806,0,5806,5055,0,4896,71,88,172
1,11,111,"北海道11区",10971,6431,0,6431,3954,0,3796,60,98,586
1,12,112,"北海道12区",10761,8455,0,8455,1972,0,1885,46,41,334
2,1,201,"青森1区",15500,13146,0,13146,2111,0,1775,285,51,243
2,2,202,"青森2区",18322,12626,0,12626,5419,0,4742,540,137,277
2,3,203,"青森3区",17469,11132,0,11132,6042,0,5654,291,97,295
3,1,301,"岩手1区",18820,14083,0,14083,4415,0,3951,376,88,322
3,2,302,"岩手2区",15026,9062,0,9062,5753,0,4958,662,133,211
3,3,303,"岩手3区",17849,12134,0,12134,5420,0,4296,889,235,295
4,1,401,"宮城1区",32338,21042,0,21042,10760,7795,2222,657,86,536
4,2,402,"宮城2区",26059,11774,0,11774,13716,10144,2773,533,266,569
4,3,403,"宮城3区",15202,4978,0,4978,9856,0,9218,410,228,368
4,4,404,"宮城4区",19724,7394,0,7394,11915,0,11339,323,253,415
4,5,405,"宮城5区",15755,9348,0,9348,6061,0,5366,448,247,346
5,1,501,"秋田1区",13303,12147,0,12147,882,0,581,272,29,274
5,2,502,"秋田2区",9467,5337,0,5337,3944,0,3451,381,112,186
5,3,503,"秋田3区",12331,7911,0,7911,4237,0,3550,546,141,183
6,1,601,"山形1区",16889,11167,0,11167,5468,0,3999,1346,123,254
6,2,602,"山形2区",15866,7087,0,7087,8515,0,7348,885,282,264
6,3,603,"山形3区",12813,9126,0,9126,3442,0,2820,534,88,245
7,1,701,"福島1区",19761,12413,0,12413,6962,0,4984,1788,190,386
7,2,702,"福島2区",22670,15419,0,15419,6636,0,5406,969,261,615
7,3,703,"福島3区",15185,8297,0,8297,6512,0,5429,824,259,376
7,4,704,"福島4区",16600,13589,0,13589,2569,0,1091,1277,201,442
8,1,801,"茨城1区",20972,11562,0,11562,8928,0,6448,2174,306,482
8,2,802,"茨城2区",13827,5107,0,5107,8331,0,5588,2449,294,389
8,3,803,"茨城3区",20329,6285,0,6285,13605,0,7734,5516,355,439
8,4,804,"茨城4区",12847,4278,0,4278,8316,0,7194,803,319,253
8,5,805,"茨城5区",12361,6512,0,6512,5634,0,4787,719,128,215
8,6,806,"茨城6区",28034,13871,0,13871,13649,0,8566,4751,332,514
8,7,807,"茨城7区",16611,5988,0,5988,10145,0,4873,4782,490,478
9,1,901,"栃木1区",19843,13590,0,13590,5617,0,3425,2082,110,636
9,2,902,"栃木2区",11991,4611,0,4611,7108,0,5935,950,223,272
9,3,903,"栃木3区",12547,5974,0,5974,6040,0,5151,777,112,533
9,4,904,"栃木4区",20489,8541,0,8541,11581,0,8242,3113,226,367
9,5,905,"栃木5区",17896,9375,0,9375,8225,0,4574,3400,251,296
10,1,1001,"群馬1区",18502,10998,0,10998,7252,0,5529,1578,145,252
10,2,1002,"群馬2区",18692,8195,0,8195,10103,0,7992,1956,155,394
10,3,1003,"群馬3区",17799,7216,0,7216,10229,0,5968,3980,281,354
10,4,1004,"群馬4区",16973,10158,0,10158,6447,0,4216,2157,74,368
10,5,1005,"群馬5区",15258,6013,0,6013,8929,0,7458,1188,283,316
11,1,1101,"埼玉1区",20466,4659,0,4659,15242,4073,4305,6423,441,565
11,2,1102,"埼玉2区",18634,5543,0,5543,12533,0,5277,7064,192,558
11,3,1103,"埼玉3区",19232,6295,0,6295,12377,0,6895,5325,157,560
11,4,1104,"埼玉4区",18815,3774,0,3774,14471,0,7034,7072,365,570
11,5,1105,"埼玉5区",19720,4226,0,4226,14965,3967,4732,5693,573,529
11,6,1106,"埼玉6区",21046,4608,0,4608,15995,0,10858,4718,419,443
11,7,1107,"埼玉7区",19224,6287,0,6287,12598,0,7464,4849,285,339
11,8,1108,"埼玉8区",20286,5356,0,5356,14601,0,7828,6588,185,329
11,9,1109,"埼玉9区",21073,6644,0,6644,13935,0,8856,4906,173,494
11,10,1110,"埼玉10区",18186,4738,0,4738,13028,0,9577,3132,319,420
11,11,1111,"埼玉11区",17649,6070,0,6070,11231,0,7603,3330,298,348
11,12,1112,"埼玉12区",18982,6054,0,6054,12403,0,8346,3839,218,525
11,13,1113,"埼玉13区",18763,4303,0,4303,14031,0,9075,4523,433,429
11,14,1114,"埼玉14区",17303,4527,0,4527,12122,0,5973,5828,321,654
11,15,1115,"埼玉15区",21614,4492,0,4492,16439,2271,5839,7547,782,683
11,16,1116,"埼玉16区",17263,4465,0,4465,12338,674,7299,4085,280,460
12,1,1201,"千葉1区",22875,8302,0,8302,13977,4778,4235,4822,142,596
12,2,1202,"千葉2区",16709,4799,0,4799,11443,1823,5871,3370,379,467
12,3,1203,"千葉3区",16337,4843,0,4843,10974,2068,6329,2279,298,520
12,4,1204,"千葉4区",20346,6847,0,6847,12955,0,6910,5862,183,544
12,5,1205,"千葉5区",21137,5834,0,5834,14784,0,5867,8747,170,519
12,6,1206,"千葉6区",19800,6241,0,6241,12962,0,6721,6072,169,597
12,7,1207,"千葉7区",14150,4457,0,4457,9288,0,5076,4068,144,405
12,8,1208,"千葉8区",17675,7198,0,7198,9960,0,4794,5031,135,517
12,9,1209,"千葉9区",19025,5281,0,5281,13155,1548,8324,3035,248,589
12,10,1210,"千葉10区",16058,6689,0,6689,8859,0,6951,1561,347,510
12,11,1211,"千葉11区",16489,5620,0,5620,10458,0,8501,1579,378,411
12,12,1212,"千葉12区",16570,7050,0,7050,9071,0,7398,1406,267,449
12,13,1213,"千葉13区",21465,5212,0,5212,15593,0,10408,4774,411,660
12,14,1214,"千葉14区",23952,9146,0,9146,14293,0,9123,4980,190,513
13,1,1301,"東京1区",12709,5008,0,5008,7239,5491,765,899,84,462
13,2,1302,"東京2区",9085,1654,0,1654,7061,5613,391,968,89,370
13,3,1303,"東京3区",12965,3708,0,3708,8887,6752,600,1422,113,370
13,4,1304,"東京4区",15011,5184,0,5184,9299,6743,570,1870,116,528
13,5,1305,"東京5区",17521,6028,0,6028,10877,7546,1100,2107,124,616
13,6,1306,"東京6区",21037,7344,0,7344,13042,8150,2875,1894,123,651
13,7,1307,"東京7区",12431,3382,0,3382,8479,6284,872,1210,113,570
13,8,1308,"東京8区",17029,4232,0,4232,12403,8145,2993,1161,104,394
13,9,1309,"東京9区",15762,3546,0,3546,11655,7540,2668,1323,124,561
13,10,1310,"東京10区",21973,7563,0,7563,13390,10783,897,1599,111,1020
13,11,1311,"東京11区",16879,4718,0,4718,11569,9277,737,1433,122,592
13,12,1312,"東京12区",14249,3571,0,3571,10121,8156,625,1228,112,557
13,13,1313,"東京13区",13934,3767,0,3767,9485,7270,406,1686,123,682
13,14,1314,"東京14区",14945,3095,0,3095,11298,8336,556,1832,574,552
13,15,1315,"東京15区",16764,3745,0,3745,12398,9837,721,1721,119,621
13,16,1316,"東京16区",19531,5668,0,5668,13177,9630,694,2207,646,686
13,17,1317,"東京17区",15182,3839,0,3839,10666,7993,453,2067,153,677
13,18,1318,"東京18区",22057,5010,0,5010,16139,0,14576,1378,185,908
13,19,1319,"東京19区",19474,5083,0,5083,13403,0,11986,1287,130,988
13,20,1320,"東京20区",20270,3703,0,3703,15731,0,13463,1700,568,836
13,21,1321,"東京21区",23823,8219,0,8219,14939,0,13338,1478,123,665
13,22,1322,"東京22区",22761,5525,0,5525,16392,0,14697,1378,317,844
13,23,1323,"東京23区",21482,8308,0,8308,12427,0,8531,3728,168,747
13,24,1324,"東京24区",23148,13330,0,13330,9185,0,7531,1543,111,633
13,25,1325,"東京25区",18554,3348,0,3348,14538,0,12707,1427,404,668
13,26,1326,"東京26区",18886,4153,0,4153,14127,10525,1018,2429,155,606
13,27,1327,"東京27区",13850,3336,0,3336,10103,7650,1470,891,92,411
13,28,1328,"東京28区",13985,3128,0,3128,10440,8054,1090,1192,104,417
13,29,1329,"東京29区",14131,3010,0,3010,10325,8263,460,1438,164,796
13,30,1330,"東京30区",23314,5570,0,5570,17139,0,15322,1636,181,605
14,1,1401,"神奈川1区",20331,5659,0,5659,14112,6320,3435,4034,323,560
14,2,1402,"神奈川2区",18343,3459,0,3459,14358,7197,2719,3796,646,526
14,3,1403,"神奈川3区",19355,5620,0,5620,13153,6015,2028,4987,123,582
14,4,1404,"神奈川4区",16647,3398,0,3398,12854,1636,7499,3311,408,395
14,5,1405,"神奈川5区",19946,4775,0,4775,14701,6714,3993,3870,124,470
14,6,1406,"神奈川6区",17763,4468,0,4468,12800,6427,2534,3439,400,495
14,7,1407,"神奈川7区",14855,3979,0,3979,10533,3972,1339,5099,123,343
14,8,1408,"神奈川8区",26665,6685,0,6685,19399,5788,3824,9597,190,581
14,9,1409,"神奈川9区",18467,5562,0,5562,12447,1889,2993,7462,103,458
14,10,1410,"神奈川10区",12118,2554,0,2554,9134,1672,3215,3823,424,430
14,11,1411,"神奈川11区",16105,7538,0,7538,8112,0,5684,2275,153,455
14,12,1412,"神奈川12区",21673,7257,0,7257,13874,0,9994,3675,205,542
14,13,1413,"神奈川13区",16549,3471,0,3471,12492,1584,7206,3199,503,586
14,14,1414,"神奈川14区",19751,7172,0,7172,12030,2118,3610,5921,381,549
14,15,1415,"神奈川15区",21848,7582,0,7582,13622,0,9975,3444,203,644
