"ken","kuno","kucode","kuname","通学者数_総数（常住地による人口）","通学者数_自市区町村で従業・通学","通学者数_自宅で従業","通学者数_自宅外の自市区町村で従業・通学","通学者数_他市区町村で従業・通学","通学者数_自市内他区で従業・通学","通学者数_県内他市町村で従業・通学","通学者数_他県で従業・通学","通学者数_従業・通学市区町村「不詳・外国」","通学者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",10426,5092,0,5092,5075,4096,820,71,88,259
1,2,102,"北海道2区",12911,6887,0,6887,5598,4116,1375,59,48,426
1,3,103,"北海道3区",10260,4375,0,4375,5514,4080,1255,69,110,371
1,4,104,"北海道4区",9280,4654,0,4654,4384,1931,2338,53,62,242
1,5,105,"北海道5区",13305,6785,0,6785,6192,1114,4945,61,72,328
1,6,106,"北海道6区",8624,6671,0,6671,1803,0,1692,66,45,150
1,7,107,"北海道7区",5094,4212,0,4212,738,0,704,16,18,144
1,8,108,"北海道8区",7724,5800,0,5800,1772,0,1660,79,33,152
1,9,109,"北海道9区",8806,6391,0,6391,2252,0,2141,42,69,163
1,10,110,"北海道10区",5599,2979,0,2979,2525,0,2442,39,44,95
1,11,111,"北海道11区",5635,3291,0,3291,2010,0,1931,32,47,334
1,12,112,"北海道12区",5787,4576,0,4576,1010,0,961,26,23,201
2,1,201,"青森1区",7918,6732,0,6732,1062,0,870,168,24,124
2,2,202,"青森2区",9658,6730,0,6730,2781,0,2424,268,89,147
2,3,203,"青森3区",8767,5691,0,5691,2938,0,2758,142,38,138
3,1,301,"岩手1区",9588,7331,0,7331,2085,0,1845,195,45,172
3,2,302,"岩手2区",7657,4738,0,4738,2818,0,2432,310,76,101
3,3,303,"岩手3区",9291,6548,0,6548,2589,0,2029,439,121,154
4,1,401,"宮城1区",17726,11907,0,11907,5552,4052,1140,316,44,267
4,2,402,"宮城2区",13087,5900,0,5900,6887,5010,1460,273,144,300
4,3,403,"宮城3区",7930,2871,0,2871,4866,0,4541,190,135,193
4,4,404,"宮城4区",10175,4016,0,4016,5949,0,5651,168,130,210
4,5,405,"宮城5区",8070,4991,0,4991,2908,0,2563,236,109,171
5,1,501,"秋田1区",6873,6232,0,6232,522,0,364,148,10,119
5,2,502,"秋田2区",4752,2727,0,2727,1908,0,1674,172,62,117
5,3,503,"秋田3区",6318,4213,0,4213,2010,0,1679,268,63,95
6,1,601,"山形1区",8489,5641,0,5641,2724,0,1966,691,67,124
6,2,602,"山形2区",8163,3905,0,3905,4125,0,3543,437,145,133
6,3,603,"山形3区",6854,5030,0,5030,1692,0,1401,256,35,132
7,1,701,"福島1区",10105,6350,0,6350,3558,0,2509,936,113,197
7,2,702,"福島2区",12133,8442,0,8442,3364,0,2738,500,126,327
7,3,703,"福島3区",7726,4319,0,4319,3224,0,2686,406,132,183
7,4,704,"福島4区",8411,7009,0,7009,1199,0,542,552,105,203
8,1,801,"茨城1区",10604,5973,0,5973,4399,0,3082,1155,162,232
8,2,802,"茨城2区",7018,2799,0,2799,4018,0,2673,1184,161,201
8,3,803,"茨城3区",10686,3497,0,3497,6966,0,3936,2817,213,223
8,4,804,"茨城4区",6404,2388,0,2388,3889,0,3276,438,175,127
8,5,805,"茨城5区",6650,3614,0,3614,2925,0,2449,409,67,111
8,6,806,"茨城6区",14966,7934,0,7934,6763,0,4273,2313,177,269
8,7,807,"茨城7区",8393,3097,0,3097,5076,0,2521,2289,266,220
