"ken","kuno","kucode","kuname","通学者数_総数（常住地による人口）","通学者数_自市区町村で従業・通学","通学者数_自宅で従業","通学者数_自宅外の自市区町村で従業・通学","通学者数_他市区町村で従業・通学","通学者数_自市内他区で従業・通学","通学者数_県内他市町村で従業・通学","通学者数_他県で従業・通学","通学者数_従業・通学市区町村「不詳・外国」","通学者数_従業地・通学地「不詳」"
1,1,101,"北海道1区",10287,5198,0,5198,4806,3907,734,79,86,283
1,2,102,"北海道2区",11320,5586,0,5586,5354,3859,1397,37,61,380
1,3,103,"北海道3区",9243,3418,0,3418,5518,4351,1057,30,80,307
1,4,104,"北海道4区",8275,3809,0,3809,4211,1869,2247,35,60,255
1,5,105,"北海道5区",11963,5487,0,5487,6205,1092,5002,57,54,271
1,6,106,"北海道6区",8929,6790,0,6790,1967,0,1863,53,51,172
1,7,107,"北海道7区",4676,3838,0,3838,710,0,674,14,22,128
1,8,108,"北海道8区",6743,4890,0,4890,1678,0,1574,71,33,175
1,9,109,"北海道9区",7114,4707,0,4707,2252,0,2169,33,50,155
1,10,110,"北海道10区",5434,2827,0,2827,2530,0,2454,32,44,77
1,11,111,"北海道11区",5336,3140,0,3140,1944,0,1865,28,51,252
1,12,112,"北海道12区",4974,3879,0,3879,962,0,924,20,18,133
2,1,201,"青森1区",7582,6414,0,6414,1049,0,905,117,27,119
2,2,202,"青森2区",8664,5896,0,5896,2638,0,2318,272,48,130
2,3,203,"青森3区",8702,5441,0,5441,3104,0,2896,149,59,157
3,1,301,"岩手1区",9232,6752,0,6752,2330,0,2106,181,43,150
3,2,302,"岩手2区",7369,4324,0,4324,2935,0,2526,352,57,110
3,3,303,"岩手3区",8558,5586,0,5586,2831,0,2267,450,114,141
4,1,401,"宮城1区",14612,9135,0,9135,5208,3743,1082,341,42,269
4,2,402,"宮城2区",12972,5874,0,5874,6829,5134,1313,260,122,269
4,3,403,"宮城3区",7272,2107,0,2107,4990,0,4677,220,93,175
4,4,404,"宮城4区",9549,3378,0,3378,5966,0,5688,155,123,205
4,5,405,"宮城5区",7685,4357,0,4357,3153,0,2803,212,138,175
