"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
1,1,101,"北海道1区",226027,35945,76268,36263,2911,70532,2430,928,27824,6478,6927
1,2,102,"北海道2区",242998,23038,71900,32157,3131,99521,1075,803,34645,7431,7655
1,3,103,"北海道3区",238024,24028,85935,32594,3143,89545,1261,867,24028,7694,7094
1,4,104,"北海道4区",206302,23123,40326,26151,5163,104664,1003,960,17281,5170,5644
1,5,105,"北海道5区",238236,23901,53725,21317,5092,128951,1033,974,22773,4745,6039
1,6,106,"北海道6区",213638,21237,3604,15891,3620,147515,741,976,26932,4221,4334
1,7,107,"北海道7区",127546,14437,689,4958,3141,95206,502,264,6481,2752,2969
1,8,108,"北海道8区",177635,19918,5775,9890,3530,122857,729,536,14601,4410,5098
1,9,109,"北海道9区",198063,21670,5215,10406,6576,141567,564,496,10518,4391,5074
1,10,110,"北海道10区",135964,16362,6184,5922,2254,93534,494,547,12526,3495,2628
1,11,111,"北海道11区",146694,13001,1403,4819,2320,111498,441,439,11257,2934,5336
1,12,112,"北海道12区",144771,19446,1264,5213,4021,103296,501,504,8731,3567,3614
2,1,201,"青森1区",180239,17330,6109,11021,5930,121315,685,1063,21246,3909,3848
2,2,202,"青森2区",211651,16656,3795,9709,5567,166245,512,943,8648,3566,3649
2,3,203,"青森3区",172879,10479,6008,3282,1822,133183,351,914,17895,2612,4507
3,1,301,"岩手1区",176291,17797,10791,14270,1840,111938,556,1804,25551,2983,3802
3,2,302,"岩手2区",193159,13446,5982,5905,4870,153750,234,1262,8584,3794,2842
3,3,303,"岩手3区",207619,10006,9167,2610,2484,171991,323,1066,13381,2631,3288
4,1,401,"宮城1区",259981,31111,66355,31356,2314,105033,1088,6758,37442,4709,6989
4,2,402,"宮城2区",266180,24408,63918,25598,2240,127532,586,5433,36648,5201,6814
4,3,403,"宮城3区",157738,7530,22869,4193,1336,115536,155,1428,11500,2292,3386
4,4,404,"宮城4区",216531,12546,25458,8005,3560,156205,346,2637,15342,4432,4303
