"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
1,1,101,"北海道1区",116965,16428,35638,15447,1201,44712,990,803,14576,3870,3519
1,2,102,"北海道2区",129192,9653,33244,12741,1396,63733,416,707,17024,4733,4079
1,3,103,"北海道3区",124167,9386,39379,13527,1441,57692,480,783,12112,4721,3741
1,4,104,"北海道4区",110982,9933,20421,9882,2392,63887,299,835,8546,3545,3087
1,5,105,"北海道5区",130674,11797,26826,8674,2222,77487,382,887,11763,3113,3209
1,6,106,"北海道6区",113918,11549,1694,5585,1725,81845,235,877,13234,2826,2295
1,7,107,"北海道7区",69699,7801,370,2013,1282,52723,116,242,3776,1948,1648
1,8,108,"北海道8区",94243,9440,2570,3695,1633,67355,264,480,8098,3119,2922
1,9,109,"北海道9区",112198,11763,2563,3876,3546,82439,181,456,5987,3134,2982
1,10,110,"北海道10区",73777,8723,3125,2109,1071,52248,94,471,6222,2385,1449
1,11,111,"北海道11区",79197,7201,667,1870,1091,60329,150,397,6339,1996,2949
1,12,112,"北海道12区",80325,10517,623,2017,1560,58436,107,454,5050,2524,2089
2,1,201,"青森1区",97357,9172,3216,4424,3776,67213,237,858,9983,2728,2128
2,2,202,"青森2区",114709,8136,2170,3743,3497,90880,189,813,5679,2547,1973
2,3,203,"青森3区",87565,5135,2914,1079,1022,68040,111,611,8866,1598,2275
3,1,301,"岩手1区",92949,8790,5543,5354,908,60620,218,1498,13705,2082,2009
3,2,302,"岩手2区",105540,6601,3071,2205,2258,84862,100,1026,5212,2850,1606
3,3,303,"岩手3区",113332,5038,4882,1034,1607,94184,90,871,7281,1668,1792
4,1,401,"宮城1区",140319,14895,33937,12468,1225,61846,526,5755,19894,3446,3830
4,2,402,"宮城2区",144718,11500,31163,10355,1261,75776,281,4625,18799,3916,3713
4,3,403,"宮城3区",87255,3752,11606,1819,741,64798,63,1229,6266,1656,1929
4,4,404,"宮城4区",121449,5927,12897,3634,2261,88860,159,2287,8816,3409,2417
4,5,405,"宮城5区",103034,4398,4483,1786,1249,84335,93,1072,4981,2314,2437
5,1,501,"秋田1区",77289,7164,2538,2808,496,55129,94,589,10365,1303,1978
5,2,502,"秋田2区",67019,2927,2365,608,839,57292,25,313,3566,926,862
5,3,503,"秋田3区",87584,3269,2268,773,943,75976,24,323,4757,1083,1158
6,1,601,"山形1区",92216,5874,3238,1770,431,70953,105,951,9444,1559,2125
6,2,602,"山形2区",95414,5060,3391,578,902,78086,66,583,7312,1326,1855
6,3,603,"山形3区",82711,4347,1336,504,1326,69313,36,443,5184,1344,1324
7,1,701,"福島1区",118149,7566,8158,2543,837,87653,110,1420,11505,1920,2909
7,2,702,"福島2区",133507,7965,4999,2426,1050,102550,140,1174,12084,2798,4016
7,3,703,"福島3区",97830,5477,3004,1078,1114,78744,105,645,7389,1612,2271
7,4,704,"福島4区",117285,5991,4289,2534,3078,93776,87,957,6749,2736,2446
8,1,801,"茨城1区",127530,6114,10136,4362,1006,95100,95,1603,11607,2209,3080
8,2,802,"茨城2区",93594,3597,3227,957,1128,76076,37,1041,6019,1686,3355
8,3,803,"茨城3区",116721,3964,31875,5808,1911,70357,81,2582,12025,1793,2988
8,4,804,"茨城4区",81930,4610,7297,1343,577,60443,64,1161,8758,1113,1802
8,5,805,"茨城5区",73681,6504,9707,3397,889,49925,85,1280,5730,1070,1370
8,6,806,"茨城6区",145271,6197,20503,4532,2018,98078,120,2322,20487,2192,3805
8,7,807,"茨城7区",105332,3313,8618,1189,1475,80330,46,1927,10090,1482,3434
9,1,901,"栃木1区",126920,7045,7807,4448,1907,87347,111,3119,18904,2021,4026
9,2,902,"栃木2区",79295,2838,5397,1035,986,64060,27,1237,5818,1160,1769
9,3,903,"栃木3区",70981,2545,4366,957,788,57323,27,906,4620,1120,2504
9,4,904,"栃木4区",115274,4397,12573,1599,1603,84945,76,1671,12970,1704,2550
9,5,905,"栃木5区",109253,4307,7700,503,1047,84506,37,1678,11533,1586,1905
10,1,1001,"群馬1区",103791,5143,5973,1187,666,79270,56,1419,11854,1729,2310
