"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
1,1,101,"北海道1区",109062,19517,40630,20816,1710,25820,1440,125,13248,2608,3408
1,2,102,"北海道2区",113806,13385,38656,19416,1735,35788,659,96,17621,2698,3576
1,3,103,"北海道3区",113857,14642,46556,19067,1702,31853,781,84,11916,2973,3353
1,4,104,"北海道4区",95320,13190,19905,16269,2771,40777,704,125,8735,1625,2557
1,5,105,"北海道5区",107562,12104,26899,12643,2870,51464,651,87,11010,1632,2830
1,6,106,"北海道6区",99720,9688,1910,10306,1895,65670,506,99,13698,1395,2039
1,7,107,"北海道7区",57847,6636,319,2945,1859,42483,386,22,2705,804,1321
1,8,108,"北海道8区",83392,10478,3205,6195,1897,55502,465,56,6503,1291,2176
1,9,109,"北海道9区",85865,9907,2652,6530,3030,59128,383,40,4531,1257,2092
1,10,110,"北海道10区",62187,7639,3059,3813,1183,41286,400,76,6304,1110,1179
1,11,111,"北海道11区",67497,5800,736,2949,1229,51169,291,42,4918,938,2387
1,12,112,"北海道12区",64446,8929,641,3196,2461,44860,394,50,3681,1043,1525
2,1,201,"青森1区",82882,8158,2893,6597,2154,54102,448,205,11263,1181,1720
2,2,202,"青森2区",96942,8520,1625,5966,2070,75365,323,130,2969,1019,1676
2,3,203,"青森3区",85314,5344,3094,2203,800,65143,240,303,9029,1014,2232
3,1,301,"岩手1区",83342,9007,5248,8916,932,51318,338,306,11846,901,1793
3,2,302,"岩手2区",87619,6845,2911,3700,2612,68888,134,236,3372,944,1236
3,3,303,"岩手3区",94287,4968,4285,1576,877,77807,233,195,6100,963,1496
4,1,401,"宮城1区",119662,16216,32418,18888,1089,43187,562,1003,17548,1263,3159
4,2,402,"宮城2区",121462,12908,32755,15243,979,51756,305,808,17849,1285,3101
4,3,403,"宮城3区",70483,3778,11263,2374,595,50738,92,199,5234,636,1457
4,4,404,"宮城4区",95082,6619,12561,4371,1299,67345,187,350,6526,1023,1886
4,5,405,"宮城5区",84187,4364,3850,2439,923,69197,89,231,3694,816,1692
5,1,501,"秋田1区",68022,6416,2415,4359,285,47281,163,69,8962,639,1820
5,2,502,"秋田2区",58863,3316,2590,1069,477,49029,79,48,3376,523,746
5,3,503,"秋田3区",76310,3454,2142,927,531,66265,56,52,3691,500,1024
6,1,601,"山形1区",82359,5731,3357,2527,368,62618,143,202,8230,775,1877
6,2,602,"山形2区",80980,3757,3601,738,694,67349,69,79,5434,629,1422
6,3,603,"山形3区",73586,4080,1254,635,1020,62224,76,68,4262,656,1126
7,1,701,"福島1区",98138,6470,7565,3843,552,72912,128,227,8509,915,2325
7,2,702,"福島2区",108314,7575,4287,4035,817,82734,166,212,8527,1211,3183
7,3,703,"福島3区",81408,5136,2817,1650,982,64576,133,130,6146,905,1915
7,4,704,"福島4区",85880,5181,3785,3131,691,70271,101,145,3163,822,1631
8,1,801,"茨城1区",106467,5356,6901,5648,659,81320,107,366,8278,954,2389
8,2,802,"茨城2区",71973,2712,2943,1251,1175,59427,48,247,3908,778,2159
8,3,803,"茨城3区",93273,3959,18866,4808,1830,61633,58,469,9155,601,2420
8,4,804,"茨城4区",63741,2789,5725,1738,393,50366,32,244,4647,512,1462
8,5,805,"茨城5区",53610,4259,6384,2844,361,39768,55,115,2125,469,990
8,6,806,"茨城6区",115461,4915,12579,4490,1741,83949,72,501,12623,949,3022
8,7,807,"茨城7区",84572,2721,6597,1373,1482,65733,52,465,7839,687,2468
9,1,901,"栃木1区",96384,5103,5286,5695,788,66317,99,466,14854,835,2973
9,2,902,"栃木2区",63712,2668,4776,1621,772,51294,31,224,4222,513,1455
9,3,903,"栃木3区",59885,2320,3370,1705,646,49037,29,236,3065,582,2106
9,4,904,"栃木4区",91707,4055,8977,1764,1182,69279,69,283,9336,732,2095
9,5,905,"栃木5区",88772,3421,5828,704,825,70509,44,382,8804,612,1471
10,1,1001,"群馬1区",88710,4385,4607,1563,620,69526,58,256,8989,786,1970
10,2,1002,"群馬2区",89403,3158,4624,618,749,72687,45,293,8159,744,2277
10,3,1003,"群馬3区",84257,2649,5537,824,1018,66845,62,231,8484,782,2043
10,4,1004,"群馬4区",78891,4149,5808,1317,659,58120,68,256,10276,599,1885
10,5,1005,"群馬5区",80838,4224,4280,1041,845,66737,45,236,4216,715,1992
11,1,1101,"埼玉1区",92892,7119,43705,12473,940,18010,111,947,25402,560,2881
