"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
1,1,101,"北海道1区",205314,31381,67654,30870,2240,69764,2407,910,23036,5944,5750
1,2,102,"北海道2区",218767,18870,62924,26077,2468,98724,1055,797,26144,6952,6226
1,3,103,"北海道3区",218521,20451,76937,27136,2208,88869,1248,846,19800,7168,5781
1,4,104,"北海道4区",188747,19751,34047,20700,4616,103866,987,945,13009,4818,4762
1,5,105,"北海道5区",212968,18893,42308,16810,3866,127516,1008,937,15571,4323,4722
1,6,106,"北海道6区",196085,19027,1384,10995,2929,145184,730,967,17751,3872,3412
1,7,107,"北海道7区",117776,11601,259,2770,2696,93449,493,261,3791,2537,2418
1,8,108,"北海道8区",163168,16946,3830,6380,2979,120562,704,515,9139,4084,4235
1,9,109,"北海道9区",182143,17399,2110,6402,5244,140028,548,487,6876,4097,4292
1,10,110,"北海道10区",124931,14729,2868,3866,1977,92179,482,541,8074,3213,2141
1,11,111,"北海道11区",135723,11190,401,2782,1717,109332,433,436,6454,2653,4480
1,12,112,"北海道12区",134010,16800,244,3107,3555,101435,489,496,5377,3266,2898
2,1,201,"青森1区",164739,14412,3212,9208,4870,118566,664,1043,14579,3546,3214
2,2,202,"青森2区",193329,12817,1439,5488,4460,161130,501,927,5158,3085,2833
2,3,203,"青森3区",155410,8769,2144,2059,1266,129302,341,879,8781,2212,3735
3,1,301,"岩手1区",157471,14284,7065,11632,1300,109363,536,1724,16596,2721,2998
3,2,302,"岩手2区",178133,10959,2508,3319,4219,149503,222,1192,4515,3397,2345
3,3,303,"岩手3区",189770,7743,3563,1436,1866,167863,315,885,5912,2113,2527
4,1,401,"宮城1区",227643,24140,55430,26114,1481,103510,1072,5422,27695,4380,5199
4,2,402,"宮城2区",240121,19998,54376,21034,1525,125947,579,4976,27778,4862,5393
4,3,403,"宮城3区",142536,5769,14845,2546,941,113518,152,1219,7050,2002,2593
4,4,404,"宮城4区",196807,10104,16881,5599,2640,153377,333,2347,9308,4027,3378
4,5,405,"宮城5区",171466,7117,4115,1512,1395,149424,178,804,4681,2596,3478
5,1,501,"秋田1区",132008,11100,2386,5765,480,100027,256,635,12659,1707,3112
5,2,502,"秋田2区",116415,5459,1508,905,979,103601,99,357,3342,1225,1186
5,3,503,"秋田3区",151563,5891,1217,719,1098,137489,77,362,3947,1248,1724
6,1,601,"山形1区",157686,8980,2064,3008,585,131572,232,1085,9342,2018,3220
6,2,602,"山形2区",160528,7299,1174,479,1026,142626,102,618,5680,1559,2535
6,3,603,"山形3区",143484,6287,460,551,1093,128520,105,479,4268,1643,1977
7,1,701,"福島1区",196526,11386,8377,4551,1067,157269,221,1572,12210,2385,4453
7,2,702,"福島2区",219151,12137,4171,4456,1292,180744,297,1294,11116,3402,5934
7,3,703,"福島3区",164053,8723,1639,1337,1601,140085,227,742,7546,2017,3424
7,4,704,"福島4区",186565,8520,2651,2420,3400,159951,180,1077,6113,3176,3319
8,1,801,"茨城1区",213025,9501,9980,7274,1078,173307,201,1745,10856,2728,4441
8,2,802,"茨城2区",151740,5490,2110,956,927,132107,81,987,4910,2052,4835
8,3,803,"茨城3区",189665,6748,41490,8361,2153,128953,133,2725,13499,2151,4262
8,4,804,"茨城4区",132824,6358,6712,1670,644,108933,91,1220,8189,1352,2596
8,5,805,"茨城5区",114930,8650,9554,4496,868,88340,137,1319,4784,1280,1843
8,6,806,"茨城6区",232698,9139,24713,6213,1888,177315,188,2453,19884,2724,5456
8,7,807,"茨城7区",173293,5681,10019,1468,1585,142792,91,1794,10372,1896,5049
9,1,901,"栃木1区",203461,10569,8477,8278,2207,151598,207,3471,21956,2580,5909
9,2,902,"栃木2区",131016,4994,4208,1283,1354,113239,53,1332,4651,1449,2679
9,3,903,"栃木3区",118319,4158,3276,863,944,103295,51,714,3359,1374,3672
9,4,904,"栃木4区",186492,6494,13019,1993,1718,151197,143,1807,13045,2121,3841
9,5,905,"栃木5区",180129,6206,6545,656,1027,152737,74,1961,11550,1900,2698
10,1,1001,"群馬1区",173999,7789,5620,1760,814,144997,110,1582,11778,2107,3544
10,2,1002,"群馬2区",178665,5720,4284,681,1116,154763,99,1813,8960,2035,4229
10,3,1003,"群馬3区",177159,6809,5439,875,1810,147046,146,1746,12299,1956,4187
10,4,1004,"群馬4区",156186,7363,9994,1786,753,122506,127,1782,13925,2078,3320
10,5,1005,"群馬5区",161305,7682,3525,1001,1005,140428,82,1462,4397,1849,3777
11,1,1101,"埼玉1区",186530,9997,96103,23935,1755,45168,327,5015,37088,2716,4893
11,2,1102,"埼玉2区",204885,11816,97649,21160,1621,42130,302,7601,51784,3448,6295
11,3,1103,"埼玉3区",196306,8172,88190,14684,2177,61532,264,5900,42240,3229,5714
11,4,1104,"埼玉4区",197961,13780,101735,22904,2113,39196,264,7941,45100,2904,5497
11,5,1105,"埼玉5区",193806,14608,96383,18890,2113,43514,368,4264,41257,3023,4962
11,6,1106,"埼玉6区",211430,9013,71858,13575,2294,93759,168,5029,43480,3233,4878
11,7,1107,"埼玉7区",188044,9736,71193,10974,3396,73381,232,6099,35492,2578,4978
11,8,1108,"埼玉8区",200012,12677,92323,13151,3272,59095,265,6296,39996,2568,4774
11,9,1109,"埼玉9区",199722,12731,52901,12868,2613,106919,255,7054,25335,2405,3658
11,10,1110,"埼玉10区",162993,6642,35490,6893,2964,103746,114,3626,16464,2108,3559
11,11,1111,"埼玉11区",173267,6889,14028,1346,1465,138928,87,2369,11709,2102,3690
11,12,1112,"埼玉12区",190241,7731,28497,5274,1919,136574,102,2729,18224,2363,4403
11,13,1113,"埼玉13区",187048,6308,59181,8285,2743,98721,184,4082,26256,2606,4931
11,14,1114,"埼玉14区",201173,10222,82263,15875,1723,56371,251,7222,52605,3628,7080
11,15,1115,"埼玉15区",216553,12158,115683,20166,1727,35657,323,5741,57332,2954,6567
11,16,1116,"埼玉16区",182933,7153,63620,10778,2118,81021,190,4914,33534,3016,5536
12,1,1201,"千葉1区",209731,15176,98479,29967,3076,58464,445,4463,35385,3360,5249
12,2,1202,"千葉2区",156393,8026,71889,18590,2778,49871,243,4323,22511,2200,4538
12,3,1203,"千葉3区",166519,6574,41177,11800,3259,101809,199,3429,14256,2783,5538
12,4,1204,"千葉4区",209203,11015,127360,21166,2974,36003,396,6831,39598,2660,6208
12,5,1205,"千葉5区",225521,11951,142831,27954,2982,25732,693,4477,45246,2654,7511
12,6,1206,"千葉6区",207205,12039,119542,19456,2381,43705,318,5715,33473,2828,6524
12,7,1207,"千葉7区",145149,5733,61691,6406,1900,59562,152,2702,21322,1968,4138
12,8,1208,"千葉8区",172924,10195,82959,20167,2344,53931,283,4354,29199,2250,4239
12,9,1209,"千葉9区",191265,9210,58248,15977,2533,101381,329,4668,17558,3699,5194
12,10,1210,"千葉10区",162556,7653,16435,5503,2647,124149,335,1937,8086,1779,4338
12,11,1211,"千葉11区",162710,5755,19461,3289,1144,128334,89,2458,8734,2208,3574
12,12,1212,"千葉12区",185363,8752,15259,7770,4707,142165,178,3062,9382,3145,5321
12,13,1213,"千葉13区",200951,8752,80492,10504,2798,91620,240,4465,22172,2584,4761
12,14,1214,"千葉14区",208377,11578,114760,22527,3780,48115,374,6513,34528,2577,5598
13,1,1301,"東京1区",132552,22598,83892,7486,511,5464,2333,1050,14047,1385,6741
13,2,1302,"東京2区",148690,20460,92227,12645,774,5898,2883,1319,22232,1588,6678
13,3,1303,"東京3区",186003,21460,118785,10590,1372,15444,1636,3545,22472,1948,6492
13,4,1304,"東京4区",218071,17140,128404,17819,2706,12385,1886,4919,51372,2299,10096
13,5,1305,"東京5区",162004,12713,108939,19216,711,12486,1860,2359,22750,1611,5581
13,6,1306,"東京6区",176840,11046,120366,15609,862,12770,1112,2990,33889,1802,5865
13,7,1307,"東京7区",156177,25491,95007,14535,657,10009,5798,1406,15711,1832,6490
13,8,1308,"東京8区",175504,11350,127712,19117,829,9279,913,1805,27822,1485,4905
13,9,1309,"東京9区",135851,7399,81589,18711,617,13971,403,3135,36106,1813,4027
13,10,1310,"東京10区",196678,22408,138159,11782,869,8437,1781,1630,23040,1673,5872
13,11,1311,"東京11区",175731,14045,112078,12081,1020,11841,532,3710,32818,1912,6676
13,12,1312,"東京12区",173218,13505,115241,13057,1009,9182,444,2805,28734,1721,7057
13,13,1313,"東京13区",168480,9733,96678,12217,962,17983,419,4352,42150,2430,6722
13,14,1314,"東京14区",194037,15365,120688,16896,1068,12577,825,3747,40489,2286,6703
13,15,1315,"東京15区",212124,17972,128647,27531,1253,11869,1670,3964,38570,2184,8545
13,16,1316,"東京16区",195354,10940,107904,26257,1359,22117,446,5526,49980,3158,7907
13,17,1317,"東京17区",176873,10317,104800,13137,1201,16404,349,3841,45881,2397,6158
13,18,1318,"東京18区",183979,11650,117033,26796,1009,14362,476,2722,45157,1755,4767
13,19,1319,"東京19区",151962,10502,89615,18155,1278,17706,311,2567,39461,1639,4011
13,20,1320,"東京20区",188328,10434,85677,21557,1481,43403,233,6432,51866,2846,5324
13,21,1321,"東京21区",188035,15748,97629,25129,2098,36228,315,5195,37133,2552,4946
13,22,1322,"東京22区",198498,12917,121253,34067,1099,17091,594,4173,49224,2151,5460
13,23,1323,"東京23区",165745,12456,83193,33282,2198,41479,361,8201,21260,2317,4743
13,24,1324,"東京24区",172748,14471,70520,31070,2976,52891,316,6809,24770,2511,4441
13,25,1325,"東京25区",197776,15208,63084,10768,2132,80883,188,5901,37140,2842,5873
13,26,1326,"東京26区",193589,16163,132492,17756,1061,12991,2079,3029,25347,1855,6589
13,27,1327,"東京27区",166640,13129,116402,14907,730,7329,1003,2182,26553,1513,4677
13,28,1328,"東京28区",150274,9842,102754,7680,689,9974,414,2490,27240,1511,4720
13,29,1329,"東京29区",163127,10716,91506,14722,881,16008,438,4191,40852,2372,6853
13,30,1330,"東京30区",203105,16794,115091,27007,1879,28908,380,5782,40162,2646,5400
14,1,1401,"神奈川1区",206994,17135,116799,41506,2196,32990,1000,9564,22875,2530,5916
14,2,1402,"神奈川2区",211188,20034,126399,41904,2194,29042,920,9493,15916,2610,5984
14,3,1403,"神奈川3区",229972,18841,137945,43540,3106,29191,705,8319,26808,2886,7202
14,4,1404,"神奈川4区",146568,12325,80421,33394,1176,28371,620,10163,15225,1924,3547
14,5,1405,"神奈川5区",180697,14641,100666,39341,1963,35673,406,10967,15340,2361,4579
14,6,1406,"神奈川6区",181294,15388,102136,39456,1942,35642,420,11279,11698,2611,4615
14,7,1407,"神奈川7区",151207,10980,102952,20410,1240,16229,442,3941,17205,1564,3578
14,8,1408,"神奈川8区",202151,14908,128905,40827,1695,35021,653,6863,13864,2529,4602
14,9,1409,"神奈川9区",162525,10023,110712,21534,1851,20585,341,5783,16496,1758,4167
14,10,1410,"神奈川10区",174216,14263,88014,34449,3007,18300,640,4615,38927,2324,6791
14,11,1411,"神奈川11区",176765,23230,73248,29497,1668,52781,390,12407,10042,2547,3904
14,12,1412,"神奈川12区",202986,16581,92068,28309,2152,51925,406,12298,32372,2645,5354
14,13,1413,"神奈川13区",174897,13433,80985,18757,2322,48057,234,9216,25971,2499,4947
14,14,1414,"神奈川14区",202321,15096,60635,19660,2870,82641,221,9364,36048,2856,5493
14,15,1415,"神奈川15区",211552,12923,69230,33435,2192,70552,451,13939,48234,2750,5683
14,16,1416,"神奈川16区",194491,17789,55174,24710,4968,82982,259,9858,24820,2612,4494
14,17,1417,"神奈川17区",220807,19757,61977,18377,3573,107933,360,9700,21844,3048,5341
14,18,1418,"神奈川18区",216641,14416,147625,22189,1982,17081,447,5232,35659,1962,6126
14,19,1419,"神奈川19区",185671,14726,110849,33940,1300,32081,589,7997,17046,2662,4759
14,20,1420,"神奈川20区",167002,11886,78401,15755,2720,43615,263,6261,32958,2231,4572
15,1,1501,"新潟1区",188660,16907,6527,16453,676,132129,434,1377,18545,2611,3297
15,2,1502,"新潟2区",210155,9481,7663,6332,859,175995,214,1303,8646,2306,3757
15,3,1503,"新潟3区",194982,7860,7545,2416,1546,167942,113,963,7207,2093,3242
15,4,1504,"新潟4区",188287,10368,2851,4352,2154,160231,213,1021,9239,2006,1664
15,5,1505,"新潟5区",184053,11318,2150,1236,1470,160003,129,1343,5566,2272,2398
16,1,1601,"富山1区",149555,8390,7548,3410,572,119128,205,558,11055,1558,3306
16,2,1602,"富山2区",134438,4461,3858,1145,649,119587,57,498,3890,997,2474
16,3,1603,"富山3区",198207,7641,5162,1496,804,173989,113,708,7702,1600,3775
17,1,1701,"石川1区",203575,16108,5103,16380,1090,148773,606,1943,16370,2879,4869
17,2,1702,"石川2区",183137,8439,4892,2456,1461,157738,150,872,8469,1574,2504
17,3,1703,"石川3区",119572,6401,2887,1191,1109,103381,97,577,3699,1472,1529
18,1,1801,"福井1区",209801,9933,4964,2556,1470,178201,269,747,11474,2075,3936
18,2,1802,"福井2区",145341,7054,2627,1382,5861,121759,104,710,6210,1799,2388
19,1,1901,"山梨1区",214756,10309,5246,2341,1654,176359,225,5323,13777,2463,4015
19,2,1902,"山梨2区",126325,8364,7582,1175,877,104182,97,1932,3310,1617,1815
20,1,2001,"長野1区",221033,15002,12525,6302,662,164514,254,2783,20990,2755,5440
20,2,2002,"長野2区",194305,11566,7026,2229,757,156711,157,2039,14399,2569,4324
20,3,2003,"長野3区",197532,9733,6765,1125,987,170556,133,1459,7108,2113,3411
20,4,2004,"長野4区",126760,9615,3658,754,717,106565,116,947,4747,1289,1523
20,5,2005,"長野5区",150635,7871,1330,462,806,133859,136,1367,2884,1638,2448
21,1,2101,"岐阜1区",175417,8159,16216,11416,1001,124932,246,1390,18853,2609,5026
21,2,2102,"岐阜2区",158611,5698,10306,2024,959,131596,85,1162,10639,1487,2743
21,3,2103,"岐阜3区",217087,8998,17115,3217,1348,174767,102,1896,14786,2371,4264
21,4,2104,"岐阜4区",175963,9632,5807,1414,2773,147891,130,1557,7777,2169,2518
