"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
1,1,101,"北海道1区",106539,14257,31646,12992,820,44325,977,786,11366,3618,2924
1,2,102,"北海道2区",116281,7450,29005,10087,1077,63293,408,701,11533,4510,3276
1,3,103,"北海道3区",113907,7392,35186,11066,921,57318,474,764,9203,4466,2996
1,4,104,"北海道4区",101702,8008,17312,7399,2108,63482,292,820,5865,3367,2633
1,5,105,"北海道5区",117369,9024,21318,6717,1515,76719,369,854,7405,2913,2479
1,6,106,"北海道6区",105294,10402,658,3553,1415,80839,230,869,8212,2657,1839
1,7,107,"北海道7区",64605,6263,145,981,1047,51934,112,239,2184,1848,1354
1,8,108,"北海道8区",86519,7872,1676,2030,1472,66249,249,461,4574,2966,2355
1,9,109,"北海道9区",103392,9059,1107,2048,2810,81715,172,447,3666,2970,2544
1,10,110,"北海道10区",68178,7912,1511,1149,928,51613,90,465,3819,2240,1184
1,11,111,"北海道11区",73562,6262,206,982,767,59414,147,394,3508,1844,2476
1,12,112,"北海道12区",74538,9109,117,1007,1293,57564,101,447,3029,2376,1687
2,1,201,"青森1区",89439,7598,1777,3689,3327,65916,227,841,6369,2546,1797
2,2,202,"青森2区",105051,6064,950,1885,3013,88404,186,799,3023,2277,1567
2,3,203,"青森3区",78798,4292,1149,608,759,66355,107,581,3819,1418,1879
3,1,301,"岩手1区",83361,7051,3935,4558,729,59559,210,1428,8266,1972,1580
3,2,302,"岩手2区",97883,5395,1373,1129,1953,82981,92,964,2503,2653,1355
3,3,303,"岩手3区",104041,3640,2243,633,1255,92423,87,722,3045,1443,1397
4,1,401,"宮城1区",122593,11110,28417,10570,852,61109,516,4567,13519,3278,2813
