"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
1,1,101,"北海道1区",98775,17124,36008,17878,1420,25439,1430,124,11670,2326,2826
1,2,102,"北海道2区",102486,11420,33919,15990,1391,35431,647,96,14611,2442,2950
1,3,103,"北海道3区",104614,13059,41751,16070,1287,31551,774,82,10597,2702,2785
1,4,104,"北海道4区",87045,11743,16735,13301,2508,40384,695,125,7144,1451,2129
1,5,105,"北海道5区",95599,9869,20990,10093,2351,50797,639,83,8166,1410,2243
1,6,106,"北海道6区",90791,8625,726,7442,1514,64345,500,98,9539,1215,1573
1,7,107,"北海道7区",53171,5338,114,1789,1649,41515,381,22,1607,689,1064
1,8,108,"北海道8区",76649,9074,2154,4350,1507,54313,455,54,4565,1118,1880
1,9,109,"北海道9区",78751,8340,1003,4354,2434,58313,376,40,3210,1127,1748
1,10,110,"北海道10区",56753,6817,1357,2717,1049,40566,392,76,4255,973,957
1,11,111,"北海道11区",62161,4928,195,1800,950,49918,286,42,2946,809,2004
1,12,112,"北海道12区",59472,7691,127,2100,2262,43871,388,49,2348,890,1211
2,1,201,"青森1区",75300,6814,1435,5519,1543,52650,437,202,8210,1000,1417
2,2,202,"青森2区",88278,6753,489,3603,1447,72726,315,128,2135,808,1266
2,3,203,"青森3区",76612,4477,995,1451,507,62947,234,298,4962,794,1856
3,1,301,"岩手1区",74110,7233,3130,7074,571,49804,326,296,8330,749,1418
3,2,302,"岩手2区",80250,5564,1135,2190,2266,66522,130,228,2012,744,990
3,3,303,"岩手3区",85729,4103,1320,803,611,75440,228,163,2867,670,1130
4,1,401,"宮城1区",105050,13030,27013,15544,629,42401,556,855,14176,1102,2386
4,2,402,"宮城2区",108490,10458,27738,12255,549,50911,301,747,14471,1104,2411
4,3,403,"宮城3区",63211,2968,7018,1357,398,49614,89,166,3560,501,1151
4,4,404,"宮城4区",85533,5458,8047,2837,779,65782,183,311,4336,817,1445
4,5,405,"宮城5区",76502,3643,1611,824,547,66910,87,131,2142,545,1363
5,1,501,"秋田1区",61592,5284,1085,3417,155,45897,162,67,6093,506,1487
5,2,502,"秋田2区",54148,2901,782,616,319,47566,75,47,1831,414,571
5,3,503,"秋田3区",70297,3003,475,388,345,63684,55,51,1997,324,797
6,1,601,"山形1区",73959,4371,902,1692,238,61434,136,187,4598,611,1523
6,2,602,"山形2区",73277,3097,519,247,420,65724,56,75,2444,431,1102
6,3,603,"山形3区",67627,3217,170,313,383,60587,71,67,2128,482,895
7,1,701,"福島1区",88482,5171,3705,2594,403,71056,119,219,5318,676,1951
7,2,702,"福島2区",97777,6015,1558,2730,466,80209,159,200,4955,874,2648
7,3,703,"福島3区",73949,4168,644,824,687,62731,124,122,3724,655,1530
7,4,704,"福島4区",77691,3902,983,1209,510,67890,99,139,2237,606,1244
8,1,801,"茨城1区",96099,4407,3123,3768,339,79426,106,320,4715,713,1893
8,2,802,"茨城2区",65164,2376,781,447,368,57340,45,204,2053,579,1833
8,3,803,"茨城3区",83630,3432,14118,3420,868,59864,55,432,6232,491,1908
8,4,804,"茨城4区",57298,2311,2123,767,201,49263,29,197,2483,379,1158
8,5,805,"茨城5区",47899,3362,2982,1789,249,38988,54,107,1265,326,767
8,6,806,"茨城6区",102393,4010,8094,2671,722,81260,69,450,7568,719,2422
8,7,807,"茨城7区",76354,2549,3785,643,684,63808,46,306,4573,551,2067
9,1,901,"栃木1区",86791,4354,2818,4384,484,65065,98,449,9729,697,2444
9,2,902,"栃木2区",57687,2401,1647,717,531,50065,29,198,1905,409,1197
9,3,903,"栃木3区",53543,1935,1057,459,385,47166,25,133,1407,427,1651
9,4,904,"栃木4区",81630,3115,4451,898,669,67489,69,269,5357,562,1714
9,5,905,"栃木5区",79972,2836,2043,331,376,69128,38,363,4875,446,1150
10,1,1001,"群馬1区",79606,3623,1862,933,313,67297,54,238,5042,594,1611
10,2,1002,"群馬2区",80655,2797,1424,324,446,70643,44,277,3668,583,1931
10,3,1003,"群馬3区",75457,2356,1767,324,477,65160,59,223,4289,635,1698
10,4,1004,"群馬4区",70511,3250,3263,938,246,56786,63,242,6192,467,1540
10,5,1005,"群馬5区",73362,3552,1218,516,456,64616,44,221,1610,523,1684
