"ken","kuno","kucode","kuname","通学者数_総数","通学者数_徒歩のみ","通学者数_鉄道・電車","通学者数_乗合バス","通学者数_勤め先・学校のバス","通学者数_自家用車","通学者数_ハイヤー・タクシー","通学者数_オートバイ","通学者数_自転車","通学者数_その他","通学者数_利用交通手段「不詳」"
1,1,101,"北海道1区",20713,4564,8614,5393,671,768,23,18,4788,534,1177
1,2,102,"北海道2区",24231,4168,8976,6080,663,797,20,6,8501,479,1429
1,3,103,"北海道3区",19503,3577,8998,5458,935,676,13,21,4228,526,1313
1,4,104,"北海道4区",17555,3372,6279,5451,547,798,16,15,4272,352,882
1,5,105,"北海道5区",25268,5008,11417,4507,1226,1435,25,37,7202,422,1317
1,6,106,"北海道6区",17553,2210,2220,4896,691,2331,11,9,9181,349,922
1,7,107,"北海道7区",9770,2836,430,2188,445,1757,9,3,2690,215,551
1,8,108,"北海道8区",14467,2972,1945,3510,551,2295,25,21,5462,326,863
1,9,109,"北海道9区",15920,4271,3105,4004,1332,1539,16,9,3642,294,782
1,10,110,"北海道10区",11033,1633,3316,2056,277,1355,12,6,4452,282,487
1,11,111,"北海道11区",10971,1811,1002,2037,603,2166,8,3,4803,281,856
1,12,112,"北海道12区",10761,2646,1020,2106,466,1861,12,8,3354,301,716
2,1,201,"青森1区",15500,2918,2897,1813,1060,2749,21,20,6667,363,634
2,2,202,"青森2区",18322,3839,2356,4221,1107,5115,11,16,3490,481,816
2,3,203,"青森3区",17469,1710,3864,1223,556,3881,10,35,9114,400,772
3,1,301,"岩手1区",18820,3513,3726,2638,540,2575,20,80,8955,262,804
3,2,302,"岩手2区",15026,2487,3474,2586,651,4247,12,70,4069,397,497
3,3,303,"岩手3区",17849,2263,5604,1174,618,4128,8,181,7469,518,761
4,1,401,"宮城1区",32338,6971,10925,5242,833,1523,16,1336,9747,329,1790
4,2,402,"宮城2区",26059,4410,9542,4564,715,1585,7,457,8870,339,1421
4,3,403,"宮城3区",15202,1761,8024,1647,395,2018,3,209,4450,290,793
4,4,404,"宮城4区",19724,2442,8577,2406,920,2828,13,290,6034,405,925
4,5,405,"宮城5区",15755,1645,4218,2713,777,4108,4,499,3994,534,651
5,1,501,"秋田1区",13303,2480,2567,1402,301,2383,1,23,6668,235,686
5,2,502,"秋田2区",9467,784,3447,772,337,2720,5,4,3600,224,422
5,3,503,"秋田3区",12331,832,3193,981,376,4752,3,13,4501,335,458
6,1,601,"山形1区",16889,2625,4531,1289,214,1999,16,68,8332,316,782
6,2,602,"山形2区",15866,1518,5818,837,570,2809,33,44,7066,396,742
6,3,603,"山形3区",12813,2140,2130,588,1253,3017,7,32,5178,357,473
7,1,701,"福島1区",19761,2650,7346,1835,322,3296,17,75,7804,450,781
7,2,702,"福島2区",22670,3403,5115,2005,575,4540,9,92,9495,607,1265
7,3,703,"福島3区",15185,1890,4182,1391,495,3235,11,33,5989,500,762
7,4,704,"福島4区",16600,2652,5423,3245,369,4096,8,25,3799,382,758
8,1,801,"茨城1区",20972,1969,7057,2736,587,3113,1,224,9029,435,1028
8,2,802,"茨城2区",13827,819,4060,1252,1376,3396,4,301,5017,412,679
8,3,803,"茨城3区",20329,1175,9251,2255,1588,3037,6,326,7681,243,1146
8,4,804,"茨城4区",12847,1041,6310,1411,326,1876,5,185,5216,273,668
8,5,805,"茨城5区",12361,2113,6537,1745,382,1353,3,76,3071,259,517
8,6,806,"茨城6区",28034,1973,8369,2809,1871,4712,4,370,13226,417,1371
8,7,807,"茨城7区",16611,353,5196,1094,1372,3271,7,598,7557,273,853
9,1,901,"栃木1区",19843,1579,4616,1865,488,2066,3,114,11802,276,1090
9,2,902,"栃木2区",11991,512,5965,1373,404,2115,5,129,5389,224,545
9,3,903,"栃木3区",12547,707,4460,1799,490,3065,5,428,4326,328,938
9,4,904,"栃木4区",20489,1958,8531,1370,1067,3027,2,147,9261,315,804
9,5,905,"栃木5区",17896,1522,6983,551,845,2278,7,99,8787,298,678
10,1,1001,"群馬1区",18502,1739,4960,990,472,3799,4,93,9065,408,736
10,2,1002,"群馬2区",18692,925,6147,434,517,3521,3,106,10508,346,793
10,3,1003,"群馬3区",17799,483,6852,751,950,2838,7,56,9598,327,750
10,4,1004,"群馬4区",16973,1831,4597,561,625,2250,10,79,9123,271,743
10,5,1005,"群馬5区",15258,1501,5583,829,610,3546,5,92,6554,365,650
11,1,1101,"埼玉1区",20466,1886,12362,2443,816,290,1,52,7142,126,1317
11,2,1102,"埼玉2区",18634,1665,11221,2087,566,284,3,79,7187,100,1040
11,3,1103,"埼玉3区",19232,1772,11554,1353,823,364,3,60,7681,98,1005
11,4,1104,"埼玉4区",18815,1883,12354,2173,971,225,4,74,6197,91,1160
11,5,1105,"埼玉5区",19720,1904,12402,1936,850,279,1,45,6197,92,1232
11,6,1106,"埼玉6区",21046,1762,12901,1821,1401,672,1,80,8718,140,1033
11,7,1107,"埼玉7区",19224,2127,12454,1331,1477,491,6,110,6298,123,792
11,8,1108,"埼玉8区",20286,2140,14021,1656,1471,418,3,95,5908,112,873
11,9,1109,"埼玉9区",21073,2860,12027,2377,1570,969,5,242,6480,143,969
11,10,1110,"埼玉10区",18186,1310,11279,1991,1704,1303,6,182,5413,151,875
11,11,1111,"埼玉11区",17649,1135,8524,946,1844,2276,5,224,7132,262,725
11,12,1112,"埼玉12区",18982,1539,10441,1865,1451,1844,1,90,7284,187,899
11,13,1113,"埼玉13区",18763,1482,11797,1432,789,651,3,111,7227,132,968
11,14,1114,"埼玉14区",17303,1445,10258,1474,571,310,4,66,7558,89,1141
11,15,1115,"埼玉15区",21614,2190,13147,1749,751,168,8,57,7429,92,1631
11,16,1116,"埼玉16区",17263,1292,10628,1483,660,511,0,90,7138,132,806
12,1,1201,"千葉1区",22875,2811,12683,3326,688,365,5,84,7721,191,1284
12,2,1202,"千葉2区",16709,1883,9665,1805,612,382,0,103,5241,89,1058
12,3,1203,"千葉3区",16337,1556,10266,1872,1429,1174,4,134,4859,154,934
12,4,1204,"千葉4区",20346,2078,13466,1772,542,239,1,78,6280,110,1161
12,5,1205,"千葉5区",21137,1836,15160,2476,341,160,6,26,6112,95,1370
12,6,1206,"千葉6区",19800,2021,13247,2094,735,301,6,93,5679,89,1180
12,7,1207,"千葉7区",14150,1438,8970,1046,650,469,5,48,4768,79,819
12,8,1208,"千葉8区",17675,1761,10829,2156,861,524,4,80,6387,116,959
12,9,1209,"千葉9区",19025,1759,11571,2397,640,953,5,151,5890,270,1161
12,10,1210,"千葉10区",16058,1332,8269,1697,568,2279,3,192,4773,273,964
12,11,1211,"千葉11区",16489,967,8506,1271,755,2121,6,710,5877,254,992
12,12,1212,"千葉12区",16570,2116,7884,1495,1823,1919,5,186,5027,245,928
12,13,1213,"千葉13区",21465,2204,13364,1698,1086,980,2,237,6026,136,1373
12,14,1214,"千葉14区",23952,3602,13945,2272,786,291,4,134,7243,109,1335
13,1,1301,"東京1区",12709,2957,7844,608,128,50,23,18,851,79,1051
13,2,1302,"東京2区",9085,816,6751,621,102,42,18,7,970,58,772
13,3,1303,"東京3区",12965,1619,9060,720,143,142,6,25,1220,86,1059
13,4,1304,"東京4区",15011,1859,10028,877,165,63,4,32,3479,63,942
13,5,1305,"東京5区",17521,2247,11447,2031,223,151,6,28,2405,116,1423
13,6,1306,"東京6区",21037,2204,13625,2014,309,146,9,45,5200,101,1547
13,7,1307,"東京7区",12431,1703,8440,1018,188,130,27,12,671,126,1221
13,8,1308,"東京8区",17029,1137,12233,1807,269,102,5,16,3587,79,1255
13,9,1309,"東京9区",15762,1241,10429,2330,290,147,2,46,4953,79,1167
13,10,1310,"東京10区",21973,4230,13080,1085,174,77,26,19,2817,93,2035
13,11,1311,"東京11区",16879,1854,11493,975,246,75,4,22,3017,90,1147
13,12,1312,"東京12区",14249,1621,9778,1032,208,46,6,17,2101,70,1060
13,13,1313,"東京13区",13934,1277,9212,985,212,85,2,30,3701,73,1035
13,14,1314,"東京14区",14945,1341,10187,1087,143,42,9,20,3305,72,1173
13,15,1315,"東京15区",16764,1440,11878,1648,166,60,5,28,2624,66,1213
13,16,1316,"東京16区",19531,1912,11916,2539,192,95,2,38,6140,86,1406
13,17,1317,"東京17区",15182,1398,9691,1011,190,91,3,29,4442,72,1155
