"ken","kuno","kucode","kuname","通学者数_総数","通学者数_徒歩のみ","通学者数_鉄道・電車","通学者数_乗合バス","通学者数_勤め先・学校のバス","通学者数_自家用車","通学者数_ハイヤー・タクシー","通学者数_オートバイ","通学者数_自転車","通学者数_その他","通学者数_利用交通手段「不詳」"
1,1,101,"北海道1区",10426,2171,3992,2455,381,387,13,17,3210,252,595
1,2,102,"北海道2区",12911,2203,4239,2654,319,440,8,6,5491,223,803
1,3,103,"北海道3区",10260,1994,4193,2461,520,374,6,19,2909,255,745
1,4,104,"北海道4区",9280,1925,3109,2483,284,405,7,15,2681,178,454
1,5,105,"北海道5区",13305,2773,5508,1957,707,768,13,33,4358,200,730
1,6,106,"北海道6区",8624,1147,1036,2032,310,1006,5,8,5022,169,456
1,7,107,"北海道7区",5094,1538,225,1032,235,789,4,3,1592,100,294
1,8,108,"北海道8区",7724,1568,894,1665,161,1106,15,19,3524,153,567
1,9,109,"北海道9区",8806,2704,1456,1828,736,724,9,9,2321,164,438
1,10,110,"北海道10区",5599,811,1614,960,143,635,4,6,2403,145,265
1,11,111,"北海道11区",5635,939,461,888,324,915,3,3,2831,152,473
1,12,112,"北海道12区",5787,1408,506,1010,267,872,6,7,2021,148,402
2,1,201,"青森1区",7918,1574,1439,735,449,1297,10,17,3614,182,331
2,2,202,"青森2区",9658,2072,1220,1858,484,2476,3,14,2656,270,406
2,3,203,"青森3区",8767,843,1765,471,263,1685,4,30,5047,180,396
3,1,301,"岩手1区",9588,1739,1608,796,179,1061,8,70,5439,110,429
3,2,302,"岩手2区",7657,1206,1698,1076,305,1881,8,62,2709,197,251
3,3,303,"岩手3区",9291,1398,2639,401,352,1761,3,149,4236,225,395
4,1,401,"宮城1区",17726,3785,5520,1898,373,737,10,1188,6375,168,1017
4,2,402,"宮城2区",13087,1960,4525,1576,285,740,3,396,5492,158,731
4,3,403,"宮城3区",7930,951,3779,630,198,894,0,176,2776,155,487
4,4,404,"宮城4区",10175,1281,4063,872,400,1265,9,251,3844,199,484
4,5,405,"宮城5区",8070,924,1979,1098,401,1821,2,399,2442,263,322
5,1,501,"秋田1区",6873,1348,1237,460,171,999,0,21,3799,102,353
5,2,502,"秋田2区",4752,369,1639,319,179,1257,1,3,2055,115,247
5,3,503,"秋田3区",6318,381,1526,442,190,2171,2,12,2807,159,231
6,1,601,"山形1区",8489,1265,2076,454,84,815,9,53,4700,152,428
6,2,602,"山形2区",8163,858,2736,346,296,1184,20,40,4076,198,422
6,3,603,"山形3区",6854,1277,1046,266,616,1380,2,31,3044,183,242
7,1,701,"福島1区",10105,1351,3486,586,173,1440,8,67,4613,211,407
7,2,702,"福島2区",12133,1843,2386,700,224,2015,2,80,5923,270,730
7,3,703,"福島3区",7726,922,2009,565,200,1390,2,25,3567,250,377
7,4,704,"福島4区",8411,1373,2621,1323,188,1715,6,19,2873,166,371
8,1,801,"茨城1区",10604,1020,3279,856,267,1219,0,178,5466,194,532
8,2,802,"茨城2区",7018,483,1898,448,569,1309,1,258,3162,213,353
8,3,803,"茨城3区",10686,648,4503,867,626,1268,3,289,4758,133,634
8,4,804,"茨城4区",6404,563,2708,440,134,773,2,138,3052,140,364
8,5,805,"茨城5区",6650,1216,3135,690,270,573,2,68,2211,116,294
8,6,806,"茨城6区",14966,1068,3884,990,852,2023,1,319,8171,187,771
8,7,807,"茨城7区",8393,181,2384,364,574,1346,1,439,4291,137,452
9,1,901,"栃木1区",10250,830,2148,554,184,814,2,97,6677,138,561
9,2,902,"栃木2区",5966,245,2836,469,163,886,3,103,3072,120,287
9,3,903,"栃木3区",6205,322,2147,553,229,1194,1,325,2668,173,483
9,4,904,"栃木4区",10412,1018,4005,504,554,1237,2,133,5282,145,423
9,5,905,"栃木5区",9096,937,3198,178,396,897,1,80,4858,132,357
10,1,1001,"群馬1区",9398,977,2215,360,165,1570,0,75,5118,216,377
10,2,1002,"群馬2区",9944,564,2947,140,214,1477,2,90,6017,185,447
10,3,1003,"群馬3区",8999,190,3082,251,409,1153,4,48,5403,180,405
10,4,1004,"群馬4区",8593,932,2052,182,212,916,5,65,5039,139,398
10,5,1005,"群馬5区",7782,829,2521,304,221,1425,4,77,3948,173,342
11,1,1101,"埼玉1区",10835,1045,6153,943,485,138,1,39,4253,59,696
11,2,1102,"埼玉2区",9779,883,5607,802,313,142,1,60,4084,58,549
11,3,1103,"埼玉3区",10011,884,5829,532,433,175,2,47,4269,49,522
11,4,1104,"埼玉4区",9696,978,6219,844,556,99,3,60,3400,56,623
11,5,1105,"埼玉5区",10164,988,5921,711,494,128,0,34,3671,45,652
11,6,1106,"埼玉6区",10907,892,6300,683,758,299,1,61,4928,79,553
11,7,1107,"埼玉7区",10223,1177,6299,519,745,239,4,92,3688,74,413
11,8,1108,"埼玉8区",10684,1150,7072,681,789,192,1,76,3398,62,479
11,9,1109,"埼玉9区",11066,1527,5938,932,815,458,3,191,3979,82,508
11,10,1110,"埼玉10区",9709,592,5657,808,1066,595,3,150,3418,79,486
11,11,1111,"埼玉11区",9246,554,4185,381,925,1012,3,159,4298,143,405
11,12,1112,"埼玉12区",10056,997,5086,679,765,829,1,81,4361,92,463
11,13,1113,"埼玉13区",10076,847,5867,528,457,312,0,93,4227,69,543
11,14,1114,"埼玉14区",9021,739,5138,537,307,134,3,56,4187,53,616
11,15,1115,"埼玉15区",11643,1196,6682,707,406,64,4,49,4279,49,951
11,16,1116,"埼玉16区",8888,651,5092,553,331,224,0,82,4017,69,422
12,1,1201,"千葉1区",11925,1427,6210,1284,396,191,4,74,4678,101,668
12,2,1202,"千葉2区",8657,979,4632,696,315,176,0,84,3064,60,579
12,3,1203,"千葉3区",8336,702,5007,762,802,516,3,97,2852,80,509
12,4,1204,"千葉4区",10561,1095,6704,714,307,117,1,64,3612,68,601
12,5,1205,"千葉5区",10832,960,7501,966,185,58,3,22,3482,49,744
12,6,1206,"千葉6区",10359,1030,6659,853,400,144,2,81,3324,51,648
12,7,1207,"千葉7区",7582,846,4403,446,306,215,4,41,2816,42,457
