"ken","kuno","kucode","kuname","通学者数_総数","通学者数_徒歩のみ","通学者数_鉄道・電車","通学者数_乗合バス","通学者数_勤め先・学校のバス","通学者数_自家用車","通学者数_ハイヤー・タクシー","通学者数_オートバイ","通学者数_自転車","通学者数_その他","通学者数_利用交通手段「不詳」"
1,1,101,"北海道1区",10287,2393,4622,2938,290,381,10,1,1578,282,582
1,2,102,"北海道2区",11320,1965,4737,3426,344,357,12,0,3010,256,626
1,3,103,"北海道3区",9243,1583,4805,2997,415,302,7,2,1319,271,568
1,4,104,"北海道4区",8275,1447,3170,2968,263,393,9,0,1591,174,428
1,5,105,"北海道5区",11963,2235,5909,2550,519,667,12,4,2844,222,587
1,6,106,"北海道6区",8929,1063,1184,2864,381,1325,6,1,4159,180,466
1,7,107,"北海道7区",4676,1298,205,1156,210,968,5,0,1098,115,257
1,8,108,"北海道8区",6743,1404,1051,1845,390,1189,10,2,1938,173,296
1,9,109,"北海道9区",7114,1567,1649,2176,596,815,7,0,1321,130,344
1,10,110,"北海道10区",5434,822,1702,1096,134,720,8,0,2049,137,222
1,11,111,"北海道11区",5336,872,541,1149,279,1251,5,0,1972,129,383
1,12,112,"北海道12区",4974,1238,514,1096,199,989,6,1,1333,153,314
2,1,201,"青森1区",7582,1344,1458,1078,611,1452,11,3,3053,181,303
2,2,202,"青森2区",8664,1767,1136,2363,623,2639,8,2,834,211,410
2,3,203,"青森3区",8702,867,2099,752,293,2196,6,5,4067,220,376
3,1,301,"岩手1区",9232,1774,2118,1842,361,1514,12,10,3516,152,375
3,2,302,"岩手2区",7369,1281,1776,1510,346,2366,4,8,1360,200,246
3,3,303,"岩手3区",8558,865,2965,773,266,2367,5,32,3233,293,366
4,1,401,"宮城1区",14612,3186,5405,3344,460,786,6,148,3372,161,773
4,2,402,"宮城2区",12972,2450,5017,2988,430,845,4,61,3378,181,690
4,3,403,"宮城3区",7272,810,4245,1017,197,1124,3,33,1674,135,306
4,4,404,"宮城4区",9549,1161,4514,1534,520,1563,4,39,2190,206,441
4,5,405,"宮城5区",7685,721,2239,1615,376,2287,2,100,1552,271,329
5,1,501,"秋田1区",6430,1132,1330,942,130,1384,1,2,2869,133,333
5,2,502,"秋田2区",4715,415,1808,453,158,1463,4,1,1545,109,175
5,3,503,"秋田3区",6013,451,1667,539,186,2581,1,1,1694,176,227
6,1,601,"山形1区",8400,1360,2455,835,130,1184,7,15,3632,164,354
6,2,602,"山形2区",7703,660,3082,491,274,1625,13,4,2990,198,320
6,3,603,"山形3区",5959,863,1084,322,637,1637,5,1,2134,174,231
7,1,701,"福島1区",9656,1299,3860,1249,149,1856,9,8,3191,239,374
7,2,702,"福島2区",10537,1560,2729,1305,351,2525,7,12,3572,337,535
7,3,703,"福島3区",7459,968,2173,826,295,1845,9,8,2422,250,385
7,4,704,"福島4区",8189,1279,2802,1922,181,2381,2,6,926,216,387
8,1,801,"茨城1区",10368,949,3778,1880,320,1894,1,46,3563,241,496
8,2,802,"茨城2区",6809,336,2162,804,807,2087,3,43,1855,199,326
8,3,803,"茨城3区",9643,527,4748,1388,962,1769,3,37,2923,110,512
8,4,804,"茨城4区",6443,478,3602,971,192,1103,3,47,2164,133,304
8,5,805,"茨城5区",5711,897,3402,1055,112,780,1,8,860,143,223
8,6,806,"茨城6区",13068,905,4485,1819,1019,2689,3,51,5055,230,600
8,7,807,"茨城7区",8218,172,2812,730,798,1925,6,159,3266,136,401
9,1,901,"栃木1区",9593,749,2468,1311,304,1252,1,17,5125,138,529
9,2,902,"栃木2区",6025,267,3129,904,241,1229,2,26,2317,104,258
9,3,903,"栃木3区",6342,385,2313,1246,261,1871,4,103,1658,155,455
9,4,904,"栃木4区",10077,940,4526,866,513,1790,0,14,3979,170,381
9,5,905,"栃木5区",8800,585,3785,373,449,1381,6,19,3929,166,321
10,1,1001,"群馬1区",9104,762,2745,630,307,2229,4,18,3947,192,359
10,2,1002,"群馬2区",8748,361,3200,294,303,2044,1,16,4491,161,346
10,3,1003,"群馬3区",8800,293,3770,500,541,1685,3,8,4195,147,345
10,4,1004,"群馬4区",8380,899,2545,379,413,1334,5,14,4084,132,345
10,5,1005,"群馬5区",7476,672,3062,525,389,2121,1,15,2606,192,308
11,1,1101,"埼玉1区",9631,841,6209,1500,331,152,0,13,2889,67,621
11,2,1102,"埼玉2区",8855,782,5614,1285,253,142,2,19,3103,42,491
11,3,1103,"埼玉3区",9221,888,5725,821,390,189,1,13,3412,49,483
11,4,1104,"埼玉4区",9119,905,6135,1329,415,126,1,14,2797,35,537
11,5,1105,"埼玉5区",9556,916,6481,1225,356,151,1,11,2526,47,580
11,6,1106,"埼玉6区",10139,870,6601,1138,643,373,0,19,3790,61,480
11,7,1107,"埼玉7区",9001,950,6155,812,732,252,2,18,2610,49,379
11,8,1108,"埼玉8区",9602,990,6949,975,682,226,2,19,2510,50,394
11,9,1109,"埼玉9区",10007,1333,6089,1445,755,511,2,51,2501,61,461
11,10,1110,"埼玉10区",8477,718,5622,1183,638,708,3,32,1995,72,389
11,11,1111,"埼玉11区",8403,581,4339,565,919,1264,2,65,2834,119,320
11,12,1112,"埼玉12区",8926,542,5355,1186,686,1015,0,9,2923,95,436
11,13,1113,"埼玉13区",8687,635,5930,904,332,339,3,18,3000,63,425
11,14,1114,"埼玉14区",8282,706,5120,937,264,176,1,10,3371,36,525
11,15,1115,"埼玉15区",9971,994,6465,1042,345,104,4,8,3150,43,680
11,16,1116,"埼玉16区",8375,641,5536,930,329,287,0,8,3121,63,384
12,1,1201,"千葉1区",10950,1384,6473,2042,292,174,1,10,3043,90,616
12,2,1202,"千葉2区",8052,904,5033,1109,297,206,0,19,2177,29,479
12,3,1203,"千葉3区",8001,854,5259,1110,627,658,1,37,2007,74,425
