"ken","kuno","kucode","kuname","人口_総数","人口_出生時から","人口_1年未満","人口_1年以上5年未満","人口_5年以上10年未満","人口_10年以上20年未満","人口_20年以上","人口_居住期間「不詳」"
1,1,101,"北海道1区",527598,23407,36539,100269,70067,87822,120442,89052
1,2,102,"北海道2区",546641,30422,33417,96842,73147,88302,140329,84182
1,3,103,"北海道3区",530444,27925,33891,97743,71245,88394,128404,82842
1,4,104,"北海道4区",480342,35909,25248,73672,57329,78556,164579,45049
1,5,105,"北海道5区",510595,34931,30665,85177,63541,90264,168943,37074
1,6,106,"北海道6区",481953,43002,28177,78371,57934,76890,169028,28551
1,7,107,"北海道7区",294384,28613,15849,45800,32869,42435,104114,24704
1,8,108,"北海道8区",413767,39042,24935,68701,51587,65487,146913,17102
1,9,109,"北海道9区",445726,37021,26241,74380,55556,70816,155168,26544
1,10,110,"北海道10区",325014,32245,16675,46472,36436,48653,129832,14701
1,11,111,"北海道11区",332648,34618,21954,58990,43375,55420,112040,6251
1,12,112,"北海道12区",335502,35214,19062,51939,35575,46970,122718,24024
2,1,201,"青森1区",390763,49260,20886,56910,42059,59096,144048,18504
2,2,202,"青森2区",451243,64103,22975,64722,49027,65380,165660,19376
2,3,203,"青森3区",395978,78006,17057,47741,35881,51035,153124,13134
3,1,301,"岩手1区",349934,37231,23521,62221,44893,56578,107903,17587
3,2,302,"岩手2区",421572,73965,19469,63229,47864,50023,161204,5818
3,3,303,"岩手3区",439028,90633,19210,54320,41994,57169,160163,15539
4,1,401,"宮城1区",546348,37415,39748,107686,72396,86643,131250,71210
4,2,402,"宮城2区",550356,39998,36205,101767,75021,90243,139724,67398
4,3,403,"宮城3区",334448,53256,15644,47285,44037,47684,110568,15974
4,4,404,"宮城4区",461445,58552,20832,75119,63174,67804,144946,31018
4,5,405,"宮城5区",409399,95447,16116,51904,40518,44933,147109,13372
5,1,501,"秋田1区",307672,31978,16419,45133,34188,49712,106483,23759
5,2,502,"秋田2区",288633,55411,10866,29555,23589,35261,125906,8045
5,3,503,"秋田3区",363197,94689,12888,33943,27169,40927,146678,6903
6,1,601,"山形1区",363311,54997,18417,52117,40085,54699,120156,22840
6,2,602,"山形2区",370390,90081,15687,43126,32668,46553,135948,6327
6,3,603,"山形3区",334326,79495,13685,36885,27340,39894,130470,6557
7,1,701,"福島1区",465894,72634,23216,65659,46029,66951,160165,31240
7,2,702,"福島2区",519577,86128,29061,78958,60145,78281,171302,15702
7,3,703,"福島3区",395173,80412,17071,47923,36876,51455,144560,16876
7,4,704,"福島4区",452508,55038,24468,78825,54119,57094,140224,42740
8,1,801,"茨城1区",501830,76618,23629,68128,53839,74310,163154,42152
8,2,802,"茨城2区",364132,67600,14927,44561,35179,51045,122029,28791
8,3,803,"茨城3区",459781,57701,19596,57532,47745,77649,162201,37357
8,4,804,"茨城4区",313688,45364,12656,38247,33118,49565,116104,18634
8,5,805,"茨城5区",281899,29876,11791,35443,30075,46912,106106,21696
8,6,806,"茨城6区",546750,75615,31830,89103,63996,79494,148278,58434
8,7,807,"茨城7区",398929,82674,15246,44813,37416,53912,142696,22172
9,1,901,"栃木1区",505456,52741,24016,72119,57102,77315,139458,82705
9,2,902,"栃木2区",299897,52199,12604,36788,31087,44368,109218,13633
9,3,903,"栃木3区",282508,51544,11877,35259,28827,41390,99496,14115
9,4,904,"栃木4区",428762,72228,19334,55754,46967,65288,143152,26039
9,5,905,"栃木5区",416523,66826,20390,55059,45654,66483,151406,10705
10,1,1001,"群馬1区",409107,53132,20287,56130,45718,65051,139786,29003
10,2,1002,"群馬2区",403997,53080,18954,55465,43452,66315,140021,26710
10,3,1003,"群馬3区",401760,56744,20052,57657,45733,64729,130468,26377
10,4,1004,"群馬4区",353488,40827,18702,54580,42353,60243,115575,21208
10,5,1005,"群馬5区",370758,60848,15671,45725,39119,56921,141416,11058
11,1,1101,"埼玉1区",458192,36901,24255,71539,58895,79928,116806,69868
11,2,1102,"埼玉2区",478246,47887,30951,86676,69609,97484,129835,15804
11,3,1103,"埼玉3区",457649,43593,22071,71282,58902,84515,133008,44278
11,4,1104,"埼玉4区",466435,39212,24922,71866,56269,83121,116390,74655
