"ken","kuno","kucode","kuname","人口_総数","人口_出生時から","人口_1年未満","人口_1年以上5年未満","人口_5年以上10年未満","人口_10年以上20年未満","人口_20年以上","人口_居住期間「不詳」"
1,1,101,"北海道1区",241025,12215,17291,46279,31307,38434,51172,44327
1,2,102,"北海道2区",258666,15717,16286,45750,33993,40815,62245,43860
1,3,103,"北海道3区",248142,14241,16167,45530,32617,40302,56246,43039
1,4,104,"北海道4区",225478,20101,12300,34640,26638,36521,71912,23366
1,5,105,"北海道5区",244132,18533,15295,41969,30499,42512,75836,19488
1,6,106,"北海道6区",225275,24602,13879,37736,27043,35248,72051,14716
1,7,107,"北海道7区",140157,16644,8168,22477,15513,19565,45026,12764
1,8,108,"北海道8区",190316,23131,12227,33093,23858,29604,59882,8521
1,9,109,"北海道9区",216886,21082,13832,38062,27252,33855,67628,15175
1,10,110,"北海道10区",153000,19798,8367,22499,16987,22644,54858,7847
1,11,111,"北海道11区",159665,20750,11260,29174,20700,26022,48128,3631
1,12,112,"北海道12区",162346,21452,10120,26029,17053,21859,53281,12552
2,1,201,"青森1区",184784,30037,10710,27855,19755,26712,59929,9786
2,2,202,"青森2区",216746,40749,11384,31515,23118,29902,69497,10581
2,3,203,"青森3区",181872,50724,7776,21311,15739,22016,57818,6488
3,1,301,"岩手1区",165646,21815,11653,29944,20983,25846,45871,9534
3,2,302,"岩手2区",203027,48938,9710,30595,22528,23261,64558,3437
3,3,303,"岩手3区",214279,59422,9466,26770,20045,26351,63167,9058
4,1,401,"宮城1区",263900,20741,19967,53160,34261,40158,57633,37980
4,2,402,"宮城2区",267717,22139,18547,50058,35946,42391,62557,36079
4,3,403,"宮城3区",164785,34166,7796,23305,21210,22704,46887,8717
4,4,404,"宮城4区",226436,35800,10569,37229,30741,32283,62954,16860
4,5,405,"宮城5区",199760,64371,7828,24776,19072,20387,55868,7458
5,1,501,"秋田1区",145411,18799,8195,21971,16023,22814,44942,12667
5,2,502,"秋田2区",135003,37325,4994,13155,10747,15963,48611,4208
5,3,503,"秋田3区",172025,64091,6067,15480,12195,17886,52745,3561
6,1,601,"山形1区",174986,34863,9098,24809,18979,25245,49816,12176
6,2,602,"山形2区",181444,60204,7527,20893,15356,21013,52668,3783
6,3,603,"山形3区",160008,52084,6703,17311,12400,17810,50187,3513
7,1,701,"福島1区",227844,47197,11847,32471,22155,31150,65997,17027
7,2,702,"福島2区",256467,56409,15111,39421,28975,36488,70878,9185
7,3,703,"福島3区",192490,53968,8482,23155,17330,23582,56970,9003
7,4,704,"福島4区",227063,34798,13596,40983,26470,27058,60032,24126
8,1,801,"茨城1区",246610,48776,12053,33420,26043,34777,68393,23148
8,2,802,"茨城2区",184803,43440,8058,23196,17426,24274,52094,16315
8,3,803,"茨城3区",228146,34644,10121,28751,23435,37627,73242,20326
8,4,804,"茨城4区",156129,29223,6719,19486,16521,23794,50004,10382
8,5,805,"茨城5区",140930,18030,6338,18503,15159,22772,48439,11689
8,6,806,"茨城6区",273381,46163,16605,45553,31752,38135,64688,30485
8,7,807,"茨城7区",200977,53250,7792,23025,18332,25527,60566,12485
9,1,901,"栃木1区",253477,30853,12728,37231,28328,37491,62141,44705
9,2,902,"栃木2区",149904,33347,6735,18797,15324,21395,46738,7568
9,3,903,"栃木3区",139974,33864,5910,17110,14059,19643,42017,7371
9,4,904,"栃木4区",215268,46383,9886,27826,23138,31468,61856,14711
9,5,905,"栃木5区",206307,42576,10448,27690,22324,31983,65099,6187
10,1,1001,"群馬1区",199586,33478,10105,27340,21959,30930,59891,15883
10,2,1002,"群馬2区",199898,32495,9491,27830,21363,32141,61983,14595
10,3,1003,"群馬3区",204975,35043,11059,30263,23259,31779,58113,15459
10,4,1004,"群馬4区",173043,24523,9218,27117,20605,28851,50797,11932
10,5,1005,"群馬5区",181909,39901,7606,22117,18989,27318,60082,5896
11,1,1101,"埼玉1区",223519,20411,11916,34648,28467,38535,53254,36288
11,2,1102,"埼玉2区",241590,26290,16232,44749,35745,48813,60506,9255
11,3,1103,"埼玉3区",226395,24142,10846,34502,28767,41415,62324,24399
11,4,1104,"埼玉4区",232560,21150,12544,35736,27985,40629,54276,40240
11,5,1105,"埼玉5区",228567,21607,13207,36303,28025,39376,51613,38436
11,6,1106,"埼玉6区",239125,28835,10313,31449,26770,43957,78859,18942
11,7,1107,"埼玉7区",232351,25818,10035,29306,25990,38428,63243,39531
11,8,1108,"埼玉8区",243231,23731,11012,33447,28924,43540,68445,34132
11,9,1109,"埼玉9区",236256,29663,9802,28589,24535,42220,79690,21757
11,10,1110,"埼玉10区",194853,30083,8122,24041,19809,32910,63272,16616
11,11,1111,"埼玉11区",200448,41006,8043,23624,20141,30746,64741,12147
11,12,1112,"埼玉12区",217947,41794,10015,28108,23151,34683,71158,9038
11,13,1113,"埼玉13区",217466,32359,8983,27165,23567,39198,74614,11580
11,14,1114,"埼玉14区",244694,23595,10218,34074,27884,40558,62252,46113
11,15,1115,"埼玉15区",254113,22681,13575,40820,32852,43185,52960,48040
11,16,1116,"埼玉16区",219054,26395,8289,25609,22519,37292,70236,28714
12,1,1201,"千葉1区",257845,19888,12741,37941,29321,48677,59196,50081
12,2,1202,"千葉2区",185200,15643,9514,26526,21123,33971,50002,28421
12,3,1203,"千葉3区",201559,23702,10425,30342,24766,37635,60025,14664
12,4,1204,"千葉4区",241987,22326,12738,37710,30246,46193,53822,38952
12,5,1205,"千葉5区",253747,19050,15336,45452,31938,42439,46520,53012
12,6,1206,"千葉6区",247210,20527,11164,35095,28462,45675,63004,43283
12,7,1207,"千葉7区",174626,20816,9059,27819,19064,28750,48510,20608
12,8,1208,"千葉8区",210824,18696,10618,30735,23882,36722,56457,33714
12,9,1209,"千葉9区",235881,25038,10207,29640,26411,41006,80218,23361
12,10,1210,"千葉10区",195189,50571,8361,22650,18227,25181,58338,11861
12,11,1211,"千葉11区",202541,45739,7543,20719,18787,29535,66293,13925
12,12,1212,"千葉12区",221558,38748,11545,30763,24452,33680,65553,16817
12,13,1213,"千葉13区",243955,27465,10927,31737,26462,45680,74363,27321
12,14,1214,"千葉14区",245865,20252,12892,38804,30463,46317,65576,31561
13,1,1301,"東京1区",208459,11752,11993,32520,20184,18933,22273,90804
13,2,1302,"東京2区",189517,15255,12866,37712,23000,21810,20328,58546
13,3,1303,"東京3区",221599,18970,15900,41557,26156,28710,35149,55157
13,4,1304,"東京4区",260035,22149,15237,43704,29416,35154,46701,67674
13,5,1305,"東京5区",214128,15682,11878,34707,25489,28133,34568,63671
13,6,1306,"東京6区",231524,16106,13090,40181,27849,31984,37529,64785
13,7,1307,"東京7区",241317,14645,14362,37546,25196,24873,24966,99729
13,8,1308,"東京8区",225964,15826,12831,36979,26301,29980,37254,66793
13,9,1309,"東京9区",177294,12390,8619,26129,21278,29031,36210,43637
13,10,1310,"東京10区",266503,19142,16889,46310,30184,30309,35724,87945
13,11,1311,"東京11区",234738,17687,11227,33338,26292,31463,40921,73810
