"ken","kuno","kucode","kuname","人口_総数","人口_出生時から","人口_1年未満","人口_1年以上5年未満","人口_5年以上10年未満","人口_10年以上20年未満","人口_20年以上","人口_居住期間「不詳」"
1,1,101,"北海道1区",286573,11192,19248,53990,38760,49388,69270,44725
1,2,102,"北海道2区",287975,14705,17131,51092,39154,47487,78084,40322
1,3,103,"北海道3区",282302,13684,17724,52213,38628,48092,72158,39803
1,4,104,"北海道4区",254864,15808,12948,39032,30691,42035,92667,21683
1,5,105,"北海道5区",266463,16398,15370,43208,33042,47752,93107,17586
1,6,106,"北海道6区",256678,18400,14298,40635,30891,41642,96977,13835
1,7,107,"北海道7区",154227,11969,7681,23323,17356,22870,59088,11940
1,8,108,"北海道8区",223451,15911,12708,35608,27729,35883,87031,8581
1,9,109,"北海道9区",228840,15939,12409,36318,28304,36961,87540,11369
1,10,110,"北海道10区",172014,12447,8308,23973,19449,26009,74974,6854
1,11,111,"北海道11区",172983,13868,10694,29816,22675,29398,63912,2620
1,12,112,"北海道12区",173156,13762,8942,25910,18522,25111,69437,11472
2,1,201,"青森1区",205979,19223,10176,29055,22304,32384,84119,8718
2,2,202,"青森2区",234497,23354,11591,33207,25909,35478,96163,8795
2,3,203,"青森3区",214106,27282,9281,26430,20142,29019,95306,6646
3,1,301,"岩手1区",184288,15416,11868,32277,23910,30732,62032,8053
3,2,302,"岩手2区",218545,25027,9759,32634,25336,26762,96646,2381
3,3,303,"岩手3区",224749,31211,9744,27550,21949,30818,96996,6481
4,1,401,"宮城1区",282448,16674,19781,54526,38135,46485,73617,33230
4,2,402,"宮城2区",282639,17859,17658,51709,39075,47852,77167,31319
4,3,403,"宮城3区",169663,19090,7848,23980,22827,24980,63681,7257
4,4,404,"宮城4区",235009,22752,10263,37890,32433,35521,81992,14158
4,5,405,"宮城5区",209639,31076,8288,27128,21446,24546,91241,5914
5,1,501,"秋田1区",162261,13179,8224,23162,18165,26898,61541,11092
5,2,502,"秋田2区",153630,18086,5872,16400,12842,19298,77295,3837
5,3,503,"秋田3区",191172,30598,6821,18463,14974,23041,93933,3342
6,1,601,"山形1区",188325,20134,9319,27308,21106,29454,70340,10664
6,2,602,"山形2区",188946,29877,8160,22233,17312,25540,83280,2544
6,3,603,"山形3区",174318,27411,6982,19574,14940,22084,80283,3044
7,1,701,"福島1区",238050,25437,11369,33188,23874,35801,94168,14213
