"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
1,1,101,"北海道1区",527598,307437,130146,128406,77771,47117,30654,26430,24205,1740,338,89677
1,2,102,"北海道2区",546641,338419,124098,122363,81390,51689,29701,24733,16240,1735,269,83855
1,3,103,"北海道3区",530444,321558,124622,123450,81710,46787,34923,27588,14152,1172,283,83981
1,4,104,"北海道4区",480342,340829,93309,91344,52528,18419,12237,30317,8499,1965,264,45940
1,5,105,"北海道5区",510595,362251,109661,108143,47064,10761,7555,44642,16437,1518,254,38429
1,6,106,"北海道6区",481953,350932,101056,99491,55963,0,0,34193,9335,1565,141,29824
1,7,107,"北海道7区",294384,210454,58691,56904,31225,0,0,20359,5320,1787,88,25151
1,8,108,"北海道8区",413767,307047,84894,83100,45486,0,0,27004,10610,1794,291,21535
1,9,109,"北海道9区",445726,322648,95616,93604,50064,0,0,34797,8743,2012,166,27296
1,10,110,"北海道10区",325014,249363,60008,58994,29367,0,0,24907,4720,1014,129,15514
1,11,111,"北海道11区",332648,248547,69278,67965,32074,0,0,28705,7186,1313,184,14639
1,12,112,"北海道12区",335502,242859,67515,64862,32116,0,0,25674,7072,2653,174,24954
2,1,201,"青森1区",390763,298383,73684,72759,43331,0,0,13397,16031,925,246,18450
2,2,202,"青森2区",451243,347902,82638,81049,44914,0,0,18025,18110,1589,104,20599
2,3,203,"青森3区",395978,321416,61209,60545,32931,0,0,16426,11188,664,84,13269
3,1,301,"岩手1区",349934,250006,81585,80804,38987,0,0,20691,21126,781,236,18107
3,2,302,"岩手2区",421572,336144,78772,76881,43864,0,0,20752,12265,1891,111,6545
3,3,303,"岩手3区",439028,353054,69153,67834,37952,0,0,15782,14100,1319,85,16736
4,1,401,"宮城1区",546348,333044,141071,138176,72416,50642,21774,13451,52309,2895,157,72076
4,2,402,"宮城2区",550356,350684,131747,130193,71886,45330,26556,14969,43338,1554,164,67761
4,3,403,"宮城3区",334448,257983,59322,58384,23424,0,0,22867,12093,938,107,17036
4,4,404,"宮城4区",461445,338146,91281,89297,44277,0,0,29983,15037,1984,152,31866
4,5,405,"宮城5区",409399,330587,64494,63077,37922,0,0,15780,9375,1417,118,14200
5,1,501,"秋田1区",307672,225005,57772,57255,33492,0,0,8821,14942,517,96,24799
5,2,502,"秋田2区",288633,241777,37986,37362,21695,0,0,8663,7004,624,29,8841
