"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
1,1,101,"北海道1区",241025,135826,60531,59689,33670,20262,13408,11886,14133,842,123,44545
1,2,102,"北海道2区",258666,155916,59013,58128,36814,23017,13797,11292,10022,885,115,43622
1,3,103,"北海道3区",248142,146161,58277,57677,36460,20801,15659,13136,8081,600,126,43578
1,4,104,"北海道4区",225478,157403,44218,43426,23125,8132,5618,15464,4837,792,121,23736
1,5,105,"北海道5区",244132,169656,54215,53566,21518,4711,3394,22259,9789,649,132,20129
1,6,106,"北海道6区",225275,160976,48977,48205,24716,0,0,17900,5589,772,72,15250
1,7,107,"北海道7区",140157,97941,29228,28752,13886,0,0,11540,3326,476,44,12944
1,8,108,"北海道8区",190316,138332,41168,40691,19510,0,0,14682,6499,477,145,10671
1,9,109,"北海道9区",216886,151892,49439,48249,23263,0,0,19401,5585,1190,77,15478
1,10,110,"北海道10区",153000,115368,29316,28903,12677,0,0,12991,3235,413,70,8246
1,11,111,"北海道11区",159665,117213,34236,33644,14455,0,0,14962,4227,592,94,8122
1,12,112,"北海道12区",162346,114855,34358,33711,14513,0,0,14449,4749,647,114,13019
2,1,201,"青森1区",184784,138345,36488,36177,18930,0,0,6991,10256,311,179,9772
2,2,202,"青森2区",216746,165155,40504,39760,20124,0,0,8990,10646,744,55,11032
2,3,203,"青森3区",181872,147932,27370,27182,13606,0,0,7304,6272,188,40,6530
3,1,301,"岩手1区",165646,116201,39537,39153,17354,0,0,9655,12144,384,169,9739
3,2,302,"岩手2区",203027,160737,38450,37849,19980,0,0,10553,7316,601,64,3776
3,3,303,"岩手3区",214279,170590,34112,33419,16925,0,0,7970,8524,693,35,9542
4,1,401,"宮城1区",263900,155543,69885,68325,33042,23063,9979,6036,29247,1560,82,38390
4,2,402,"宮城2区",267717,165894,65512,64700,33250,21051,12199,6884,24566,812,66,36245
4,3,403,"宮城3区",164785,126235,29296,28804,10836,0,0,11113,6855,492,52,9202
4,4,404,"宮城4区",226436,163671,45399,44658,20774,0,0,14751,9133,741,83,17283
4,5,405,"宮城5区",199760,160987,30871,30303,17101,0,0,7800,5402,568,55,7847
5,1,501,"秋田1区",145411,103949,28336,28055,14794,0,0,4279,8982,281,38,13088
5,2,502,"秋田2区",135003,113419,17086,16939,8743,0,0,4139,4057,147,11,4487
5,3,503,"秋田3区",172025,147941,20207,19918,10579,0,0,4590,4749,289,14,3863
6,1,601,"山形1区",174986,130777,31936,31474,15523,0,0,7261,8690,462,41,12232
6,2,602,"山形2区",181444,150512,26794,26034,11714,0,0,7871,6449,760,59,4079
6,3,603,"山形3区",160008,133593,22333,21988,11410,0,0,5029,5549,345,30,4052
7,1,701,"福島1区",227844,168454,41433,40806,20967,0,0,9515,10324,627,175,17782
7,2,702,"福島2区",256467,195362,45572,44598,22130,0,0,10210,12258,974,138,15395
7,3,703,"福島3区",192490,153599,29460,28816,13375,0,0,8774,6667,644,67,9364
7,4,704,"福島4区",227063,150253,50769,50049,27320,0,0,9316,13413,720,264,25777
8,1,801,"茨城1区",246610,180191,42748,41867,20337,0,0,10821,10709,881,81,23590
8,2,802,"茨城2区",184803,138734,29507,26712,11655,0,0,6641,8416,2795,85,16477
8,3,803,"茨城3区",228146,170891,36407,34989,12000,0,0,9988,13001,1418,82,20766
8,4,804,"茨城4区",156129,120838,24570,23908,10740,0,0,7332,5836,662,71,10650
8,5,805,"茨城5区",140930,105409,23562,23032,11863,0,0,4725,6444,530,36,11923
8,6,806,"茨城6区",273381,183548,58797,56049,19758,0,0,14517,21774,2748,72,30964
8,7,807,"茨城7区",200977,159368,28432,25130,12215,0,0,5204,7711,3302,99,13078
9,1,901,"栃木1区",253477,161445,47392,45774,22377,0,0,6928,16469,1618,74,44566
9,2,902,"栃木2区",149904,118052,23817,22814,11216,0,0,5466,6132,1003,247,7788
9,3,903,"栃木3区",139974,110665,21236,20531,9318,0,0,5073,6140,705,229,7844
9,4,904,"栃木4区",215268,164874,35484,33837,14265,0,0,8602,10970,1647,60,14850
9,5,905,"栃木5区",206307,163549,35520,33172,18755,0,0,5163,9254,2348,91,7147
10,1,1001,"群馬1区",199586,148085,34758,33292,17443,0,0,7498,8351,1466,134,16609
10,2,1002,"群馬2区",199898,149968,34675,32860,16751,0,0,8683,7426,1815,95,15160
10,3,1003,"群馬3区",204975,150366,38920,35731,16581,0,0,6981,12169,3189,70,15619
10,4,1004,"群馬4区",173043,126512,34397,33560,16343,0,0,6233,10984,837,61,12073
10,5,1005,"群馬5区",181909,147940,27603,26579,12708,0,0,8322,5549,1024,93,6273
11,1,1101,"埼玉1区",223519,142948,43990,42813,19381,12754,6627,7587,15845,1177,58,36523
11,2,1102,"埼玉2区",241590,174408,47377,44465,19018,0,0,6929,18518,2912,269,19536
11,3,1103,"埼玉3区",226395,158987,41006,40040,17509,0,0,9281,13250,966,157,26245
11,4,1104,"埼玉4区",232560,146435,45598,44005,11852,0,0,9758,22395,1593,84,40443
11,5,1105,"埼玉5区",228567,142948,47005,45981,20196,12846,7350,7419,18366,1024,78,38536
11,6,1106,"埼玉6区",239125,180750,38876,37912,14080,0,0,14171,9661,964,91,19408
11,7,1107,"埼玉7区",232351,155706,37063,36030,13157,0,0,10681,12192,1033,94,39488
11,8,1108,"埼玉8区",243231,166970,41123,40028,15046,0,0,9017,15965,1095,191,34947
11,9,1109,"埼玉9区",236256,178007,35861,34825,12963,0,0,10713,11149,1036,68,22320
11,10,1110,"埼玉10区",194853,147694,30220,28856,8768,0,0,12143,7945,1364,60,16879
11,11,1111,"埼玉11区",200448,158262,29518,28219,12305,0,0,8631,7283,1299,88,12580
11,12,1112,"埼玉12区",217947,172707,35045,33489,13960,0,0,9763,9766,1556,234,9961
11,13,1113,"埼玉13区",217466,171848,33414,32385,10406,0,0,12732,9247,1029,73,12131
11,14,1114,"埼玉14区",244694,156799,41480,40159,14635,0,0,7200,18324,1321,116,46299
11,15,1115,"埼玉15区",254113,154462,51277,49314,17770,8206,3503,9988,21556,1963,116,48258
11,16,1116,"埼玉16区",219054,158645,31799,31066,13559,2828,1017,9109,8398,733,78,28532
12,1,1201,"千葉1区",257845,159343,48250,46418,21125,14903,6222,8699,16594,1832,77,50175
12,2,1202,"千葉2区",185200,122609,34030,32862,13029,4875,1717,9438,10395,1168,61,28500
12,3,1203,"千葉3区",201559,148080,35415,34448,18803,3443,1488,7678,7967,967,2829,15235
12,4,1204,"千葉4区",241987,155251,47905,46127,17196,0,0,9640,19291,1778,118,38713
12,5,1205,"千葉5区",253747,142635,58122,55498,19052,0,0,8072,28374,2624,77,52913
12,6,1206,"千葉6区",247210,160175,43615,42063,16961,0,0,6965,18137,1552,125,43295
12,7,1207,"千葉7区",174626,118952,34166,32952,10248,0,0,6660,16044,1214,144,21364
12,8,1208,"千葉8区",210824,137810,39175,37948,13437,0,0,8294,16217,1227,63,33776
12,9,1209,"千葉9区",235881,174791,37129,35766,15708,4643,2066,11403,8655,1363,91,23870
12,10,1210,"千葉10区",195189,153716,28971,26510,11172,0,0,7308,8030,2461,70,12432
12,11,1211,"千葉11区",202541,161551,26673,25587,8867,0,0,9523,7197,1086,50,14267
12,12,1212,"千葉12区",221558,164372,39064,38086,14945,0,0,11650,11491,978,169,17953
12,13,1213,"千葉13区",243955,176169,39670,38159,11118,0,0,14293,12748,1511,122,27994
12,14,1214,"千葉14区",245865,165309,49117,47643,17038,0,0,12440,18165,1474,70,31369
13,1,1301,"東京1区",208459,74843,42842,39439,21934,9890,12044,2230,15275,3403,67,90707
13,2,1302,"東京2区",189517,82373,48556,45591,26908,12211,14697,1565,17118,2965,79,58509
13,3,1303,"東京3区",221599,111397,55022,52394,28141,14536,12606,3171,21082,2628,48,55132
13,4,1304,"東京4区",260035,136087,56559,54502,28852,20450,8402,1714,23936,2057,63,67326
13,5,1305,"東京5区",214128,105884,44540,41361,24733,15039,9694,1616,15012,3179,46,63658
13,6,1306,"東京6区",231524,115696,50889,47844,26757,17611,9146,3882,17205,3045,51,64888
13,7,1307,"東京7区",241317,91821,48606,44358,27852,13735,14117,2075,14431,4248,739,100151
13,8,1308,"東京8区",225964,111470,47778,45253,25496,15188,10308,4260,15497,2525,38,66678
13,9,1309,"東京9区",177294,100639,33162,31710,19344,12928,6416,2746,9620,1452,38,43455
13,10,1310,"東京10区",266503,117881,59610,55248,30228,13711,16517,2491,22529,4362,69,88943
13,11,1311,"東京11区",234738,118491,42195,40397,24009,13950,10059,1500,14888,1798,82,73970
13,12,1312,"東京12区",227730,115201,46202,44025,25307,14210,11097,1664,17054,2177,81,66246
13,13,1313,"東京13区",235043,122673,38447,37197,22507,15024,7483,1070,13620,1250,216,73707
13,14,1314,"東京14区",239023,130348,48029,45830,26497,14880,11617,1468,17865,2199,58,60588
13,15,1315,"東京15区",258015,139842,53945,50676,29083,16093,12990,1703,19890,3269,59,64169
13,16,1316,"東京16区",247091,135851,47260,44897,26586,19632,6954,1227,17084,2363,53,63927
13,17,1317,"東京17区",225758,130804,40538,38898,23472,14273,9199,1161,14265,1640,197,54219
13,18,1318,"東京18区",234619,138104,52600,50018,13180,0,0,19591,17247,2582,69,43846
13,19,1319,"東京19区",198007,111613,39630,38133,9857,0,0,15133,13143,1497,70,46694
